SA3_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
20101,33,275,3774,17336,8797,1152,190,677,32233,13,697,1990,1554,403,27,12,156,4855,0,19,158,212,99,9,4,10,506,12,718,2147,1770,498,39,16,166,5362,15,315,556,167,10,3,7,48,1117,0,17,31,12,0,0,0,5,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,332,591,175,14,3,7,52,1185,3,14,20,41,23,0,0,3,106,0,26,36,48,24,5,0,28,171,62,1355,6568,19369,9357,1201,214,924,39056
20102,18,280,1663,4824,2340,384,87,217,9822,3,43,38,17,0,0,0,35,134,0,0,4,4,0,0,0,0,6,3,39,38,16,0,0,3,35,141,3,28,50,18,0,0,0,12,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,28,50,18,0,0,0,12,115,8,34,57,181,68,16,5,14,387,3,10,21,57,19,0,3,22,133,37,395,1832,5094,2438,400,95,299,10591
20103,33,235,1618,5048,1911,269,69,255,9440,8,63,192,38,8,0,0,17,321,0,0,0,3,0,0,0,0,3,8,63,192,41,8,0,0,17,323,0,42,38,7,0,0,0,11,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,38,7,0,0,0,11,100,15,82,29,29,6,0,3,14,181,0,3,10,19,4,0,3,5,44,55,429,1887,5137,1934,278,79,299,10096
20201,25,320,3811,16935,8596,1010,167,685,31549,15,418,1630,551,49,4,0,136,2805,0,31,125,191,22,3,0,21,388,17,452,1751,736,69,5,0,161,3199,3,86,239,99,7,0,0,30,464,0,24,17,3,3,0,0,8,56,0,14,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,124,257,105,12,0,0,36,532,21,58,45,17,3,0,0,13,159,3,10,26,37,21,4,3,12,125,71,964,5892,17831,8705,1022,171,904,35561
20202,43,388,2745,8016,4191,713,156,386,16641,5,99,286,55,4,3,0,30,485,0,0,8,10,0,0,0,0,16,5,101,291,68,4,3,0,27,500,5,35,95,6,0,0,0,4,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,37,98,6,0,0,0,7,158,12,43,33,27,4,0,4,4,133,0,8,35,45,32,5,0,25,157,72,572,3203,8165,4232,721,162,454,17580
20203,11,121,660,2069,990,158,31,122,4158,0,11,0,3,0,0,0,3,18,0,0,0,3,0,0,0,0,3,0,11,0,5,0,0,0,3,20,3,26,15,0,0,0,0,10,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26,15,0,0,0,0,10,52,21,30,13,11,10,0,4,8,92,0,0,14,18,6,3,0,5,41,38,185,696,2102,1005,156,37,148,4367
20301,14,79,536,2778,2232,352,78,124,6198,0,0,8,8,3,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,8,8,3,3,0,0,19,0,13,13,3,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,3,0,0,0,0,29,0,3,7,8,3,0,0,0,26,0,0,5,14,5,0,0,0,24,13,101,569,2811,2247,356,78,130,6296
20302,77,635,7015,32564,14811,2029,470,1252,58858,35,1395,3741,1442,209,27,12,244,7100,4,140,495,611,103,4,0,32,1392,39,1540,4239,2050,311,31,7,271,8488,23,597,935,266,17,4,3,92,1932,3,33,68,3,0,0,0,5,107,0,46,93,32,7,3,3,8,186,0,0,3,0,0,0,0,0,4,30,673,1091,299,21,3,6,104,2234,28,145,142,83,81,15,8,29,522,4,14,47,73,32,3,0,20,193,172,3002,12536,35085,15255,2083,495,1670,70291
20303,20,172,2147,12053,7694,1101,177,429,23790,9,79,527,322,33,0,0,30,996,0,21,142,391,93,9,4,16,668,9,99,669,712,119,15,7,46,1665,3,43,168,80,13,7,0,15,325,0,14,17,9,0,0,0,0,41,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,62,189,92,13,7,0,17,371,5,18,31,15,9,0,0,7,81,0,6,20,54,21,6,5,13,124,37,354,3055,12923,7855,1130,191,502,26043
20401,57,363,2690,9421,4681,689,142,503,18548,3,119,294,94,10,0,3,49,572,0,0,8,28,3,0,0,0,43,3,116,301,125,10,0,3,49,611,3,122,287,38,5,0,0,30,485,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,125,289,43,5,0,0,28,498,35,110,69,24,4,3,5,61,307,0,11,26,57,25,4,8,12,142,96,718,3375,9682,4726,695,158,658,20110
