SA3_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
20101,631,608,523,273,81,10,2762,30,377,539,567,506,235,59,6,2313,798,2913,2606,1760,1392,881,309,84,10738,454,1254,1409,1503,1232,852,353,89,7135,1940,3447,2762,2667,2142,1302,595,173,15026,302,236,186,144,134,64,15,6,1080,120,205,225,249,217,159,89,31,1290,2362,3894,3175,3054,2497,1521,693,210,17401,32,56,67,85,89,88,53,26,499,1144,955,894,1022,1123,1247,1046,562,8005,4874,10018,9313,8600,7360,5104,2599,977,48845
20102,164,199,224,137,35,4,819,3,50,131,160,186,95,22,0,650,81,359,640,563,568,370,86,22,2679,84,249,385,537,503,358,100,26,2241,326,643,762,974,850,518,177,49,4305,36,40,45,47,44,18,0,0,239,21,52,84,81,105,64,19,4,432,387,739,889,1107,991,604,202,61,4970,6,9,11,18,34,43,11,7,135,332,204,293,478,555,543,328,177,2909,897,1655,2511,3064,3070,2153,776,293,14414
20103,40,50,64,53,10,3,250,9,38,49,58,71,53,15,4,292,66,233,249,225,284,208,66,22,1356,56,177,265,310,330,265,65,22,1479,300,601,688,866,860,587,212,63,4180,44,63,67,52,42,21,5,0,288,22,34,70,69,95,75,22,8,396,373,700,824,985,993,683,233,67,4859,3,7,12,26,22,35,13,9,114,267,222,312,429,526,638,367,170,2925,765,1412,1737,2080,2289,1934,768,292,11273
20201,423,403,339,215,46,10,1915,37,344,472,407,395,214,53,10,1928,669,2581,2115,1343,1178,670,254,79,8895,360,1081,1163,1198,1167,801,303,120,6189,1813,3329,2578,2546,2179,1270,591,167,14469,233,231,169,156,132,60,0,7,987,130,231,235,231,257,175,73,35,1362,2176,3791,2980,2925,2566,1497,668,206,16821,36,70,56,59,76,93,52,25,470,1097,940,871,966,1094,1171,1089,744,7976,4436,9216,8083,7305,6823,4670,2470,1193,44195
20202,351,387,350,284,72,15,1608,15,110,306,349,377,191,28,0,1377,136,649,1285,1116,1034,735,250,53,5249,99,330,587,790,832,657,240,58,3589,538,979,1132,1447,1319,822,363,85,6679,62,66,76,72,74,43,9,5,413,27,71,97,135,160,132,42,19,691,631,1114,1314,1653,1554,1001,413,106,7777,12,25,32,41,69,59,27,12,286,569,609,660,794,869,843,543,308,5186,1469,2971,4530,5128,5087,3770,1572,548,25071
20203,27,19,23,17,0,0,94,6,14,32,42,44,18,5,0,154,23,121,158,126,129,69,20,8,645,18,73,131,158,156,91,31,10,673,126,244,295,421,427,213,72,18,1817,18,27,18,35,21,3,4,0,122,9,18,21,33,45,37,7,0,171,151,282,334,497,487,252,74,21,2105,0,4,6,8,11,14,6,0,48,151,91,136,199,245,261,159,78,1320,349,588,831,1050,1098,724,292,119,5046
20301,79,67,91,43,13,0,343,4,47,97,76,62,31,9,0,331,67,339,437,343,296,156,34,6,1667,58,225,330,352,283,180,51,12,1489,263,615,782,767,522,295,80,12,3336,29,29,43,23,23,18,0,0,169,13,41,60,72,45,39,14,6,295,307,691,882,863,595,351,98,17,3806,5,12,12,12,21,15,9,3,75,225,115,186,213,238,186,109,47,1321,671,1473,2020,1925,1586,953,314,91,9036
20302,1305,930,705,384,100,21,4897,70,709,775,729,655,303,74,23,3338,1746,5788,4784,3076,2480,1399,506,143,19917,1027,2722,2912,2779,2400,1536,611,248,14235,3344,6030,4853,5200,4110,2535,1222,409,27701,413,350,282,265,202,103,30,4,1658,247,371,430,469,480,355,159,71,2577,4002,6751,5570,5930,4795,2992,1402,484,31931,61,157,140,129,158,148,113,50,951,2046,2050,1841,2039,2015,2130,1942,1278,15338,9066,19512,17335,15610,13206,8886,4747,2245,90616
20303,583,491,460,375,92,17,2331,21,242,402,397,494,288,63,11,1914,296,1826,2367,1745,1684,1225,401,106,9641,222,833,1130,1217,1385,1172,460,139,6561,769,1748,1928,2010,1862,1268,559,167,10310,80,86,83,85,95,79,22,3,543,42,115,156,187,247,232,94,37,1104,892,1954,2171,2283,2197,1578,672,204,11953,17,24,61,59,72,98,67,27,429,520,457,574,633,844,1072,743,414,5253,1986,5633,7277,6822,7148,5805,2497,916,38076
20401,140,152,183,126,38,5,750,26,119,154,160,180,121,31,3,795,163,664,786,659,743,538,192,47,3802,169,590,680,783,794,620,205,67,3906,791,1466,1560,1753,1716,1165,408,114,8972,130,94,94,88,91,51,11,3,556,75,97,129,175,187,162,69,23,915,985,1661,1782,2007,1995,1380,486,146,10439,15,28,35,42,51,68,41,15,294,692,517,595,799,1015,1064,699,345,5726,2061,3667,4174,4611,4961,3918,1691,627,25715
