SA3_CODE_2016,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_Resp
20101,296,2722,1871,35857,750,41491,0,14,10,161,3,187,1174,46,58,355,17,1643,231,47,28,117,4,420,955,470,289,1012,23,2743,3634,2602,1915,34328,733,43208,444,21,81,7,10,560,107,34,27,276,3,447,593,297,221,3313,51,4477,196,60,19,232,4,516,106,28,20,59,0,214,1031,38,22,32,7,1130,852,713,481,13990,233,16266,465,283,100,1672,30,2552,42,0,6,3,0,59,29,25,3,54,0,114,34,16,3,18,4,79,153,85,32,187,5,463,84,35,14,29,0,156,175,118,85,75,5,455,213,59,45,209,10,537,106,16,9,55,4,185,1054,754,522,10156,144,12635,50,18,4,21,3,93,102,24,6,14,3,154,102,21,19,105,0,244,121,20,19,17,0,168,18,12,0,3,0,36,96,6,15,3,3,118,126,50,38,418,11,644,2459,479,389,1056,45,4436,164,49,22,1063,5653,6947,12563,5299,3695,75006,7256,103815
20102,93,924,623,8859,180,10677,0,3,0,32,0,35,89,3,11,55,7,164,129,17,9,29,3,180,328,111,79,155,11,679,1788,869,586,7778,252,11267,66,0,9,3,0,81,68,10,11,69,4,161,325,129,56,807,24,1344,99,16,7,59,0,182,82,8,3,12,3,105,65,9,4,10,0,88,380,253,144,3589,59,4436,240,110,49,587,18,999,10,0,0,0,0,10,3,3,0,9,0,12,36,6,4,13,3,59,231,41,30,133,3,437,33,3,6,10,0,54,91,37,43,7,0,184,123,26,14,53,0,218,38,5,3,12,3,62,463,251,154,2617,56,3543,51,6,5,8,0,73,34,7,3,0,0,51,42,7,9,15,0,80,23,7,0,4,0,40,15,4,0,0,0,19,16,3,4,0,0,22,67,22,9,106,0,212,649,133,113,322,17,1239,42,18,8,264,2098,2439,4615,1745,1183,18182,2589,28307
20103,82,616,466,9287,272,10725,6,3,0,33,0,35,68,11,0,95,3,174,28,5,0,13,0,43,238,57,37,123,11,472,1342,582,507,8238,242,10911,80,0,19,4,0,105,22,9,6,60,4,96,199,64,45,615,14,931,43,24,4,25,4,99,45,5,9,17,0,70,44,14,0,0,0,65,242,126,87,2562,46,3066,108,49,30,372,8,578,0,0,0,0,0,0,12,0,0,0,0,11,5,0,3,0,0,9,81,32,6,59,4,179,19,7,0,8,0,33,50,23,19,10,0,90,55,12,3,14,0,91,19,0,0,3,0,28,280,163,118,2323,42,2927,5,0,0,3,0,10,11,3,0,7,0,26,31,5,4,10,0,43,7,3,0,4,0,12,0,0,0,0,0,0,19,4,0,6,0,24,46,14,10,76,0,145,384,61,58,173,14,692,18,15,5,306,1859,2204,2940,1099,869,18052,2396,25365
20201,235,2282,1454,34374,701,39044,0,9,0,202,3,212,655,37,47,497,18,1253,58,22,13,55,0,149,398,244,135,514,16,1305,2614,2197,1460,32920,734,39932,330,9,77,20,12,452,72,25,7,251,7,369,410,247,110,3416,63,4252,123,56,22,155,3,367,53,28,9,36,0,126,758,26,20,31,9,841,581,562,304,11859,216,13532,361,245,90,1908,57,2657,53,0,3,4,0,63,39,10,3,27,0,80,22,0,3,19,0,47,76,40,13,105,7,242,123,35,12,31,0,203,134,112,68,81,4,400,106,40,20,127,0,289,66,7,12,47,0,131,725,569,373,8734,151,10547,32,4,4,19,0,57,100,30,7,19,3,162,78,10,11,85,9,193,172,19,9,15,0,219,23,3,3,10,0,41,99,9,10,3,0,122,90,48,24,308,7,473,2569,349,238,920,49,4129,114,39,34,984,5826,7002,9495,4276,2697,70531,7385,94378
20202,178,1631,1063,15857,345,19076,0,3,0,35,0,36,217,19,30,112,5,381,73,10,10,26,0,118,416,128,79,190,9,818,2761,1560,1052,13790,321,19488,137,3,28,0,6,171,78,11,12,138,3,237,468,173,110,1325,37,2107,134,32,26,96,8,289,87,29,8,24,0,146,120,17,10,10,0,158,592,419,262,5470,88,6833,380,130,60,740,33,1342,4,0,0,0,0,4,7,4,0,24,0,36,13,3,0,3,0,22,184,57,25,106,6,375,35,10,11,14,0,73,137,70,59,22,9,292,163,28,22,77,6,295,41,9,6,23,0,80,689,418,292,4262,74,5743,29,5,5,6,0,47,45,13,6,11,0,75,37,15,7,33,0,90,31,4,11,10,0,50,17,0,0,4,0,25,11,0,3,0,0,14,120,43,26,162,4,349,952,252,200,508,20,1923,67,25,30,453,3991,4559,6545,2979,2011,31037,4719,47291
20203,28,209,174,4433,105,4950,0,0,0,22,0,19,12,3,0,51,0,68,11,4,0,3,0,20,75,15,11,36,0,131,383,213,145,3883,110,4739,66,0,4,0,3,75,11,3,5,15,3,42,80,22,16,329,11,453,27,8,3,19,0,59,24,4,0,12,0,40,27,3,0,9,0,30,78,47,30,1127,23,1310,48,21,7,128,0,207,0,0,0,0,0,0,3,0,0,0,0,8,3,3,0,0,0,5,32,3,0,8,3,49,13,3,0,0,0,17,25,4,6,10,4,44,12,5,7,10,0,32,3,0,0,6,0,10,117,66,64,1059,25,1337,0,0,0,0,0,0,20,4,0,0,0,24,4,0,0,6,0,16,3,0,0,0,0,3,3,0,0,0,0,3,0,3,0,0,0,3,8,5,0,32,3,54,109,27,23,92,11,255,15,6,3,144,947,1116,1023,414,292,8521,1178,11421
20301,83,628,467,6974,124,8270,0,0,0,24,0,22,25,3,3,31,3,59,82,20,8,48,0,164,226,77,59,200,7,575,1036,606,475,5661,114,7896,30,0,6,6,0,50,22,3,8,32,0,70,190,85,59,581,10,922,43,16,9,32,0,93,40,14,0,19,0,74,26,4,8,6,3,43,207,129,86,1765,43,2228,168,60,35,338,7,595,6,0,0,0,0,5,9,0,0,9,0,16,18,5,4,5,0,29,53,24,10,40,0,133,11,3,5,4,3,23,57,24,21,3,0,108,49,27,10,51,0,135,17,7,3,17,0,43,275,153,134,1720,31,2310,22,0,4,0,0,32,11,4,3,5,0,22,25,6,3,23,0,61,3,4,0,4,0,14,4,0,0,0,0,5,4,0,0,0,0,4,33,8,8,56,0,106,331,78,64,184,11,668,49,11,6,241,972,1286,2579,1157,895,13161,1232,19018
20302,983,6274,4399,53136,1052,65842,3,16,8,255,12,296,2561,70,146,365,21,3163,2448,308,174,671,42,3643,2203,726,463,1685,58,5138,9433,5756,4188,49359,1118,69859,1299,29,207,38,27,1603,254,75,61,380,4,779,1998,718,405,5122,121,8369,782,189,72,517,18,1580,535,81,59,217,19,913,2501,71,32,66,16,2683,2269,1579,1018,18712,299,23882,3376,943,383,3551,149,8398,155,0,11,8,0,178,172,46,20,56,0,304,1082,147,60,257,14,1560,470,152,86,422,15,1154,273,51,35,40,12,413,461,281,212,96,3,1053,1198,226,142,516,31,2106,356,57,44,97,5,561,2699,1619,1190,14942,310,20761,848,87,51,101,19,1106,322,56,56,53,7,494,543,69,81,207,15,912,334,27,13,28,4,402,295,58,21,54,5,438,678,18,37,9,8,756,414,150,100,582,14,1257,9288,1153,861,2072,194,13572,466,107,88,1299,10793,12747,43341,12410,8627,110234,13572,188180
20303,277,2711,1972,22241,447,27657,0,4,3,56,0,70,258,38,49,140,3,489,207,52,15,94,0,372,746,288,167,449,23,1673,4802,2593,1849,21318,463,31037,113,4,33,10,0,156,137,35,28,210,0,410,774,263,181,2003,38,3261,343,70,18,194,12,627,106,27,8,29,0,177,198,22,14,19,3,253,999,718,450,8883,119,11167,805,284,108,1164,39,2401,19,0,4,3,0,27,21,8,3,53,0,78,58,14,4,22,0,99,388,69,47,148,0,654,92,25,14,19,4,157,203,120,84,40,3,449,278,75,40,178,12,583,79,17,10,28,0,142,1164,728,519,6937,112,9450,52,3,8,9,0,77,151,38,27,17,0,238,92,27,10,71,0,199,40,19,11,14,0,91,26,0,0,4,0,32,39,7,5,4,0,51,182,65,32,242,9,523,1500,480,320,903,40,3243,93,34,25,462,3653,4268,11519,5140,3537,46845,4686,71729
20401,195,1720,1194,18491,431,22034,3,13,0,61,0,73,434,6,14,84,9,543,76,15,3,35,0,126,465,180,86,270,18,1019,2732,1652,1224,15884,442,21934,202,3,32,12,11,261,78,16,15,162,0,269,562,205,113,1393,42,2311,130,52,11,107,11,319,75,20,6,32,0,138,177,16,7,18,5,215,615,418,278,6000,114,7425,544,183,98,838,25,1688,32,0,3,3,3,42,13,14,0,24,0,55,47,21,8,17,4,91,207,56,37,144,5,448,76,19,9,15,0,111,116,64,46,39,3,269,161,26,22,92,3,308,44,10,9,28,0,89,660,438,315,4681,112,6199,18,6,0,0,0,29,41,16,10,8,3,75,62,6,7,48,4,135,33,5,4,6,0,45,23,3,3,3,0,33,20,0,0,4,0,27,91,29,17,151,3,287,1067,274,172,517,26,2057,88,36,19,538,3983,4661,7469,3228,2250,35932,4968,53840
