SA3_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
20101,423,339,184,109,136,62,22,1276,238,245,139,96,135,37,7,897,251,217,108,82,97,39,7,801,4148,4071,2257,1341,1827,642,250,14533,26,20,17,11,12,0,0,86,5080,4896,2697,1633,2208,778,290,17590,32,66,38,31,36,11,8,216,68,80,47,46,58,17,9,339,17,43,25,18,30,12,8,162,937,1260,805,512,754,231,66,4568,45,40,23,16,14,0,0,140,1104,1499,949,628,890,266,95,5430,6182,6393,3653,2263,3102,1048,383,23020
20102,39,45,36,23,24,5,0,173,74,88,49,42,49,17,6,322,56,93,58,33,39,16,7,294,918,1113,641,379,473,137,42,3702,9,3,0,11,3,0,0,28,1090,1341,787,483,588,177,61,4526,0,12,6,5,3,0,0,28,13,28,21,17,23,3,0,104,7,17,9,6,7,0,0,48,157,203,151,101,129,28,17,775,3,12,3,3,3,0,4,22,180,266,191,129,168,30,14,979,1272,1607,976,609,753,208,76,5498
20103,28,23,17,8,18,11,4,110,37,45,29,22,16,5,0,155,30,46,30,24,13,3,0,153,782,935,533,322,470,115,31,3185,4,6,3,3,3,0,0,18,886,1055,614,384,522,128,32,3630,0,5,3,0,0,0,0,11,8,18,4,7,11,4,0,57,0,10,3,0,4,3,0,23,200,261,159,144,142,41,13,963,11,18,3,10,4,4,0,45,224,311,179,168,163,51,12,1103,1108,1365,793,549,690,182,41,4725
20201,400,322,174,109,156,59,16,1238,179,176,107,69,79,33,11,652,184,166,66,44,68,20,6,557,3815,3625,1937,1305,1685,545,165,13090,12,14,14,10,3,0,0,59,4597,4302,2301,1540,1999,658,202,15597,27,38,24,21,34,16,9,166,54,70,50,40,57,15,11,298,22,49,43,24,31,7,0,168,956,1252,761,522,707,217,87,4498,40,37,18,14,13,3,0,116,1098,1436,898,614,841,259,104,5249,5697,5742,3201,2154,2835,914,304,20846
20202,92,82,65,32,41,16,5,327,164,204,111,64,93,20,9,668,125,139,75,49,75,24,10,489,1598,1765,1062,661,877,278,78,6326,8,19,6,4,5,0,0,46,1987,2209,1317,811,1097,341,98,7854,11,13,9,3,11,7,0,51,18,50,31,31,37,10,3,170,13,26,26,14,26,12,0,111,204,342,244,171,253,79,16,1302,14,8,10,4,9,0,0,43,257,434,319,215,332,104,20,1681,2243,2644,1630,1028,1428,447,122,9536
20203,11,12,9,0,6,4,0,44,11,11,3,13,8,3,0,50,14,22,5,5,11,0,0,57,394,474,275,188,253,73,8,1663,4,3,3,0,0,0,0,14,445,524,301,203,277,82,8,1835,0,0,3,0,3,0,0,6,3,3,6,3,7,0,0,20,0,3,0,0,3,0,0,8,74,72,54,45,56,13,0,323,4,4,0,5,4,0,0,10,79,83,64,52,68,13,3,362,519,602,367,255,344,99,14,2203
20301,26,37,30,20,21,4,3,140,47,49,46,30,44,15,3,239,47,55,39,19,36,10,3,203,973,1050,691,393,459,151,59,3770,3,6,5,9,3,0,0,24,1092,1193,810,464,564,179,62,4373,0,3,0,0,3,0,0,11,12,17,10,3,7,4,0,52,0,7,5,3,11,0,3,29,81,143,104,64,82,18,9,497,3,0,0,0,3,0,0,8,95,162,121,73,102,22,17,587,1183,1359,929,533,674,203,76,4967
20302,1102,929,486,377,498,292,142,3827,636,586,346,243,354,157,63,2381,608,553,289,180,234,125,56,2052,6731,6125,3359,2121,2827,1254,518,22934,51,46,24,20,8,8,0,154,9129,8234,4499,2941,3925,1832,788,31341,99,147,114,87,168,102,43,767,153,187,118,103,135,50,31,780,91,106,72,45,90,30,20,462,1321,1726,1112,842,1153,381,155,6690,76,79,58,29,37,16,5,302,1749,2260,1473,1102,1586,581,261,9006,10882,10493,5977,4037,5505,2410,1047,40350
20303,178,221,130,80,100,33,19,768,303,321,175,122,130,51,25,1130,310,306,125,84,104,33,20,983,2825,3123,1648,1012,1294,498,199,10602,8,12,8,8,0,0,0,39,3629,3983,2087,1311,1635,609,259,13522,14,31,11,12,22,12,3,108,63,82,54,34,54,20,7,319,18,51,31,23,33,11,12,163,277,493,351,264,341,123,54,1897,15,21,11,11,10,0,0,68,379,681,458,344,460,166,72,2556,4007,4660,2547,1658,2093,776,336,16077
20401,104,86,56,32,37,19,4,338,105,121,66,43,59,20,3,422,135,142,63,28,58,14,0,437,1783,1963,1137,694,892,242,67,6774,13,16,12,8,5,0,0,61,2141,2321,1335,815,1056,296,75,8033,7,9,5,11,9,3,0,47,21,60,31,25,34,7,0,182,14,17,19,15,31,3,3,94,331,480,307,227,287,75,23,1732,16,22,10,12,10,3,0,74,394,585,372,291,373,90,26,2138,2537,2906,1704,1099,1428,383,105,10169
