SA3_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
20101,2564,13844,14431,4434,2292,37564,1493,39056
20102,313,2879,3910,1728,1250,10079,516,10591
20103,489,3121,3591,1405,985,9588,501,10096
20201,2168,12370,13341,4250,2027,34156,1406,35561
20202,671,5240,6699,2603,1643,16858,719,17580
20203,162,1112,1522,743,609,4150,221,4367
20301,84,1102,2675,1264,951,6069,223,6296
20302,4964,25145,26053,7670,3851,67683,2612,70291
20303,704,8203,11522,3256,1556,25240,802,26043
20401,820,6225,7221,2894,1908,19066,1043,20110
20402,964,5935,6667,2331,1410,17302,810,18116
20403,1168,8205,10130,3465,1904,24872,1004,25872
20501,641,5224,6814,2620,1685,16987,659,17641
20502,824,5926,6583,2205,1130,16666,948,17614
20503,1113,8441,8900,2969,1573,22998,1037,24037
20504,2056,9853,9832,3312,1791,26855,1299,28158
20505,802,5133,5834,2240,1375,15379,657,16030
20601,5615,15804,8723,2040,855,33037,1022,34058
20602,2783,9347,5907,1182,466,19688,598,20277
20603,3358,10761,7697,1983,887,24681,900,25578
20604,26465,21110,6100,902,314,54891,2125,57012
20605,7942,23002,10629,1522,572,43666,1446,45114
20606,5769,13442,6382,1242,566,27410,903,28314
20607,7549,17896,7930,1460,407,35254,1300,36553
20701,4687,21980,22792,6226,2751,58436,1416,59849
20702,1399,9995,13324,4116,2105,30934,891,31827
20703,3464,13896,13418,3380,1511,35657,1002,36658
20801,1814,11968,14822,3843,1698,34142,893,35037
20802,5085,22112,19909,4486,1961,53549,1512,55064
20803,2839,16236,17557,4290,1971,42890,1334,44224
20804,1479,5866,5614,1388,680,15031,384,15406
20901,2702,15561,17650,4879,2415,43210,1218,44431
20902,4257,14422,10290,2777,1280,33032,1424,34457
20903,381,4222,9268,3912,2854,20639,418,21059
20904,2985,20290,28673,9462,5194,66601,2131,68732
21001,1150,6542,8583,2598,1358,20232,700,20932
21002,159,2041,4268,1813,1270,9551,268,9827
21003,2635,10939,8753,2355,1146,25837,1020,26861
21004,497,3939,5531,2041,1269,13285,359,13641
21005,2350,14100,18622,6680,3820,45574,1784,47358
21101,2004,15395,22469,7977,4430,52276,1391,53669
21102,184,1645,3474,1576,1192,8077,184,8262
21103,1895,13350,16184,4767,2566,38766,1058,39820
21104,1216,7747,9095,2283,1034,21379,527,21908
21105,1526,13764,21141,8162,5554,50148,1492,51646
21201,869,8544,12974,4686,3060,30131,926,31055
21202,1604,11351,17554,6292,3762,40557,1282,41836
21203,1250,12950,22786,7617,4081,48690,1603,50285
21204,4948,21153,20591,7393,3655,57741,2637,60375
21205,4358,20140,23401,6911,3073,57879,1576,59458
21301,4205,18771,20895,7994,4099,55962,2607,58564
21302,2285,11686,11475,2995,1449,29892,973,30862
21303,4189,13277,9141,1990,788,29385,1098,30481
21304,1601,13224,20744,6894,3820,46284,1643,47926
21305,2555,22329,29300,8463,3971,66616,1976,68588
21401,2941,17008,19230,5661,2974,47818,1869,49687
21402,2338,18914,23267,7205,3775,55495,2299,57791
21501,1387,7448,8075,3189,2060,22160,1053,23215
21502,1298,6496,7076,2480,1469,18824,990,19817
21503,784,4255,4895,1876,1275,13092,777,13869
21601,668,4119,5254,1991,1214,13246,655,13899
21602,529,3469,3798,1517,980,10292,604,10899
21603,1274,7276,8306,2987,1689,21538,992,22527
21701,694,4480,4830,2039,1307,13351,639,13991
21703,675,4421,5014,1975,1298,13385,650,14030
21704,923,6006,7152,2275,1390,17753,763,18519
29797,0,0,0,0,0,0,0,0
29999,0,0,0,0,0,0,0,0
