SA3_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
21304,11033,22190,404,2401,2220,10587,601,2850,12386,48900,15610,64735,1182,5080,1469,5194,3414,11276,6065,21550,21678,86288,133,662,557,2150,270,1005,2817,8148,3776,11966,367,1238,588,1376,2213,4990,3168,7605,6948,19567,506,1075,40163,129125
21305,15992,32345,495,2994,2862,13931,686,3227,21193,81060,25240,101217,1446,6226,2119,7338,4188,13687,7754,27248,32996,128461,187,954,732,2862,303,1159,3588,10179,4810,15158,431,1450,857,1966,2831,6432,4123,9846,8933,25001,777,1673,58695,187485
21401,12058,23974,237,1299,1325,6110,425,1957,8445,32390,10430,41756,869,3599,1170,3952,3141,10120,5175,17677,15607,59437,92,401,486,1661,239,821,2583,6782,3393,9664,392,1220,747,1683,2745,5912,3880,8807,7275,18475,604,1278,35552,103159
21402,17941,35471,248,1312,1714,7822,434,1905,8937,35070,11334,46107,963,3875,1474,4925,3296,10368,5733,19171,17072,65274,66,286,440,1483,189,647,2359,6163,3049,8583,282,865,683,1498,2356,4951,3322,7312,6371,15894,397,810,41779,117453
21501,7204,14187,101,543,585,2650,145,624,2976,11905,3800,15722,260,1021,497,1536,998,3053,1756,5609,5554,21336,22,95,164,589,69,243,901,2476,1155,3402,55,170,217,469,734,1548,1007,2189,2160,5597,210,431,15130,41545
21502,5681,11274,111,621,626,2909,174,787,2838,11301,3751,15624,261,1073,456,1461,962,2983,1682,5515,5432,21137,44,217,189,663,80,274,1072,3024,1387,4180,90,277,216,469,767,1640,1076,2390,2461,6573,189,393,13763,39378
21503,4308,8510,73,402,464,2217,86,419,1850,7513,2478,10552,143,592,315,999,662,2060,1117,3650,3593,14204,10,63,102,392,34,119,521,1465,669,2036,44,127,115,247,417,882,577,1258,1244,3292,136,295,9279,26304
21601,4423,8759,82,423,432,2000,117,514,1907,7718,2529,10656,187,768,313,1010,732,2263,1235,4040,3770,14697,22,78,104,390,46,166,597,1641,766,2272,61,179,136,280,503,1084,695,1551,1464,3818,108,216,9757,27490
21602,3579,7101,71,408,288,1358,80,363,1419,5787,1858,7917,127,523,229,708,541,1665,896,2900,2747,10818,17,91,87,314,47,160,511,1406,666,1967,39,135,84,190,373,796,501,1125,1164,3093,82,161,7579,21182
21603,6177,12251,146,832,817,3963,182,868,3628,14422,4774,20083,330,1379,534,1758,1193,3756,2052,6893,6822,26977,41,206,245,894,97,330,1156,3238,1541,4672,104,344,277,605,870,1878,1261,2822,2799,7492,206,432,16003,47154
21701,4325,8533,61,338,393,1777,90,403,1834,7239,2375,9758,151,594,301,956,676,2060,1127,3605,3503,13368,17,71,89,288,47,157,521,1400,674,1912,36,106,150,339,495,1028,691,1470,1364,3377,101,198,9292,25481
21703,4166,8228,64,365,411,1953,87,390,1930,7926,2486,10636,178,716,318,1019,699,2145,1187,3878,3678,14512,28,117,84,332,53,176,525,1486,684,2102,54,181,118,245,537,1115,713,1539,1404,3637,149,310,9389,26688
21704,5368,10631,115,623,557,2572,123,577,2885,11636,3679,15410,304,1261,395,1291,900,2808,1599,5363,5282,20772,28,124,150,556,58,215,777,2089,1019,2986,91,283,190,404,635,1372,919,2059,1937,5047,176,363,12765,36813
29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
