SA3_CODE_2016,Sme_Usl_ad_1_yr_ago_as_2016_M,Sme_Usl_ad_1_yr_ago_as_2016_F,Sme_Usl_ad_1_yr_ago_as_2016_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
20101,37751,40572,78322,1722,1872,3590,129,129,260,4923,5525,10445,150,176,327,72,82,158,70,57,122,32,35,67,24,32,63,17,19,34,0,0,0,5419,6060,11478,308,324,637,84,86,168,7538,8340,15875,3977,4348,8320,49265,53254,102516
20102,11317,11424,22747,326,397,722,29,33,61,797,863,1657,22,32,54,7,7,16,10,15,30,3,3,3,14,8,19,0,0,0,0,0,0,880,956,1836,34,50,85,15,23,43,1253,1420,2674,1262,1381,2642,13838,14226,28066
20103,10063,10008,20077,378,407,782,37,49,84,766,772,1537,22,23,48,25,17,36,17,14,29,4,3,10,7,5,17,0,0,0,0,0,0,868,885,1754,17,32,49,11,11,24,1278,1339,2614,1426,1049,2480,12773,12398,25165
20201,34491,36727,71217,1378,1583,2969,196,202,396,4255,4869,9125,139,136,278,70,81,151,60,64,120,37,45,83,31,31,69,15,13,24,0,0,0,4805,5444,10246,238,322,554,87,66,150,6512,7411,13926,3915,4163,8085,44920,48306,93226
20202,18107,18799,36912,702,745,1452,61,66,126,1373,1575,2957,37,35,70,29,26,52,32,30,65,17,14,25,20,18,39,3,6,10,0,0,0,1566,1778,3342,98,75,176,39,41,80,2404,2649,5051,2695,2204,4897,23204,23654,46856
20203,4766,4543,9308,101,112,219,13,8,23,262,269,538,8,8,13,3,0,3,8,11,19,0,0,3,5,7,13,0,0,0,0,0,0,305,303,602,6,10,19,16,8,24,425,437,863,593,564,1161,5790,5540,11329
20301,7893,7678,15567,233,238,465,24,15,36,642,655,1301,11,13,26,3,7,10,3,13,21,3,3,3,10,12,15,0,0,0,0,0,0,698,707,1406,20,13,31,24,17,39,970,975,1947,641,627,1271,9506,9282,18789
20302,68984,73775,142761,3177,3502,6686,263,296,561,7844,8686,16531,259,273,537,102,115,214,129,122,252,43,58,103,54,55,109,39,41,81,0,0,0,8740,9647,18388,1025,951,1976,163,179,340,13110,14284,27395,8143,7737,15879,90236,95796,186032
20303,26595,28097,54690,1870,2044,3919,81,95,181,2714,2896,5603,105,97,200,29,20,51,58,63,123,17,16,29,34,39,67,17,20,36,0,0,0,3045,3240,6282,194,220,408,53,45,99,5160,5554,10713,2711,2836,5551,34464,36486,70947
20401,20619,20552,41177,1192,1222,2416,146,141,288,1503,1645,3148,259,169,431,43,41,84,44,38,86,13,14,34,53,45,98,18,11,31,0,0,0,2089,2109,4197,198,174,367,48,46,91,3526,3545,7077,2554,2559,5114,26703,26661,53365
20402,17638,18680,36323,1171,1281,2454,169,196,370,961,1069,2027,67,71,137,11,11,21,24,24,55,6,6,17,13,19,32,7,5,18,0,0,0,1261,1414,2675,63,87,144,41,32,75,2527,2816,5344,1903,2085,3989,22073,23583,45653
20403,26281,27173,53457,1520,1629,3152,755,783,1541,1893,1965,3855,289,240,530,63,52,118,85,88,175,31,38,69,37,32,69,42,36,86,0,0,0,3194,3244,6436,138,204,338,48,51,99,4900,5123,10020,3061,2925,5987,34243,35221,69469
20501,18264,19111,37372,1026,1128,2153,52,61,112,1752,2012,3767,71,81,155,13,23,40,34,32,63,9,16,24,9,12,18,6,10,13,0,0,0,1947,2249,4195,73,83,155,43,40,82,3084,3504,6585,1976,2124,4106,23325,24734,48058
20502,17120,17595,34718,1091,1224,2314,130,136,270,1133,1188,2324,88,113,204,31,31,59,40,39,82,8,7,17,22,16,40,14,13,20,0,0,0,1465,1542,3007,47,66,115,55,42,95,2654,2881,5535,2177,2275,4457,21954,22751,44709
20503,23157,24243,47397,1660,1866,3530,71,73,148,1818,2025,3845,93,94,191,21,10,29,32,49,74,11,16,24,26,25,50,5,0,5,0,0,0,2074,2299,4369,109,112,223,60,59,120,3909,4336,8244,2657,2765,5420,29722,31341,61070
20504,27632,28709,56341,1838,2145,3989,82,84,162,1763,1942,3708,108,107,222,18,22,40,47,46,90,16,16,35,18,20,39,4,6,11,0,0,0,2054,2248,4304,131,152,284,71,62,129,4099,4606,8700,3516,3698,7218,35245,37013,72258
20505,16189,16471,32657,1028,1189,2224,95,93,187,1018,1035,2053,73,66,144,34,26,55,46,40,86,9,7,19,26,27,52,21,14,37,0,0,0,1324,1316,2637,102,113,213,41,43,85,2486,2657,5146,2722,1908,4628,21400,21032,42436
20601,29870,31983,61854,982,996,1976,314,279,594,4835,5225,10056,233,244,482,109,110,222,154,144,295,45,47,94,22,23,43,54,74,135,0,0,0,5775,6142,11914,1266,1407,2678,108,99,204,8124,8647,16773,3217,3382,6598,41214,44013,85222
20602,18394,20351,38742,503,554,1055,123,158,290,2551,3077,5626,71,100,178,31,45,80,62,60,123,16,12,28,11,15,29,18,31,48,0,0,0,2884,3508,6392,453,526,974,61,79,144,3901,4666,8565,2026,2163,4192,24319,27180,51501
20603,23548,25600,49149,757,831,1584,175,178,345,3184,3357,6543,105,145,257,48,64,114,57,72,128,24,27,50,17,10,27,36,36,72,0,0,0,3645,3883,7531,788,876,1663,77,65,146,5266,5660,10922,2838,2890,5725,31648,34150,65795
20604,34602,36211,70808,3048,3364,6414,692,736,1424,8718,9421,18138,505,562,1068,221,236,464,395,384,782,101,122,220,56,75,129,151,190,337,0,0,4,10841,11726,22566,7959,9205,17167,160,173,332,22005,24472,46477,8963,8570,17533,65570,69257,134827
20605,32053,33478,65528,1622,1731,3349,422,434,858,5764,6226,11991,332,364,692,90,86,180,196,179,369,62,61,117,35,37,65,46,45,90,0,0,0,6947,7425,14371,1822,1955,3775,126,94,223,10515,11200,21720,6156,6308,12461,48724,50988,99711
