SA3_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
20101,158,43,629,284,200,205,68,178,15,1793,4,4,3,6,3,5,3,8,0,42,68,106,53,58,71,21,26,33,8,439,59,65,141,81,70,101,71,118,102,812,3475,9186,5175,3928,3303,1863,1073,1759,421,30192
20102,77,9,160,57,48,35,25,58,3,468,0,0,0,3,0,0,0,3,0,7,24,34,12,24,22,7,7,11,3,142,47,37,55,30,30,23,33,59,29,338,1364,2026,1477,999,870,379,387,610,145,8258
20103,33,12,144,48,31,42,11,53,9,380,0,0,0,0,4,0,0,0,0,9,18,14,11,10,9,5,9,4,0,81,51,11,46,23,22,24,31,55,22,291,897,1044,1077,786,502,277,297,520,94,5496
20201,138,48,631,255,171,185,67,198,12,1701,0,6,3,0,0,4,0,6,0,26,39,79,35,39,38,30,26,29,8,334,84,63,122,100,77,75,56,123,80,779,2971,7975,4724,3709,2880,1583,1025,1863,324,27050
20202,73,22,249,90,54,62,24,85,4,660,0,3,0,0,3,0,0,8,3,18,50,95,27,37,31,9,9,18,3,270,72,60,78,65,42,38,42,84,44,524,2166,4210,2302,1686,1262,661,533,927,186,13930
20203,23,4,41,14,21,16,7,24,0,148,0,0,0,0,0,0,0,3,0,5,6,4,6,0,3,3,0,0,0,29,32,4,20,14,10,13,14,34,16,150,721,499,406,268,267,123,157,270,47,2764
20301,40,5,92,44,32,45,14,39,3,309,0,0,0,0,0,0,0,0,0,3,10,15,8,10,6,5,9,10,0,77,41,27,51,20,21,21,16,33,25,242,1030,1367,1286,717,625,318,315,448,94,6202
20302,308,96,1230,524,330,336,156,345,35,3366,7,9,5,11,6,6,8,14,0,67,94,175,86,112,107,55,66,60,23,791,119,124,261,170,134,153,177,265,212,1607,6293,16005,9598,7684,6055,3483,2340,3567,811,55840
20303,123,49,455,196,119,131,33,81,14,1199,0,3,0,3,0,9,0,3,6,22,43,98,44,57,54,26,10,13,11,357,68,52,89,62,46,50,30,45,75,515,3217,7283,3977,2738,2291,1286,548,1060,352,22756
20401,147,19,341,129,100,105,37,122,7,1005,3,3,0,3,3,0,3,3,0,21,63,35,27,41,28,12,27,19,10,251,90,48,125,56,64,53,70,121,71,692,2381,2868,2827,1948,1446,743,771,1332,239,14558
20402,105,23,308,124,70,111,32,96,13,892,3,4,0,0,0,0,3,9,0,22,22,24,20,24,19,3,11,15,3,141,65,27,73,54,41,40,76,87,47,515,2000,3131,2304,1732,1282,716,604,949,170,12895
20403,164,23,496,191,124,140,89,171,10,1408,3,7,3,0,3,0,5,4,3,28,48,39,26,53,35,19,27,28,10,270,102,60,107,86,72,68,88,105,99,774,3091,4982,3863,2901,2270,1238,1106,1478,321,21248
20501,89,21,270,101,81,76,36,103,4,772,3,3,0,0,0,0,3,3,0,13,25,30,25,27,22,7,14,19,3,180,82,23,84,50,40,45,43,74,44,493,2030,3279,2714,1710,1398,675,691,1121,187,13804
20502,109,14,288,123,92,95,17,111,5,858,0,0,0,0,0,0,0,6,3,8,27,37,13,25,14,3,13,13,3,152,72,21,67,56,35,57,48,86,43,497,1555,2319,1922,1567,1053,642,495,952,163,10671
20503,133,23,407,150,96,121,47,119,5,1099,3,4,3,0,0,6,0,8,0,20,45,42,29,23,21,19,19,26,11,224,145,40,116,71,55,86,61,118,75,760,2643,3294,3083,1991,1394,976,766,1285,246,15671
20504,80,28,394,158,157,141,46,145,14,1162,0,0,3,3,0,3,0,8,0,21,33,34,33,21,39,13,15,20,15,224,63,44,131,91,67,54,66,130,83,734,1848,4157,4241,2549,2122,989,1075,1372,327,18675
20505,105,13,273,102,60,66,36,83,7,736,3,0,0,0,0,0,0,6,0,10,29,23,23,13,7,4,10,12,10,137,82,28,63,38,38,44,44,76,43,457,1780,2593,2356,1451,976,510,578,848,171,11253
20601,154,58,561,204,139,132,38,78,15,1376,0,3,6,5,8,7,0,9,3,42,145,349,65,97,140,80,22,20,27,942,59,156,81,64,57,42,21,44,135,653,5014,16228,3630,3216,4123,2062,619,1257,534,36675
20602,76,40,299,105,79,56,11,44,5,719,0,5,0,3,4,0,0,4,0,12,92,209,39,61,83,36,7,19,19,564,49,92,29,33,32,32,12,25,72,373,3623,10477,1953,1880,2395,1169,290,605,312,22705
20603,114,50,318,155,129,79,23,60,18,934,3,8,0,3,8,0,5,0,3,32,90,142,23,49,106,36,17,20,15,490,49,65,48,43,46,39,18,36,79,431,4371,10620,2355,2184,3227,1438,467,866,392,25911
20604,266,82,1045,457,183,174,15,133,19,2378,8,13,15,25,7,17,0,13,5,103,184,306,42,89,134,85,18,46,31,934,100,159,90,115,70,41,22,84,132,816,7666,23824,3621,4665,5574,3244,516,2062,796,51962
20605,318,90,716,298,207,161,21,81,19,1912,9,11,0,3,5,4,0,0,0,44,216,312,42,78,144,65,11,20,39,933,105,154,73,51,74,64,20,29,134,695,9221,20060,3650,3466,5040,2762,437,1073,704,46412
