SA3_CODE_2016,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
20101,0,26,2990,3020,53,446,2719,3217,1886,1430,2435,5745,3232,799,1436,5462,3378,649,1598,5629,3352,404,1383,5136,2648,192,981,3820,1371,71,513,1953,334,8,245,585,16251,4011,14301,34564,3,56,2730,2788,117,665,2523,3298,2389,1408,2351,6143,3479,812,1855,6148,3514,660,2241,6415,3288,346,2166,5801,2460,141,1842,4441,1011,30,1474,2520,156,6,884,1044,16415,4126,18061,38603,3,84,5718,5803,170,1108,5239,6517,4266,2839,4784,11889,6706,1609,3287,11608,6893,1310,3846,12042,6638,745,3552,10943,5111,335,2817,8263,2382,98,1990,4470,489,9,1127,1632,32663,8140,32362,73165
20102,0,3,684,682,6,47,431,486,314,209,385,907,791,328,316,1433,1052,343,494,1890,1195,239,561,1990,1062,106,451,1618,420,21,214,652,67,3,84,162,4915,1295,3614,9826,0,8,632,642,19,59,356,438,415,258,328,1004,885,306,407,1606,1176,342,511,2029,1199,226,626,2054,947,64,539,1546,267,10,345,630,41,4,222,263,4954,1284,3965,10205,0,6,1318,1322,22,108,783,921,727,464,714,1910,1677,639,721,3039,2235,686,1005,3916,2390,468,1190,4045,2010,171,981,3167,692,28,559,1280,106,6,307,425,9861,2582,7581,20031
20103,0,5,642,646,15,72,404,490,252,211,343,803,560,207,376,1143,770,212,503,1487,1062,165,607,1834,1038,101,531,1676,501,27,280,812,109,3,91,205,4317,1002,3783,9098,3,16,548,560,31,108,328,465,380,245,327,949,649,193,331,1166,880,212,500,1598,1072,157,603,1826,976,71,565,1617,319,18,435,769,52,0,240,286,4356,1021,3873,9245,3,17,1186,1208,47,180,730,958,630,452,670,1752,1205,397,710,2311,1657,423,1003,3087,2135,324,1207,3668,2017,179,1100,3293,825,43,715,1583,158,0,331,492,8670,2021,7658,18350
20201,3,20,2712,2729,87,503,2327,2914,1822,1286,2169,5276,2777,680,1353,4806,2849,571,1515,4937,3042,328,1381,4753,2489,132,907,3528,1405,47,521,1980,341,13,270,615,14821,3566,13153,31540,8,73,2521,2607,145,678,2236,3057,2311,1307,2179,5796,2990,680,1757,5430,3021,540,1968,5529,3061,281,2028,5368,2280,113,1641,4037,1069,31,1289,2379,178,7,763,952,15054,3716,16384,35149,8,89,5236,5338,229,1182,4560,5972,4133,2596,4346,11075,5761,1360,3114,10234,5870,1108,3481,10461,6102,607,3405,10117,4772,250,2543,7564,2471,75,1808,4357,520,18,1035,1567,29871,7284,29531,66687
20202,0,9,1242,1248,19,87,700,807,474,368,650,1497,1363,448,505,2317,1746,472,771,2991,1917,387,911,3215,1683,211,705,2597,782,34,340,1160,183,5,137,326,8171,2029,5957,16156,0,10,1157,1170,37,139,556,729,665,422,577,1659,1555,534,586,2671,1994,465,918,3384,1877,339,1064,3280,1487,164,974,2631,550,31,646,1226,95,0,336,437,8257,2107,6818,17187,0,13,2394,2414,51,228,1261,1542,1146,791,1231,3163,2918,985,1087,4989,3744,938,1688,6369,3793,732,1977,6500,3170,377,1677,5233,1326,65,983,2379,272,8,479,760,16432,4132,12776,33344
20203,0,3,291,295,7,17,137,165,110,76,141,328,313,81,141,536,426,73,224,724,554,89,283,922,452,33,266,750,185,15,115,314,45,0,60,107,2092,386,1661,4137,0,3,287,284,5,30,124,156,185,77,97,362,344,77,99,528,487,97,181,761,541,73,206,818,371,29,188,586,141,8,184,333,22,0,92,117,2104,392,1453,3945,0,3,575,582,12,50,257,320,296,153,240,686,657,163,243,1062,910,168,406,1486,1097,158,484,1744,821,58,452,1339,328,18,299,651,67,3,150,217,4192,778,3115,8082
20301,0,7,611,616,8,38,370,411,357,173,257,785,819,197,182,1194,893,140,251,1278,810,112,248,1176,615,37,163,820,210,12,73,292,31,0,32,62,3740,718,2184,6641,0,3,517,523,14,57,253,329,480,205,230,914,882,204,207,1292,962,151,216,1321,787,83,241,1108,513,36,188,728,151,5,128,281,12,3,77,89,3801,741,2053,6591,0,5,1130,1138,28,98,621,741,831,377,488,1694,1698,403,387,2486,1851,292,458,2608,1599,198,491,2285,1126,66,352,1548,364,16,196,574,43,3,105,158,7536,1456,4238,13228
20302,7,31,5218,5253,118,717,5134,5969,3662,2466,4826,10948,6138,1449,2692,10287,6266,1077,3140,10477,6151,704,2581,9431,5001,309,1724,7035,2715,89,995,3795,772,20,553,1342,30827,6851,26869,64553,12,79,4982,5069,258,978,4543,5776,4680,2567,4399,11649,6566,1356,3376,11293,6552,1106,3967,11626,6040,610,3840,10485,4615,227,3238,8080,2117,55,2720,4894,376,8,1680,2066,31214,6982,32750,70946,15,113,10198,10324,374,1691,9683,11748,8341,5032,9226,22597,12710,2808,6072,21583,12815,2184,7109,22104,12190,1313,6414,19920,9615,534,4963,15115,4831,141,3717,8690,1152,26,2237,3410,62043,13832,59618,135495
20303,0,4,1822,1832,11,104,1225,1340,1043,698,1046,2787,2603,631,735,3973,2621,474,813,3908,2913,386,911,4209,2710,186,659,3559,1276,50,356,1687,298,12,200,504,13482,2544,7757,23791,0,12,1635,1651,33,174,943,1147,1478,788,1038,3301,2797,674,897,4369,2809,537,1206,4546,3022,349,1292,4662,2475,152,1232,3859,965,26,939,1924,131,6,594,736,13698,2722,9772,26196,3,20,3460,3482,43,274,2166,2483,2515,1482,2090,6084,5402,1308,1629,8340,5427,1012,2013,8458,5934,734,2202,8868,5190,337,1890,7421,2238,74,1290,3610,431,18,794,1240,27186,5270,17530,49982
20401,0,9,1308,1321,12,156,905,1079,648,545,876,2071,1351,465,582,2398,1732,444,976,3152,2106,342,1087,3534,1963,215,913,3093,941,43,409,1396,219,14,175,409,8977,2233,7241,18448,3,26,1175,1201,47,233,697,976,886,566,738,2195,1494,507,728,2738,1882,454,1007,3348,2211,299,1055,3562,1796,152,970,2919,648,27,804,1477,85,8,411,498,9050,2268,7596,18911,3,36,2490,2521,60,388,1606,2050,1537,1115,1613,4266,2845,972,1315,5131,3616,895,1987,6498,4318,645,2137,7101,3764,371,1882,6015,1593,65,1218,2874,301,17,588,901,18024,4500,14836,37365
