SA3_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
20101,22,75,125,12,30,88,347,20,66,25,21,3,0,135,268,670,158,65,12,16,1199,745,273,261,87,29,9,1411,718,136,307,48,16,9,1233,2568,140,489,34,28,14,3282,2466,23,290,8,26,11,2823,883,8,109,4,23,10,1037,126,0,36,3,4,3,166,24,0,13,0,0,3,38,16,4,3,0,0,0,23,4,0,3,0,0,0,7,4,0,0,0,0,0,8,10,0,6,0,0,4,19,104,88,78,26,16,18,328,7972,1495,1909,311,192,181,12058
20102,0,7,92,7,18,69,191,0,5,14,8,3,0,36,17,61,60,6,11,3,161,41,17,94,7,7,0,161,61,11,103,0,3,0,180,157,4,100,0,10,0,273,210,8,99,0,10,0,327,100,0,32,0,0,0,136,13,0,9,0,3,0,23,4,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,3,8,31,0,6,3,55,617,117,627,30,78,77,1557
20103,4,13,87,12,29,82,228,0,12,13,3,9,0,40,32,96,111,10,8,8,262,166,35,146,10,18,3,380,141,14,100,0,6,3,269,236,6,91,0,7,0,340,76,0,38,0,3,0,118,13,0,16,0,0,0,32,5,0,4,0,0,0,8,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,8,15,12,29,3,14,0,71,691,190,645,39,94,95,1753
20201,11,80,115,10,16,85,310,6,55,14,14,0,5,94,137,560,167,31,22,13,932,528,330,270,59,35,8,1235,527,153,299,74,24,11,1091,2082,76,505,66,40,15,2785,2526,24,456,13,31,14,3065,786,8,141,0,11,0,953,70,3,30,0,3,0,110,15,3,11,0,5,0,31,11,0,6,0,0,0,14,7,0,3,0,0,0,8,0,0,3,0,0,0,3,5,0,4,0,0,0,13,74,78,66,20,17,21,275,6781,1372,2089,291,217,175,10924
20202,7,15,100,4,18,68,215,5,8,7,12,0,0,34,22,119,78,14,15,0,247,62,39,136,19,6,3,266,83,19,95,21,11,0,226,227,18,148,10,14,4,424,527,6,169,0,14,3,725,327,4,70,0,3,0,410,56,0,21,0,0,0,80,9,0,8,0,0,0,17,0,0,3,0,0,0,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,3,0,0,0,9,30,24,41,6,16,3,118,1371,255,875,78,116,84,2782
20203,0,0,57,3,27,60,148,3,27,12,7,3,0,50,23,13,67,0,16,0,117,47,0,88,4,5,0,147,15,0,41,0,4,0,63,22,0,13,0,5,0,41,8,0,22,0,0,0,36,7,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,14,0,6,3,34,131,41,324,12,75,65,647
20301,0,0,32,0,21,33,86,0,0,0,0,0,0,3,5,9,22,0,9,0,45,3,6,38,9,3,0,62,17,0,48,0,3,0,70,49,3,50,0,4,3,113,107,0,55,0,3,0,171,86,0,30,0,4,3,124,11,0,3,0,0,0,15,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,0,14,5,33,292,23,307,11,61,46,735
20302,28,146,243,18,64,173,671,17,114,35,31,13,3,209,147,1051,229,112,49,21,1618,751,424,473,161,69,16,1898,758,214,386,123,60,11,1545,2462,242,743,77,70,22,3622,4694,142,924,40,79,19,5894,2937,26,462,26,55,15,3517,532,8,115,0,7,4,667,143,0,27,3,3,0,183,33,0,17,0,0,0,54,22,0,23,0,0,0,40,7,0,7,0,0,0,21,31,0,21,0,0,0,53,216,157,155,47,66,32,677,12783,2534,3855,638,542,317,20671
20303,7,7,117,3,23,135,285,4,5,10,15,0,0,34,19,46,66,8,8,0,150,61,16,111,6,8,0,204,97,7,97,17,9,3,226,434,3,172,14,13,6,642,1047,4,265,0,16,3,1331,1441,5,259,0,9,4,1723,439,0,92,0,4,0,539,105,0,12,0,0,0,117,24,0,7,0,0,0,33,11,0,0,0,0,0,12,4,0,0,0,0,0,4,10,0,7,0,0,0,13,54,5,56,3,10,4,141,3757,88,1281,64,94,156,5447
20401,9,27,144,19,94,146,436,3,22,18,4,14,0,60,47,189,133,8,39,9,423,223,102,210,7,36,9,588,250,49,157,5,28,7,491,540,20,215,0,155,4,933,677,4,159,0,82,5,927,197,4,43,0,9,5,267,17,3,12,0,3,0,38,3,0,3,0,3,0,11,0,0,4,0,0,0,4,3,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,9,0,0,0,21,32,32,54,4,54,12,184,2018,446,1168,50,514,196,4391
20402,7,37,125,6,32,88,291,3,32,13,8,0,3,67,86,313,129,24,22,0,575,474,129,215,23,20,10,879,315,60,170,5,10,0,566,620,48,176,6,18,3,874,460,11,105,0,3,0,579,150,3,35,0,0,0,190,9,0,3,0,0,0,14,4,0,3,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,25,52,44,11,16,10,161,2150,698,1038,79,122,125,4212
20403,3,50,162,10,56,101,380,6,38,29,3,13,0,88,116,443,166,18,20,7,777,466,188,315,27,34,4,1031,451,146,249,5,25,6,887,941,54,295,5,204,9,1505,1228,19,210,3,78,10,1548,691,6,73,0,5,3,776,56,0,21,0,7,0,85,13,3,8,0,0,0,20,4,0,0,0,0,0,10,3,0,5,0,0,0,6,0,0,4,0,0,0,6,3,0,6,0,4,0,24,57,57,64,12,25,3,222,4027,1006,1608,82,479,157,7359
20501,3,19,126,3,31,73,251,0,11,12,0,6,3,33,24,131,73,17,19,3,267,132,55,134,12,43,8,380,166,25,145,4,14,0,357,616,31,190,0,13,3,845,829,3,154,0,7,11,1001,292,0,46,0,0,0,347,21,0,6,0,0,0,32,7,0,5,0,0,0,16,0,0,3,0,0,0,5,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,3,30,14,50,7,13,3,114,2129,289,958,42,147,105,3660
20502,10,14,129,0,53,112,318,4,34,19,19,8,3,88,54,186,122,32,54,6,452,227,129,186,23,50,4,627,237,52,161,22,27,0,495,556,43,186,14,17,3,822,602,9,105,3,4,4,727,217,3,36,4,3,3,260,9,0,3,0,0,0,11,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,11,28,19,46,12,27,3,142,1942,494,1009,122,243,141,3959
20503,9,20,175,12,63,175,456,3,36,23,12,7,0,92,56,172,134,31,31,3,424,218,82,251,25,41,7,622,390,27,249,13,24,10,710,1052,19,296,10,28,8,1423,845,8,150,0,13,6,1025,266,3,49,5,5,5,339,12,3,14,0,0,0,31,7,0,3,0,0,0,10,3,0,0,0,0,0,6,3,0,3,0,0,0,6,0,0,0,0,0,0,0,12,0,9,0,3,0,17,37,25,77,5,40,14,203,2911,393,1440,120,258,230,5354
20504,7,113,131,20,16,61,355,24,215,26,18,7,3,292,424,456,169,15,21,15,1111,1075,304,328,77,53,10,1843,641,60,253,27,22,11,1000,995,25,260,9,16,8,1309,767,14,128,5,9,0,927,272,5,45,3,11,5,345,17,0,9,0,0,0,33,3,0,0,0,0,0,9,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,10,67,62,61,12,11,5,218,4305,1256,1423,187,166,117,7444
