SA3_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
20101,..,943,449,110,136,150,79,37,11,1917,..,254,577,488,730,1330,1449,1203,715,6749,203,346,186,92,83,118,124,73,40,1263,9174,6425,6333,6244,6503,5921,4571,2589,1084,48844,..,186,4316,6766,6948,6692,5150,2403,490,32943,..,1179,2795,1556,1247,692,297,78,12,7856,..,225,775,1247,1429,608,240,203,140,4868,18485,..,..,..,..,..,..,..,..,18485,..,4535,..,..,..,..,..,..,..,4535,..,3021,1183,450,347,162,27,3,0,5191,..,446,245,111,158,229,164,100,60,1513,..,341,213,80,74,41,11,3,0,771,..,1877,1112,272,297,289,169,71,24,4111,..,507,1254,1132,1538,2221,2206,1614,910,11382,399,639,443,232,216,211,205,110,52,2508,18887,12954,12333,11844,12264,11153,8471,4574,1683,94162
20102,..,29,24,23,55,61,46,7,3,242,..,21,61,120,204,381,384,260,145,1580,32,57,39,31,43,54,42,30,8,325,2247,1133,1040,1631,2074,2107,1584,658,273,12753,..,25,737,1699,2259,2414,2031,698,106,9965,..,116,460,619,656,442,148,25,6,2477,..,24,105,251,272,168,75,56,53,1011,4466,..,..,..,..,..,..,..,..,4466,..,1035,..,..,..,..,..,..,..,1035,..,830,360,137,106,56,12,0,0,1496,..,43,28,14,28,69,56,62,34,335,..,51,41,18,27,24,14,4,3,182,..,48,59,59,101,123,99,17,3,509,..,58,130,240,467,755,722,420,222,3014,72,122,80,72,96,114,80,39,11,680,4531,2366,1986,3113,4016,4153,3247,1320,435,25175
20103,..,33,28,28,43,66,45,19,3,263,..,33,67,55,175,347,423,322,176,1595,37,50,31,19,32,36,40,13,13,268,1897,1074,978,1192,1636,1859,1656,786,296,11379,..,53,637,1222,1671,2159,2045,831,158,8777,..,194,440,387,409,298,150,33,0,1913,..,50,143,225,287,158,85,79,46,1070,3814,..,..,..,..,..,..,..,..,3814,..,912,..,..,..,..,..,..,..,912,..,685,272,156,118,74,3,0,0,1303,..,61,15,30,31,58,53,47,26,321,..,68,25,24,18,18,8,0,0,160,..,73,67,66,99,135,114,37,4,611,..,62,152,208,452,767,838,552,250,3285,78,102,82,71,84,86,86,32,11,635,3895,2264,1828,2390,3166,3749,3379,1617,505,22796
20201,..,817,388,87,113,141,81,21,8,1657,..,203,540,432,657,1181,1222,1016,610,5865,155,305,165,63,76,114,100,79,35,1094,8287,5965,5962,5489,5608,5481,4137,2455,985,44377,..,245,4169,5811,5915,6165,4810,2486,521,30121,..,1268,2561,1309,1065,547,209,60,16,7039,..,241,756,1201,1280,660,235,195,127,4697,16785,..,..,..,..,..,..,..,..,16785,..,4061,..,..,..,..,..,..,..,4061,..,2710,1096,430,300,166,33,0,0,4732,..,498,239,74,155,198,183,122,71,1533,..,343,214,101,67,41,22,5,3,785,..,1525,911,241,268,275,162,56,16,3456,..,425,1137,1064,1415,2062,1909,1429,824,10269,317,547,386,208,174,215,175,117,45,2189,17108,11854,11460,10449,10640,10332,7738,4477,1618,85666
20202,..,55,93,50,81,104,74,21,7,483,..,32,63,125,299,630,716,480,244,2590,53,80,63,44,47,92,88,23,15,508,3775,1981,1731,2715,3429,3374,2718,1246,448,21418,..,57,1153,2946,3776,3820,3211,1334,280,16568,..,238,784,960,907,703,338,65,4,3999,..,40,158,374,567,312,129,96,68,1746,7544,..,..,..,..,..,..,..,..,7544,..,1992,..,..,..,..,..,..,..,1992,..,1231,546,218,174,66,23,0,0,2257,..,119,67,34,42,123,121,84,51,640,..,90,83,38,29,30,22,4,7,297,..,118,194,111,163,218,149,46,8,1020,..,66,186,308,706,1223,1244,755,347,4831,98,157,139,95,113,158,162,44,24,984,7647,4113,3301,5088,6481,6655,5389,2427,779,41874
20203,..,16,8,8,24,32,20,3,0,111,..,12,13,13,62,115,123,149,62,554,14,40,22,12,22,21,13,5,8,156,880,481,379,533,783,843,603,341,121,4965,..,14,300,670,918,1114,833,329,67,4245,..,53,149,151,161,149,50,20,3,730,..,17,47,77,96,60,38,28,23,376,1747,..,..,..,..,..,..,..,..,1747,..,453,..,..,..,..,..,..,..,453,..,272,109,56,51,28,3,0,0,515,..,28,7,12,19,22,29,18,17,139,..,23,3,10,12,8,6,0,0,59,..,24,19,10,42,60,50,15,3,229,..,28,56,77,181,307,327,242,104,1338,28,53,41,19,51,58,31,17,9,316,1775,959,728,1079,1537,1799,1370,661,229,10145
20301,..,13,19,9,11,15,17,3,0,101,..,5,36,28,53,121,110,78,51,482,11,37,15,4,16,23,12,5,3,138,1973,887,930,1298,1344,1133,741,286,96,8683,..,28,831,1701,1858,1607,1136,362,43,7570,..,100,379,395,285,185,59,11,3,1423,..,17,59,155,170,92,38,33,12,573,4012,..,..,..,..,..,..,..,..,4012,..,950,..,..,..,..,..,..,..,950,..,647,261,90,49,29,0,0,0,1076,..,47,13,10,22,41,36,21,20,215,..,37,24,15,21,16,3,4,0,125,..,31,43,24,36,35,37,11,3,215,..,23,86,89,161,273,235,135,73,1076,30,78,42,27,41,38,23,15,3,297,4040,1960,1739,2516,2649,2321,1570,589,158,17534
20302,..,1356,796,152,229,233,131,57,8,2961,..,380,984,887,1236,2162,2429,2137,1336,11542,266,478,329,149,165,230,221,123,61,2010,15587,11327,11977,11449,11785,10712,8296,5015,2128,88276,..,393,8393,12799,12941,12301,9686,4852,1162,62536,..,1796,4976,2714,2055,1200,464,123,17,13337,..,321,1172,2166,2581,1288,532,426,287,8780,31386,..,..,..,..,..,..,..,..,31386,..,8960,..,..,..,..,..,..,..,8960,..,5414,2895,1078,702,339,52,3,0,10481,..,963,548,202,281,407,347,262,134,3139,..,647,486,154,147,81,28,11,7,1566,..,2833,2066,461,506,432,292,115,21,6723,..,739,2064,2014,2882,3866,3716,2904,1790,19971,550,892,746,400,349,405,325,192,90,3941,31934,22962,23345,21986,22448,20322,15444,8883,3502,170821
20303,..,111,204,53,85,101,70,20,12,651,..,59,176,212,373,745,969,770,461,3776,83,140,112,70,69,140,144,71,24,857,6246,2936,3413,4430,4616,4804,4001,1995,756,33207,..,49,2536,5465,5473,5974,5223,2254,434,27403,..,295,1459,1241,971,695,303,67,14,5050,..,47,244,598,789,412,136,95,99,2411,12874,..,..,..,..,..,..,..,..,12874,..,3199,..,..,..,..,..,..,..,3199,..,1683,839,260,158,96,20,0,0,3059,..,158,113,44,60,112,107,85,49,726,..,128,127,53,43,22,10,8,3,407,..,261,407,149,150,186,130,41,13,1334,..,148,357,528,814,1379,1486,1065,622,6396,182,286,232,154,160,271,231,116,40,1670,13056,6252,6312,8490,8613,9143,7650,3731,1275,64528
20401,..,96,97,22,80,104,52,25,3,480,..,63,153,157,323,603,714,634,297,2947,64,111,98,57,67,102,111,46,24,668,4063,2284,2290,2791,3410,3670,3033,1521,516,23589,..,65,1557,2873,3665,4363,3816,1607,305,18248,..,417,1091,946,850,602,313,50,16,4277,..,76,238,512,649,294,150,109,84,2105,8251,..,..,..,..,..,..,..,..,8251,..,1917,..,..,..,..,..,..,..,1917,..,1437,608,227,192,105,20,0,0,2581,..,159,63,30,80,132,133,94,57,735,..,121,108,39,43,44,17,11,0,377,..,271,219,67,177,199,129,55,6,1128,..,121,376,439,847,1369,1436,958,436,5986,170,232,201,133,154,208,216,86,36,1430,8424,4811,4462,5264,6650,7307,6227,2960,942,47042
