RA_CODE_2016,M_Neg_Nil_income_15_19_yrs,M_Neg_Nil_income_20_24_yrs,M_Neg_Nil_income_25_34_yrs,M_Neg_Nil_income_35_44_yrs,M_Neg_Nil_income_45_54_yrs,M_Neg_Nil_income_55_64_yrs,M_Neg_Nil_income_65_74_yrs,M_Neg_Nil_income_75_84_yrs,M_Negtve_Nil_incme_85_yrs_ovr,M_Neg_Nil_income_Tot,M_1_149_15_19_yrs,M_1_149_20_24_yrs,M_1_149_25_34_yrs,M_1_149_35_44_yrs,M_1_149_45_54_yrs,M_1_149_55_64_yrs,M_1_149_65_74_yrs,M_1_149_75_84_yrs,M_1_149_85ov,M_1_149_Tot,M_150_299_15_19_yrs,M_150_299_20_24_yrs,M_150_299_25_34_yrs,M_150_299_35_44_yrs,M_150_299_45_54_yrs,M_150_299_55_64_yrs,M_150_299_65_74_yrs,M_150_299_75_84_yrs,M_150_299_85ov,M_150_299_Tot,M_300_399_15_19_yrs,M_300_399_20_24_yrs,M_300_399_25_34_yrs,M_300_399_35_44_yrs,M_300_399_45_54_yrs,M_300_399_55_64_yrs,M_300_399_65_74_yrs,M_300_399_75_84_yrs,M_300_399_85ov,M_300_399_Tot,M_400_499_15_19_yrs,M_400_499_20_24_yrs,M_400_499_25_34_yrs,M_400_499_35_44_yrs,M_400_499_45_54_yrs,M_400_499_55_64_yrs,M_400_499_65_74_yrs,M_400_499_75_84_yrs,M_400_499_85ov,M_400_499_Tot,M_500_649_15_19_yrs,M_500_649_20_24_yrs,M_500_649_25_34_yrs,M_500_649_35_44_yrs,M_500_649_45_54_yrs,M_500_649_55_64_yrs,M_500_649_65_74_yrs,M_500_649_75_84_yrs,M_500_649_85ov,M_500_649_Tot,M_650_799_15_19_yrs,M_650_799_20_24_yrs,M_650_799_25_34_yrs,M_650_799_35_44_yrs,M_650_799_45_54_yrs,M_650_799_55_64_yrs,M_650_799_65_74_yrs,M_650_799_75_84_yrs,M_650_799_85ov,M_650_799_Tot,M_800_999_15_19_yrs,M_800_999_20_24_yrs,M_800_999_25_34_yrs,M_800_999_35_44_yrs,M_800_999_45_54_yrs,M_800_999_55_64_yrs,M_800_999_65_74_yrs,M_800_999_75_84_yrs,M_800_999_85ov,M_800_999_Tot,M_1000_1249_15_19_yrs,M_1000_1249_20_24_yrs,M_1000_1249_25_34_yrs,M_1000_1249_35_44_yrs,M_1000_1249_45_54_yrs,M_1000_1249_55_64_yrs,M_1000_1249_65_74_yrs,M_1000_1249_75_84_yrs,M_1000_1249_85ov,M_1000_1249_Tot,M_1250_1499_15_19_yrs,M_1250_1499_20_24_yrs,M_1250_1499_25_34_yrs,M_1250_1499_35_44_yrs,M_1250_1499_45_54_yrs,M_1250_1499_55_64_yrs,M_1250_1499_65_74_yrs,M_1250_1499_75_84_yrs,M_1250_1499_85ov,M_1250_1499_Tot,M_1500_1749_15_19_yrs,M_1500_1749_20_24_yrs,M_1500_1749_25_34_yrs,M_1500_1749_35_44_yrs,M_1500_1749_45_54_yrs,M_1500_1749_55_64_yrs,M_1500_1749_65_74_yrs,M_1500_1749_75_84_yrs,M_1500_1749_85ov,M_1500_1749_Tot,M_1750_1999_15_19_yrs,M_1750_1999_20_24_yrs,M_1750_1999_25_34_yrs,M_1750_1999_35_44_yrs,M_1750_1999_45_54_yrs,M_1750_1999_55_64_yrs,M_1750_1999_65_74_yrs,M_1750_1999_75_84_yrs,M_1750_1999_85ov,M_1750_1999_Tot,M_2000_2999_15_19_yrs,M_2000_2999_20_24_yrs,M_2000_2999_25_34_yrs,M_2000_2999_35_44_yrs,M_2000_2999_45_54_yrs,M_2000_2999_55_64_yrs,M_2000_2999_65_74_yrs,M_2000_2999_75_84_yrs,M_2000_2999_85ov,M_2000_2999_Tot,M_3000_more_15_19_yrs,M_3000_more_20_24_yrs,M_3000_more_25_34_yrs,M_3000_more_35_44_yrs,M_3000_more_45_54_yrs,M_3000_more_55_64_yrs,M_3000_more_65_74_yrs,M_3000_more_75_84_yrs,M_3000_more_85ov,M_3000_more_Tot,M_PI_NS_15_19_yrs,M_PI_NS_ns_20_24_yrs,M_PI_NS_ns_25_34_yrs,M_PI_NS_ns_35_44_yrs,M_PI_NS_ns_45_54_yrs,M_PI_NS_ns_55_64_yrs,M_PI_NS_ns_65_74_yrs,M_PI_NS_ns_75_84_yrs,M_PI_NS_ns_85_yrs_ovr,M_PI_NS_ns_Tot,M_Tot_15_19_yrs,M_Tot_20_24_yrs,M_Tot_25_34_yrs,M_Tot_35_44_yrs,M_Tot_45_54_yrs,M_Tot_55_64_yrs,M_Tot_65_74_yrs,M_Tot_75_84_yrs,M_Tot_85ov,M_Tot_Tot,F_Neg_Nil_income_15_19_yrs,F_Neg_Nil_income_20_24_yrs,F_Neg_Nil_income_25_34_yrs,F_Neg_Nil_income_35_44_yrs,F_Neg_Nil_income_45_54_yrs,F_Neg_Nil_income_55_64_yrs,F_Neg_Nil_income_65_74_yrs,F_Neg_Nil_income_75_84_yrs,F_Neg_Nil_incme_85_yrs_ovr,F_Neg_Nil_income_Tot,F_1_149_15_19_yrs,F_1_149_20_24_yrs,F_1_149_25_34_yrs,F_1_149_35_44_yrs,F_1_149_45_54_yrs,F_1_149_55_64_yrs,F_1_149_65_74_yrs,F_1_149_75_84_yrs,F_1_149_85ov,F_1_149_Tot,F_150_299_15_19_yrs,F_150_299_20_24_yrs,F_150_299_25_34_yrs,F_150_299_35_44_yrs,F_150_299_45_54_yrs,F_150_299_55_64_yrs,F_150_299_65_74_yrs,F_150_299_75_84_yrs,F_150_299_85ov,F_150_299_Tot,F_300_399_15_19_yrs,F_300_399_20_24_yrs,F_300_399_25_34_yrs,F_300_399_35_44_yrs,F_300_399_45_54_yrs,F_300_399_55_64_yrs,F_300_399_65_74_yrs,F_300_399_75_84_yrs,F_300_399_85ov,F_300_399_Tot
RA20,71066,29108,19287,10093,10103,12782,8965,3875,1409,166693,28737,13541,4517,3000,3412,4524,4435,2174,699,65040,10993,20401,14807,9797,10284,13078,14443,9550,3005,106350,4417,13773,12624,8470,10190,13634,27970,22644,7190,120915,4441,13844,14486,9615,10847,12368,19686,13432,6023,104749,3435,16113,19914,12153,12192,12932,15692,8560,2925,103921,1946,16565,30987,19330,17902,16172,12139,5894,2058,123009,1113,15749,45961,29773,27145,21677,11288,3770,1461,157945,491,10989,52980,37194,32242,24750,10581,3099,1103,173429,155,4562,38456,30735,25090,17575,6337,1590,532,125041,118,2025,29947,29728,24440,16202,4939,1201,415,109012,54,876,18682,24169,19350,12178,3266,754,295,79622,93,765,25400,42908,34160,20018,5215,1227,442,130231,140,524,8535,28908,30084,16984,5525,1476,588,92764,11655,13412,29689,23433,21082,17088,14630,10794,6141,147913,138864,172246,366290,319298,288526,231945,165117,90041,34296,1806629,63020,29100,42391,33883,27060,30019,13483,5648,2582,247188,35184,14983,11246,12388,10140,10220,6494,2809,1147,104617,13789,23088,22640,21229,19267,22552,18824,11386,3687,156461,4337,15274,19034,18760,19233,22964,36470,24681,8759,169511
RA21,14336,2169,1568,1631,1973,3137,2032,763,257,27861,7643,1610,612,671,887,1582,1398,523,174,15103,2826,3469,2779,2446,3094,4803,5326,2702,783,28222,1340,1931,1996,2325,3276,5425,12095,8022,2202,38605,1825,2419,2293,2502,3673,5436,9337,5330,1973,34777,1472,3443,3046,2932,3759,5334,7020,3251,1005,31256,790,4392,5625,4596,5368,6177,5006,2196,664,34804,400,4194,8372,6995,7975,7933,4182,1324,420,41797,143,2574,9054,8376,9025,8243,3623,978,324,42347,46,1038,6189,6460,6710,5394,1883,406,120,28247,20,496,4266,5843,6085,4648,1201,274,98,22934,10,175,2609,4229,4650,3323,781,150,73,16002,12,163,2935,5762,6594,4550,1064,270,77,21426,43,114,968,2676,3638,2798,1020,340,105,11705,4504,2867,5715,6011,7020,7240,6857,4449,2109,46768,35409,31052,58022,63462,73715,76020,62816,30974,10386,441862,12093,1838,3913,4345,4741,7561,2808,884,480,38661,9245,1918,2337,2657,2535,3318,1851,608,258,24725,3544,4169,4957,5138,5231,7804,6430,2948,1049,41270,1355,2888,4470,5214,5993,8515,14491,8004,2641,53584
RA22,2849,333,355,376,578,916,485,224,64,6168,1624,268,143,159,274,455,398,127,71,3517,554,548,628,642,941,1383,1465,683,203,7056,279,340,469,568,928,1526,3363,2190,644,10308,352,465,564,693,1012,1587,2598,1443,543,9267,335,721,762,699,1002,1460,1783,834,245,7842,151,932,1357,1109,1429,1630,1190,554,164,8508,82,869,1889,1540,1901,2080,1019,296,110,9781,32,484,1761,1604,2020,1967,790,242,95,9002,3,162,1016,1104,1215,1130,391,118,28,5163,4,72,646,872,1059,943,255,66,28,3948,4,33,330,590,752,622,158,46,12,2546,7,24,337,761,963,727,177,55,14,3064,10,28,153,340,457,445,204,88,27,1763,1053,662,1278,1225,1740,1949,2035,1237,571,11759,7337,5936,11681,12269,16287,18821,16316,8210,2822,99691,2447,291,776,724,888,1476,588,248,99,7540,1887,307,453,501,560,754,395,169,89,5103,713,679,1053,1112,1263,1929,1580,724,252,9307,279,506,996,1131,1402,2103,3682,2047,750,12896
RA23,28,4,6,5,5,19,10,4,0,80,8,0,0,3,4,6,9,4,0,35,0,9,7,12,14,38,18,14,3,117,0,3,7,8,24,33,64,36,11,186,5,3,10,4,16,33,59,24,13,168,3,3,6,6,8,29,27,10,3,95,0,6,14,16,27,18,26,10,3,113,0,4,7,20,20,28,21,4,3,109,0,4,15,10,23,32,15,9,4,104,0,0,9,21,16,7,8,0,0,64,0,0,11,7,15,12,0,0,0,49,0,0,0,0,9,3,7,3,0,28,0,0,0,5,10,16,3,0,0,33,0,0,0,3,6,6,0,0,0,20,12,11,11,13,25,26,29,24,11,148,57,50,106,136,212,306,295,147,50,1356,35,0,3,5,11,23,8,5,0,93,17,3,3,9,6,13,8,0,0,59,0,11,9,14,26,44,23,8,3,142,3,3,3,16,23,35,61,37,12,190
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,4,0,4,6,0,0,0,13,0,0,0,0,3,3,0,0,0,6,0,0,4,3,11,5,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,51,69,109,72,39,37,18,5,0,397,25,34,36,32,21,13,5,0,0,160,36,76,153,143,105,50,27,0,3,593,3,40,58,79,61,65,58,15,5,370,8,30,73,57,64,57,67,27,0,387,6,30,49,27,34,30,16,5,0,196,10,38,69,44,33,20,7,0,0,218,3,16,77,52,41,27,11,0,0,224,3,27,78,48,32,23,8,0,0,210,0,3,48,25,18,17,7,0,0,124,0,0,25,22,9,10,3,0,0,83,0,0,19,16,15,8,0,0,0,59,0,0,44,29,18,14,3,0,0,95,0,0,9,12,8,15,0,0,0,52,33,82,214,156,121,79,53,14,3,757,180,447,1052,813,628,460,283,72,9,3942,46,89,85,45,25,57,16,3,0,359,24,29,39,12,16,15,7,0,0,145,47,80,98,68,56,54,23,3,0,426,13,36,54,44,44,49,62,7,5,317
