RA_CODE_2016,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
RA20,55105,25627,27613,53238,24973,26282,51258,24168,26326,50489,23382,25234,48611,124890,133806,258703,23575,24898,48470,21871,23914,45786,20947,23289,44234,20649,22734,43384,20010,22036,42046,107056,116867,223926,19650,21769,41417,18771,21045,39811,18441,20313,38757,18260,20713,38969,19390,21411,40805,94509,105250,199757,16252,17803,34059,14815,16509,31317,14367,16215,30588,12622,14338,26962,12554,14290,26844,70602,79161,149762,11698,13428,25128,11348,13127,24473,10552,12469,23023,9941,12126,22067,9403,11498,20900,52937,62648,115588,37103,48642,85749,23341,35273,58607,9018,17655,26670,1787,4669,6452,156,624,780,2232314,2323878,4556193
RA21,16364,7700,8110,15806,7818,8287,16104,7591,8060,15649,7454,7858,15311,38452,40795,79240,7685,8046,15728,7432,7936,15366,7474,7817,15289,7506,7848,15361,7469,7548,15015,37566,39191,76760,7305,7707,15012,7322,7660,14977,6929,7136,14063,6950,6978,13930,7331,7550,14887,35839,37030,72867,6220,6120,12343,5688,5784,11477,5362,5654,11017,4856,4921,9779,4856,5012,9876,26980,27500,54485,4474,4487,8965,3940,4324,8264,3890,4028,7922,3328,3903,7232,3231,3452,6684,18864,20201,39068,12112,14862,26970,7158,10737,17902,2676,5256,7934,466,1407,1878,78,216,293,548523,567422,1115946
RA22,3794,1860,1871,3729,1908,1850,3756,1920,1905,3829,1918,1924,3840,9442,9510,18947,1794,1859,3656,1900,1863,3769,1810,1750,3560,1966,1881,3849,1908,1720,3627,9384,9076,18462,1890,1792,3683,1934,1789,3727,1804,1710,3515,1811,1720,3526,1967,1744,3712,9410,8750,18157,1575,1389,2960,1496,1414,2907,1279,1299,2578,1237,1221,2457,1327,1310,2631,6909,6626,13538,1151,1172,2326,1066,1071,2139,974,1082,2059,939,968,1907,845,948,1793,4975,5241,10217,3234,3789,7017,1914,2738,4651,724,1361,2085,162,347,508,22,55,79,121298,122533,243825
RA23,65,21,30,55,27,27,53,27,31,64,27,35,63,145,145,295,33,32,68,29,26,58,36,22,59,37,23,59,27,29,57,163,136,304,27,31,59,39,28,63,27,24,50,23,35,54,51,25,73,165,140,305,29,33,64,34,22,51,16,17,33,22,20,39,29,26,55,130,113,243,27,14,45,16,18,35,16,8,20,16,19,40,18,8,26,94,66,162,50,54,111,39,36,74,12,10,24,0,6,8,0,0,0,1586,1471,3059
RA25,0,0,0,0,0,0,0,3,0,3,0,0,0,5,0,5,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,4,29
RA29,86,46,36,81,64,39,101,38,32,73,43,37,84,237,188,425,47,56,105,43,24,61,45,31,76,45,20,63,52,34,87,219,169,390,37,25,65,40,31,68,32,31,68,36,34,66,34,24,50,170,141,311,24,25,51,22,10,35,26,14,40,17,8,23,19,8,31,112,62,174,15,8,15,7,4,16,7,11,15,15,8,24,8,7,9,48,32,78,32,16,45,5,24,26,3,3,8,0,3,3,0,0,0,4331,3238,7565
