RA_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
RA20,290506,181098,89896,39625,2283532
RA21,93453,66932,30629,11953,527404
RA22,20713,15283,7097,3004,109118
RA23,327,274,124,44,1390
RA25,10,0,0,0,25
RA29,526,263,61,19,4580
