RA_CODE_2016,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
RA20,5535,122130,11206,138864,8010,151096,13140,172246,20867,315735,29695,366290,28381,268032,22885,319298,36134,232357,20032,288526,33678,181930,16341,231945,20195,130338,14578,165117,10301,68192,11549,90041,3077,25530,5690,34296,166184,1495329,145120,1806629,6387,117887,10288,134561,10173,146796,11842,168809,31940,318423,27504,377870,45913,262037,20448,328400,59675,226647,18746,305066,55980,177899,16796,250678,30304,137246,16854,184411,12151,83731,15405,111296,2360,45345,10514,58219,254895,1516011,148393,1919303,11917,240018,21491,273424,18181,297889,24984,341054,52808,634155,57198,744159,74294,530068,43328,647695,95807,459009,38779,593592,89660,359824,33144,482623,50499,267586,31432,349520,22457,151925,26956,201334,5443,70874,16200,92512,421072,3011340,293513,3725933
RA21,1413,29658,4341,35409,1585,26585,2870,31052,4046,48344,5637,58022,6358,51130,5976,63462,9024,57820,6868,73715,10643,58233,7136,76020,6999,48454,7366,62816,3129,22476,5371,30974,837,7298,2253,10386,44037,349997,47824,441862,1721,27225,3942,32883,2217,24692,2364,29275,7041,49507,4602,61144,11007,51678,5011,67694,15709,56775,6068,78557,18133,55088,6766,79981,9960,46943,7631,64529,3447,25011,6608,35061,665,13116,3833,17618,69891,350026,46825,466745,3138,56880,8283,68294,3800,51285,5234,60323,11080,97845,10235,119172,17360,102806,10986,131149,24735,114593,12941,152272,28776,113327,13903,155999,16960,95397,14996,127348,6578,47483,11976,66036,1496,20414,6089,28004,113930,700025,94646,908600
RA22,355,5930,1056,7337,345,4946,649,5936,857,9551,1276,11681,1287,9767,1217,12269,2030,12530,1722,16287,2633,14291,1899,18821,1674,12434,2205,16316,773,5954,1484,8210,217,1929,681,2822,10173,77332,12188,99691,344,5494,961,6803,400,4531,566,5490,1478,9500,1158,12133,2056,9974,1193,13221,3343,12039,1492,16873,3977,12789,1825,18590,2176,11168,2031,15380,893,6295,1845,9025,182,3263,1063,4505,14843,75034,12139,102019,704,11420,2014,14141,744,9469,1210,11429,2331,19048,2437,23816,3339,19738,2409,25486,5377,24571,3214,33164,6610,27075,3725,37410,3854,23605,4238,31698,1664,12249,3325,17239,395,5193,1742,7324,25013,152367,24325,201709
RA23,0,40,8,57,0,35,9,50,13,90,11,106,17,113,9,136,26,166,25,212,43,239,32,306,32,236,28,295,10,112,21,147,4,35,15,50,140,1074,146,1356,3,54,5,67,0,39,0,40,16,66,10,88,18,115,17,148,43,137,15,201,54,217,16,283,44,189,14,255,16,85,23,128,0,44,6,59,199,945,113,1260,4,97,15,121,3,76,11,90,24,156,20,199,36,224,27,286,62,299,41,404,96,455,49,597,75,428,41,545,29,196,42,274,9,76,22,109,340,2017,260,2617
RA25,0,0,0,0,0,0,0,0,0,4,0,4,0,3,0,3,5,5,0,11,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,18,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,3,0,3,5,5,0,11,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,21,3,25
RA29,8,124,42,180,20,301,122,447,48,695,306,1052,47,419,352,813,43,335,251,628,43,279,141,460,30,192,62,283,3,49,23,72,0,9,0,9,243,2405,1296,3942,7,131,41,178,22,323,107,453,57,538,201,795,54,272,152,479,40,216,93,347,52,227,78,352,26,141,36,204,4,29,9,49,0,19,11,28,265,1887,725,2883,18,254,84,357,41,627,229,898,101,1239,505,1848,101,691,500,1295,87,547,337,975,92,503,215,816,58,332,95,482,7,81,36,121,0,22,11,38,505,4294,2019,6825
