RA_CODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
RA20,2325,8000,19659,16513,16155,10476,2824,336,36,76323,3506,10348,26107,22707,22378,14029,4332,899,284,104595,90001,207126,548407,489205,444838,287315,68830,7310,1185,2144221
RA21,961,2091,3674,3501,3975,3107,867,103,15,18295,1310,1800,3088,3693,4594,3628,1430,461,117,20125,28729,41063,86217,97360,113594,91436,23828,3563,715,486498
RA22,182,399,701,620,759,627,209,29,4,3527,283,358,647,708,916,945,377,146,37,4417,5773,7664,16606,18399,23801,21871,6538,1308,219,102180
RA23,0,0,0,8,6,4,4,0,0,22,0,3,0,7,6,17,3,3,0,43,27,52,124,202,276,331,131,25,5,1179
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,8,3,0,0,0,23
RA29,0,6,30,16,16,6,3,0,0,89,4,16,46,24,38,12,0,0,0,148,64,289,726,386,300,215,42,7,0,2033
