RA_CODE_2016,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
RA20,42275,104991,289258,262947,229995,153857,41321,5023,749,1130425,104,348,876,947,1086,682,259,65,10,4374,4,31,276,396,247,127,19,3,0,1103,2126,3018,9872,11860,12662,7461,1285,100,7,48393,40,397,2335,2031,1298,555,67,3,0,6736,254,1437,5469,5680,5336,2742,611,50,13,21586,471,2072,6857,7305,6850,3556,669,51,9,27839,15070,23738,27253,19852,20525,12574,2540,192,14,121757,17732,16274,16195,8566,7702,4329,759,75,11,71643,274,1778,6168,6327,6440,3606,548,34,6,25183,681,1696,5559,4612,3180,1491,261,14,5,17501,220,2828,15042,13453,9482,4313,777,53,22,46194,364,1968,5523,4085,3470,1952,596,78,22,18056,634,6645,27488,22242,16147,8438,2275,184,24,84081,440,3256,10463,8651,8654,5445,1263,119,11,38303,307,2273,12429,14421,13853,8523,1575,124,17,53534,2423,8108,30127,29867,31808,22351,3980,255,45,128956,1865,14926,52498,45695,46943,34298,6953,404,53,203636,2041,3361,5197,3943,3182,1734,542,55,17,20074,1158,4081,9767,7701,7394,4188,998,80,8,35382
RA21,14127,21643,45445,50164,56826,48285,14481,2467,461,253894,251,489,1184,1571,2032,2172,1516,427,54,9705,5,29,96,111,116,63,11,0,0,425,932,989,1831,2225,2671,1871,326,19,3,10869,18,67,330,397,393,196,23,0,0,1432,100,272,954,1289,1355,828,153,16,0,4978,118,261,556,647,836,506,105,7,0,3045,4633,3727,4728,4826,6132,4377,820,63,13,29327,5281,3329,2901,2693,3005,2085,470,35,17,19816,74,219,625,863,1230,933,238,22,10,4212,139,237,477,484,469,317,86,5,0,2210,56,390,1303,1463,1442,724,119,16,3,5516,88,309,645,669,719,450,136,11,4,3024,218,745,2191,2672,2653,1705,462,36,7,10695,131,431,1176,1627,2067,1576,396,39,14,7460,120,684,2695,3726,4226,2896,486,30,11,14872,455,1472,5379,7049,8437,6434,964,47,17,30254,665,3709,10292,11183,14789,12890,1976,94,32,55638,388,482,654,767,800,559,188,14,3,3855,399,1019,1767,1599,1700,1197,297,23,6,8007
RA22,2865,4152,8925,9368,11889,11664,3974,915,148,53900,110,193,528,757,1037,1174,766,216,17,4804,0,3,13,16,18,11,3,0,0,69,139,118,265,308,429,331,70,8,0,1688,0,14,46,59,75,41,0,0,0,231,7,30,119,184,222,156,28,10,0,747,31,54,106,119,169,111,18,0,0,617,1042,587,834,983,1383,1033,172,8,3,6051,935,558,699,695,810,668,168,15,3,4553,12,61,104,159,274,233,60,3,3,909,27,36,57,66,72,50,12,0,3,323,11,83,182,185,214,151,24,3,0,852,19,48,103,120,106,94,30,4,0,521,27,127,385,405,402,307,99,3,0,1752,36,104,283,340,466,398,69,14,0,1705,23,102,416,587,771,521,123,6,0,2547,85,308,1049,1328,1687,1339,215,14,7,6034,165,754,1881,2026,3023,2945,450,16,7,11271,62,58,96,128,98,77,25,3,0,547,61,159,294,281,325,212,81,3,4,1415
RA23,7,25,75,102,145,173,84,22,3,637,4,3,8,12,14,37,11,4,0,89,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,3,0,3,0,0,0,8,5,0,5,11,13,14,0,0,0,47,5,3,8,3,24,12,7,0,0,62,0,0,0,0,7,3,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,9,0,0,0,3,0,0,3,0,0,6,0,0,0,0,3,5,0,0,0,17,0,0,0,0,5,7,3,0,0,12,0,0,3,3,4,12,0,0,0,24,3,9,11,19,24,19,4,0,0,98,3,5,6,21,23,40,7,0,0,110,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,12
RA25,0,0,4,3,8,3,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,42,145,420,264,195,140,24,3,0,1242,0,6,3,0,0,0,0,0,0,18,0,0,4,0,0,0,0,0,0,6,0,3,10,7,8,0,0,0,0,24,0,0,0,0,0,0,0,0,0,4,0,0,8,3,0,3,0,0,0,20,0,0,4,3,3,3,0,0,0,12,8,11,15,14,6,4,0,0,0,62,11,50,46,8,11,4,0,0,0,130,0,9,3,6,3,0,0,0,0,23,0,0,3,0,4,0,0,0,0,9,0,0,11,3,3,0,0,0,0,22,0,0,5,0,4,0,0,0,0,13,0,4,30,13,0,9,0,0,0,59,0,6,16,4,0,6,3,0,0,37,3,3,10,9,6,4,0,0,0,36,0,10,26,19,10,13,0,0,0,70,0,12,49,22,29,18,3,0,0,139,0,0,17,4,0,4,3,0,0,28,0,3,19,5,7,5,0,0,0,38
