RA_CODE_2016,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot
RA20,196,754,4176,17759,9125,7616,2686,1244,533,44094,5,57,84,408,329,321,277,180,95,1750,5,110,295,1099,293,210,88,22,8,2120,1008,4418,8332,32406,13264,10729,8669,5925,2997,87757,7337,11725,16458,43909,18401,16319,13759,9930,6446,144290,142125,262452,303367,706264,305066,250678,184411,111296,58219,2323878,148,1168,4148,8082,1904,840,343,96,31,16768,261142,440500,411599,734665,337968,256996,163974,83875,44232,2734952,112,466,807,4875,728,353,103,14,6,7459,6,46,513,2936,1802,1595,790,535,83,8302,60,282,1244,5291,2731,2136,1027,366,139,13279,156,513,748,3618,1250,778,351,121,73,7607,42,103,180,2336,1525,1252,1254,361,81,7139,1275,5968,39845,63596,19875,14805,6525,3958,1451,157289,11,42,220,1671,2376,2976,3451,2932,593,14283,114,890,683,2526,1548,2401,2508,1443,612,12728,1050,6523,6984,29182,25509,23053,22785,13357,5729,134172,24,281,750,4256,2162,1511,753,334,83,10143,62,324,646,2932,941,555,576,275,124,6437,88,377,1020,3689,2284,2228,6100,3272,1550,20598
RA21,0,22,40,242,54,35,5,8,3,399,0,10,12,42,85,83,105,60,14,409,0,13,27,89,54,34,21,8,3,254,55,306,380,1481,741,747,728,495,254,5190,1827,3843,4144,9936,6842,7217,6475,4127,2262,46664,31850,68830,62160,128832,78557,79981,64529,35061,17618,567422,5,84,273,401,112,36,14,3,0,921,61100,128688,113374,203944,121518,121619,91171,45874,19819,907101,3,43,13,187,36,8,8,0,0,291,0,0,3,41,23,34,26,33,4,161,5,23,32,106,25,15,7,0,0,207,24,69,53,407,214,188,112,38,17,1132,0,0,3,67,52,44,40,15,3,234,31,140,689,1155,410,223,134,56,7,2839,0,3,0,46,173,206,303,258,55,1046,0,50,18,102,37,82,118,41,18,476,94,805,766,3338,5424,6812,8226,4494,1561,31518,3,34,50,212,101,89,28,18,4,538,5,26,42,165,91,86,89,45,8,555,6,47,91,380,437,746,1845,806,370,4733
RA22,4,4,10,105,40,40,8,3,0,221,0,0,0,13,15,15,16,3,5,70,0,3,3,22,14,9,3,0,0,52,6,55,61,275,154,139,144,85,43,977,463,902,1043,2355,1739,1999,1764,1189,645,12103,6428,14088,12290,25351,16873,18590,15380,9025,4505,122533,0,43,79,162,84,44,10,0,0,424,12019,26130,22147,38974,26595,29479,23335,12464,5428,196564,0,8,3,32,13,6,0,0,0,67,0,0,0,8,3,3,4,0,0,21,0,8,12,38,19,12,0,3,0,94,3,19,11,69,27,32,14,9,3,189,0,0,0,15,4,6,13,0,0,38,3,18,60,185,57,35,23,7,0,383,0,0,0,6,12,28,48,43,10,151,0,5,0,20,0,10,11,13,0,68,7,79,105,433,779,1201,1636,860,294,5394,4,3,13,44,22,27,11,7,0,128,0,9,19,37,17,9,15,5,3,128,0,3,11,80,47,137,396,193,46,913
RA23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,12,4,14,4,27,15,19,28,7,4,122,57,155,106,234,201,283,255,128,59,1471,0,0,0,0,0,0,0,0,0,0,109,294,191,391,329,477,395,207,89,2482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,25,37,18,4,96,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,8,6,0,26
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,15,19,3,7,0,0,0,47,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,10,48,76,14,11,11,3,3,178,23,26,82,201,49,57,30,9,5,476,163,197,631,1271,347,352,204,49,28,3238,0,0,3,8,0,0,0,0,0,6,295,255,654,1734,591,504,271,66,26,4389,0,0,3,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,8,0,0,7,16,3,0,4,0,0,31,0,0,0,11,3,0,0,0,0,16,0,4,71,51,3,11,0,0,0,140,0,0,0,0,4,0,4,0,0,3,0,0,0,7,3,0,0,0,0,16,3,0,35,83,39,39,46,17,0,259,0,0,0,0,3,0,0,0,0,7,0,0,6,16,0,0,0,0,0,20,0,0,7,5,3,3,7,3,0,33
