RA_CODE_2016,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
RA20,60523,115918,276660,239871,225902,139825,28117,2384,467,1089659,68188,43388,78098,71804,64056,97646,144588,99202,50242,717217,5851,9501,23115,16722,15105,13211,11704,9707,7512,112427,134561,168809,377870,328400,305066,250678,184411,111296,58219,1919303,12266,91650,384447,331639,303468,177433,28086,1859,375,1331227,72261,104721,133180,135149,124578,95824,36149,4586,549,706992,3003,5266,19818,14560,9642,9682,3108,390,78,65554,2469,5490,10958,7858,7157,4370,1481,474,186,40442,90001,207126,548407,489205,444838,287315,68830,7310,1185,2144221,4627,13019,23074,16176,14577,9330,681,66,24,81583,21241,17262,12614,9330,7464,5992,1347,155,31,75444,25870,30283,35686,25513,22044,15325,2022,222,51,157025,115876,237414,584093,514715,466883,302638,70855,7540,1237,2301244,145642,84240,113459,98349,95960,153899,256540,176631,80000,1204718,11906,19399,46607,34632,30756,26091,22127,17172,11276,219974,273424,341054,744159,647695,593592,482623,349520,201334,92512,3725933
RA21,17106,21418,43172,49636,59139,44911,9516,1116,259,246276,13869,5931,14106,13934,14516,29673,49782,30056,14752,186621,1910,1923,3865,4123,4898,5404,5229,3892,2597,33842,32883,29275,61144,67694,78557,79981,64529,35061,17618,466745,6272,22746,55777,60069,72013,50794,9321,1198,262,278446,20348,15715,24334,32107,35815,34088,12207,1829,305,176736,1048,1417,4487,3530,3934,4992,1619,238,51,21308,1057,1188,1618,1657,1842,1556,680,300,93,10002,28729,41063,86217,97360,113594,91436,23828,3563,715,486498,1752,3059,3509,2989,3190,2632,128,23,6,17282,3491,1715,1738,1741,1588,1701,371,30,8,12387,5238,4776,5249,4728,4780,4335,500,51,19,29675,33964,45841,91460,102088,118377,95769,24323,3609,734,516171,30422,10488,19982,20815,23897,49367,92729,55377,23297,326379,3910,3991,7719,8250,10000,10861,10291,7053,3980,66056,68294,60323,119172,131149,152272,155999,127348,66036,28004,908600
RA22,3311,3872,8137,9467,12390,10615,2578,402,74,50845,3016,1158,3034,2777,3202,6483,11389,7504,3699,42259,467,463,966,971,1279,1495,1411,1123,728,8908,6803,5490,12133,13221,16873,18590,15380,9025,4505,102019,1337,4732,10648,11211,15015,12560,2893,561,76,59038,3984,2450,4748,6164,7486,7618,2965,546,88,36035,237,258,848,607,849,1227,465,89,17,4603,217,229,370,407,447,471,208,123,33,2505,5773,7664,16606,18399,23801,21871,6538,1308,219,102180,353,604,738,648,753,640,31,3,7,3785,530,261,351,322,344,395,60,7,0,2265,886,863,1087,967,1093,1042,89,10,9,6044,6657,8530,17698,19370,24897,22909,6626,1323,226,108228,6552,1889,4080,4154,5581,11495,22061,13877,5935,75625,933,1003,2044,1966,2686,3009,3009,2040,1166,17854,14141,11429,23816,25486,33164,37410,31698,17239,7324,201709
RA23,23,26,57,104,139,173,45,6,0,580,40,13,22,32,40,94,191,103,52,588,3,0,10,16,18,14,18,12,6,89,67,40,88,148,201,283,255,128,59,1260,8,30,84,113,151,183,57,10,6,631,20,19,34,81,109,124,61,14,3,469,3,0,7,6,9,17,3,4,0,50,0,0,0,3,4,5,4,3,0,28,27,52,124,202,276,331,131,25,5,1179,6,6,4,11,17,21,0,0,0,72,5,3,5,0,5,17,0,0,0,37,7,11,13,10,23,37,0,0,0,107,34,60,136,209,302,370,130,25,5,1286,80,17,45,49,68,187,375,212,92,1124,4,12,14,23,37,39,34,29,10,206,121,90,199,286,404,597,545,274,109,2617
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,3,8,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,3,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,3,0,0,0,23,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,4,3,11,5,0,0,0,25
RA29,52,191,377,169,132,102,19,0,0,1038,90,157,230,172,129,178,157,40,23,1175,38,102,182,144,89,73,32,7,5,669,178,453,795,479,347,352,204,49,28,2883,27,136,482,250,171,109,19,0,0,1194,32,136,187,94,91,86,17,3,0,641,3,5,35,21,22,20,3,3,0,111,6,12,22,20,16,3,0,0,0,84,64,289,726,386,300,215,42,7,0,2033,21,52,148,83,72,30,5,0,0,410,29,59,54,29,13,20,3,0,0,204,47,111,202,111,90,48,10,0,0,613,117,397,921,499,388,268,51,7,0,2647,165,284,449,311,262,338,355,95,28,2291,74,215,474,477,328,210,80,16,5,1886,357,898,1848,1295,975,816,482,121,38,6825
