RA_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
RA20,141391,562688,586538,174043,89056,1553723,51344,1605066
RA21,19854,130199,155948,56181,33881,396059,17145,413207
RA22,4762,29361,33327,12736,8227,88416,4713,93133
RA23,55,426,475,162,124,1254,53,1307
RA25,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,0,0,0
