RA_CODE_2016,Age_yr_0_M,Age_yr_0_F,Age_yr_0_P,Age_yr_1_M,Age_yr_1_F,Age_yr_1_P,Age_yr_2_M,Age_yr_2_F,Age_yr_2_P,Age_yr_3_M,Age_yr_3_F,Age_yr_3_P,Age_yr_4_M,Age_yr_4_F,Age_yr_4_P,Age_yr_0_4_M,Age_yr_0_4_F,Age_yr_0_4_P,Age_yr_5_M,Age_yr_5_F,Age_yr_5_P,Age_yr_6_M,Age_yr_6_F,Age_yr_6_P,Age_yr_7_M,Age_yr_7_F,Age_yr_7_P,Age_yr_8_M,Age_yr_8_F,Age_yr_8_P,Age_yr_9_M,Age_yr_9_F,Age_yr_9_P,Age_yr_5_9_M,Age_yr_5_9_F,Age_yr_5_9_P,Age_yr_10_M,Age_yr_10_F,Age_yr_10_P,Age_yr_11_M,Age_yr_11_F,Age_yr_11_P,Age_yr_12_M,Age_yr_12_F,Age_yr_12_P,Age_yr_13_M,Age_yr_13_F,Age_yr_13_P,Age_yr_14_M,Age_yr_14_F,Age_yr_14_P,Age_yr_10_14_M,Age_yr_10_14_F,Age_yr_10_14_P,Age_yr_15_M,Age_yr_15_F,Age_yr_15_P,Age_yr_16_M,Age_yr_16_F,Age_yr_16_P,Age_yr_17_M,Age_yr_17_F,Age_yr_17_P,Age_yr_18_M,Age_yr_18_F,Age_yr_18_P,Age_yr_19_M,Age_yr_19_F,Age_yr_19_P,Age_yr_15_19_M,Age_yr_15_19_F,Age_yr_15_19_P,Age_yr_20_M,Age_yr_20_F,Age_yr_20_P,Age_yr_21_M,Age_yr_21_F,Age_yr_21_P,Age_yr_22_M,Age_yr_22_F,Age_yr_22_P,Age_yr_23_M,Age_yr_23_F,Age_yr_23_P,Age_yr_24_M,Age_yr_24_F,Age_yr_24_P,Age_yr_20_24_M,Age_yr_20_24_F,Age_yr_20_24_P,Age_yr_25_M,Age_yr_25_F,Age_yr_25_P,Age_yr_26_M,Age_yr_26_F,Age_yr_26_P,Age_yr_27_M,Age_yr_27_F,Age_yr_27_P,Age_yr_28_M,Age_yr_28_F,Age_yr_28_P,Age_yr_29_M,Age_yr_29_F,Age_yr_29_P,Age_yr_25_29_M,Age_yr_25_29_F,Age_yr_25_29_P,Age_yr_30_M,Age_yr_30_F,Age_yr_30_P,Age_yr_31_M,Age_yr_31_F,Age_yr_31_P,Age_yr_32_M,Age_yr_32_F,Age_yr_32_P,Age_yr_33_M,Age_yr_33_F,Age_yr_33_P,Age_yr_34_M,Age_yr_34_F,Age_yr_34_P,Age_yr_30_34_M,Age_yr_30_34_F,Age_yr_30_34_P,Age_yr_35_M,Age_yr_35_F,Age_yr_35_P,Age_yr_36_M,Age_yr_36_F,Age_yr_36_P,Age_yr_37_M,Age_yr_37_F,Age_yr_37_P,Age_yr_38_M,Age_yr_38_F,Age_yr_38_P,Age_yr_39_M,Age_yr_39_F,Age_yr_39_P,Age_yr_35_39_M,Age_yr_35_39_F,Age_yr_35_39_P,Age_yr_40_M,Age_yr_40_F,Age_yr_40_P,Age_yr_41_M,Age_yr_41_F,Age_yr_41_P,Age_yr_42_M,Age_yr_42_F,Age_yr_42_P,Age_yr_43_M,Age_yr_43_F,Age_yr_43_P,Age_yr_44_M,Age_yr_44_F,Age_yr_44_P,Age_yr_40_44_M,Age_yr_40_44_F,Age_yr_40_44_P,Age_yr_45_M,Age_yr_45_F,Age_yr_45_P,Age_yr_46_M,Age_yr_46_F,Age_yr_46_P,Age_yr_47_M,Age_yr_47_F,Age_yr_47_P,Age_yr_48_M,Age_yr_48_F,Age_yr_48_P,Age_yr_49_M,Age_yr_49_F,Age_yr_49_P,Age_yr_45_49_M,Age_yr_45_49_F,Age_yr_45_49_P,Age_yr_50_M,Age_yr_50_F,Age_yr_50_P,Age_yr_51_M,Age_yr_51_F,Age_yr_51_P,Age_yr_52_M,Age_yr_52_F,Age_yr_52_P,Age_yr_53_M,Age_yr_53_F,Age_yr_53_P,Age_yr_54_M,Age_yr_54_F,Age_yr_54_P,Age_yr_50_54_M,Age_yr_50_54_F,Age_yr_50_54_P,Age_yr_55_M,Age_yr_55_F
RA20,28742,27343,56086,30566,28801,59361,30056,28583,58634,30367,29086,59454,30025,28322,58348,149754,142125,291879,29237,27587,56823,29215,28209,57425,28664,27284,55954,28661,27266,55924,28407,27050,55458,144183,137401,281585,27460,26233,53694,26566,25147,51713,26479,24859,51340,25946,24574,50524,25302,24240,49542,131743,125051,256799,25965,24538,50505,26265,25785,52049,26660,25931,52589,28679,27661,56338,31297,30650,61948,138864,134561,273424,32773,32291,65073,34215,33106,67317,34674,33410,68078,35042,34770,69815,35539,35229,70767,172246,168809,341054,36102,36466,72572,36778,37685,74463,35911,37828,73733,36894,38272,75169,36494,37411,73903,182182,187659,369843,36925,38845,75771,36907,38593,75498,36977,38067,75045,37044,38013,75053,36253,36699,72948,184111,190209,374316,35353,35544,70900,33857,34321,68182,32457,33038,65494,31428,31845,63267,31004,31171,62170,164088,165919,330015,30849,31521,62370,30514,31629,62144,31130,32588,63721,30910,32700,63612,31804,34034,65833,155205,162473,317682,32177,35224,67405,30794,32627,63417,29978,32031,62010,29570,31019,60581,27914,29412,57321,150424,160310,310737,27976,29226,57203,27159,28698,55863,27846,29396,57248,27900,29088,56990,27216,28344,55556,138098,144755,282852,26752,28350
RA21,6305,5875,12184,6531,6145,12674,6719,6468,13189,7212,6632,13847,7099,6734,13838,33871,31850,65723,7183,6689,13870,7364,6972,14336,7399,7065,14465,7434,6983,14421,7805,7235,15034,37181,34940,72124,7425,7084,14506,6940,6666,13604,7144,6763,13906,7016,6664,13681,7085,6717,13800,35612,33885,69494,7117,6724,13839,7163,6905,14069,7508,6911,14412,7120,6366,13487,6502,5982,12485,35409,32883,68294,6357,5873,12234,6429,5948,12374,6083,5914,11999,6095,5792,11884,6082,5737,11828,31052,29275,60323,5906,5920,11824,5851,5993,11848,5754,5768,11527,5710,5943,11656,5668,6028,11697,28896,29656,58550,5904,6181,12082,5883,6274,12164,5730,6333,12069,5896,6254,12152,5711,6444,12152,29131,31485,60621,5989,6495,12485,5744,6151,11898,5863,6189,12049,6128,6345,12475,5928,6562,12491,29654,31737,61394,6218,6577,12798,6424,6919,13344,6748,7173,13926,6975,7383,14357,7434,7897,15336,33807,35950,69757,7547,8228,15781,7178,7575,14752,7460,7884,15339,7117,7527,14647,6879,7391,14267,36182,38604,74782,7061,7660,14726,7231,7488,14722,7522,8073,15600,7820,8300,16115,7897,8427,16326,37535,39951,77484,7888,8478
RA22,1294,1256,2550,1305,1281,2588,1323,1237,2566,1348,1250,2599,1411,1407,2818,6688,6428,13121,1379,1321,2696,1539,1411,2949,1501,1399,2901,1538,1414,2953,1576,1491,3071,7529,7036,14564,1544,1429,2976,1425,1305,2736,1470,1430,2903,1458,1399,2857,1485,1481,2965,7389,7047,14438,1627,1469,3093,1485,1475,2960,1591,1503,3093,1419,1303,2721,1221,1055,2278,7337,6803,14141,1176,994,2168,1200,1050,2249,1199,1109,2303,1162,1162,2326,1206,1182,2387,5936,5490,11429,1216,1198,2417,1217,1200,2412,1195,1159,2352,1177,1179,2362,1088,1162,2250,5892,5903,11795,1132,1242,2375,1184,1286,2470,1140,1281,2420,1205,1229,2434,1130,1194,2324,5791,6233,12024,1122,1234,2360,1077,1247,2327,1077,1183,2262,1233,1218,2451,1165,1223,2388,5673,6114,11787,1250,1339,2587,1264,1310,2577,1300,1415,2721,1329,1501,2834,1453,1535,2984,6596,7110,13704,1565,1688,3248,1462,1631,3085,1614,1639,3258,1511,1558,3073,1580,1566,3152,7732,8083,15822,1596,1711,3307,1592,1654,3241,1714,1742,3457,1765,1799,3564,1890,1875,3765,8554,8787,17337,1832,1959
RA23,14,6,21,18,10,26,10,13,23,13,13,27,17,10,26,62,57,118,12,19,28,14,11,28,19,22,42,16,18,29,17,13,35,82,82,162,16,13,24,14,12,28,15,13,30,19,18,39,17,18,35,81,81,155,10,12,25,10,25,31,12,17,31,11,9,24,5,4,9,57,67,121,10,10,17,8,3,7,7,3,15,13,12,22,15,16,30,50,40,90,10,8,15,12,3,15,7,4,11,15,10,19,11,7,19,46,37,82,10,10,20,11,5,13,14,11,23,9,15,22,14,12,32,60,54,111,9,15,22,11,23,30,7,17,25,13,11,26,19,16,32,58,77,135,17,18,33,17,8,26,10,15,30,14,13,24,21,11,32,80,66,143,16,16,33,16,18,36,18,16,29,18,25,39,18,24,39,78,93,173,24,17,38,29,20,47,33,25,55,18,22,42,24,31,54,132,103,233,41,27
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,4,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0
RA29,55,36,94,38,43,80,32,26,62,51,35,86,35,22,60,215,163,379,21,27,43,22,20,42,20,17,30,20,23,44,14,18,32,88,105,195,26,29,49,25,17,41,5,10,18,14,10,25,23,22,41,88,88,176,16,18,34,18,15,36,29,28,54,55,50,103,58,65,125,180,178,357,81,60,140,77,88,168,100,91,193,97,97,196,98,112,210,447,453,898,137,117,253,128,93,218,88,74,164,87,75,160,102,95,194,542,450,994,128,85,216,94,64,159,95,63,162,93,56,147,101,73,173,513,345,856,120,78,198,84,55,140,85,50,131,79,36,118,74,34,104,441,253,693,93,33,129,56,53,108,89,34,120,68,42,111,77,57,128,372,229,601,93,47,138,60,32,99,75,31,109,69,21,96,50,32,83,349,170,524,65,29,93,54,34,90,56,42,93,53,42,96,51,32,86,277,177,451,47,36
