RA_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
RA20,406901,811296,7855,44885,53890,251191,10576,48357,309542,1190034,381866,1534464,33801,142984,53099,186505,99754,321888,186646,651374,568520,2185834,2217,10672,12627,45050,4764,17074,58745,156815,78356,229615,9607,30953,21996,50433,69559,152301,101159,233685,179520,463302,23557,50008,1178492,3510443
RA21,122671,242455,2082,11565,12316,57455,3058,13843,63627,252952,81088,335811,5772,23813,9775,31998,21498,66966,37045,122776,118135,458589,640,2883,3451,12350,1555,5473,18567,50430,24211,71140,1853,5809,4667,10115,15176,31910,21697,47840,45905,118978,3457,7154,290170,827171
RA22,29695,58527,419,2303,2593,12044,599,2687,12220,48945,15837,65983,1006,4009,1981,6273,4261,13067,7247,23347,23082,89334,118,550,704,2522,279,978,3778,10352,4889,14408,276,851,865,1857,3047,6404,4191,9111,9079,23513,775,1625,62630,172998
RA23,454,880,0,3,28,117,7,18,137,561,173,704,3,11,32,92,32,96,60,193,231,895,0,0,12,47,4,4,27,78,47,132,3,12,6,17,39,77,46,101,95,234,7,18,789,2025
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
