RA_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
RA20,1630,2575,8195,10185,14779,25501,48124,47782,25586,184366,366,1556,4996,5567,7135,8141,8145,9332,3966,49218,13217,21776,52286,39923,36838,33503,32232,27801,18654,276231,117856,339757,743246,646889,592834,482033,349083,201104,92399,3565181
RA21,603,806,1892,2135,3363,6832,14978,14183,8712,53501,70,162,531,580,722,599,596,528,239,4030,4367,4657,9804,10708,13055,14521,14853,11567,6314,89854,28154,60148,119061,131090,152208,155945,127296,66000,27981,867884
RA22,143,187,481,541,996,1949,4254,4183,2465,15196,23,45,118,159,214,174,175,197,71,1178,1033,1132,2346,2308,3365,3912,4210,3083,1802,23187,5615,11379,23795,25472,33149,37398,31679,17222,7321,193035
RA23,0,0,0,3,5,18,61,59,51,195,0,0,0,0,0,0,0,4,0,5,9,14,19,31,44,48,51,41,21,262,34,90,199,286,409,597,542,274,109,2524
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,11,5,0,0,0,25
RA29,17,20,42,33,28,30,38,13,11,228,8,3,13,5,16,11,9,3,3,83,79,221,493,492,336,219,111,39,9,2000,278,897,1841,1288,975,816,482,121,38,6740
