RA_CODE_2016,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
RA20,1515,3903,9757,8609,8586,5086,1523,356,126,39465,47721,102136,259147,226256,214839,133458,27505,2295,432,1013798,285,961,2438,2476,2611,1849,761,232,33,11649,13,131,1082,1300,1136,700,148,17,7,4527,3798,9627,33171,41100,42930,27684,5286,486,62,164155,145,1131,6405,6009,4846,2745,457,27,7,21775,5530,18961,49280,40215,34765,20185,4220,387,69,173614,1195,4902,16977,19296,18707,11118,2417,263,32,74915,25096,40816,51841,37965,35258,22469,5588,559,73,219660,30577,30676,35864,18367,14455,8635,1754,181,29,140539,988,6217,25400,25197,25962,17986,3931,255,36,105967,1245,3554,13550,13070,9381,4569,813,64,19,46261,417,5395,29766,28761,19887,9414,2144,244,74,96091,613,3341,10585,8331,7122,4501,1595,272,39,36406,1293,12901,59328,52525,36797,21665,7318,858,109,192801,1151,7005,20360,17125,16240,11054,3054,303,28,76330,848,5156,24620,27969,27601,17975,3749,402,42,108353,4049,12771,43957,42698,42898,32340,6858,526,65,186164,2392,18002,66385,59141,59217,44035,10247,799,106,260323,4527,7238,11630,8438,6484,3891,1335,202,28,43767
RA21,527,562,986,1340,1699,1381,567,181,46,7271,14598,19419,40773,47197,56773,43155,9348,1098,251,232609,923,1755,4169,5079,6382,6737,4642,1484,263,31424,18,189,913,960,1034,639,105,12,3,3882,1959,3675,7526,9071,10577,7686,1363,103,26,41989,77,334,1396,1642,2336,1722,233,18,4,7755,2205,5417,11052,9999,9893,6945,1385,119,37,47055,376,806,1868,2435,2862,2050,513,56,11,10978,7770,6395,8389,8247,9468,7347,1803,196,34,49660,9043,5366,4956,4268,4439,3406,935,87,28,32515,261,796,2572,3796,5425,5030,1493,119,28,19520,246,470,1024,1152,1209,888,206,19,0,5213,86,556,1957,2450,2440,1390,328,38,8,9247,132,465,1050,1196,1355,1010,381,49,12,5641,347,1311,4087,5014,5031,3928,1381,164,12,21284,303,848,2208,2931,3653,3021,815,94,19,13877,418,1626,5340,7227,8572,6322,1031,86,23,30629,721,2029,7322,9580,11018,9347,1653,101,24,41798,797,4279,12334,13669,17804,15980,2793,187,40,67883,772,871,1297,1449,1544,1259,461,64,12,7733
RA22,108,110,218,282,329,341,159,62,15,1632,2902,3517,7681,9029,11914,10205,2559,395,68,48279,399,913,2322,2777,3661,4055,2396,773,118,17410,3,33,152,179,180,139,23,5,0,707,328,513,1111,1267,1651,1240,245,41,6,6396,9,64,207,236,390,291,43,6,0,1239,351,761,1554,1338,1573,1347,251,37,6,7219,106,218,436,461,557,470,113,15,0,2378,1716,1050,1540,1591,2068,1729,365,35,3,10112,1591,913,1172,1074,1201,1119,328,34,9,7434,50,212,525,786,1207,1228,360,32,8,4408,46,81,122,126,144,137,40,3,3,696,16,107,267,275,328,229,42,8,0,1276,36,79,159,183,200,199,68,10,6,934,61,190,626,696,689,607,255,30,0,3162,78,196,478,571,758,720,159,23,0,2987,54,193,795,1101,1546,1202,244,20,0,5156,138,397,1390,1744,2163,1856,358,25,7,8065,208,883,2217,2431,3573,3529,602,38,9,13482,116,118,185,242,241,210,65,6,0,1176
RA23,0,0,0,4,0,3,0,0,0,12,16,24,56,103,135,160,46,6,0,544,7,14,43,56,65,103,55,18,3,371,0,0,0,0,0,0,0,0,0,9,5,6,9,8,15,9,0,0,0,44,0,0,0,4,3,4,0,0,0,12,0,0,4,5,13,25,3,0,0,56,0,0,0,8,0,3,0,0,0,5,6,3,4,17,16,20,9,0,0,75,4,4,5,3,32,22,9,0,0,93,0,0,4,7,14,8,10,0,0,39,0,0,0,0,0,3,0,0,0,7,0,0,3,3,0,0,0,0,0,11,0,0,0,3,0,4,4,0,0,8,0,0,0,0,6,9,3,0,0,21,0,0,3,3,4,12,3,0,0,26,0,3,9,9,19,13,5,0,0,62,0,9,20,27,42,32,7,0,0,133,3,5,6,23,30,48,9,0,0,123,0,0,3,8,0,4,0,0,0,18
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,14,14,10,9,4,0,0,0,50,25,142,304,121,102,80,16,0,0,786,3,13,23,5,10,7,3,0,0,62,0,0,10,5,0,0,0,0,0,17,3,13,39,44,26,7,4,0,0,131,0,0,7,3,3,5,0,0,0,20,4,20,73,51,25,22,4,0,0,199,0,3,16,17,7,10,0,0,0,42,12,21,32,30,23,16,0,0,0,133,21,80,84,25,20,14,5,0,0,245,0,15,45,29,24,18,3,0,0,134,0,4,12,3,6,0,0,0,0,29,0,0,16,11,10,4,0,3,0,45,0,0,11,5,7,0,0,0,0,29,0,8,76,26,11,10,3,0,0,131,0,11,32,11,10,17,4,0,0,89,10,28,33,23,17,19,0,0,0,118,3,10,40,25,14,21,0,0,0,115,0,22,62,39,34,28,0,0,0,189,5,9,31,9,15,7,3,0,0,65
