RA_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
RA20,2232314,2323878,4556193,149754,142125,291879,275930,262452,538383,138864,134561,273424,172246,168809,341054,366290,377870,744159,319298,328400,647695,288526,305066,593592,231945,250678,482623,165117,184411,349520,90041,111296,201334,34296,58219,92512,2143796,2238442,4382236,88520,85439,173960,11399,11562,22967,614,586,1193,284,324,607,12295,12470,24769,1345527,1389423,2734952,747375,790171,1537544,1393500,1438017,2831516,710217,757472,1467692,1775397,1852404,3627799,29345,28129,57472,252957,241367,494323,112328,113213,225535,81917,84879,166791,79513,112540,192056,1054656,1152766,2207427,195641,186951,382595,219606,205180,424782,92545,90378,182929,86974,111495,198467,20851,28518,49360,2066705,2152071,4218779,150479,159672,310148
RA21,548523,567422,1115946,33871,31850,65723,72790,68830,141619,35409,32883,68294,31052,29275,60323,58022,61144,119172,63462,67694,131149,73715,78557,152272,76020,79981,155999,62816,64529,127348,30974,35061,66036,10386,17618,28004,512883,534192,1047073,35646,33234,68877,7713,7930,15639,324,299,623,220,199,418,8258,8426,16684,446336,460767,907101,57444,59994,117438,479623,498587,978214,27347,29206,56552,484850,504322,989177,6330,6107,12438,65800,62344,128143,24994,24503,49497,7155,9111,16271,8798,18404,27206,157641,200703,358337,72995,72871,145865,93063,81265,174331,40867,35394,76264,29151,28431,57579,2156,1878,4036,489722,509807,999524,46918,46156,93071
RA22,121298,122533,243825,6688,6428,13121,14919,14088,29000,7337,6803,14141,5936,5490,11429,11681,12133,23816,12269,13221,25486,16287,16873,33164,18821,18590,37410,16316,15380,31698,8210,9025,17239,2822,4505,7324,112162,114298,226460,9134,8229,17366,2729,2975,5703,92,100,191,73,60,127,2891,3134,6024,97988,98582,196564,11089,11849,22944,104432,105695,210121,6425,6662,13087,106430,107599,214031,1281,1251,2529,13198,12591,25791,5000,4903,9906,804,1250,2053,1381,3198,4581,29027,37649,66679,16839,16841,33681,22268,18965,41232,10500,8629,19134,8557,7462,16023,632,554,1182,106367,107672,214038,17314,16670,33981
RA23,1586,1471,3059,62,57,118,168,155,322,57,67,121,50,40,90,106,88,199,136,148,286,212,201,404,306,283,597,295,255,545,147,128,274,50,59,109,1423,1356,2776,166,116,284,17,21,34,0,0,0,0,0,0,17,21,34,1290,1188,2482,153,161,313,1410,1332,2740,55,53,105,1422,1331,2747,15,16,27,147,140,290,45,54,100,9,9,12,6,30,35,402,522,923,242,198,447,309,236,549,137,84,225,108,97,205,7,0,4,1367,1296,2666,204,179,377
RA25,28,4,29,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,3,11,0,11,5,0,5,0,0,0,0,0,0,0,0,0,20,4,26,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,6,4,6,18,0,18,7,4,10,25,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,13,4,0,4,9,0,10,0,0,0,0,0,0,0,0,0,0,0,0,310,38,349
RA29,4331,3238,7565,215,163,379,173,197,367,180,178,357,447,453,898,1052,795,1848,813,479,1295,628,347,975,460,352,816,283,204,482,72,49,121,9,28,38,0,0,0,4331,3238,7565,146,102,247,13,7,16,3,6,11,160,117,279,2581,1804,4389,1057,952,2011,2372,1835,4201,698,692,1393,2454,1897,4355,22,15,37,113,145,259,68,85,158,102,136,242,131,161,299,1345,1347,2698,379,247,627,475,301,776,257,143,404,155,82,238,43,42,85,0,0,0,0,0,0
