RA_CODE_2016,M_AgriForestFish_0,M_AgriForestFish_1_15,M_AgriForestFish_16_24,M_AgriForestFish_25_34,M_AgriForestFish_35_39,M_AgriForestFish_40,M_AgriForestFish_41_48,M_AgriForestFish_49over,M_AgriForestFish_hours_NS,M_AgriForestFish_Tot,M_Min_0,M_Min_1_15,M_Min_16_24,M_Min_25_34,M_Min_35_39,M_Min_40,M_Min_41_48,M_Min_49over,M_Min_hours_NS,M_Min_Tot,M_Mnfg_0,M_Mnfg_1_15,M_Mnfg_16_24,M_Mnfg_25_34,M_Mnfg_35_39,M_Mnfg_40,M_Mnfg_41_48,M_Mnfg_49over,M_Mnfg_hours_NS,M_Mnfg_Tot,M_EGW_WS_0,M_EGW_WS_1_15,M_EGW_WS_16_24,M_EGW_WS_25_34,M_EGW_WS_35_39,M_EGW_WS_40,M_EGW_WS_41_48,M_EGW_WS_49over,M_EGW_WS_hours_NS,M_EGW_WS_Tot,M_Cnstn_0,M_Cnstn_1_15,M_Cnstn_16_24,M_Cnstn_25_34,M_Cnstn_35_39,M_Cnstn_40,M_Cnstn_41_48,M_Cnstn_49over,M_Cnstn_hours_NS,M_Cnstn_Tot,M_WTrade_0,M_WTrade_1_15,M_WTrade_16_24,M_WTrade_25_34,M_WTrade_35_39,M_WTrade_40,M_WTrade_41_48,M_WTrade_49over,M_WTrade_hours_NS,M_WTrade_Tot,M_RTrade_0,M_RTrade_1_15,M_RTrade_16_24,M_RTrade_25_34,M_RTrade_35_39,M_RTrade_40,M_RTrade_41_48,M_RTrade_49over,M_RTrade_hours_NS,M_RTrade_Tot,M_AccomFoodS_0,M_AccomFoodS_1_15,M_AccomFoodS_16_24,M_AccomFoodS_25_34,M_AccomFoodS_35_39,M_AccomFoodS_40,M_AccomFoodS_41_48,M_AccomFoodS_49over,M_AccomFoodS_hours_NS,M_AccomFoodS_Tot,M_TransPostWhse_0,M_TransPostWhse_1_15,M_TransPostWhse_16_24,M_TransPostWhse_25_34,M_TransPostWhse_35_39,M_TransPostWhse_40,M_TransPostWhse_41_48,M_TransPostWhse_49over,M_TransPostWhse_hours_NS,M_TransPostWhse_Tot,M_InfoMedTelecom_0,M_InfoMedTelecom_1_15,M_InfoMedTelecom_16_24,M_InfoMedTelecom_25_34,M_InfoMedTelecom_35_39,M_InfoMedTelecom_40,M_InfoMedTelecom_41_48,M_InfoMedTelecom_49over,M_InfoMedTelecom_hours_NS,M_InfoMedTelecom_Tot,M_FinInsurS_0,M_FinInsurS_1_15,M_FinInsurS_16_24,M_FinInsurS_25_34,M_FinInsurS_35_39,M_FinInsurS_40,M_FinInsurS_41_48,M_FinInsurS_49over,M_FinInsurS_hours_NS,M_FinInsurS_Tot,M_RentHirREserv_0,M_RentHirREserv_1_15,M_RentHirREserv_16_24,M_RentHirREserv_25_34,M_RentHirREserv_35_39,M_RentHirREserv_40,M_RentHirREserv_41_48,M_RentHirREserv_49over,M_RentHirREserv_hours_NS,M_RentHirREserv_Tot,M_ProScieTechServ_0,M_ProScieTechServ_1_15,M_ProScieTechServ_16_24,M_ProScieTechServ_25_34,M_ProScieTechServ_35_39,M_ProScieTechServ_40,M_ProScieTechServ_41_48,M_ProScieTechServ_49over,M_ProScieTechServ_hours_NS,M_ProScieTechServ_Tot,M_AdminSupServ_0,M_AdminSupServ_1_15,M_AdminSupServ_16_24,M_AdminSupServ_25_34,M_AdminSupServ_35_39,M_AdminSupServ_40,M_AdminSupServ_41_48,M_AdminSupServ_49over,M_AdminSupServ_hours_NS,M_AdminSupServ_Tot,M_PubAdmiSafety_0,M_PubAdmiSafety_1_15,M_PubAdmiSafety_16_24,M_PubAdmiSafety_25_34,M_PubAdmiSafety_35_39,M_PubAdmiSafety_40,M_PubAdmiSafety_41_48,M_PubAdmiSafety_49over,M_PubAdmiSafety_hours_NS,M_PubAdmiSafety_Tot,M_EducTrain_0,M_EducTrain_1_15,M_EducTrain_16_24,M_EducTrain_25_34,M_EducTrain_35_39,M_EducTrain_40,M_EducTrain_41_48,M_EducTrain_49over,M_EducTrain_hours_NS,M_EducTrain_Tot,M_HealthCareSocA_0,M_HealthCareSocA_1_15,M_HealthCareSocA_16_24,M_HealthCareSocA_25_34,M_HealthCareSocA_35_39,M_HealthCareSocA_40,M_HealthCareSocA_41_48,M_HealthCareSocA_49over,M_HealthCareSocA_hours_NS,M_HealthCareSocA_Tot,M_ArtRecServ_0,M_ArtRecServ_1_15,M_ArtRecServ_16_24,M_ArtRecServ_25_34,M_ArtRecServ_35_39,M_ArtRecServ_40,M_ArtRecServ_41_48,M_ArtRecServ_49over,M_ArtRecServ_hours_NS,M_ArtRecServ_Tot,M_OthServ_0,M_OthServ_1_15,M_OthServ_16_24,M_OthServ_25_34,M_OthServ_35_39,M_OthServ_40,M_OthServ_41_48,M_OthServ_49over,M_OthServ_hours_NS,M_OthServ_Tot,M_ID_NS_0,M_ID_NS_1_15,M_ID_NS_16_24,M_ID_NS_25_34,M_ID_NS_35_39,M_ID_NS_40,M_ID_NS_41_48,M_ID_NS_49over,M_ID_NS_hours_NS,M_ID_NS_Tot
RA20,207,613,577,626,1281,1590,681,1581,117,7279,208,89,64,65,328,711,444,1486,29,3427,2054,3349,3780,4784,32941,30587,17067,20167,1023,115763,311,331,369,493,4005,4414,2085,2895,141,15041,3352,4926,6321,9716,23376,48948,19559,33682,2154,152031,774,1813,1854,1993,10827,13322,6775,9397,323,47082,2104,16504,10312,8855,18746,16634,9207,14435,1107,97898,1423,17370,11550,6810,8720,7742,4804,9389,1074,68895,2264,3628,4921,6802,14995,18987,10794,17181,1226,80785,531,1453,1194,1400,6786,8577,3480,5100,241,28757,987,1079,1345,1846,9424,17537,6406,10905,368,49900,299,1010,874,1031,2836,4185,2377,5573,172,18353,1823,5517,4604,5699,17305,34332,13712,24985,728,108724,842,4532,5077,4397,7734,7239,3087,4606,520,38026,2015,2392,2107,2732,14748,15009,8114,7227,474,54825,1134,8810,4266,4428,11133,10888,5827,10190,527,57203,1569,4211,4787,7429,11906,11571,5938,8684,587,56686,601,4889,2235,2390,3547,4301,1943,3528,261,23697,693,2798,2836,2992,9004,9970,4819,7334,488,40938,1505,4344,3945,3890,12284,13882,4748,8793,11730,65133
RA21,761,1490,1221,1663,2021,3384,1869,8898,411,21720,244,86,71,68,340,441,578,1586,50,3455,949,1022,1024,1631,7510,7783,5430,5449,323,31113,323,153,171,260,1656,1604,962,1146,58,6326,1338,1488,1682,2775,6300,13027,5398,9442,631,42076,232,371,358,415,1542,1856,1269,1809,72,7929,613,3717,1668,1880,3827,3071,2158,3127,276,20337,403,4019,1320,1268,1428,1236,837,1963,235,12705,643,824,906,1133,2104,2813,1993,4618,275,15310,90,227,135,178,698,651,452,539,26,2995,102,140,126,192,727,1027,568,822,25,3728,87,170,130,135,354,533,342,848,26,2618,286,791,611,886,1624,2527,1311,2483,77,10591,216,1001,707,803,1121,1104,497,859,104,6426,839,581,509,757,3930,4320,2429,2241,150,15760,325,1238,879,1052,2249,2063,1402,2228,106,11547,529,964,1052,1898,2452,2485,1136,1612,124,12248,147,764,326,375,663,605,306,634,55,3876,272,690,495,691,2082,2603,1256,2073,127,10288,552,955,614,752,1999,2482,984,2012,2499,12849
RA22,409,634,535,850,1080,2189,1085,5574,250,12605,55,15,16,15,52,72,87,318,13,641,157,168,163,260,1142,1148,805,807,56,4710,39,39,39,35,249,305,128,165,16,1013,263,257,255,501,1052,1922,815,1303,105,6468,51,91,67,74,327,426,295,416,13,1759,122,751,292,350,851,643,423,567,59,4059,110,681,289,276,352,312,187,626,44,2876,161,227,224,232,435,587,386,1178,64,3499,19,38,20,10,118,56,48,61,7,378,16,21,17,24,78,119,45,99,3,419,16,29,15,21,66,80,55,126,3,413,35,107,80,128,215,309,175,341,22,1409,47,237,141,145,228,206,75,185,18,1275,186,99,96,132,724,715,349,273,36,2608,59,208,137,186,419,305,227,460,39,2035,101,199,203,291,426,479,202,268,29,2209,30,112,32,51,151,93,58,88,13,627,56,154,98,132,422,575,229,413,28,2113,153,203,156,168,387,528,158,427,602,2787
RA23,10,18,14,22,15,48,24,137,6,281,0,0,0,0,0,0,0,7,0,9,3,7,0,0,5,7,3,3,0,24,0,0,0,0,3,3,0,0,0,12,3,3,5,9,7,9,5,4,0,56,0,0,0,0,0,0,0,0,0,3,0,0,3,3,3,3,0,12,0,27,0,3,11,0,3,4,0,10,0,32,0,3,4,0,3,11,3,6,0,30,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,6,3,3,0,0,0,0,0,14,0,3,0,3,13,11,6,4,0,35,0,0,3,10,3,5,8,11,0,39,0,3,3,0,0,3,0,0,0,13,0,0,0,0,10,3,0,0,0,17,0,3,0,0,0,3,0,4,0,11,0,0,0,3,0,3,0,3,5,24
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
RA29,3,0,3,9,8,10,3,7,0,45,3,0,0,0,0,0,0,7,0,7,8,3,5,8,23,26,7,14,8,107,0,3,4,0,3,7,0,4,0,17,5,12,10,13,22,58,20,41,3,182,0,0,3,3,11,8,3,0,0,35,3,5,6,11,15,18,3,10,0,70,3,15,17,14,22,19,12,13,3,116,7,4,0,6,18,25,16,25,4,111,0,0,0,0,4,0,3,0,0,20,0,3,0,0,3,8,0,10,0,26,0,0,0,0,3,4,0,6,0,13,3,3,3,3,10,21,7,15,3,71,3,7,10,4,7,4,5,6,0,52,3,3,3,3,15,20,17,20,0,78,4,7,9,6,3,5,3,6,0,44,4,5,10,11,6,8,3,6,0,51,0,10,4,4,3,12,3,12,0,41,0,10,3,0,7,12,8,14,0,54,9,3,8,4,19,10,5,8,27,94
