RA_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
RA20,..,377811,377811,451487,52032,503521,258939,17319,276257,272927,7250,280170,109850,2661,112512,53117,1677,54798,1146319,458749,1605066
RA21,..,114863,114863,139556,9713,149271,55679,1517,57197,55129,534,55656,25343,202,25542,10555,116,10673,286263,126941,413207
RA22,..,28667,28667,33259,2118,35373,11146,268,11414,10222,88,10304,5129,40,5163,2174,30,2199,61926,31208,93133
RA23,..,492,492,503,30,529,117,3,120,102,0,102,49,0,49,14,0,14,787,522,1307
RA25,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
