RA_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
RA20,36,1800,670,350,1817,0.9,1528,2.6
RA21,43,1387,590,240,1459,0.8,1167,2.4
RA22,46,1100,538,190,1279,0.8,995,2.3
RA23,54,797,478,110,1141,0.7,818,2
RA25,49,0,3000,0,0,0,0,0
RA29,34,0,398,0,0,0,0,0
