RA_CODE_2016,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_Resp
RA20,47500,138285,100365,794261,14646,1095053,275,344,160,3350,89,4220,336267,4437,7722,7769,2581,358769,26980,3535,1957,6244,394,39114,32849,10117,6334,18581,610,68491,270281,118847,87469,722822,16266,1215684,54378,1080,4881,759,588,61687,15467,2083,1602,7659,267,27077,45199,13250,8986,70016,1564,139023,101443,14770,7650,36900,1813,162569,13000,2141,1294,3385,236,20055,191785,3298,2391,1717,1232,200428,64325,32755,22020,295939,4588,419625,152416,33388,16110,97568,3731,303214,16328,134,427,191,73,17146,31136,6046,2733,4694,589,45205,30113,3567,2004,6011,451,42151,35585,7404,4582,17109,592,65268,14110,1495,1125,726,317,17779,19735,5902,4495,2065,301,32493,31579,4779,3531,9181,427,49491,17466,1342,1324,2328,220,22677,65665,29813,22684,215163,3697,337020,17968,1564,903,1673,263,22368,15121,2087,1501,739,123,19569,18358,1391,1159,2839,232,23978,50900,2305,1555,1469,316,56549,28676,3266,1561,2104,349,35961,100852,1209,2386,805,1277,106522,8472,2377,1640,9191,168,21847,523204,36663,29781,41878,6509,638040,24824,2269,1793,15988,237289,282170,2093868,292504,208753,1672203,288873,4556193
RA21,4502,32999,23117,386014,8433,455061,25,104,36,1762,43,1971,6186,286,465,2576,140,9659,1993,419,179,800,38,3432,11003,3824,2374,7838,282,25314,52292,31001,22660,339742,8343,454027,4032,137,814,157,107,5251,1405,318,221,2767,60,4771,9247,3524,2357,32704,752,48587,2948,753,310,2299,95,6408,1437,336,158,558,24,2516,6396,330,174,313,66,7288,10926,7827,4891,124326,2261,150230,12850,4174,1731,20507,645,39910,466,11,26,25,4,529,407,147,50,344,7,960,745,128,81,371,25,1349,3560,988,545,2609,108,7807,1605,375,237,320,30,2575,2708,1405,1093,728,73,6005,3095,636,379,1903,84,6101,948,157,122,482,26,1735,13754,8355,5954,97718,1851,127638,661,105,64,173,23,1028,1327,262,165,197,25,1975,1246,215,165,963,26,2611,1259,194,129,179,11,1781,734,139,40,96,7,1018,798,63,95,32,13,997,1952,605,372,3260,73,6264,27658,4979,3825,10835,636,47931,1896,568,432,11456,72905,87260,157101,61906,43224,762000,91712,1115946
RA22,898,5469,3984,87498,2158,100010,3,45,6,760,36,855,1290,53,62,459,27,1894,307,45,14,176,9,551,1723,509,338,1085,46,3702,9044,5279,3911,76056,2211,96490,1036,21,206,36,24,1326,242,52,38,522,28,884,1708,587,417,10737,227,13679,654,191,49,474,27,1388,289,55,22,113,15,503,1257,35,31,53,13,1389,1574,1082,720,22608,485,26472,3159,881,360,4703,193,9293,117,0,3,4,0,132,43,16,11,56,4,128,29,13,11,17,3,65,334,113,43,260,3,752,326,70,71,88,5,562,470,172,185,126,11,964,435,113,53,285,13,891,139,19,21,72,11,258,2275,1401,1036,21555,496,26762,81,18,3,28,0,127,249,39,30,29,4,349,195,32,13,139,6,385,189,13,11,25,3,239,482,47,21,39,11,594,475,14,17,10,19,530,326,95,67,623,6,1124,5873,899,625,1893,172,9463,475,103,100,2786,18382,21850,30146,10583,7530,172240,23333,243825
RA23,7,95,51,1085,35,1267,0,0,0,5,0,5,19,0,0,7,0,27,14,0,0,0,0,14,42,11,5,18,0,73,173,90,61,878,24,1221,8,0,5,0,0,13,4,0,0,13,0,18,50,15,8,261,4,335,11,0,0,0,0,12,6,0,0,0,0,3,13,0,0,0,0,15,28,12,4,262,3,310,16,5,0,20,0,45,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,9,0,0,4,0,16,8,0,0,10,0,18,3,0,0,0,0,3,32,19,13,303,8,371,4,0,0,0,0,7,9,0,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,6,0,17,45,13,3,23,4,88,9,0,0,48,184,242,406,156,95,2155,242,3059
RA25,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,3,14,3,0,10,3,29
RA29,49,199,130,1446,70,1895,0,3,0,29,0,31,278,5,4,8,3,297,14,5,0,3,0,22,50,19,10,27,3,103,403,139,103,1068,61,1779,42,4,0,0,0,49,28,5,5,3,3,49,78,27,8,108,9,225,40,10,4,18,0,75,8,5,0,0,0,9,135,10,0,0,0,145,106,51,24,401,17,610,108,27,15,86,5,244,36,0,0,0,0,36,19,13,0,5,0,42,6,3,0,4,0,17,24,6,0,10,0,39,44,3,3,6,0,48,44,16,5,9,3,79,24,4,0,15,0,44,29,0,0,0,0,29,95,31,25,319,17,484,14,3,0,0,0,17,11,0,0,0,0,13,18,3,0,0,0,27,20,0,0,0,0,23,42,14,0,3,3,55,89,0,3,0,0,95,11,4,0,17,3,37,661,43,38,67,25,831,35,5,3,37,1916,1995,2206,376,229,2654,2093,7565
