RA_CODE_2016,F_Mgnt_Com_35_44,F_Mgnt_Com_45_54,F_Mgnt_Com_55_64,F_Mgnt_Com_65_74,F_Mgnt_Com_75_84,F_Mgnt_Com_85ov,F_Mgnt_Com_Tot,F_Society_Cult_15_24,F_Society_Cult_25_34,F_Society_Cult_35_44,F_Society_Cult_45_54,F_Society_Cult_55_64,F_Society_Cult_65_74,F_Society_Cult_75_84,F_Society_Cult_85ov,F_Society_Cult_Tot,F_Creative_Arts_15_24,F_Creative_Arts_25_34,F_Creative_Arts_35_44,F_Creative_Arts_45_54,F_Creative_Arts_55_64,F_Creative_Arts_65_74,F_Creative_Arts_75_84,F_Creative_Arts_85ov,F_Creative_Arts_Tot,F_Fd_Hosp_Psnl_Svcs_15_24,F_Fd_Hosp_Psnl_Svcs_25_34,F_Fd_Hosp_Psnl_Svcs_35_44,F_Fd_Hosp_Psnl_Svcs_45_54,F_Fd_Hosp_Psnl_Svcs_55_64,F_Fd_Hosp_Psnl_Svcs_65_74,F_Fd_Hosp_Psnl_Svcs_75_84,F_Fd_Hosp_Psnl_Svcs_85ov,F_Fd_Hosp_Psnl_Svcs_Tot,F_MixFld_Prgm_15_24,F_MixFld_Prgm_25_34,F_MixFld_Prgm_35_44,F_MixFld_Prgm_45_54,F_MixFld_Prgm_55_64,F_MixFld_Prgm_65_74,F_MixFld_Prgm_75_84,F_MixFld_Prgm_85ov,F_MixFld_Prgm_Tot,F_FldStd_InadDes_15_24,F_FldStd_InadDes_25_34,F_FldStd_InadDes_35_44,F_FldStd_InadDes_45_54,F_FldStd_InadDes_55_64,F_FldStd_InadDes_65_74,F_FldStd_InadDes_75_84,F_FldStd_InadDes_85ov,F_FldStd_InadDes_Tot,F_FldStd_NS_15_24,F_FldStd_NS_25_34,F_FldStd_NS_35_44,F_FldStd_NS_45_54,F_FldStd_NS_55_64,F_FldStd_NS_65_74,F_FldStd_NS_75_84,F_FldStd_NS_85ov,F_FldStd_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_NatPhyl_Scn_15_24,P_NatPhyl_Scn_25_34,P_NatPhyl_Scn_35_44,P_NatPhyl_Scn_45_54,P_NatPhyl_Scn_55_64,P_NatPhyl_Scn_65_74,P_NatPhyl_Scn_75_84,P_NatPhyl_Scn_85ov,P_NatPhyl_Scn_Tot,P_InfoTech_15_24,P_InfoTech_25_34,P_InfoTech_35_44,P_InfoTech_45_54,P_InfoTech_55_64,P_InfoTech_65_74,P_InfoTech_75_84,P_InfoTech_85ov,P_InfoTech_Tot,P_Eng_RelTec_15_24,P_Eng_RelTec_25_34,P_Eng_RelTec_35_44,P_Eng_RelTec_45_54,P_Eng_RelTec_55_64,P_Eng_RelTec_65_74,P_Eng_RelTec_75_84,P_Eng_RelTec_85ov,P_Eng_RelTec_Tot,P_ArchtBldng_15_24,P_ArchtBldng_25_34,P_ArchtBldng_35_44,P_ArchtBldng_45_54,P_ArchtBldng_55_64,P_ArchtBldng_65_74,P_ArchtBldng_75_84,P_ArchtBldng_85ov,P_ArchtBldng_Tot,P_Ag_Envir_Rltd_Sts_15_24,P_Ag_Envir_Rltd_Sts_25_34,P_Ag_Envir_Rltd_Sts_35_44,P_Ag_Envir_Rltd_Sts_45_54,P_Ag_Envir_Rltd_Sts_55_64,P_Ag_Envir_Rltd_Sts_65_74,P_Ag_Envir_Rltd_Sts_75_84,P_Ag_Envir_Rltd_Sts_85ov,P_Ag_Envir_Rltd_Sts_Tot,P_Health_15_24,P_Health_25_34,P_Health_35_44,P_Health_45_54,P_Health_55_64,P_Health_65_74,P_Health_75_84,P_Health_85ov,P_Health_Tot,P_Educ_15_24,P_Educ_25_34,P_Educ_35_44,P_Educ_45_54,P_Educ_55_64,P_Educ_65_74,P_Educ_75_84,P_Educ_85ov,P_Educ_Tot,P_Mgnt_Com_15_24,P_Mgnt_Com_25_34,P_Mgnt_Com_35_44,P_Mgnt_Com_45_54,P_Mgnt_Com_55_64,P_Mgnt_Com_65_74,P_Mgnt_Com_75_84,P_Mgnt_Com_85ov,P_Mgnt_Com_Tot,P_Society_Cult_15_24,P_Society_Cult_25_34,P_Society_Cult_35_44,P_Society_Cult_45_54,P_Society_Cult_55_64,P_Society_Cult_65_74,P_Society_Cult_75_84,P_Society_Cult_85ov,P_Society_Cult_Tot,P_Creative_Arts_15_24,P_Creative_Arts_25_34,P_Creative_Arts_35_44,P_Creative_Arts_45_54,P_Creative_Arts_55_64,P_Creative_Arts_65_74,P_Creative_Arts_75_84,P_Creative_Arts_85ov,P_Creative_Arts_Tot,P_Fd_Hosp_Psnl_Svcs_15_24,P_Fd_Hosp_Psnl_Svcs_25_34,P_Fd_Hosp_Psnl_Svcs_35_44,P_Fd_Hosp_Psnl_Svcs_45_54,P_Fd_Hosp_Psnl_Svcs_55_64,P_Fd_Hosp_Psnl_Svcs_65_74,P_Fd_Hosp_Psnl_Svcs_75_84,P_Fd_Hosp_Psnl_Svcs_85ov,P_Fd_Hosp_Psnl_Svcs_Tot,P_MixFld_Prgm_15_24,P_MixFld_Prgm_25_34,P_MixFld_Prgm_35_44,P_MixFld_Prgm_45_54,P_MixFld_Prgm_55_64,P_MixFld_Prgm_65_74,P_MixFld_Prgm_75_84,P_MixFld_Prgm_85ov,P_MixFld_Prgm_Tot,P_FldStd_InadDes_15_24,P_FldStd_InadDes_25_34,P_FldStd_InadDes_35_44,P_FldStd_InadDes_45_54,P_FldStd_InadDes_55_64,P_FldStd_InadDes_65_74,P_FldStd_InadDes_75_84,P_FldStd_InadDes_85ov,P_FldStd_InadDes_Tot,P_FldStd_NS_15_24,P_FldStd_NS_25_34,P_FldStd_NS_35_44,P_FldStd_NS_45_54,P_FldStd_NS_55_64,P_FldStd_NS_65_74,P_FldStd_NS_75_84,P_FldStd_NS_85ov,P_FldStd_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54
RA20,66673,46350,26232,12776,4567,2438,257517,16673,48184,44311,36220,25557,11852,3115,940,186845,8705,21306,13326,7799,4297,2186,969,451,59036,9975,20385,13950,11032,5915,4317,1255,540,67372,793,357,261,352,391,521,428,162,3266,1853,4952,5029,3739,2384,1289,503,240,19988,20843,27417,20988,19310,17158,16550,14952,11645,148872,107886,304870,251934,196450,138950,82182,40712,21553,1144533,9002,20284,18397,14331,10208,6015,2159,745,81149,6779,35461,32951,15039,7021,1951,243,47,99501,16896,60109,56921,58420,48382,34091,18151,6355,299331,12481,33670,24088,20578,14050,8637,4978,1461,119939,2569,7274,6805,5212,3216,1595,693,230,27594,13838,55548,42544,36502,29302,16303,8104,2946,205087,6402,31888,30583,30539,31317,20718,8170,2337,161955,38108,135231,116991,84129,51676,26937,9560,4039,466672,24975,69206,62354,51637,38156,19706,5808,1687,273536,15257,36971,23077,13249,7752,4060,1649,670,102684,14172,34026,22516,17215,9476,6325,2267,823,106820,1578,829,557,638,707,831,721,247,6108,3090,8791,9000,7143,4776,2692,1148,542,37174,43478,57637,44986,40457,34453,31234,26246,17501,295984,208628,586922,491767,395090
RA21,9883,8607,6086,3258,1063,492,41162,3737,7810,8737,9173,8173,4022,759,208,42617,787,1784,1809,1443,1155,725,249,110,8052,3182,5225,3709,3043,2021,1460,442,157,19231,93,70,48,78,92,143,113,33,662,117,414,715,614,497,280,108,45,2787,6161,4746,5395,6513,7169,7479,6213,3892,47568,22171,46342,48935,48472,45013,30062,13886,6558,261431,628,1588,2358,1888,1874,1334,374,113,10157,601,1812,1796,1281,977,440,40,12,6960,4440,11721,12906,16057,15334,12010,5297,1606,79365,3439,7630,6395,6136,5761,3658,1773,482,35279,1463,3732,4586,4322,3080,1727,754,197,19849,3125,10180,9800,11188,11805,7039,2959,961,57060,1597,6990,8098,8316,11079,8561,2916,769,48326,4233,12881,15035,13714,10830,6462,2055,762,65966,5022,9930,11232,11923,10986,6101,1441,342,56980,1551,2908,2891,2232,2026,1350,424,150,13532,4164,7402,5790,4905,3448,2386,811,266,29176,180,132,95,144,165,254,198,71,1229,272,912,1492,1423,1207,792,332,130,6560,13093,10752,11895,14148,14884,14833,11252,6095,96955,43811,88577,94375,97681
RA22,1803,1575,1237,650,189,98,7725,682,1284,1481,1703,1728,752,122,33,7777,107,252,283,211,168,110,45,18,1189,628,997,840,707,505,369,124,32,4194,19,21,19,12,21,27,31,18,168,23,68,82,99,81,48,24,12,431,1484,1176,1238,1650,1935,2024,1693,1128,12337,4559,8719,9169,9773,9961,6777,3319,1746,54026,57,247,300,248,290,209,44,22,1423,96,229,184,154,163,82,10,4,915,1015,2215,2200,2954,3143,2658,1084,310,15578,529,1161,949,1133,1267,887,412,93,6424,618,1292,1595,1649,1268,651,198,65,7334,512,1805,1701,2259,2635,1571,652,229,11370,345,1375,1508,1608,2216,1723,593,177,9541,828,2265,2581,2331,2060,1192,352,153,11757,884,1636,1877,2122,2238,1092,227,44,10116,207,393,418,308,266,218,82,24,1916,816,1440,1274,1136,869,597,212,47,6391,49,33,24,31,37,52,55,30,314,58,157,195,218,238,163,71,32,1129,3179,2541,2590,3499,4036,4202,3110,1771,24919,9193,16794,17396,19642
RA23,9,15,21,12,6,0,75,11,6,20,18,28,17,0,3,101,0,0,0,3,6,5,0,0,20,0,6,10,3,14,3,0,3,45,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,11,7,15,22,21,22,25,12,130,40,69,109,115,157,128,49,19,673,0,9,6,11,8,10,5,0,46,0,0,3,0,3,3,0,0,6,5,8,9,28,38,44,24,9,167,3,10,8,6,34,17,8,4,89,8,19,24,27,18,12,3,0,94,3,11,29,18,42,21,13,0,139,7,18,19,33,39,49,3,0,166,3,15,20,18,32,33,7,0,127,11,10,24,27,38,23,5,3,136,0,4,3,4,11,11,0,0,30,3,11,15,12,18,9,3,3,77,0,0,0,0,0,0,0,0,6,0,0,5,0,7,0,3,0,14,26,20,29,48,47,53,43,22,288,70,130,193,229
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,7,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,3,5
RA29,37,27,36,12,3,0,259,42,101,52,30,25,11,0,0,264,19,51,21,11,4,0,0,0,101,25,35,23,13,8,0,0,0,101,3,0,0,0,0,0,0,0,3,4,7,3,6,8,3,0,0,27,139,200,151,89,76,40,13,11,711,348,640,356,230,211,95,23,16,1920,19,43,19,12,9,6,3,0,118,8,41,18,5,4,3,0,0,80,32,123,61,59,50,46,10,0,387,22,68,37,27,24,6,4,0,196,12,28,14,13,8,3,0,0,78,31,91,39,30,32,13,0,0,247,16,38,28,18,35,18,3,0,154,83,182,85,54,53,21,3,0,481,50,147,71,50,48,21,3,0,391,25,79,35,19,11,0,0,0,170,29,54,39,26,18,3,0,0,171,3,0,0,0,0,0,0,0,5,13,10,15,9,8,3,0,0,63,318,513,501,337,227,113,32,9,2040,650,1413,971,670
