RA_CODE_2016,M_15_19y_DUDW_LT_5_h,M_15_19y_DUDW_5_14_h,M_15_19y_DUDW_15_29_h,M_15_19y_DUDW_30_h_mo,M_15_19y_DNUDW,M_15_19y_UDW_NS,M_15_19y_Total,M_20_24y_DUDW_LT_5_h,M_20_24y_DUDW_5_14_h,M_20_24y_DUDW_15_29_h,M_20_24y_DUDW_30_h_mo,M_20_24y_DNUDW,M_20_24y_UDW_NS,M_20_24y_Total,M_25_34y_DUDW_LT_5_h,M_25_34y_DUDW_5_14_h,M_25_34y_DUDW_15_29_h,M_25_34y_DUDW_30_h_mo,M_25_34y_DNUDW,M_25_34y_UDW_NS,M_25_34y_Total,M_35_44y_DUDW_LT_5_h,M_35_44y_DUDW_5_14_h,M_35_44y_DUDW_15_29_h,M_35_44y_DUDW_30_h_mo,M_35_44y_DNUDW,M_35_44y_UDW_NS,M_35_44y_Total,M_45_54y_DUDW_LT_5_h,M_45_54y_DUDW_5_14_h,M_45_54y_DUDW_15_29_h,M_45_54y_DUDW_30_h_mo,M_45_54y_DNUDW,M_45_54y_UDW_NS,M_45_54y_Total,M_55_64y_DUDW_LT_5_h,M_55_64y_DUDW_5_14_h,M_55_64y_DUDW_15_29_h,M_55_64y_DUDW_30_h_mo,M_55_64y_DNUDW,M_55_64y_UDW_NS,M_55_64y_Total,M_65_74y_DUDW_LT_5_h,M_65_74y_DUDW_5_14_h,M_65_74y_DUDW_15_29_h,M_65_74y_DUDW_30_h_mo,M_65_74y_DNUDW,M_65_74y_UDW_NS,M_65_74y_Total,M_75_84y_DUDW_LT_5_h,M_75_84y_DUDW_5_14_h,M_75_84y_DUDW_15_29_h,M_75_84y_DUDW_30_h_mo,M_75_84y_DNUDW,M_75_84y_UDW_NS,M_75_84y_Total,M_85y_ov_DUDW_LT_5_h,M_85y_ov_DUDW_5_14_h,M_85y_ov_DUDW_15_29_h,M_85y_ov_DUDW_30_h_mo,M_85y_ov_DNUDW,M_85y_ov_UDW_NS,M_85y_ov_Total,M_Tot_DUDW_LT_5_h,M_Tot_DUDW_5_14_h,M_Tot_DUDW_15_29_h,M_Tot_DUDW_30_h_mo,M_Tot_DNUDW,M_Tot_UDW_NS,M_Tot_Total,F_15_19y_DUDW_LT_5_h,F_15_19y_DUDW_5_14_h,F_15_19y_DUDW_15_29_h,F_15_19y_DUDW_30_h_mo,F_15_19y_DNUDW,F_15_19y_UDW_NS,F_15_19y_Total,F_20_24y_DUDW_LT_5_h,F_20_24y_DUDW_5_14_h,F_20_24y_DUDW_15_29_h,F_20_24y_DUDW_30_h_mo,F_20_24y_DNUDW,F_20_24y_UDW_NS,F_20_24y_Total,F_25_34y_DUDW_LT_5_h,F_25_34y_DUDW_5_14_h,F_25_34y_DUDW_15_29_h,F_25_34y_DUDW_30_h_mo,F_25_34y_DNUDW,F_25_34y_UDW_NS,F_25_34y_Total,F_35_44y_DUDW_LT_5_h,F_35_44y_DUDW_5_14_h,F_35_44y_DUDW_15_29_h,F_35_44y_DUDW_30_h_mo,F_35_44y_DNUDW,F_35_44y_UDW_NS,F_35_44y_Total,F_45_54y_DUDW_LT_5_h,F_45_54y_DUDW_5_14_h,F_45_54y_DUDW_15_29_h,F_45_54y_DUDW_30_h_mo,F_45_54y_DNUDW,F_45_54y_UDW_NS,F_45_54y_Total,F_55_64y_DUDW_LT_5_h,F_55_64y_DUDW_5_14_h,F_55_64y_DUDW_15_29_h,F_55_64y_DUDW_30_h_mo,F_55_64y_DNUDW,F_55_64y_UDW_NS,F_55_64y_Total,F_65_74y_DUDW_LT_5_h,F_65_74y_DUDW_5_14_h,F_65_74y_DUDW_15_29_h,F_65_74y_DUDW_30_h_mo,F_65_74y_DNUDW,F_65_74y_UDW_NS,F_65_74y_Total,F_75_84y_DUDW_LT_5_h,F_75_84y_DUDW_5_14_h,F_75_84y_DUDW_15_29_h,F_75_84y_DUDW_30_h_mo,F_75_84y_DNUDW,F_75_84y_UDW_NS,F_75_84y_Total,F_85y_ov_DUDW_LT_5_h,F_85y_ov_DUDW_5_14_h,F_85y_ov_DUDW_15_29_h,F_85y_ov_DUDW_30_h_mo,F_85y_ov_DNUDW,F_85y_ov_UDW_NS,F_85y_ov_Total,F_Tot_DUDW_LT_5_h,F_Tot_DUDW_5_14_h,F_Tot_DUDW_15_29_h,F_Tot_DUDW_30_h_mo,F_Tot_DNUDW,F_Tot_UDW_NS,F_Tot_Total,P_15_19y_DUDW_LT_5_h,P_15_19y_DUDW_5_14_h,P_15_19y_DUDW_15_29_h,P_15_19y_DUDW_30_h_mo,P_15_19y_DNUDW,P_15_19y_UDW_NS,P_15_19y_Total,P_20_24y_DUDW_LT_5_h,P_20_24y_DUDW_5_14_h,P_20_24y_DUDW_15_29_h,P_20_24y_DUDW_30_h_mo,P_20_24y_DNUDW,P_20_24y_UDW_NS,P_20_24y_Total,P_25_34y_DUDW_LT_5_h,P_25_34y_DUDW_5_14_h,P_25_34y_DUDW_15_29_h,P_25_34y_DUDW_30_h_mo,P_25_34y_DNUDW,P_25_34y_UDW_NS,P_25_34y_Total,P_35_44y_DUDW_LT_5_h,P_35_44y_DUDW_5_14_h,P_35_44y_DUDW_15_29_h,P_35_44y_DUDW_30_h_mo,P_35_44y_DNUDW,P_35_44y_UDW_NS,P_35_44y_Total,P_45_54y_DUDW_LT_5_h,P_45_54y_DUDW_5_14_h,P_45_54y_DUDW_15_29_h,P_45_54y_DUDW_30_h_mo,P_45_54y_DNUDW,P_45_54y_UDW_NS,P_45_54y_Total,P_55_64y_DUDW_LT_5_h,P_55_64y_DUDW_5_14_h,P_55_64y_DUDW_15_29_h,P_55_64y_DUDW_30_h_mo,P_55_64y_DNUDW,P_55_64y_UDW_NS,P_55_64y_Total,P_65_74y_DUDW_LT_5_h,P_65_74y_DUDW_5_14_h,P_65_74y_DUDW_15_29_h,P_65_74y_DUDW_30_h_mo,P_65_74y_DNUDW,P_65_74y_UDW_NS,P_65_74y_Total,P_75_84y_DUDW_LT_5_h,P_75_84y_DUDW_5_14_h,P_75_84y_DUDW_15_29_h,P_75_84y_DUDW_30_h_mo,P_75_84y_DNUDW,P_75_84y_UDW_NS,P_75_84y_Total,P_85y_ov_DUDW_LT_5_h,P_85y_ov_DUDW_5_14_h,P_85y_ov_DUDW_15_29_h,P_85y_ov_DUDW_30_h_mo
RA20,56431,8931,904,433,61561,10604,138864,62072,21795,2726,1183,71794,12680,172246,131782,84214,13125,5239,102785,29141,366290,101757,99436,21820,8613,65435,22239,319298,86831,90288,20367,7917,63368,19757,288526,62777,69459,18096,7863,57429,16321,231945,32087,43524,17820,9311,47693,14682,165117,13743,18950,9296,5833,30675,11545,90041,4157,4808,2248,1664,15813,5602,34296,551641,441404,106411,48052,516546,142574,1806629,59564,13200,1559,600,49835,9806,134561,63521,33237,6167,3825,50559,11498,168809,95265,105309,39269,45825,65663,26535,377870,43122,98001,62966,67009,37942,19364,328400,36592,102537,64465,45223,38180,18077,305066,29441,79155,50703,35418,39535,16425,250678,15569,43007,37542,31823,39807,16660,184411,10476,20225,16543,14751,34144,15149,111296,5795,7066,3882,2746,28363,10365,58219,359345,501744,283093,247215,384020,143877,1919303,115994,22128,2464,1034,111391,20412,273424,125591,55033,8890,5010,122356,24178,341054,227047,189527,52395,51066,168449,55675,744159,144871,197433,84784,75617,103377,41607,647695,123425,192822,84835,53142,101542,37829,593592,92213,148615,68803,43280,96967,32744,482623,47657,86535,55356,41126,87497,31347,349520,24219,39181,25840,20584,64821,26696,201334,9956,11876,6133,4406
RA21,15130,2380,219,128,13408,4151,35409,11745,5016,770,362,10341,2810,31052,19144,16441,3522,1668,11598,5646,58022,17938,21371,5947,2735,9557,5908,63462,20134,24123,6371,2920,13205,6954,73715,18167,23292,7336,3794,16164,7267,76020,9905,15625,8047,5621,16056,7564,62816,3684,5966,3379,2920,9589,5442,30974,1090,1356,728,654,4354,2199,10386,116937,115571,36325,20813,104269,47947,441862,15070,3435,475,247,9848,3811,32883,9810,7690,1966,1723,5748,2336,29275,10165,18366,9321,13082,5740,4459,61144,6143,20581,15209,16339,4633,4793,67694,8088,27606,17695,12152,7133,5891,78557,7670,24818,17718,12910,10062,6805,79981,3854,12837,13749,14002,12436,7650,64529,2438,5223,4903,5719,10162,6613,35061,1412,1966,1156,1058,8226,3804,17618,64643,122526,82190,77230,73996,46164,466745,30201,5813,695,373,23255,7958,68294,21549,12709,2737,2087,16091,5146,60323,29314,34810,12847,14752,17337,10107,119172,24082,41955,21152,19068,14191,10696,131149,28222,51729,24061,15071,20334,12845,152272,25840,48108,25055,16707,26223,14068,155999,13760,28464,21802,19624,28489,15214,127348,6120,11192,8278,8641,19750,12057,66036,2499,3321,1881,1714
RA22,3086,595,72,39,2510,1036,7337,2130,1068,166,77,1854,641,5936,3528,3195,745,429,2511,1274,11681,3332,3819,1201,614,2086,1214,12269,4148,4948,1406,752,3287,1745,16287,4355,5508,1807,984,4208,1954,18821,2413,3729,1941,1495,4433,2307,16316,985,1470,937,755,2546,1514,8210,279,344,203,178,1161,662,2822,24257,24690,8485,5316,24599,12346,99691,2962,840,127,58,1863,936,6803,1614,1487,406,402,1036,540,5490,1680,3329,1858,2832,1323,1111,12133,1036,3789,3027,3224,1020,1130,13221,1557,5561,3844,2705,1705,1501,16873,1609,5320,4026,3318,2484,1831,18590,883,2818,3180,3394,3048,2050,15380,562,1246,1242,1463,2682,1832,9025,366,458,326,294,2023,1039,4505,12269,24847,18042,17688,17191,11979,102019,6045,1436,204,102,4375,1975,14141,3750,2557,570,478,2887,1181,11429,5210,6528,2607,3257,3833,2380,23816,4370,7608,4228,3835,3103,2343,25486,5698,10516,5247,3463,4991,3246,33164,5965,10833,5837,4296,6693,3785,37410,3301,6546,5120,4890,7481,4354,31698,1550,2715,2186,2213,5231,3349,17239,642,797,527,467
RA23,28,3,0,0,12,5,57,10,15,0,0,10,9,50,21,33,5,3,34,10,106,32,48,19,7,20,17,136,73,52,13,18,35,22,212,70,91,30,17,67,29,306,49,80,36,30,70,33,295,18,30,26,16,41,17,147,5,12,3,3,19,9,50,301,363,131,104,305,158,1356,35,6,0,3,17,5,67,14,13,5,4,4,3,40,12,32,11,25,4,10,88,5,30,38,43,12,17,148,20,57,48,43,10,19,201,18,80,73,54,42,14,283,15,46,49,85,45,18,255,3,25,18,23,30,27,128,10,11,9,3,19,7,59,131,301,248,284,173,126,1260,59,12,0,3,27,19,121,22,27,6,4,15,13,90,33,61,15,33,34,20,199,41,78,53,51,30,31,286,94,109,60,60,45,44,404,91,174,101,77,107,43,597,60,120,87,113,114,55,545,18,56,44,38,67,43,274,13,21,13,4
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,3,3,0,0,3,0,11,0,0,3,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,11,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,3,3,0,0,3,0,11,0,0,3,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,37,17,0,4,77,44,180,94,50,11,3,168,118,447,212,122,23,16,363,315,1052,132,83,18,15,217,349,813,103,57,19,19,193,242,628,83,69,20,12,138,134,460,48,40,20,11,106,60,283,12,4,7,0,34,21,72,0,0,0,0,8,0,9,715,443,117,80,1298,1293,3942,45,22,5,7,61,40,178,133,66,21,12,121,105,453,181,140,46,54,172,195,795,77,88,37,49,79,146,479,62,74,30,25,70,87,347,39,70,38,32,89,81,352,21,37,23,20,59,40,204,3,6,7,4,10,16,49,3,3,0,0,14,12,28,567,509,208,198,668,721,2883,82,37,10,5,133,90,357,225,109,26,15,293,227,898,391,266,76,68,530,512,1848,209,178,60,63,294,497,1295,160,134,47,38,266,331,975,123,145,57,46,230,214,816,66,75,42,36,159,98,482,16,14,15,3,46,36,121,3,3,0,0
