RA_CODE_2016,A_0_4_y_Indigenous_M,A_0_4_y_Indigenous_F,A_0_4_y_Indigenous_P,A_0_4_y_Non_Indigenous_M,A_0_4_y_Non_Indigenous_F,A_0_4_y_Non_Indigenous_P,A_0_4_y_Indig_stat_ns_M,A_0_4_y_Indig_stat_ns_F,A_0_4_y_Indig_stat_ns_P,A_0_4_y_Tot_M,A_0_4_y_Tot_F,A_0_4_y_Tot_P,A_5_9_y_Indigenous_M,A_5_9_y_Indigenous_F,A_5_9_y_Indigenous_P,A_5_9_y_Non_Indigenous_M,A_5_9_y_Non_Indigenous_F,A_5_9_y_Non_Indigenous_P,A_5_9_y_Indig_stat_ns_M,A_5_9_y_Indig_stat_ns_F,A_5_9_y_Indig_stat_ns_P,A_5_9_y_Tot_M,A_5_9_y_Tot_F,A_5_9_y_Tot_P,A_10_14_y_Indigenous_M,A_10_14_y_Indigenous_F,A_10_14_y_Indigenous_P,A_10_14_y_Non_Indig_M,A_10_14_y_Non_Indig_F,A_10_14_y_Non_Indig_P,A_10_14_y_Indig_stat_ns_M,A_10_14_y_Indig_stat_ns_F,A_10_14_y_Indig_stat_ns_P,A_10_14_y_Tot_M,A_10_14_y_Tot_F,A_10_14_y_Tot_P,A_15_19_y_Indigenous_M,A_15_19_y_Indigenous_F,A_15_19_y_Indigenous_P,A_15_19_y_Non_Indig_M,A_15_19_y_Non_Indig_F,A_15_19_y_Non_Indig_P,A_15_19_y_Indig_stat_ns_M,A_15_19_y_Indig_stat_ns_F,A_15_19_y_Indig_stat_ns_P,A_15_19_y_Tot_M,A_15_19_y_Tot_F,A_15_19_y_Tot_P,A_20_24_y_Indigenous_M,A_20_24_y_Indigenous_F,A_20_24_y_Indigenous_P,A_20_24_y_Non_Indig_M,A_20_24_y_Non_Indig_F,A_20_24_y_Non_Indig_P,A_20_24_y_Indig_stat_ns_M,A_20_24_y_Indig_stat_ns_F,A_20_24_y_Indig_stat_ns_P,A_20_24_y_Tot_M,A_20_24_y_Tot_F,A_20_24_y_Tot_P,A_25_29_y_Indigenous_M,A_25_29_y_Indigenous_F,A_25_29_y_Indigenous_P,A_25_29_y_Non_Indig_M,A_25_29_y_Non_Indig_F,A_25_29_y_Non_Indig_P,A_25_29_y_Indig_stat_ns_M,A_25_29_y_Indig_stat_ns_F,A_25_29_y_Indig_stat_ns_P,A_25_29_y_Tot_M,A_25_29_y_Tot_F,A_25_29_y_Tot_P,A_30_34_y_Indigenous_M,A_30_34_y_Indigenous_F,A_30_34_y_Indigenous_P,A_30_34_y_Non_Indig_M,A_30_34_y_Non_Indig_F,A_30_34_y_Non_Indig_P,A_30_34_y_Indig_stat_ns_M,A_30_34_y_Indig_stat_ns_F,A_30_34_y_Indig_stat_ns_P,A_30_34_y_Tot_M,A_30_34_y_Tot_F,A_30_34_y_Tot_P,A_35_39_y_Indigenous_M,A_35_39_y_Indigenous_F,A_35_39_y_Indigenous_P,A_35_39_y_Non_Indig_M,A_35_39_y_Non_Indig_F,A_35_39_y_Non_Indig_P,A_35_39_y_Indig_stat_ns_M,A_35_39_y_Indig_stat_ns_F,A_35_39_y_Indig_stat_ns_P,A_35_39_y_Tot_M,A_35_39_y_Tot_F,A_35_39_y_Tot_P,A_40_44_y_Indigenous_M,A_40_44_y_Indigenous_F,A_40_44_y_Indigenous_P,A_40_44_y_Non_Indig_M,A_40_44_y_Non_Indig_F,A_40_44_y_Non_Indig_P,A_40_44_y_Indig_stat_ns_M,A_40_44_y_Indig_stat_ns_F,A_40_44_y_Indig_stat_ns_P,A_40_44_y_Tot_M,A_40_44_y_Tot_F,A_40_44_y_Tot_P,A_45_49_y_Indigenous_M,A_45_49_y_Indigenous_F,A_45_49_y_Indigenous_P,A_45_49_y_Non_Indig_M,A_45_49_y_Non_Indig_F,A_45_49_y_Non_Indig_P,A_45_49_y_Indig_stat_ns_M,A_45_49_y_Indig_stat_ns_F,A_45_49_y_Indig_stat_ns_P,A_45_49_y_Tot_M,A_45_49_y_Tot_F,A_45_49_y_Tot_P,A_50_54_y_Indigenous_M,A_50_54_y_Indigenous_F,A_50_54_y_Indigenous_P,A_50_54_y_Non_Indig_M,A_50_54_y_Non_Indig_F,A_50_54_y_Non_Indig_P,A_50_54_y_Indig_stat_ns_M,A_50_54_y_Indig_stat_ns_F,A_50_54_y_Indig_stat_ns_P,A_50_54_y_Tot_M,A_50_54_y_Tot_F,A_50_54_y_Tot_P,A_55_59_y_Indigenous_M,A_55_59_y_Indigenous_F,A_55_59_y_Indigenous_P,A_55_59_y_Non_Indig_M,A_55_59_y_Non_Indig_F,A_55_59_y_Non_Indig_P,A_55_59_y_Indig_stat_ns_M,A_55_59_y_Indig_stat_ns_F,A_55_59_y_Indig_stat_ns_P,A_55_59_y_Tot_M,A_55_59_y_Tot_F,A_55_59_y_Tot_P,A_60_64_y_Indigenous_M,A_60_64_y_Indigenous_F,A_60_64_y_Indigenous_P,A_60_64_y_Non_Indig_M,A_60_64_y_Non_Indig_F,A_60_64_y_Non_Indig_P,A_60_64_y_Indig_stat_ns_M,A_60_64_y_Indig_stat_ns_F,A_60_64_y_Indig_stat_ns_P,A_60_64_y_Tot_M,A_60_64_y_Tot_F,A_60_64_y_Tot_P,A_65_y_ov_Indigenous_M,A_65_y_ov_Indigenous_F,A_65_y_ov_Indigenous_P,A_65_y_ov_Non_Indig_M,A_65_y_ov_Non_Indig_F,A_65_y_ov_Non_Indig_P,A_65_y_ov_Indig_stat_ns_M,A_65_y_ov_Indig_stat_ns_F,A_65_y_ov_Indig_stat_ns_P,A_65_y_ov_Tot_M,A_65_y_ov_Tot_F,A_65_y_ov_Tot_P,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Indigenous_P,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Non_Indigenous_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
RA20,1278,1313,2599,140890,133580,274473,7583,7228,14811,149754,142125,291879,1261,1285,2540,136130,129780,265912,6795,6335,13134,144183,137401,281585,1271,1148,2420,124652,118364,243015,5821,5548,11368,131743,125051,256799,1224,1207,2427,131186,127055,258242,6461,6299,12757,138864,134561,273424,1232,1213,2452,161377,158183,319562,9634,9409,19043,172246,168809,341054,1025,1035,2061,169884,175074,344960,11273,11548,22822,182182,187659,369843,860,823,1684,172146,178530,350676,11103,10854,21955,184111,190209,374316,719,727,1445,154320,156737,311062,9053,8457,17507,164088,165919,330015,747,756,1507,146150,153784,299936,8307,7933,16244,155205,162473,317682,780,730,1513,141759,151921,293676,7887,7669,15550,150424,160310,310737,543,657,1191,130061,137014,267068,7499,7092,14586,138098,144755,282852,448,478,925,117664,126476,244138,6775,6854,13630,124890,133806,258703,373,415,792,100681,110307,210991,5999,6146,12149,107056,116867,223926,521,691,1211,270322,329461,599781,18611,23774,42378,289450,353921,643375,12295,12470,24769,2097218,2186272,4283487,122796,125141,247940,2232314,2323878,4556193
RA21,1073,1005,2078,30673,28790,59467,2126,2054,4182,33871,31850,65723,1065,1016,2082,33794,31738,65532,2328,2187,4513,37181,34940,72124,908,954,1865,32424,30798,63219,2274,2133,4412,35612,33885,69494,855,883,1735,32354,29886,62241,2203,2116,4314,35409,32883,68294,716,638,1351,28233,26665,54898,2096,1975,4068,31052,29275,60323,555,590,1147,26352,27169,53517,1985,1904,3888,28896,29656,58550,432,444,878,26787,29009,55794,1915,2032,3945,29131,31485,60621,364,430,793,27380,29307,56682,1914,2005,3916,29654,31737,61394,416,451,871,31145,33313,64459,2245,2186,4425,33807,35950,69757,410,493,899,33259,35689,68946,2505,2424,4933,36182,38604,74782,381,405,787,34579,36972,71557,2568,2570,5143,37535,39951,77484,343,348,693,35382,37734,73117,2724,2711,5433,38452,40795,79240,274,274,548,34550,36138,70689,2743,2778,5518,37566,39191,76760,464,487,951,95192,106782,201969,8534,9940,18469,104180,117207,221393,8258,8426,16684,502103,519976,1022083,38162,39019,77176,548523,567422,1115946
RA22,385,388,778,5795,5527,11318,511,512,1023,6688,6428,13121,415,359,774,6523,6165,12686,596,518,1107,7529,7036,14564,358,348,711,6434,6195,12623,593,508,1098,7389,7047,14438,304,298,608,6506,5975,12478,527,529,1055,7337,6803,14141,220,222,450,5182,4803,9979,536,462,995,5936,5490,11429,172,228,402,5184,5186,10367,533,494,1024,5892,5903,11795,134,178,312,5145,5568,10717,509,486,990,5791,6233,12024,122,160,282,5112,5509,10619,444,442,887,5673,6114,11787,123,145,269,5917,6418,12336,553,545,1095,6596,7110,13704,126,181,299,6945,7309,14258,663,596,1264,7732,8083,15822,154,168,324,7666,7959,15632,725,660,1387,8554,8787,17337,130,155,287,8560,8613,17173,749,742,1491,9442,9510,18947,90,104,197,8529,8243,16770,761,730,1496,9384,9076,18462,155,190,342,24644,26032,50674,2556,2696,5248,27354,28913,56259,2891,3134,6024,108152,109497,217641,10255,9907,20160,121298,122533,243825
RA23,0,0,3,64,53,116,0,3,3,62,57,118,0,0,3,80,71,154,0,9,9,82,82,162,0,0,3,76,71,145,3,6,10,81,81,155,0,0,0,51,61,116,3,3,7,57,67,121,0,0,0,40,35,83,10,0,8,50,40,90,0,0,0,43,32,77,4,3,10,46,37,82,0,0,0,53,46,106,8,3,12,60,54,111,0,0,0,50,73,124,3,9,10,58,77,135,3,0,3,72,61,133,6,4,15,80,66,143,0,0,3,66,83,152,9,8,17,78,93,173,3,3,3,116,98,209,12,5,21,132,103,233,3,5,7,134,141,272,11,5,18,145,145,295,3,3,4,149,133,280,15,7,20,163,136,304,3,3,5,458,399,857,30,30,61,488,434,924,17,21,34,1454,1360,2810,118,100,219,1586,1471,3059
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,6,0,6,0,0,0,5,0,5,0,0,0,3,0,3,0,0,0,4,0,4,0,0,0,5,0,5,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,4,24,3,0,3,28,4,29
RA29,16,6,25,175,138,312,24,13,39,215,163,379,0,8,8,72,87,157,15,11,24,88,105,195,7,7,9,69,73,145,13,16,25,88,88,176,15,13,28,141,146,288,20,16,39,180,178,357,10,6,23,371,385,753,65,62,121,447,453,898,21,4,22,439,386,821,85,60,143,542,450,994,20,13,28,411,279,691,76,51,134,513,345,856,25,6,32,352,205,555,64,42,108,441,253,693,16,17,38,296,176,471,58,30,95,372,229,601,16,6,23,286,144,427,51,25,73,349,170,524,11,5,20,223,146,364,47,25,66,277,177,451,12,4,12,196,158,355,35,27,58,237,188,425,4,3,12,188,137,324,33,26,55,219,169,390,0,6,6,316,238,556,47,36,80,365,279,643,160,117,279,3534,2688,6219,638,434,1069,4331,3238,7565
