RA_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
RA20,178,2363,64,28828,1113,194,117,585,203,838,83,502,179,2646,19235,25703,582,120,262,325,110,268,36,223,169,3579,2429,8100,101242,16763,2856,52323,5416,43549,2371,27596,4057,126953,23774,406901
RA21,56,508,22,4100,259,87,41,198,40,310,26,200,72,1116,5503,7855,206,57,99,170,22,105,20,82,50,1419,885,3121,20683,6180,1235,17451,1672,10813,1083,9561,1623,45019,7339,122671
RA22,11,88,5,695,81,20,4,58,7,67,5,45,17,287,1409,2002,82,16,28,47,9,24,3,23,19,390,307,953,5026,1500,353,4154,423,2292,259,2081,428,11161,2005,29695
RA23,0,3,0,15,0,0,0,0,0,0,0,0,0,3,27,37,3,0,0,3,0,0,0,0,0,6,10,14,61,28,10,60,4,18,11,37,4,185,35,454
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
