RA_CODE_2016,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_Married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_Married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_Married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_Married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_Married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_Married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_Married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_Married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_Married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_Married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_Married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_Married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_Married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_Married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_Married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_Married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_Married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_Married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_Married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_Married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_Married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_Married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_Married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_Married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_Married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_Married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_Married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_Married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_Married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_Married,P_Tot_Tot
RA20,417,52,65,50,138281,138864,4939,245,160,110,166789,172246,132220,4559,4792,305,224418,366290,204793,10011,15812,609,88071,319298,188632,13305,30099,1665,54828,288526,158582,10204,31365,3917,27879,231945,121158,5957,19400,7198,11406,165117,66063,2217,6746,10968,4044,90041,19468,532,1365,11432,1491,34296,896271,47086,109804,36251,717212,1806629,631,60,66,64,133735,134561,11451,587,328,125,156317,168809,166473,7535,8186,590,195083,377870,208102,14126,24620,1841,79711,328400,189652,16725,45633,5484,47579,305066,154113,11889,46023,14530,24125,250678,108913,5978,29957,30085,9469,184411,48121,1850,10254,47123,3948,111296,9909,318,2611,43129,2256,58219,897367,59060,167677,142970,652224,1919303,1044,112,131,116,272022,273424,16395,829,483,236,323107,341054,298691,12098,12983,894,419505,744159,412902,24137,40428,2454,167779,647695,378281,30023,75725,7151,102406,593592,312697,22097,77390,18439,52007,482623,230073,11937,49358,37284,20876,349520,114187,4067,17003,58089,7988,201334,29379,853,3977,54558,3747,92512,1793641,106153,277484,179220,1369436,3725933
RA21,54,17,23,11,35302,35409,828,57,24,12,30124,31052,19975,1120,788,65,36073,58022,36925,2750,3633,192,19966,63462,44146,4115,9260,557,15640,73715,49325,3725,11911,1544,9517,76020,44628,2533,8482,3091,4075,62816,21934,752,2669,4129,1494,30974,5694,139,425,3637,495,10386,223517,15203,37223,13237,152687,441862,88,14,8,22,32758,32883,1490,154,36,33,27555,29275,25545,1841,1272,113,32372,61144,39767,3863,5563,450,18049,67694,46613,4875,12788,1606,12684,78557,50077,3874,14792,4400,6837,79981,40497,2003,9790,9626,2618,64529,15855,510,2949,14656,1092,35061,2994,105,694,13235,589,17618,222931,17239,47893,44139,134547,466745,146,26,34,27,68062,68294,2321,212,61,48,57681,60323,45525,2966,2058,184,68441,119172,76692,6613,9196,639,38014,131149,90755,8983,22047,2162,28322,152272,99405,7600,26706,5939,16355,155999,85123,4535,18275,12721,6696,127348,37785,1265,5618,18781,2590,66036,8689,246,1120,16872,1078,28004,446444,32445,85116,57372,287231,908600
RA22,19,3,3,9,7310,7337,179,17,9,0,5738,5936,3907,198,164,3,7409,11681,6886,575,681,40,4093,12269,9568,895,1978,147,3696,16287,11916,986,3038,369,2525,18821,11105,719,2429,826,1240,16316,5712,212,711,1096,483,8210,1530,36,123,984,153,2822,50816,3635,9127,3465,32644,99691,15,4,3,3,6774,6803,348,38,5,10,5085,5490,4998,393,216,29,6494,12133,7778,741,1065,116,3518,13221,10349,1045,2543,346,2595,16873,12139,845,3121,1101,1381,18590,9956,431,2092,2371,520,15380,4142,111,639,3876,260,9025,819,13,114,3408,147,4505,50555,3625,9796,11261,26784,102019,29,5,7,8,14084,14141,530,52,12,7,10825,11429,8908,594,380,32,13904,23816,14662,1318,1750,153,7607,25486,19919,1943,4518,490,6290,33164,24050,1826,6160,1472,3908,37410,21058,1155,4522,3194,1763,31698,9853,322,1346,4970,743,17239,2354,54,236,4395,295,7324,101375,7261,18924,14724,59425,201709
RA23,0,0,0,0,57,57,0,0,0,0,51,50,28,0,3,0,76,106,79,3,0,0,59,136,110,11,21,0,60,212,181,15,52,11,56,306,179,16,56,7,38,295,90,7,14,21,12,147,31,3,0,15,4,50,696,59,145,53,402,1356,0,0,0,0,67,67,4,0,0,0,38,40,40,0,0,0,49,88,88,5,10,0,47,148,112,13,32,3,35,201,181,10,45,17,27,283,164,9,35,38,10,255,70,3,10,48,0,128,5,0,0,47,4,59,668,35,127,161,273,1260,0,0,0,0,121,121,3,0,0,0,83,90,69,0,3,0,121,199,162,5,11,0,106,286,227,27,53,3,103,404,365,26,96,34,84,597,342,29,84,51,41,545,159,12,19,70,10,274,37,3,4,60,7,109,1363,92,276,211,677,2617
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,3,6,0,0,0,0,11,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,9,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,3,6,0,0,0,0,11,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,9,25
RA29,0,0,4,0,175,180,10,0,0,0,438,447,124,48,14,3,864,1052,119,110,71,3,518,813,101,102,122,7,303,628,142,57,139,8,115,460,134,37,67,14,34,283,30,5,11,7,17,72,3,0,0,4,3,9,653,351,422,46,2462,3942,0,0,0,0,173,178,20,5,4,0,420,453,134,40,19,3,603,795,98,50,59,7,271,479,80,52,89,5,113,347,164,26,100,22,40,352,108,19,44,19,14,204,26,0,8,15,3,49,3,0,3,17,3,28,623,196,328,91,1647,2883,0,0,4,0,350,357,27,5,9,3,852,898,259,87,32,7,1463,1848,209,159,125,7,782,1295,177,157,206,15,421,975,306,85,238,33,161,816,238,50,113,34,49,482,53,5,16,21,17,121,8,0,3,20,3,38,1273,544,752,140,4106,6825
