RA_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
RA20,38411,35577,73983,123964,115204,239165,38328,37655,75982,20869,21553,42420,183158,174411,357565,78151,73195,151340,31908,33467,65370,30236,31019,61251,140287,137678,277966,11094,10198,21294,7418,10673,18092,10796,5073,15872,11513,14977,26489,379,316,692,41198,41241,82437,80051,91314,171363,27490,30795,58286,6520,8217,14736,18606,29304,47909,486,654,1139,133160,160274,293435,8759,10505,19259,10794,20031,30827,287,415,704,19840,30954,50789,144851,148522,293370,700908,728648,1429554
RA21,9114,8296,17412,31815,29271,61088,11703,11466,23174,4002,4069,8073,47529,44807,92333,19870,19040,38906,10268,10323,20591,5655,5771,11428,35792,35134,70929,1647,1874,3516,698,1567,2260,3381,1919,5299,2398,4125,6529,90,84,180,8212,9573,17792,4849,7694,12547,1598,3151,4743,681,1258,1936,2527,5960,8490,44,83,125,9694,18150,27849,1096,1130,2226,1569,3299,4864,73,78,153,2730,4507,7240,47252,46503,93751,160322,166980,327303
RA22,1808,1682,3487,6905,6385,13290,1822,1783,3606,809,715,1520,9536,8881,18417,5396,5262,10653,1469,1569,3036,597,664,1256,7459,7485,14948,267,319,582,118,250,377,575,406,982,483,829,1313,29,20,47,1469,1832,3298,351,786,1135,139,425,561,92,205,294,361,1005,1359,6,13,23,947,2429,3376,174,242,417,262,621,881,19,20,39,452,888,1337,11914,11845,23764,33579,35042,68623
RA23,15,17,32,99,92,192,0,0,0,10,6,13,105,97,203,74,89,163,0,0,0,0,3,4,79,90,169,0,0,0,0,0,0,10,3,13,3,3,3,0,0,0,13,10,23,3,4,4,0,0,0,0,3,3,0,13,21,0,0,0,3,27,27,0,0,5,0,3,3,0,0,0,0,10,11,139,125,268,355,379,737
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,0,6
RA29,27,25,49,63,82,139,9,10,17,7,8,23,76,101,179,49,53,102,5,3,4,20,8,30,67,66,137,16,25,43,11,22,35,7,4,13,13,27,38,0,3,4,55,82,139,78,125,206,43,45,90,6,15,23,12,29,43,3,0,4,147,220,366,18,26,49,36,30,66,0,0,0,58,63,114,1310,734,2042,1743,1279,3025
