RA_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
RA20,21642,66227,18696,14970,2972,162989,29966,16252,87423,39812,41268,7359,222085,2750,1356,11197,5268,6573,919,28066,3565,1434,10279,10234,29546,1939,56994,5871,1420,17232,9728,18882,8577,61713,188827,76178,528898,249720,397631,55346,1496607
RA21,5427,15300,4977,5211,786,36330,4291,4425,17938,11880,15691,2313,56531,267,178,1146,997,1880,250,4724,289,214,1094,1849,9505,504,13455,300,212,1447,1389,5579,2063,10999,15826,15196,70160,53372,142459,15969,312975
RA22,1022,3080,981,1182,146,6837,569,672,3098,2493,3511,507,10848,24,18,173,143,358,36,746,27,26,160,312,1979,111,2616,38,34,191,286,1164,503,2223,1875,2453,12039,10543,30494,3931,61329
RA23,18,48,11,22,9,118,4,9,27,21,40,0,99,0,0,5,0,7,0,16,0,0,0,3,7,3,15,0,0,3,0,8,4,18,24,33,148,96,308,43,652
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,12,0,22
RA29,6,38,9,7,7,99,22,17,51,39,34,9,168,4,3,20,7,7,0,47,3,0,14,10,30,4,67,12,0,14,8,27,21,79,138,57,428,187,437,87,1337
