ID   Incubator    Occasion        Dish Temperature        Size
 1           1           1           1          23       13.15
 2           1           1           2          23       13.40
 3           1           1           3          23       13.90
 4           1           2           1          35        3.55
 5           1           2           2          35        3.65
 6           1           2           3          35        3.65
 7           1           3           1          30       13.80
 8           1           3           2          30       14.45
 9           1           3           3          30       14.35
10           2           1           1          30       13.35
11           2           1           2          30       13.70
12           2           1           3          30       14.30
13           2           2           1          23       13.15
14           2           2           2          23       12.55
15           2           2           3          23       12.55
16           2           3           1          35        3.95
17           2           3           2          35        3.75
18           2           3           3          35        4.05
19           3           1           1          35        4.25
20           3           1           2          35        4.30
21           3           1           3          35        4.20
22           3           2           1          30       13.70
23           3           2           2          30       13.15
24           3           2           3          30       13.10
25           3           3           1          23       13.75
26           3           3           2          23       12.55
27           3           3           3          23       13.05
