SOSR_CODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
SOSR201,4980,10369,7485,5381,7401,3863,1947,41426,643,417,288,227,320,207,145,2244,275,371,303,220,322,222,125,1842,9587,19430,14983,11469,17738,10291,5741,89244,575,1129,748,557,853,488,249,4602,878,1808,1115,694,790,419,206,5910,1457,2942,1861,1250,1646,907,449,10507,11043,22369,16846,12721,19381,11200,6192,99753,13907,13401,7633,5171,6861,3609,2149,52731,317,357,233,176,146,72,43,1349,25264,36127,24711,18072,26393,14883,8388,153834
SOSR203,315,502,399,274,382,152,64,2094,46,30,21,11,27,4,7,149,6,9,10,9,11,4,3,58,506,878,710,548,853,359,160,4015,25,81,47,40,45,6,7,259,52,97,61,31,41,12,3,294,86,178,108,70,91,21,12,552,591,1055,816,612,943,378,174,4570,899,843,413,320,368,126,58,3035,18,24,15,11,10,3,3,82,1503,1925,1248,940,1323,503,238,7678
SOSR211,679,1313,865,531,776,208,65,4444,117,93,45,36,41,15,4,348,22,24,22,18,27,3,9,123,1095,2092,1510,1064,1712,555,206,8234,88,204,127,77,93,20,8,607,169,299,151,89,108,21,9,846,252,502,277,170,197,37,11,1455,1346,2595,1789,1235,1903,595,215,9693,2305,2066,1055,613,642,178,80,6938,32,36,17,6,7,3,0,108,3684,4696,2861,1856,2555,780,298,16731
SOSR212,352,745,501,357,492,123,42,2614,60,30,25,16,37,6,7,174,13,33,13,9,20,3,0,94,615,1182,895,721,1130,308,109,4963,43,89,61,39,44,10,4,296,78,151,72,51,55,11,4,423,123,246,131,91,98,23,8,716,736,1425,1018,818,1228,333,115,5673,1211,1018,482,323,343,87,30,3494,26,27,13,9,9,0,0,88,1973,2468,1513,1149,1576,427,146,9251
SOSR213,586,1127,734,523,755,184,54,3964,63,61,29,31,40,9,3,241,19,25,29,19,20,8,0,112,856,1734,1265,981,1513,438,126,6923,48,121,82,51,71,21,3,404,92,212,121,60,71,18,7,578,133,332,205,112,136,43,6,979,990,2067,1474,1096,1657,475,133,7900,1682,1427,714,481,513,123,27,4972,41,36,16,11,12,7,0,126,2713,3535,2211,1593,2182,605,159,12997
SOSR214,260,571,408,301,400,106,20,2072,46,32,24,18,36,8,0,163,8,12,11,13,6,0,0,54,412,903,703,589,849,245,48,3753,19,79,40,27,32,4,3,208,39,89,50,35,28,4,0,246,61,166,88,60,65,15,3,453,467,1075,793,653,908,261,52,4209,880,773,375,286,277,69,21,2680,13,14,16,10,7,0,0,59,1357,1863,1180,948,1193,328,69,6942
SOSR215,446,997,650,429,599,129,41,3295,43,46,28,22,40,5,0,184,14,20,17,9,20,5,4,95,663,1469,1077,799,1205,303,90,5603,17,79,53,44,66,12,3,272,52,128,75,33,58,5,3,357,67,207,129,72,124,25,3,631,729,1676,1205,875,1325,321,93,6233,1121,1106,559,357,405,98,30,3677,15,19,19,14,7,3,0,76,1865,2802,1782,1243,1741,428,127,9980
SOSR221,88,214,176,120,140,33,9,776,12,12,11,7,10,0,0,56,3,4,0,3,8,3,0,22,132,327,272,200,294,65,17,1304,5,27,9,9,10,3,0,70,14,41,23,13,7,3,0,95,18,64,30,27,19,9,3,168,153,396,302,222,310,69,17,1471,263,264,162,87,102,28,3,900,10,8,4,0,3,3,0,25,425,668,462,312,418,94,26,2399
SOSR222,57,146,93,68,84,23,3,474,0,10,5,6,0,0,0,19,3,3,3,0,0,0,0,10,91,234,164,129,171,48,6,834,3,18,15,13,13,8,0,68,0,17,10,5,11,3,0,51,7,34,27,13,22,8,3,119,95,271,191,147,195,54,11,957,170,189,72,62,64,18,0,579,3,4,3,0,4,0,0,12,270,459,267,212,262,71,15,1545
SOSR231,402,776,614,440,612,182,55,3074,60,37,35,20,31,11,9,202,22,23,20,22,32,3,3,116,683,1364,1169,871,1319,363,152,5918,17,76,67,40,54,9,3,257,68,142,72,56,45,11,3,396,90,219,145,92,94,21,4,660,768,1578,1307,965,1414,382,157,6572,1048,1063,579,374,459,120,35,3667,25,32,29,15,19,4,0,123,1841,2673,1913,1356,1888,502,186,10361
