SOSR_CODE_2016,M_Y12e_15_19,M_Y12e_20_24,M_Y12e_25_34,M_Y12e_35_44,M_Y12e_45_54,M_Y12e_55_64,M_Y12e_65_74,M_Y12e_75_84,M_Y12e_85ov,M_Y12e_Tot,M_Y11e_15_19,M_Y11e_20_24,M_Y11e_25_34,M_Y11e_35_44,M_Y11e_45_54,M_Y11e_55_64,M_Y11e_65_74,M_Y11e_75_84,M_Y11e_85ov,M_Y11e_Tot,M_Y10e_15_19,M_Y10e_20_24,M_Y10e_25_34,M_Y10e_35_44,M_Y10e_45_54,M_Y10e_55_64,M_Y10e_65_74,M_Y10e_75_84,M_Y10e_85ov,M_Y10e_Tot,M_Y9e_15_19,M_Y9e_20_24,M_Y9e_25_34,M_Y9e_35_44,M_Y9e_45_54,M_Y9e_55_64,M_Y9e_65_74,M_Y9e_75_84,M_Y9e_85ov,M_Y9e_Tot,M_Y8b_15_19,M_Y8b_20_24,M_Y8b_25_34,M_Y8b_35_44,M_Y8b_45_54,M_Y8b_55_64,M_Y8b_65_74,M_Y8b_75_84,M_Y8b_85ov,M_Y8b_Tot,M_DNGTS_15_19,M_DNGTS_20_24,M_DNGTS_25_34,M_DNGTS_35_44,M_DNGTS_45_54,M_DNGTS_55_64,M_DNGTS_65_74,M_DNGTS_75_84,M_DNGTS_85_ov,M_DNGTS_Tot,M_Hghst_yr_schl_ns_15_19,M_Hghst_yr_schl_ns_20_24,M_Hghst_yr_schl_ns_25_34,M_Hghst_yr_schl_ns_35_44,M_Hghst_yr_schl_ns_45_54,M_Hghst_yr_schl_ns_55_64,M_Hghst_yr_schl_ns_65_74,M_Hghst_yr_schl_ns_75_84,M_Hghst_yr_schl_ns_85_ovr,M_Hghst_yr_schl_ns_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Y12e_15_19,F_Y12e_20_24,F_Y12e_25_34,F_Y12e_35_44,F_Y12e_45_54,F_Y12e_55_64,F_Y12e_65_74,F_Y12e_75_84,F_Y12e_85ov,F_Y12e_Tot,F_Y11e_15_19,F_Y11e_20_24,F_Y11e_25_34,F_Y11e_35_44,F_Y11e_45_54,F_Y11e_55_64,F_Y11e_65_74,F_Y11e_75_84,F_Y11e_85ov,F_Y11e_Tot,F_Y10e_15_19,F_Y10e_20_24,F_Y10e_25_34,F_Y10e_35_44,F_Y10e_45_54,F_Y10e_55_64,F_Y10e_65_74,F_Y10e_75_84,F_Y10e_85ov,F_Y10e_Tot,F_Y9e_15_19,F_Y9e_20_24,F_Y9e_25_34,F_Y9e_35_44,F_Y9e_45_54,F_Y9e_55_64,F_Y9e_65_74,F_Y9e_75_84,F_Y9e_85ov,F_Y9e_Tot,F_Y8b_15_19,F_Y8b_20_24,F_Y8b_25_34,F_Y8b_35_44,F_Y8b_45_54,F_Y8b_55_64,F_Y8b_65_74,F_Y8b_75_84,F_Y8b_85ov,F_Y8b_Tot,F_DNGTS_15_19,F_DNGTS_20_24,F_DNGTS_25_34,F_DNGTS_35_44,F_DNGTS_45_54,F_DNGTS_55_64,F_DNGTS_65_74,F_DNGTS_75_84,F_DNGTS_85_ov,F_DNGTS_Tot,F_Hghst_yr_schl_ns_15_19,F_Hghst_yr_schl_ns_20_24,F_Hghst_yr_schl_ns_25_34,F_Hghst_yr_schl_ns_35_44,F_Hghst_yr_schl_ns_45_54,F_Hghst_yr_schl_ns_55_64,F_Hghst_yr_schl_ns_65_74,F_Hghst_yr_schl_ns_75_84,F_Hghst_yr_schl_ns_85_ovr,F_Hghst_yr_schl_ns_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Y12e_15_19,P_Y12e_20_24,P_Y12e_25_34,P_Y12e_35_44,P_Y12e_45_54,P_Y12e_55_64,P_Y12e_65_74,P_Y12e_75_84,P_Y12e_85ov,P_Y12e_Tot,P_Y11e_15_19,P_Y11e_20_24,P_Y11e_25_34,P_Y11e_35_44,P_Y11e_45_54,P_Y11e_55_64,P_Y11e_65_74,P_Y11e_75_84,P_Y11e_85ov,P_Y11e_Tot,P_Y10e_15_19,P_Y10e_20_24,P_Y10e_25_34,P_Y10e_35_44,P_Y10e_45_54,P_Y10e_55_64,P_Y10e_65_74,P_Y10e_75_84,P_Y10e_85ov,P_Y10e_Tot,P_Y9e_15_19,P_Y9e_20_24,P_Y9e_25_34,P_Y9e_35_44,P_Y9e_45_54,P_Y9e_55_64,P_Y9e_65_74,P_Y9e_75_84,P_Y9e_85ov,P_Y9e_Tot
SOSR201,34993,124092,261150,213290,147313,108735,64757,25491,8600,988420,5574,10019,20094,23670,42765,28983,14546,5798,1770,153213,5213,9569,22975,25792,37517,32816,23413,11711,3598,172611,1912,2550,6277,7039,10835,12425,12301,7281,2548,63164,864,1382,4153,4755,6585,9968,17970,18361,8176,72223,209,923,2512,2588,3042,3167,3119,3115,1218,19887,6075,10398,24927,19086,17004,14800,13322,10863,5719,122196,54839,158925,342091,296215,265064,210888,149432,82629,31627,1591719,38003,131014,291773,240242,170413,112837,57295,23398,9558,1074530,3737,6511,13567,17244,41365,32509,18707,8209,3003,144852,3352,5629,14230,16625,31499,35414,30980,15538,6955,160221,1251,1629,3771,5091,9303,13603,14497,9103,4772,63008,561,948,3337,4651,7095,13352,25925,25848,15277,96997,133,576,2257,2709,3797,4710,4698,5903,2613,27391,5924,9681,23806,17598,16324,15299,15576,14323,11330,129858,52956,155983,352737,304151,279797,227721,167673,102322,53511,1696851,72998,255100,552925,453523,317727,221571,122054,48893,18158,2062949,9306,16527,33656,40916,84130,61495,33247,14007,4772,298062,8566,15196,37210,42414,69015,68223,54393,27248,10556,332826,3160,4180,10045,12131,20136,26032,26793,16381,7322,126180
SOSR203,1114,4132,7083,5777,3543,3170,1996,842,320,27978,302,632,1122,1250,2492,1817,776,250,107,8746,296,570,1137,1158,1736,1791,1474,626,203,9004,110,151,329,386,617,745,814,474,164,3788,64,83,167,225,264,429,801,876,428,3327,8,29,66,68,69,60,73,63,30,450,255,377,729,608,754,681,731,609,348,5102,2151,5975,10632,9465,9475,8698,6661,3744,1596,58390,1365,4533,8386,7035,4744,3560,1850,865,357,32689,213,406,721,995,2360,1933,1047,466,156,8284,212,422,809,896,1700,2029,1834,854,393,9159,86,100,215,308,567,887,951,682,342,4137,39,57,151,183,239,532,1121,1157,929,4407,3,14,54,72,79,68,90,101,58,548,250,372,701,588,708,743,822,903,757,5842,2171,5907,11029,10066,10398,9755,7713,5019,2993,65059,2483,8664,15464,12808,8285,6729,3845,1706,679,60665,517,1033,1835,2244,4853,3748,1819,720,268,17031,511,998,1948,2055,3440,3821,3309,1476,595,18158,202,255,542,687,1179,1628,1762,1154,505,7923
SOSR211,1763,6139,10714,8674,5265,4620,3047,1165,371,41760,606,1183,2082,2331,3561,2864,1368,495,122,14611,703,1384,2940,3014,4009,3718,2755,1102,264,19885,257,351,881,796,1309,1575,1672,877,214,7933,105,143,365,367,494,833,1452,1277,601,5634,8,31,107,115,140,110,75,52,14,650,535,719,1374,1236,1256,1288,1271,951,468,9104,3989,9956,18458,16536,16035,15013,11641,5913,2054,99580,2165,7097,13726,11296,7115,5391,2820,1192,522,51320,430,928,1675,2003,3780,3532,1752,689,211,15001,503,995,2196,2311,3687,4081,3435,1482,579,19275,182,244,480,563,1126,1787,1805,1027,452,7659,75,94,277,264,414,846,1729,1624,1189,6510,3,26,94,128,144,92,93,57,23,661,528,707,1391,1167,1304,1357,1474,1427,921,10283,3889,10099,19837,17734,17570,17092,13105,7491,3899,110711,3930,13237,24439,19975,12380,10013,5871,2352,894,93084,1041,2111,3756,4334,7340,6394,3118,1180,332,29617,1209,2381,5140,5328,7701,7800,6190,2584,840,39156,437,591,1359,1359,2432,3365,3475,1912,663,15593
SOSR212,970,3054,6082,5040,3420,2959,1677,691,233,24130,452,835,1428,1546,2505,1957,848,273,89,9942,466,752,1605,1676,2493,2309,1788,697,169,11961,145,206,466,540,782,930,1059,536,186,4854,62,92,272,278,309,534,1091,1063,472,4170,19,31,120,125,141,105,87,64,24,721,358,433,899,770,938,961,934,697,338,6327,2475,5407,10881,9976,10581,9764,7475,4032,1507,62093,1080,3719,7908,6860,4638,3240,1546,732,280,30004,302,556,990,1296,2784,2432,1109,457,135,10059,304,510,1159,1248,2226,2404,2235,1044,356,11492,111,157,300,320,662,1038,1128,676,279,4673,46,76,164,207,300,584,1168,1266,909,4724,13,31,101,118,86,79,94,79,44,633,355,397,865,763,859,956,1094,1065,726,7078,2213,5439,11484,10818,11552,10731,8375,5320,2729,68667,2055,6771,13990,11897,8059,6202,3221,1419,516,54130,756,1391,2419,2847,5289,4391,1960,730,227,20003,768,1270,2764,2923,4721,4710,4026,1743,525,23456,260,367,765,861,1440,1964,2182,1214,466,9524
SOSR213,1304,3759,7737,7509,4745,4716,3383,1450,454,35061,579,1114,2023,2312,3831,3150,1622,598,148,15367,570,1072,2314,2469,3707,3728,3053,1267,332,18506,211,302,633,705,1088,1437,1710,1003,267,7355,75,129,256,284,432,730,1513,1644,829,5888,13,24,65,81,108,92,71,57,21,520,435,547,1036,1095,1218,1299,1430,1167,605,8837,3188,6941,14054,14455,15129,15146,12786,7186,2650,91531,1454,4483,10615,10249,6905,5439,3035,1484,618,44273,452,768,1505,1916,4190,3803,2158,951,304,16045,415,736,1525,1786,3043,3782,3780,1841,635,17545,140,180,395,491,1000,1607,1820,1171,490,7307,51,57,180,207,327,755,1738,1879,1601,6801,3,16,37,58,83,72,68,92,45,477,437,506,995,1017,1241,1436,1657,1619,1152,10062,2947,6753,15259,15727,16785,16898,14250,9039,4845,102508,2758,8240,18355,17761,11650,10155,6420,2933,1072,79339,1028,1879,3524,4227,8023,6955,3774,1543,453,31407,985,1804,3836,4257,6746,7507,6835,3110,968,36047,354,484,1022,1196,2090,3044,3533,2180,758,14661
SOSR214,647,1872,3179,3409,2497,2508,2159,994,314,17582,329,569,942,1142,1980,1839,955,366,108,8213,342,578,1185,1313,2149,2196,2109,961,248,11073,137,175,357,406,702,980,1257,662,217,4895,62,69,161,141,266,530,1105,1118,552,4006,3,6,49,35,43,48,44,42,23,299,252,322,792,748,900,944,1054,883,417,6320,1770,3586,6664,7203,8540,9045,8690,5023,1866,52384,708,2026,4591,5037,3693,3070,2096,991,409,22616,184,344,706,970,2216,2077,1385,566,170,8607,248,394,795,849,1824,2286,2467,1185,477,10525,90,114,182,254,570,999,1299,789,392,4682,42,53,78,119,177,465,1215,1242,1019,4411,3,6,16,27,37,41,39,39,28,238,258,215,545,634,748,944,1270,1205,768,6601,1529,3152,6924,7884,9260,9879,9774,6022,3258,57687,1357,3894,7773,8444,6189,5580,4252,1988,718,40199,510,913,1647,2107,4191,3911,2340,929,274,16818,582,964,1983,2161,3977,4479,4572,2145,724,21597,228,296,541,660,1269,1976,2559,1451,604,9577
SOSR215,990,2741,5365,5764,3781,4265,3547,1501,516,28479,434,877,1594,1887,3197,2910,1550,541,147,13133,504,819,1988,2255,3566,3604,3057,1304,323,17422,159,253,558,686,1146,1498,1808,953,290,7357,67,91,225,254,416,749,1684,1661,859,6010,0,12,32,34,77,50,60,55,15,335,362,448,831,888,1260,1467,1553,1227,581,8618,2520,5239,10604,11776,13446,14548,13264,7248,2731,81366,1053,3333,7977,8245,5884,5195,3412,1531,704,37333,305,514,1134,1575,3504,3316,2088,844,305,13578,304,515,1178,1436,2836,3511,3426,1713,601,15519,106,128,302,370,843,1467,1759,1066,537,6585,32,44,122,146,259,660,1569,1736,1524,6096,5,10,33,37,62,48,47,63,35,347,384,371,820,949,1148,1500,1658,1541,1101,9487,2197,4919,11567,12756,14543,15697,13957,8494,4814,88939,2041,6081,13346,14009,9667,9464,6955,3035,1219,65812,733,1386,2725,3465,6702,6224,3638,1389,455,26711,807,1334,3173,3690,6400,7112,6484,3018,926,32939,270,381,859,1062,1988,2959,3564,2022,830,13944
SOSR221,253,641,1209,1476,1134,1305,1215,417,112,7767,118,208,429,534,1006,963,496,158,37,3948,143,217,531,649,1107,1271,968,402,66,5355,58,66,141,223,371,522,592,275,64,2307,21,17,67,65,145,244,515,448,199,1721,0,3,4,4,9,17,14,9,3,63,103,89,214,273,354,504,558,314,155,2571,693,1245,2594,3224,4131,4820,4362,2023,633,23732,271,759,1829,2154,1707,1632,1064,413,138,9978,93,144,296,466,1069,969,607,232,51,3926,75,141,315,444,835,1079,994,417,116,4417,37,31,85,119,271,500,502,239,92,1876,7,7,26,35,91,160,424,419,305,1485,0,0,3,3,13,10,17,14,3,69,96,74,211,279,342,477,519,373,263,2634,585,1157,2764,3499,4332,4824,4138,2113,972,24388,526,1402,3038,3633,2840,2936,2279,824,254,17741,214,351,726,1002,2073,1932,1109,389,85,7874,218,354,853,1093,1946,2345,1960,821,181,9770,91,93,228,339,647,1023,1098,517,157,4185
SOSR222,181,438,822,940,700,882,627,215,49,4848,86,128,243,331,658,578,282,63,15,2394,86,118,331,416,763,854,607,179,39,3391,30,28,101,133,246,360,424,143,37,1508,13,16,38,35,69,208,368,259,113,1118,3,0,7,6,6,5,10,4,3,47,88,88,178,196,288,343,317,177,85,1752,488,813,1726,2050,2737,3226,2638,1043,344,15058,177,491,1191,1364,1107,1028,569,190,75,6187,48,82,179,276,676,697,330,99,28,2412,40,71,169,256,566,691,584,193,63,2635,25,22,47,83,161,317,305,144,45,1154,6,8,19,29,48,114,248,213,169,858,0,3,7,3,4,3,4,8,0,29,83,79,172,224,270,312,297,212,113,1764,378,748,1786,2236,2826,3166,2340,1052,502,15035,357,923,2017,2296,1802,1908,1198,406,123,11035,136,206,425,601,1337,1273,616,160,42,4798,127,182,503,674,1335,1543,1185,371,101,6028,56,54,155,212,407,674,732,284,85,2660
SOSR231,2380,5614,8266,10518,9388,11100,7611,2138,440,57454,1081,1642,2461,3914,7999,7088,3317,832,151,28491,1055,1567,3216,4617,8637,8764,6079,1889,303,36127,340,342,957,1412,2825,3519,3595,1414,267,14673,109,132,367,436,785,1536,3467,2409,829,10076,13,15,55,63,78,61,134,120,39,582,981,1019,2567,2931,3545,3619,3191,1602,460,19922,5960,10339,17891,23882,33262,35696,27394,10409,2499,167334,2539,6431,12212,16141,14638,13175,6638,1669,462,73906,533,763,1566,2753,7906,6992,3646,940,207,25317,489,659,1624,2428,5686,6545,5263,1727,449,24870,221,142,338,623,1589,2479,2394,983,280,9053,65,62,138,193,425,1067,2300,1680,843,6781,17,10,44,37,51,67,88,122,42,474,862,709,1400,1913,2852,3040,2608,1333,478,15190,4724,8779,17326,24088,33136,33373,22934,8461,2765,155581,4915,12048,20484,26659,24023,24276,14253,3810,899,131365,1611,2411,4029,6662,15903,14086,6967,1774,366,53808,1542,2223,4840,7045,14321,15311,11337,3616,756,60995,565,482,1295,2030,4410,6006,5985,2402,546,23729
