SOSR_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
SOSR201,888,1754,6596,361,436,3667,13708,241,1616,397,330,99,43,2729,1150,13640,2563,829,498,193,18871,3293,5580,4248,1476,719,148,15452,4870,2807,3561,663,550,110,12563,21284,2641,7271,867,1342,214,33622,86787,2750,17237,677,2235,432,110121,108272,1344,14456,287,1295,348,126002,46652,248,6944,126,479,149,54595,21575,98,3314,49,224,65,25320,9739,56,1575,23,102,32,11526,4825,31,954,24,58,21,5914,2480,17,476,3,39,10,3026,5605,15,1120,3,108,35,6887,6071,2235,4243,613,731,640,14539,323735,34833,74963,6342,8916,6096,454883
SOSR203,22,150,211,18,55,146,598,13,114,26,25,14,3,198,140,1039,211,106,38,21,1554,740,412,436,150,52,11,1799,736,206,352,107,41,11,1459,2308,236,664,70,68,24,3363,4124,134,781,40,63,12,5165,2587,26,395,26,46,14,3091,507,8,101,0,7,0,620,135,0,32,3,3,0,167,35,0,20,0,0,0,52,21,0,18,0,0,0,41,9,0,9,0,0,0,19,31,0,17,0,0,0,47,186,145,124,46,63,30,592,11581,2476,3395,598,452,275,18771
SOSR211,40,218,314,27,57,210,873,22,174,45,39,10,9,298,474,1694,385,106,45,39,2742,1600,821,686,180,80,30,3390,1673,453,821,149,62,23,3182,6548,320,1413,121,259,42,8702,7670,79,1126,26,165,37,9104,2471,24,363,14,47,17,2941,240,4,72,4,17,3,350,51,9,23,0,6,3,95,25,4,12,0,0,0,42,13,0,7,0,3,0,30,7,0,8,0,0,0,15,17,3,14,0,0,4,43,282,245,210,56,51,43,883,21149,4047,5500,736,804,454,32687
SOSR212,28,147,209,26,37,113,561,28,113,37,21,12,5,213,323,1049,252,95,68,27,1813,1425,570,568,152,88,35,2836,1288,294,515,54,71,18,2242,2637,157,731,38,68,15,3643,3807,57,682,29,68,16,4650,1626,20,256,6,33,4,1950,167,0,39,0,4,6,221,30,0,15,0,3,0,57,14,0,6,0,0,0,23,8,0,3,0,0,0,8,7,3,0,0,0,0,10,22,0,12,0,5,0,36,183,156,133,36,40,33,580,11597,2576,3450,451,503,262,18847
SOSR213,40,243,349,43,63,254,990,46,355,51,50,14,6,526,642,1435,385,107,78,32,2676,2041,782,810,183,111,46,3979,1517,278,727,97,67,21,2704,3346,215,939,49,125,28,4698,4216,57,809,15,94,21,5207,2612,27,423,12,37,16,3120,502,10,117,0,6,3,643,111,0,11,0,3,0,131,33,0,5,0,0,0,39,12,0,11,0,0,0,17,7,0,0,0,0,0,4,13,0,19,0,5,0,41,269,199,209,53,57,42,833,15399,3601,4871,616,653,465,25612
SOSR214,20,118,196,41,37,195,606,18,97,36,24,14,6,192,324,856,287,99,76,23,1664,1067,397,588,85,93,31,2263,951,181,516,25,53,21,1741,2148,104,602,30,63,16,2952,2093,34,421,16,32,19,2614,867,12,169,7,9,3,1065,116,4,37,0,0,0,161,31,0,10,0,3,0,42,11,0,8,0,0,0,20,10,0,0,0,0,0,14,4,0,7,0,0,0,7,20,0,10,0,0,0,29,131,121,129,21,42,26,475,7816,1928,3002,340,424,329,13843
SOSR215,32,119,363,56,102,344,1010,28,138,68,82,35,9,359,399,863,539,131,165,41,2130,1388,429,1000,93,125,30,3072,1141,96,757,37,81,15,2116,2204,66,817,19,87,16,3204,2699,39,719,3,51,21,3528,1297,9,291,0,25,15,1635,143,3,53,3,3,3,202,31,0,14,0,4,0,53,12,0,8,0,4,0,24,9,0,8,0,0,0,13,0,0,8,0,0,0,12,19,0,25,0,0,0,45,167,111,184,32,45,32,568,9567,1863,4849,450,726,516,17975
SOSR221,5,27,148,15,53,105,357,5,52,33,13,8,3,117,90,102,218,32,70,12,521,221,19,331,24,61,7,662,217,8,224,6,30,6,489,506,7,229,7,14,3,758,423,0,129,0,11,4,574,167,0,66,4,0,3,238,31,0,12,0,0,0,42,3,0,3,0,3,0,8,0,0,4,0,0,0,4,3,0,9,0,0,0,7,0,0,0,0,0,0,0,0,0,12,0,0,0,15,21,17,50,3,25,6,128,1697,243,1446,108,280,143,3923
SOSR222,4,20,112,4,48,70,252,10,35,20,3,13,0,78,55,30,129,4,25,3,254,138,18,201,10,23,9,391,122,0,128,0,11,0,266,222,0,121,0,13,0,356,162,0,80,0,9,0,250,71,0,44,0,3,3,127,18,0,10,0,0,0,33,8,0,9,0,0,0,22,3,0,0,0,0,0,7,0,0,3,0,0,0,7,0,0,5,0,0,0,5,6,0,12,0,11,0,21,7,5,48,4,28,4,96,826,114,919,31,178,88,2159
SOSR231,21,16,1951,14,1041,1579,4633,23,22,276,10,113,3,444,250,35,1223,12,323,29,1865,601,8,1352,13,343,21,2336,480,7,919,6,204,6,1629,863,13,842,3,249,8,1975,1384,10,706,4,168,18,2296,982,3,358,6,59,5,1406,302,0,136,0,18,6,463,138,0,46,0,3,0,189,56,0,27,0,3,0,87,23,0,18,0,0,0,41,9,0,10,0,0,0,21,31,0,42,0,4,3,78,99,15,605,13,443,33,1202,5248,121,8511,85,2978,1713,18658
