SOSR_CODE_2016,M_Neg_Nil_income_15_19_yrs,M_Neg_Nil_income_20_24_yrs,M_Neg_Nil_income_25_34_yrs,M_Neg_Nil_income_35_44_yrs,M_Neg_Nil_income_45_54_yrs,M_Neg_Nil_income_55_64_yrs,M_Neg_Nil_income_65_74_yrs,M_Neg_Nil_income_75_84_yrs,M_Negtve_Nil_incme_85_yrs_ovr,M_Neg_Nil_income_Tot,M_1_149_15_19_yrs,M_1_149_20_24_yrs,M_1_149_25_34_yrs,M_1_149_35_44_yrs,M_1_149_45_54_yrs,M_1_149_55_64_yrs,M_1_149_65_74_yrs,M_1_149_75_84_yrs,M_1_149_85ov,M_1_149_Tot,M_150_299_15_19_yrs,M_150_299_20_24_yrs,M_150_299_25_34_yrs,M_150_299_35_44_yrs,M_150_299_45_54_yrs,M_150_299_55_64_yrs,M_150_299_65_74_yrs,M_150_299_75_84_yrs,M_150_299_85ov,M_150_299_Tot,M_300_399_15_19_yrs,M_300_399_20_24_yrs,M_300_399_25_34_yrs,M_300_399_35_44_yrs,M_300_399_45_54_yrs,M_300_399_55_64_yrs,M_300_399_65_74_yrs,M_300_399_75_84_yrs,M_300_399_85ov,M_300_399_Tot,M_400_499_15_19_yrs,M_400_499_20_24_yrs,M_400_499_25_34_yrs,M_400_499_35_44_yrs,M_400_499_45_54_yrs,M_400_499_55_64_yrs,M_400_499_65_74_yrs,M_400_499_75_84_yrs,M_400_499_85ov,M_400_499_Tot,M_500_649_15_19_yrs,M_500_649_20_24_yrs,M_500_649_25_34_yrs,M_500_649_35_44_yrs,M_500_649_45_54_yrs,M_500_649_55_64_yrs,M_500_649_65_74_yrs,M_500_649_75_84_yrs,M_500_649_85ov,M_500_649_Tot,M_650_799_15_19_yrs,M_650_799_20_24_yrs,M_650_799_25_34_yrs,M_650_799_35_44_yrs,M_650_799_45_54_yrs,M_650_799_55_64_yrs,M_650_799_65_74_yrs,M_650_799_75_84_yrs,M_650_799_85ov,M_650_799_Tot,M_800_999_15_19_yrs,M_800_999_20_24_yrs,M_800_999_25_34_yrs,M_800_999_35_44_yrs,M_800_999_45_54_yrs,M_800_999_55_64_yrs,M_800_999_65_74_yrs,M_800_999_75_84_yrs,M_800_999_85ov,M_800_999_Tot,M_1000_1249_15_19_yrs,M_1000_1249_20_24_yrs,M_1000_1249_25_34_yrs,M_1000_1249_35_44_yrs,M_1000_1249_45_54_yrs,M_1000_1249_55_64_yrs,M_1000_1249_65_74_yrs,M_1000_1249_75_84_yrs,M_1000_1249_85ov,M_1000_1249_Tot,M_1250_1499_15_19_yrs,M_1250_1499_20_24_yrs,M_1250_1499_25_34_yrs,M_1250_1499_35_44_yrs,M_1250_1499_45_54_yrs,M_1250_1499_55_64_yrs,M_1250_1499_65_74_yrs,M_1250_1499_75_84_yrs,M_1250_1499_85ov,M_1250_1499_Tot,M_1500_1749_15_19_yrs,M_1500_1749_20_24_yrs,M_1500_1749_25_34_yrs,M_1500_1749_35_44_yrs,M_1500_1749_45_54_yrs,M_1500_1749_55_64_yrs,M_1500_1749_65_74_yrs,M_1500_1749_75_84_yrs,M_1500_1749_85ov,M_1500_1749_Tot,M_1750_1999_15_19_yrs,M_1750_1999_20_24_yrs,M_1750_1999_25_34_yrs,M_1750_1999_35_44_yrs,M_1750_1999_45_54_yrs,M_1750_1999_55_64_yrs,M_1750_1999_65_74_yrs,M_1750_1999_75_84_yrs,M_1750_1999_85ov,M_1750_1999_Tot,M_2000_2999_15_19_yrs,M_2000_2999_20_24_yrs,M_2000_2999_25_34_yrs,M_2000_2999_35_44_yrs,M_2000_2999_45_54_yrs,M_2000_2999_55_64_yrs,M_2000_2999_65_74_yrs,M_2000_2999_75_84_yrs,M_2000_2999_85ov,M_2000_2999_Tot,M_3000_more_15_19_yrs,M_3000_more_20_24_yrs,M_3000_more_25_34_yrs,M_3000_more_35_44_yrs,M_3000_more_45_54_yrs,M_3000_more_55_64_yrs,M_3000_more_65_74_yrs,M_3000_more_75_84_yrs,M_3000_more_85ov,M_3000_more_Tot,M_PI_NS_15_19_yrs,M_PI_NS_ns_20_24_yrs,M_PI_NS_ns_25_34_yrs,M_PI_NS_ns_35_44_yrs,M_PI_NS_ns_45_54_yrs,M_PI_NS_ns_55_64_yrs,M_PI_NS_ns_65_74_yrs,M_PI_NS_ns_75_84_yrs,M_PI_NS_ns_85_yrs_ovr,M_PI_NS_ns_Tot,M_Tot_15_19_yrs,M_Tot_20_24_yrs,M_Tot_25_34_yrs,M_Tot_35_44_yrs,M_Tot_45_54_yrs,M_Tot_55_64_yrs,M_Tot_65_74_yrs,M_Tot_75_84_yrs,M_Tot_85ov,M_Tot_Tot,F_Neg_Nil_income_15_19_yrs,F_Neg_Nil_income_20_24_yrs,F_Neg_Nil_income_25_34_yrs,F_Neg_Nil_income_35_44_yrs,F_Neg_Nil_income_45_54_yrs,F_Neg_Nil_income_55_64_yrs,F_Neg_Nil_income_65_74_yrs,F_Neg_Nil_income_75_84_yrs,F_Neg_Nil_incme_85_yrs_ovr,F_Neg_Nil_income_Tot,F_1_149_15_19_yrs,F_1_149_20_24_yrs,F_1_149_25_34_yrs,F_1_149_35_44_yrs,F_1_149_45_54_yrs,F_1_149_55_64_yrs,F_1_149_65_74_yrs,F_1_149_75_84_yrs,F_1_149_85ov,F_1_149_Tot,F_150_299_15_19_yrs,F_150_299_20_24_yrs,F_150_299_25_34_yrs,F_150_299_35_44_yrs,F_150_299_45_54_yrs,F_150_299_55_64_yrs,F_150_299_65_74_yrs,F_150_299_75_84_yrs,F_150_299_85ov,F_150_299_Tot,F_300_399_15_19_yrs,F_300_399_20_24_yrs,F_300_399_25_34_yrs,F_300_399_35_44_yrs,F_300_399_45_54_yrs,F_300_399_55_64_yrs,F_300_399_65_74_yrs,F_300_399_75_84_yrs,F_300_399_85ov,F_300_399_Tot
SOSR201,65714,27963,18441,9530,9445,11821,8371,3661,1302,156256,26134,12732,4257,2774,3148,4148,4092,2043,661,59994,10005,18906,13768,9004,9445,11889,13129,8873,2798,97817,3969,12900,11862,7724,9364,12351,25076,20645,6614,110502,3887,12775,13571,8895,9881,11242,17511,12255,5518,95532,3019,14726,18716,11260,11251,11667,14010,7834,2672,95159,1738,15044,28916,17868,16439,14687,10931,5388,1884,112886,990,14283,42744,27398,24699,19509,10260,3467,1365,144729,444,10035,49210,34108,29273,22313,9595,2856,1026,158865,135,4154,35681,28202,22805,15903,5813,1494,504,114698,111,1824,28025,27519,22298,14689,4610,1118,399,100592,46,809,17490,22479,17766,11118,3058,720,278,73760,85,704,24130,40518,31731,18363,4838,1164,415,121953,126,485,8169,27822,28703,16045,5231,1393,563,88546,10423,12282,27536,21441,19116,15371,13067,9815,5660,134711,126834,159623,342522,296548,265362,211120,149599,82732,31661,1665995,58532,28167,40400,31946,25162,27539,12561,5343,2369,232026,31871,14047,10393,11443,9344,9273,5972,2631,1082,96050,12411,21318,20888,19630,17592,20427,17127,10613,3414,143421,3870,14009,17449,17159,17431,20673,32949,22526,8007,154080
SOSR203,2174,555,386,218,266,370,203,81,44,4298,1192,422,132,102,135,183,136,55,22,2380,470,868,560,381,433,579,585,370,109,4350,182,493,427,364,407,616,1301,1063,366,5213,197,567,518,331,498,539,965,590,310,4514,135,660,619,399,415,584,749,371,141,4074,72,679,1010,629,615,631,542,256,100,4540,40,619,1432,952,972,891,430,157,53,5541,14,381,1539,1224,1126,965,416,129,50,5833,5,162,1139,954,803,619,196,45,20,3944,4,75,853,898,801,578,125,32,8,3372,0,33,508,730,624,425,90,17,16,2448,7,14,557,1077,1029,679,142,27,14,3543,4,23,190,548,613,401,112,32,11,1944,485,451,773,680,746,645,677,513,328,5301,4990,6002,10640,9472,9480,8701,6667,3744,1596,61294,1844,407,803,712,665,916,335,131,97,5906,1468,456,339,415,303,370,234,81,38,3715,645,981,797,652,734,936,860,420,144,6165,227,637,707,714,840,1061,1604,1250,493,7529
SOSR211,3841,795,526,427,431,540,336,117,62,7070,1885,523,188,153,184,281,245,92,22,3576,850,1411,1019,698,679,956,939,483,149,7181,337,685,698,658,758,1099,2398,1643,461,8736,444,781,737,683,875,1091,1764,1034,340,7757,316,1081,1013,782,772,1049,1308,592,194,7108,197,1292,1837,1293,1221,1239,975,444,145,8651,88,1290,2808,1961,1830,1642,795,258,87,10753,31,728,2969,2266,2024,1700,690,175,71,10652,9,308,2000,1788,1603,1143,354,72,25,7313,3,124,1295,1581,1361,956,218,49,16,5600,0,45,791,1074,1035,673,116,24,11,3771,6,37,851,1351,1342,905,161,46,15,4714,14,28,224,542,642,453,155,49,10,2119,978,854,1516,1280,1279,1275,1182,846,446,9665,8994,9981,18467,16545,16043,15011,11647,5919,2053,104666,3080,659,1293,1147,1030,1526,529,209,142,9627,2364,643,690,605,501,618,381,125,58,5986,1196,1606,1520,1234,1181,1731,1249,578,262,10543,403,1056,1384,1267,1368,1862,3036,1804,579,12761
SOSR212,2292,390,375,256,241,410,239,94,55,4360,1353,274,105,102,95,159,154,57,18,2320,531,596,579,451,507,549,650,373,101,4343,236,319,405,385,467,631,1456,1110,340,5350,282,471,408,395,464,608,1083,701,323,4728,197,604,592,476,462,574,857,422,141,4321,100,768,1133,750,696,747,541,274,96,5101,59,706,1588,1105,1120,1014,493,150,63,6304,18,431,1671,1296,1415,1154,451,113,46,6603,8,177,1146,1046,990,715,216,49,16,4367,0,90,729,898,912,671,128,24,11,3456,0,30,461,660,701,515,76,17,5,2469,0,45,544,938,1004,707,147,24,8,3417,6,18,195,386,534,367,105,36,8,1663,609,519,961,826,984,953,885,576,282,6596,5699,5431,10891,9983,10588,9766,7481,4035,1507,65381,1880,335,747,677,648,976,390,130,63,5848,1633,329,372,351,349,397,220,95,45,3789,649,695,839,822,772,949,807,427,136,6101,225,501,798,788,848,1091,1923,1283,456,7915
SOSR213,3127,458,346,310,343,578,385,179,76,5799,1842,374,141,167,160,253,257,120,52,3362,635,732,631,578,624,925,1089,601,203,6018,297,433,449,516,665,1045,2528,1879,579,8380,403,570,552,566,731,1036,1886,1229,499,7474,326,786,677,631,690,997,1515,845,248,6721,141,1011,1387,976,1075,1237,1065,516,178,7577,71,971,2088,1617,1649,1622,869,322,88,9299,26,580,2229,1871,1866,1736,705,217,68,9295,3,201,1579,1522,1375,1100,366,72,25,6249,3,126,1128,1393,1331,981,231,56,17,5271,4,33,687,1028,1034,754,154,38,9,3738,4,39,775,1485,1541,1014,211,46,22,5143,8,27,251,635,786,561,165,56,26,2512,830,619,1131,1174,1266,1303,1376,1026,569,9300,7722,6968,14067,14460,15136,15150,12792,7194,2649,96130,2518,376,971,1037,961,1630,605,239,154,8506,2212,396,568,611,551,733,358,143,90,5677,817,891,1199,1197,1108,1660,1383,738,284,9277,331,635,1141,1213,1281,1819,3251,2003,665,12338
SOSR214,1732,262,172,209,230,374,236,106,22,3352,896,205,81,67,87,189,173,67,27,1792,333,382,308,316,367,630,727,418,144,3620,165,216,262,298,422,758,1828,1361,408,5725,198,255,299,332,470,733,1433,876,365,4968,192,438,375,351,435,653,990,565,205,4192,83,537,691,548,688,759,695,360,113,4470,48,466,952,813,951,955,534,183,90,4999,18,276,940,936,1119,921,474,159,68,4909,5,108,644,692,772,609,225,47,19,3119,0,60,451,602,634,577,123,37,15,2505,0,24,286,444,509,307,69,26,10,1673,0,17,310,571,669,450,111,27,10,2169,0,5,101,254,288,244,76,40,17,1042,589,343,799,763,896,881,981,754,358,6370,4253,3596,6673,7206,8544,9042,8690,5023,1869,54907,1427,198,426,487,465,869,345,120,47,4390,1029,194,266,291,304,433,229,93,38,2879,415,388,592,591,648,1047,969,485,193,5324,146,314,528,639,744,1211,2333,1378,552,7859
SOSR215,2638,369,292,304,342,569,396,173,50,5138,1252,283,102,123,183,313,297,114,62,2724,424,464,470,435,616,979,1125,599,192,5302,195,283,296,417,652,1068,2720,2012,566,8203,326,393,404,461,711,1138,2150,1337,591,7505,257,586,573,482,739,1011,1468,711,266,6094,125,751,1027,853,1020,1207,997,493,155,6624,79,790,1636,1410,1519,1569,899,285,103,8279,27,514,1771,1695,1729,1629,720,207,77,8379,9,187,1238,1298,1180,1043,346,92,26,5415,3,81,790,1132,1069,889,225,50,28,4269,4,33,490,791,867,584,143,23,17,2951,3,25,499,1043,1093,794,177,42,27,3697,3,18,133,390,522,397,165,59,15,1700,815,478,896,937,1201,1376,1443,1060,562,8782,6155,5253,10613,11785,13448,14555,13263,7255,2740,85067,2243,295,790,851,903,1479,562,196,132,7447,1493,327,494,537,472,664,355,144,82,4576,568,642,967,968,1046,1608,1360,657,252,8071,222,500,862,1019,1156,1792,3272,1934,713,11463
SOSR221,724,77,66,82,121,220,136,49,8,1496,333,70,33,45,45,111,97,25,8,764,115,137,113,145,231,390,363,179,44,1722,56,89,95,137,214,403,964,552,140,2646,84,109,104,159,270,415,749,407,126,2422,72,118,126,153,223,345,478,198,50,1749,36,193,264,254,353,401,343,117,30,1987,11,161,376,373,467,526,250,80,27,2271,4,90,416,467,512,491,193,53,23,2251,3,34,289,316,347,286,86,27,4,1404,0,30,212,242,338,237,59,3,7,1124,0,3,104,202,216,163,43,3,6,746,0,7,122,253,282,216,47,12,0,943,3,3,41,109,133,122,35,19,9,477,232,121,240,288,384,495,524,298,152,2722,1673,1249,2596,3227,4133,4821,4362,2023,633,24722,635,89,189,214,284,498,148,54,16,2114,409,81,114,162,160,201,105,32,4,1273,136,129,272,293,296,545,409,176,35,2295,55,129,221,312,374,549,1050,522,149,3366
SOSR222,487,48,46,65,86,149,84,40,4,1000,200,30,23,26,47,80,47,7,11,477,83,88,92,96,132,219,253,98,29,1090,35,50,67,68,129,284,568,298,77,1579,56,68,51,82,145,269,439,202,76,1389,62,84,114,128,157,227,273,94,26,1161,33,115,169,178,212,263,176,62,22,1234,11,117,280,231,328,330,160,27,5,1498,13,70,274,298,334,365,128,27,10,1512,0,30,176,220,240,198,70,16,3,949,0,8,114,166,206,179,40,7,3,723,0,3,66,117,139,129,30,9,0,493,0,4,72,133,209,132,25,5,0,581,0,5,16,47,80,87,35,11,7,300,168,93,171,188,295,312,303,142,60,1733,1150,816,1726,2050,2737,3228,2638,1043,344,15723,418,43,119,134,183,290,110,29,15,1341,237,40,79,95,102,127,53,12,4,747,90,98,171,180,218,323,263,107,23,1476,37,66,126,201,220,399,582,242,80,1951
SOSR231,5560,700,553,713,1154,1814,1098,356,102,12048,2914,499,213,275,480,849,744,255,67,6309,921,849,686,780,1299,2195,2398,941,226,10307,557,581,552,806,1342,2360,4644,2337,499,13679,747,744,715,902,1507,2361,3704,1611,392,12674,675,1200,927,1137,1823,2641,2865,1021,244,12531,365,1513,1553,1696,2414,2832,2096,737,158,13364,196,1424,2326,2459,3513,3650,1818,470,106,15958,79,937,2785,3031,3922,3720,1633,391,96,16593,31,405,1773,2287,2911,2491,938,210,33,11072,5,187,1279,2015,2643,2066,639,164,41,9034,7,54,740,1459,1869,1462,428,88,35,6137,9,49,809,2052,2818,2035,614,158,26,8582,27,59,340,1184,1878,1544,668,199,50,5946,2092,1174,2669,3094,3696,3688,3122,1455,408,21404,14188,10371,17911,23893,33275,35706,27407,10409,2499,175653,5018,658,1352,1748,2398,3353,1301,325,135,16291,3607,688,739,1038,1151,1489,830,225,51,9825,1123,1194,1423,1917,2187,3125,2436,860,238,14510,466,823,1280,1814,2383,3156,4700,1825,466,16905
