SOSR_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
SOSR201,2056095,2140106,4196198,137494,130480,267976,252600,239991,492595,126834,123105,249943,159623,156508,316127,342522,353181,695698,296548,304594,601145,265362,280226,545587,211120,228049,439174,149599,167930,317529,82732,102445,185177,31661,53590,85254,1975997,2062546,4038537,80097,77560,157659,9564,9649,19216,522,502,1029,253,289,549,10344,10445,20790,1212362,1250452,2462808,716347,758023,1474364,1250438,1288155,2538591,688543,734529,1423074,1623264,1692433,3315699,27053,25950,53006,231686,220954,452639,103273,104252,207524,77793,80217,158012,75459,105612,181074,994585,1080950,2075538,173058,165477,338533,193642,181371,375016,81433,80022,161452,79322,102689,182017,19951,27464,47413,1905360,1983146,3888503,138538,147436,285977
SOSR203,75635,81462,157104,5029,4732,9762,9312,8797,18114,4990,4969,9959,6002,5934,11931,10640,11039,21680,9472,10084,19552,9480,10403,19884,8701,9767,18465,6667,7721,14388,3744,5024,8763,1596,2996,4593,71706,77694,149397,3932,3772,7705,733,819,1557,41,34,76,15,13,31,795,865,1664,57022,61648,118672,13481,14224,27705,61063,66024,127090,10052,10534,20579,65075,70755,135830,956,874,1831,8521,8040,16558,3836,3934,7766,2385,2629,5019,2281,3353,5632,28159,32929,61087,9505,9073,18578,9839,9995,19833,4477,4780,9260,3659,4653,8312,455,551,1002,69000,73896,142892,5618,6489,12109
SOSR211,133073,142654,275731,9977,9558,19530,18430,17504,35934,8994,8670,17664,9981,10117,20098,18467,19862,38326,16545,17743,34284,16043,17586,33634,15011,17108,32117,11647,13112,24759,5919,7502,13422,2053,3895,5952,125560,135615,261176,7511,7044,14557,2165,2407,4574,95,94,188,46,57,102,2307,2559,4862,107449,115164,222611,15973,17152,33125,113119,121321,234443,11197,12111,23310,117392,125976,243368,1784,1797,3579,16713,15893,32613,6327,6408,12740,2831,3581,6418,3125,5514,8640,42079,51680,93756,15904,16300,32200,21345,20715,42056,9216,8826,18035,6165,6917,13084,650,666,1321,121268,129946,251211,10056,10937,20988
SOSR212,82267,87993,170256,5702,5430,11137,11176,10593,21771,5699,5441,11145,5431,5468,10899,10891,11499,22389,9983,10828,20807,10588,11557,22142,9766,10739,20504,7481,8380,15863,4035,5321,9362,1507,2739,4248,77272,83339,160607,4995,4657,9648,2064,2248,4307,62,72,135,68,47,118,2192,2365,4555,64247,69054,133300,11320,11788,23103,67461,72471,139940,8791,9181,17969,70759,76297,147056,961,892,1851,10056,9597,19654,4013,4025,8037,1134,1595,2726,1577,3103,4688,24345,30253,54595,10766,10966,21730,12896,12463,25360,5651,5458,11107,4545,5020,9572,726,635,1358,74231,79403,153642,7149,7502,14657
SOSR213,120784,130231,251012,8283,7823,16108,16369,15523,31887,7722,7258,14987,6968,6773,13737,14067,15262,29330,14460,15728,30191,15136,16799,31934,15150,16904,32056,12792,14263,27053,7194,9051,16238,2649,4849,7501,112748,122584,235334,8031,7651,15684,1978,2169,4141,55,64,120,46,34,82,2081,2265,4347,98393,105732,204123,13233,14632,27868,106441,114696,221137,6294,6983,13279,107578,116246,223823,1509,1444,2946,14925,14191,29118,5501,5361,10864,1387,1826,3211,1976,4265,6237,35350,44576,79928,16513,17201,33713,19758,18796,38553,8484,8420,16902,6428,7169,13602,524,480,1007,109028,117307,226331,8979,9983,18961
SOSR214,67240,71633,138874,4058,3702,7760,8283,7941,16221,4253,3795,8049,3596,3164,6762,6673,6928,13599,7206,7888,15094,8544,9259,17803,9042,9885,18934,8690,9777,18475,5023,6026,11053,1869,3261,5132,62700,67137,129840,4545,4493,9038,1005,1030,2036,40,50,86,25,29,58,1076,1111,2183,53978,57384,111367,7574,7803,15380,58337,62731,121061,3371,3488,6855,59020,63338,122359,762,718,1474,7447,7148,14596,2956,2712,5669,705,756,1462,888,2019,2907,17741,22815,40553,8829,9224,18055,11724,11133,22859,5537,5243,10780,4291,4603,8893,302,238,539,59357,63522,122882,6418,6483,12903
SOSR215,105368,111612,216976,6537,6175,12710,13764,12977,26735,6155,5665,11821,5253,4929,10185,10613,11573,22188,11785,12757,24539,13448,14549,27995,14555,15700,30257,13263,13961,27228,7255,8507,15760,2740,4820,7560,98124,104764,202884,7246,6844,14092,1403,1445,2849,77,60,133,50,48,94,1528,1552,3079,85048,89777,174825,11266,12274,23543,93213,98613,191830,4616,5250,9869,93816,99363,193183,1278,1257,2534,12417,11716,24131,4377,4225,8600,1036,1357,2385,1518,3327,4851,28729,37600,66330,13974,14417,28392,18468,16543,35010,8245,7431,15681,6428,6408,12832,332,347,678,93973,99163,193137,9050,10250,19291
SOSR221,30195,30425,60620,1650,1535,3187,3825,3521,7348,1673,1546,3218,1249,1161,2410,2596,2769,5364,3227,3503,6731,4133,4336,8472,4821,4824,9647,4362,4146,8504,2023,2111,4133,633,972,1603,28052,28445,56496,2146,1975,4121,344,344,681,12,14,31,12,11,21,369,363,732,24196,24426,48623,3247,3253,6500,26922,27097,54026,962,1023,1980,26840,27036,53871,316,329,645,3417,3178,6597,1175,1148,2326,242,283,518,356,865,1218,7825,10061,17880,4173,4179,8352,5633,4659,10295,2537,2134,4672,1830,1560,3393,63,71,133,26851,27095,53950,2603,2614,5216
SOSR222,19200,19003,38204,1060,961,2021,2420,2364,4781,1150,1012,2156,816,751,1563,1726,1788,3521,2050,2236,4284,2737,2826,5565,3228,3161,6392,2638,2340,4978,1043,1052,2095,344,502,847,17872,17799,35670,1327,1207,2531,272,273,545,13,12,30,10,6,11,295,298,593,15503,15127,30625,1858,2036,3896,16972,16704,33676,627,737,1365,16996,16690,33687,217,194,407,2124,2087,4211,781,757,1538,125,182,307,239,538,775,4898,6240,11136,2565,2555,5121,3574,2829,6402,1658,1295,2954,1191,922,2115,46,29,77,16888,16765,33652,6479,5968,12440
SOSR231,213864,200186,414055,10584,10062,20650,27624,26317,53945,14188,12860,27043,10371,8809,19177,17911,17334,35251,23893,24097,47992,33275,33153,66424,35706,33382,69088,27407,22945,50347,10409,8465,18869,2499,2766,5266,200229,188365,388598,13633,11821,25454,2330,2097,4431,106,71,180,41,54,95,2485,2226,4709,172948,161197,334150,21765,21004,42766,184983,175812,360793,9586,9565,19154,187353,177525,364875,2137,2047,4183,24794,23632,48428,10132,9848,19974,2257,2823,5080,2276,5573,7853,58008,74550,132554,30440,27460,57901,38369,27142,65512,16812,10899,27704,10933,7539,18465,582,469,1059,188206,180600,368808,20019,15013,35033
