SOSR_CODE_2016,M_NatPhyl_Scn_15_24,M_NatPhyl_Scn_25_34,M_NatPhyl_Scn_35_44,M_NatPhyl_Scn_45_54,M_NatPhyl_Scn_55_64,M_NatPhyl_Scn_65_74,M_NatPhyl_Scn_75_84,M_NatPhyl_Scn_85ov,M_NatPhyl_Scn_Tot,M_InfoTech_15_24,M_InfoTech_25_34,M_InfoTech_35_44,M_InfoTech_45_54,M_InfoTech_55_64,M_InfoTech_65_74,M_InfoTech_75_84,M_InfoTech_85ov,M_InfoTech_Tot,M_Eng_RelTec_15_24,M_Eng_RelTec_25_34,M_Eng_RelTec_35_44,M_Eng_RelTec_45_54,M_Eng_RelTec_55_64,M_Eng_RelTec_65_74,M_Eng_RelTec_75_84,M_Eng_RelTec_85ov,M_Eng_RelTec_Tot,M_ArchtBldng_15_24,M_ArchtBldng_25_34,M_ArchtBldng_35_44,M_ArchtBldng_45_54,M_ArchtBldng_55_64,M_ArchtBldng_65_74,M_ArchtBldng_75_84,M_ArchtBldng_85ov,M_ArchtBldng_Tot,M_Ag_Envir_Rltd_Sts_15_24,M_Ag_Envir_Rltd_Sts_25_34,M_Ag_Envir_Rltd_Sts_35_44,M_Ag_Envir_Rltd_Sts_45_54,M_Ag_Envir_Rltd_Sts_55_64,M_Ag_Envir_Rltd_Sts_65_74,M_Ag_Envir_Rltd_Sts_75_84,M_Ag_Envir_Rltd_Sts_85ov,M_Ag_Envir_Rltd_Sts_Tot,M_Health_15_24,M_Health_25_34,M_Health_35_44,M_Health_45_54,M_Health_55_64,M_Health_65_74,M_Health_75_84,M_Health_85ov,M_Health_Tot,M_Educ_15_24,M_Educ_25_34,M_Educ_35_44,M_Educ_45_54,M_Educ_55_64,M_Educ_65_74,M_Educ_75_84,M_Educ_85_years_and_over,M_Educ_Tot,M_Mgnt_Com_15_24,M_Mgnt_Com_25_34,M_Mgnt_Com_35_44,M_Mgnt_Com_45_54,M_Mgnt_Com_55_64,M_Mgnt_Com_65_74,M_Mgnt_Com_75_84,M_Mgnt_Com_85ov,M_Mgnt_Com_Tot,M_Society_Cult_15_24,M_Society_Cult_25_34,M_Society_Cult_35_44,M_Society_Cult_45_54,M_Society_Cult_55_64,M_Society_Cult_65_74,M_Society_Cult_75_84,M_Society_Cult_85ov,M_Society_Cult_Tot,M_Creative_Arts_15_24,M_Creative_Arts_25_34,M_Creative_Arts_35_44,M_Creative_Arts_45_54,M_Creative_Arts_55_64,M_Creative_Arts_65_74,M_Creative_Arts_75_84,M_Creative_Arts_85ov,M_Creative_Arts_Tot,M_Fd_Hosp_Psnl_Svcs_15_24,M_Fd_Hosp_Psnl_Svcs_25_34,M_Fd_Hosp_Psnl_Svcs_35_44,M_Fd_Hosp_Psnl_Svcs_45_54,M_Fd_Hosp_Psnl_Svcs_55_64,M_Fd_Hosp_Psnl_Svcs_65_74,M_Fd_Hosp_Psnl_Svcs_75_84,M_Fd_Hosp_Psnl_Svcs_85ov,M_Fd_Hosp_Psnl_Svcs_Tot,M_MixFld_Prgm_15_24,M_MixFld_Prgm_25_34,M_MixFld_Prgm_35_44,M_MixFld_Prgm_45_54,M_MixFld_Prgm_55_64,M_MixFld_Prgm_65_74,M_MixFld_Prgm_75_84,M_MixFld_Prgm_85ov,M_MixFld_Prgm_Tot,M_FldStd_InadDes_15_24,M_FldStd_InadDes_25_34,M_FldStd_InadDes_35_44,M_FldStd_InadDes_45_54,M_FldStd_InadDes_55_64,M_FldStd_InadDes_65_74,M_FldStd_InadDes_75_84,M_FldStd_InadDes_85ov,M_FldStd_InadDes_Tot,M_FldStd_NS_15_24,M_FldStd_NS_25_34,M_FldStd_NS_35_44,M_FldStd_NS_45_54,M_FldStd_NS_55_64,M_FldStd_NS_65_74,M_FldStd_NS_75_84,M_FldStd_NS_85ov,M_FldStd_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_years_and_over,M_Tot_Tot,F_NatPhyl_Scn_15_24,F_NatPhyl_Scn_25_34,F_NatPhyl_Scn_35_44,F_NatPhyl_Scn_45_54,F_NatPhyl_Scn_55_64,F_NatPhyl_Scn_65_74,F_NatPhyl_Scn_75_84,F_NatPhyl_Scn_85ov,F_NatPhyl_Scn_Tot,F_InfoTech_15_24,F_InfoTech_25_34,F_InfoTech_35_44,F_InfoTech_45_54,F_InfoTech_55_64,F_InfoTech_65_74,F_InfoTech_75_84,F_InfoTech_85ov,F_InfoTech_Tot,F_Eng_RelTec_15_24,F_Eng_RelTec_25_34,F_Eng_RelTec_35_44,F_Eng_RelTec_45_54,F_Eng_RelTec_55_64,F_Eng_RelTec_65_74,F_Eng_RelTec_75_84,F_Eng_RelTec_85ov,F_Eng_RelTec_Tot,F_ArchtBldng_15_24,F_ArchtBldng_25_34,F_ArchtBldng_35_44,F_ArchtBldng_45_54,F_ArchtBldng_55_64,F_ArchtBldng_65_74,F_ArchtBldng_75_84,F_ArchtBldng_85ov,F_ArchtBldng_Tot,F_Ag_Envir_Rltd_Sts_15_24,F_Ag_Envir_Rltd_Sts_25_34,F_Ag_Envir_Rltd_Sts_35_44,F_Ag_Envir_Rltd_Sts_45_54,F_Ag_Envir_Rltd_Sts_55_64,F_Ag_Envir_Rltd_Sts_65_74,F_Ag_Envir_Rltd_Sts_75_84,F_Ag_Envir_Rltd_Sts_85ov,F_Ag_Envir_Rltd_Sts_Tot,F_Health_15_24,F_Health_25_34,F_Health_35_44,F_Health_45_54,F_Health_55_64,F_Health_65_74,F_Health_75_84,F_Health_85ov,F_Health_Tot,F_Educ_15_24,F_Educ_25_34,F_Educ_35_44,F_Educ_45_54,F_Educ_55_64,F_Educ_65_74,F_Educ_75_84,F_Educ_85ov,F_Educ_Tot,F_Mgnt_Com_15_24,F_Mgnt_Com_25_34
SOSR201,3647,7721,7309,6836,5739,3960,1438,506,37155,5211,25253,23971,10483,4754,1305,164,25,71172,13459,47886,46176,48660,40641,28554,14811,5077,245262,9403,25183,18522,16431,11563,7342,4417,1266,94132,1280,4143,3831,3167,2023,1089,483,160,16179,2798,11999,9880,8225,6335,3578,1702,640,45161,1075,6236,5969,5977,7099,5079,2176,579,34189,15610,56341,48055,35775,23750,13226,4732,1529,199015,7631,19938,17067,14525,11834,7358,2530,695,81589,6172,15039,9294,5206,3252,1754,646,209,41584,3811,12797,7966,5677,3227,1807,900,259,36434,755,443,270,264,290,286,268,75,2668,1173,3604,3669,3152,2206,1294,613,279,15992,20530,28000,21956,19081,15468,13088,10206,5361,133691,92558,264606,223939,183462,138189,89726,45081,16668,1054215,4901,11698,10089,6807,3883,1708,604,217,39906,1228,9107,7929,3959,1895,527,66,18,24732,1894,7808,6219,4479,2924,2013,1824,766,27924,1492,4993,3253,2167,1013,388,116,48,13477,1010,2413,2184,1412,796,251,113,38,8209,9828,39744,29482,25111,20060,11299,5740,2065,143337,4729,22988,21962,22174,21471,13790,5307,1592,114016,20486,72819
SOSR203,130,206,227,161,188,113,48,8,1084,155,442,340,191,110,30,0,0,1273,668,1701,1531,1813,1744,1352,666,258,9731,573,1364,888,662,564,409,226,78,4767,61,174,197,165,107,93,44,19,873,125,517,408,352,302,132,49,26,1914,61,294,317,263,394,305,141,38,1811,347,1071,1030,920,729,398,126,39,4666,352,553,448,448,358,238,80,26,2504,178,318,260,123,110,47,15,7,1063,183,459,273,227,155,84,62,12,1467,16,13,8,13,14,8,11,0,84,37,106,122,112,78,46,14,10,524,879,812,719,816,727,695,599,346,5588,3757,8034,6777,6268,5586,3953,2093,875,37337,172,292,292,154,92,36,10,5,1052,28,114,90,67,41,13,0,0,352,56,191,167,117,91,67,75,37,802,78,161,110,68,41,11,3,0,469,51,97,82,74,34,12,3,8,348,567,1691,1266,1198,1143,576,313,127,6886,218,952,896,836,956,633,275,82,4848,584,1704
SOSR211,76,206,233,210,177,162,43,7,1116,238,841,601,304,180,71,10,0,2228,1061,3081,2706,2894,2781,2162,946,274,15906,959,2075,1307,1099,986,654,333,93,7504,152,411,370,366,258,180,93,24,1857,203,671,618,553,527,263,101,34,2973,130,539,552,489,693,640,250,54,3348,596,1686,1717,1414,1133,612,186,42,7382,473,822,835,681,610,379,147,16,3962,303,424,300,171,173,111,45,7,1534,302,721,520,383,290,176,83,25,2505,36,20,19,13,18,29,13,9,155,38,153,225,195,147,94,57,19,932,1656,1549,1368,1353,1366,1275,926,461,9956,6225,13193,11373,10131,9331,6809,3229,1074,61358,121,313,318,157,122,47,19,7,1109,37,169,167,94,84,29,6,0,591,73,226,214,207,129,103,82,44,1077,51,116,106,64,27,9,3,4,385,75,204,201,115,54,16,6,0,683,814,2602,1987,1967,1971,1122,502,186,11150,427,1718,1632,1390,1435,994,394,140,8126,1037,3010
SOSR212,56,124,126,118,126,58,32,3,638,93,244,232,117,68,26,8,0,782,695,1967,1807,2006,1818,1312,628,176,10417,509,1179,778,734,618,369,190,64,4436,91,292,301,268,164,103,57,16,1289,93,390,361,342,325,151,55,12,1727,70,291,291,302,369,287,116,43,1760,296,845,929,860,750,354,99,30,4164,250,463,438,384,323,189,65,19,2140,141,212,162,87,71,67,15,5,759,217,401,319,299,200,146,56,13,1644,25,12,6,20,14,8,14,8,105,30,91,131,102,83,38,24,10,514,1035,1018,891,1004,974,923,668,333,6855,3603,7529,6763,6639,5904,4029,2019,733,37220,69,157,203,127,76,23,9,6,670,12,56,66,40,42,13,0,0,226,40,93,133,120,78,61,41,14,571,32,54,50,39,15,10,0,0,201,42,132,120,72,48,23,12,6,451,495,1562,1139,1175,1192,597,340,105,6605,257,932,971,928,899,529,198,67,4772,602,1674
SOSR213,50,163,192,180,196,189,51,16,1031,144,368,345,175,139,65,8,0,1246,964,2643,2691,3171,3055,2522,1210,362,16610,808,1912,1378,1235,1162,718,385,126,7715,147,514,528,468,329,217,117,36,2354,116,452,440,466,504,215,92,26,2299,77,404,465,454,726,591,249,52,3018,301,1045,1328,1112,1027,701,250,77,5831,325,565,606,605,571,366,136,31,3211,184,267,237,132,131,95,32,11,1085,249,563,530,401,282,201,91,23,2350,21,11,9,12,12,21,22,12,121,33,113,183,151,145,94,52,32,803,1352,1178,1253,1326,1343,1483,1151,568,9653,4752,10190,10176,9875,9618,7476,3850,1382,57325,85,241,279,185,145,57,16,17,1020,22,72,93,82,48,34,4,3,358,72,158,150,141,123,87,83,44,861,36,125,100,84,25,18,3,3,400,99,194,221,125,63,35,10,5,760,581,2127,1810,1830,1945,1252,611,234,10391,279,1453,1500,1346,1537,1109,460,151,7834,729,2267
SOSR214,30,60,123,99,106,117,39,9,581,43,124,110,94,75,38,7,0,497,438,1263,1345,1649,1683,1613,776,301,9064,378,773,602,640,675,507,313,81,3972,72,242,313,264,206,159,89,34,1384,35,175,162,211,217,153,67,21,1038,35,166,225,213,334,395,166,38,1570,172,386,512,540,537,394,121,46,2704,134,207,299,342,335,266,98,22,1701,68,106,126,106,94,71,29,9,604,147,295,259,251,186,129,69,16,1361,11,13,0,10,10,20,11,5,81,21,67,93,85,88,78,25,13,474,861,862,849,1003,984,1077,860,405,6908,2445,4739,5030,5506,5542,5014,2679,991,31942,32,87,134,110,82,48,15,8,519,11,29,67,45,31,25,0,0,201,24,72,118,81,65,65,72,27,516,6,43,48,45,24,20,5,3,199,53,112,118,104,56,36,11,0,490,263,846,801,998,1032,816,390,147,5296,135,611,660,668,849,721,274,82,4003,298,953
SOSR215,39,103,177,160,181,189,53,17,916,73,203,218,145,114,55,3,0,810,759,2069,2309,2853,2810,2484,1099,359,14741,635,1522,1222,1044,1059,736,429,109,6766,157,501,592,488,404,265,128,45,2571,88,253,268,320,360,239,110,34,1674,44,279,392,372,624,605,185,32,2537,202,662,874,797,839,660,255,81,4369,208,349,397,481,513,422,150,31,2549,108,196,211,145,191,139,41,17,1047,180,459,478,414,307,189,80,34,2133,15,17,5,14,11,25,23,10,114,26,89,129,129,134,94,56,28,679,1279,962,1053,1372,1544,1538,1255,575,9576,3809,7655,8336,8724,9082,7632,3877,1369,50489,69,186,227,165,136,70,23,11,885,10,38,84,75,75,21,3,0,305,43,110,151,143,124,112,68,43,801,20,86,75,50,52,19,10,0,317,91,244,277,157,92,50,20,3,940,405,1352,1305,1626,1664,1228,599,216,8402,245,1093,1199,1088,1463,1189,473,141,6895,463,1647
SOSR221,9,19,31,46,62,68,12,6,253,17,55,46,36,34,24,0,0,224,185,606,699,922,991,799,387,76,4673,158,374,320,356,364,264,137,31,2000,44,117,165,176,145,83,32,6,769,13,50,67,70,116,68,25,9,415,14,70,90,111,198,178,45,8,713,41,124,190,201,250,191,49,21,1069,53,67,98,141,179,171,36,3,753,30,43,58,42,46,58,10,3,294,40,97,100,116,88,71,26,0,540,5,0,3,0,8,9,9,3,36,12,17,33,49,50,38,10,6,212,340,249,304,421,527,564,317,151,2872,950,1907,2219,2692,3049,2597,1090,327,14832,18,26,70,37,32,15,7,0,218,0,10,20,24,24,17,0,0,100,18,20,49,52,35,28,18,11,231,12,18,24,18,15,11,5,0,101,31,81,78,73,41,12,3,3,323,87,316,380,460,556,349,152,47,2345,63,271,297,333,424,350,132,31,1889,112,408
SOSR222,3,15,38,25,40,44,3,0,168,11,23,27,28,29,10,0,0,125,121,366,382,538,613,454,169,30,2677,84,202,199,245,255,163,54,25,1219,35,113,145,106,86,45,24,6,559,12,35,45,56,79,37,13,7,277,3,48,69,73,135,100,31,3,457,32,85,125,141,152,113,21,8,673,36,54,81,88,108,74,21,0,466,11,28,25,31,30,17,0,0,148,33,70,74,72,63,41,8,4,367,0,3,0,0,3,3,4,0,16,5,19,15,31,18,28,6,0,126,252,181,214,324,352,320,171,85,1898,638,1240,1428,1764,1957,1440,529,175,9175,9,26,38,35,25,19,3,0,157,0,13,6,11,15,3,0,0,54,3,29,25,34,31,16,13,3,155,0,11,19,12,11,0,0,0,55,20,52,67,42,21,12,0,0,215,57,201,217,301,362,186,72,27,1430,48,138,199,220,258,192,54,19,1130,63,242
SOSR231,85,189,313,417,550,459,129,24,2165,134,273,380,326,237,115,7,0,1482,1712,3545,4832,7193,6912,4814,1509,325,30836,1179,2157,2257,2688,2551,1504,521,106,12967,721,1480,2212,2712,2115,1096,343,64,10744,106,302,483,701,947,520,169,32,3261,74,322,505,713,1304,1068,263,45,4286,378,939,1497,1896,1859,1260,302,52,8175,332,479,661,898,1101,827,214,46,4558,227,298,285,290,331,250,57,7,1744,207,409,566,648,563,316,100,18,2827,18,19,8,27,25,47,30,13,184,56,160,269,316,313,215,65,9,1409,3093,2778,3260,3948,3846,3273,1616,429,22255,8322,13344,17535,22774,22664,15765,5333,1158,106892,112,299,633,443,422,183,27,12,2129,8,81,158,173,145,68,4,0,634,72,209,349,397,267,179,80,31,1593,44,116,173,170,92,47,8,0,648,445,803,1003,852,515,196,48,18,3882,779,2269,2956,4002,4125,2164,624,131,17061,361,1463,2019,2556,3493,2278,507,99,12785,818,2505
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,7,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,3,5,10,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
