SOSR_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
SOSR201,64350,38981,25084,13081,3682,892,228537,1946,19415,22604,20308,16198,7324,1826,392,90018,60796,212103,159258,101709,67103,35384,13215,4330,653905,27721,77201,70799,61953,44482,27435,11548,4085,325230,44232,92579,80857,83972,60640,35882,18646,6198,423020,5620,5422,5224,4689,3323,1847,522,151,26793,4268,8266,9944,11328,9651,6797,3061,1406,54715,54124,106260,96026,99990,73609,44528,22230,7757,504523,2304,5625,4998,4425,4086,3627,2085,934,28089,39859,52851,40823,37845,34711,33609,27873,18125,285699,191895,550772,458860,365205,265276,164993,82466,36526,2115997
SOSR203,1189,842,620,331,86,20,4452,63,664,688,640,573,252,70,16,2971,1627,5241,4169,2659,2175,1186,438,130,17620,871,2346,2347,2276,1974,1244,519,223,11798,2799,4989,3868,4058,3277,1995,987,352,22327,366,299,232,223,173,84,23,4,1404,207,315,352,395,390,288,120,62,2117,3364,5605,4445,4677,3834,2359,1129,426,25843,57,148,110,107,130,124,92,40,807,1697,1497,1335,1589,1652,1738,1683,1178,12372,7787,16753,14292,12789,10957,7245,4013,2033,75861
SOSR211,1386,1153,930,519,137,21,5641,95,901,1167,1102,1023,505,124,19,4931,1753,7094,5899,3572,3014,1797,620,194,23947,1264,3798,3769,3585,3132,1997,759,240,18545,5348,10281,7725,7157,5938,3482,1502,436,41862,788,700,522,435,357,163,19,15,2998,385,703,722,712,703,485,192,74,3974,6513,11678,8972,8300,7002,4135,1717,513,48839,96,206,190,201,219,237,139,62,1350,3222,2979,2630,2777,3059,3220,2626,1490,22006,13105,27993,24014,20699,18384,12401,6131,2532,125257
SOSR212,676,534,446,182,46,9,2569,67,513,630,629,512,217,48,16,2632,945,3830,3159,2185,1865,929,360,102,13368,782,2255,2312,2323,1915,1108,480,137,11311,2995,5873,4818,4792,3767,2140,895,266,25555,438,394,287,244,218,102,21,14,1719,232,374,411,444,417,270,105,41,2284,3666,6639,5516,5479,4402,2516,1015,318,29556,59,135,133,124,126,134,64,38,815,1998,1966,1738,1995,2175,2299,1934,1125,15241,7604,15941,14155,13264,11443,7386,3952,1741,75499
SOSR213,1078,823,676,444,130,26,4072,56,682,905,864,960,501,108,18,4093,1014,5085,4993,3375,3104,1913,694,211,20386,926,2985,3446,3498,3413,2295,972,322,17850,4262,8673,7376,7523,6203,3971,1785,521,40307,538,512,444,359,323,198,50,11,2442,321,540,640,648,717,571,227,94,3760,5123,9728,8454,8532,7240,4740,2061,626,46508,67,157,178,177,202,223,170,80,1266,2582,2249,2339,2722,3147,3643,3144,1883,21714,9836,21710,21398,19994,18741,13761,7283,3167,115887
SOSR214,471,419,436,301,92,13,2073,34,278,417,512,464,302,67,10,2089,454,1954,2239,1649,1652,1254,478,148,9822,398,1309,1637,1791,1734,1494,625,200,9180,1939,3905,3645,4064,3644,2676,1231,406,21513,290,301,267,250,203,124,33,18,1484,157,269,367,354,434,381,134,70,2169,2383,4477,4282,4673,4282,3183,1398,490,25173,42,92,81,96,132,155,110,41,751,1552,1430,1501,1805,2096,2686,2289,1318,14679,4886,9851,10632,10947,10796,9379,5063,2222,63772
SOSR215,770,693,724,520,131,33,3416,54,491,782,782,824,512,105,23,3568,730,3271,3833,2760,2867,2112,782,243,16598,682,2387,2687,2857,2934,2324,965,302,15125,3115,6794,6287,6612,5788,3861,1657,508,34631,405,438,386,336,312,213,55,11,2163,223,445,539,596,679,596,232,97,3415,3749,7670,7218,7550,6786,4676,1949,616,40215,38,124,102,170,196,265,157,80,1135,2412,1831,2046,2665,3375,3793,3156,1831,21109,7714,16280,17430,17469,17703,14196,7240,3130,101164
SOSR221,176,183,232,191,50,3,941,19,144,206,212,247,160,30,6,1016,150,742,915,776,845,640,183,46,4301,177,511,736,828,984,727,259,73,4296,781,1781,1764,2180,1977,1259,551,112,10415,116,124,106,124,120,55,12,4,662,56,111,146,194,209,214,60,10,994,957,2018,2013,2500,2308,1527,618,127,12070,13,21,39,47,62,90,34,21,330,622,474,628,809,1155,1266,777,454,6176,1947,3999,4707,5357,5834,4600,1956,733,29127
SOSR222,101,108,180,83,22,0,571,15,69,131,139,166,80,13,3,622,99,497,600,507,559,347,95,25,2732,92,330,469,514,548,388,123,37,2511,467,1089,1117,1381,1277,762,238,70,6399,71,66,76,73,77,41,6,0,398,39,78,83,125,152,108,24,3,601,571,1236,1270,1576,1505,908,269,70,7398,12,19,27,28,44,31,15,6,192,474,358,428,630,687,705,421,223,3940,1280,2572,3030,3506,3695,2547,956,374,17963
SOSR231,1412,1732,1913,1210,299,41,7528,88,780,1347,1754,2084,970,159,17,7201,1440,5447,7718,7181,7462,4309,1032,213,34798,1358,3680,5423,7186,7041,4669,1167,250,30773,5912,10125,12068,16032,13343,7171,2204,464,67324,726,629,702,762,702,301,49,21,3894,417,643,1003,1344,1421,1014,247,59,6154,7060,11399,13776,18143,15466,8488,2504,544,77376,91,144,253,365,473,490,155,49,2032,5509,4278,5280,7040,7743,6948,3380,1053,41232,15639,26558,35211,43412,42184,27084,8692,2163,200936
