SOSR_CODE_2016,A75_84_L_PinE_NS_14,A75_84_L_PinE_NS_15,A75_84_L_PinE_NS_16,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B00,A75_84_T_00_05,A75_84_T_06_10,A75_84_T_11,A75_84_T_12,A75_84_T_13,A75_84_T_14,A75_84_T_15,A75_84_T_16,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B00,A85ov_SEO_00_05,A85ov_SEO_06_10,A85ov_SEO_11,A85ov_SEO_12,A85ov_SEO_13,A85ov_SEO_14,A85ov_SEO_15,A85ov_SEO_16,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_SOLSE_VWW_B00,A85ov_SOLSE_VWW_00_05,A85ov_SOLSE_VWW_06_10,A85ov_SOLSE_VWW_11,A85ov_SOLSE_VWW_12,A85ov_SOLSE_VWW_13,A85ov_SOLSE_VWW_14,A85ov_SOLSE_VWW_15,A85ov_SOLSE_VWW_16,A85ov_SOLSE_VWW_YNS,A85ov_SOLSE_VWW_T,A85ov_SOLSE_NWNAA_B00,A85ov_SOLSE_NWNAA_00_05,A85ov_SOLSE_NWNAA_06_10,A85ov_SOLSE_NWNAA_11,A85ov_SOLSE_NWNAA_12,A85ov_SOLSE_NWNAA_13,A85ov_SOLSE_NWNAA_14,A85ov_SOLSE_NWNAA_15,A85ov_SOLSE_NWNAA_16,A85ov_SOLSE_NWNAA_YNS,A85ov_SOLSE_NWNAA_T,A85ov_SOLSE_PinE_NS_B00,A85ov_SOLSE_PinE_NS_00_05,A85ov_SOLSE_PinE_NS_06_10,A85ov_SOLSE_PinE_NS_11,A85ov_SOLSE_PinE_NS_12,A85ov_SOLSE_PinE_NS_13,A85ov_SOLSE_PinE_NS_14,A85ov_SOLSE_PinE_NS_15,A85ov_SOLSE_PinE_NS_16,A85ov_SOLSE_PinE_NS_YNS,A85ov_SOLSE_PinE_NS_T,A85ov_SOLSE_T_B00,A85ov_SOLSE_T_00_05,A85ov_SOLSE_T_06_10,A85ov_SOLSE_T_11,A85ov_SOLSE_T_12,A85ov_SOLSE_T_13,A85ov_SOLSE_T_14,A85ov_SOLSE_T_15,A85ov_SOLSE_T_16,A85ov_SOLSE_T_YNS,A85ov_SOLSE_T_T,A85ov_L_PinE_NS_B00,A85ov_L_PinE_NS_00_05,A85ov_L_PinE_NS_06_10,A85ov_L_PinE_NS_11,A85ov_L_PinE_NS_12,A85ov_L_PinE_NS_13,A85ov_L_PinE_NS_14,A85ov_L_PinE_NS_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B00,A85ov_T_00_05,A85ov_T_06_10,A85ov_T_11,A85ov_T_12,A85ov_T_13,A85ov_T_14,A85ov_T_15,A85ov_T_16,A85ov_T_YNS,A85ov_T_T,T_SEO_B00,T_SEO_00_05,T_SEO_06_10,T_SEO_11,T_SEO_12,T_SEO_13,T_SEO_14,T_SEO_15,T_SEO_16,T_SEO_YNS,T_SEO_T,T_SOLSE_VWW_B00,T_SOLSE_VWW_00_05,T_SOLSE_VWW_06_10,T_SOLSE_VWW_11,T_SOLSE_VWW_12,T_SOLSE_VWW_13,T_SOLSE_VWW_14,T_SOLSE_VWW_15,T_SOLSE_VWW_16,T_SOLSE_VWW_YNS,T_SOLSE_VWW_T,T_SOLSE_NWNAA_B00,T_SOLSE_NWNAA_00_05,T_SOLSE_NWNAA_06_10,T_SOLSE_NWNAA_11,T_SOLSE_NWNAA_12,T_SOLSE_NWNAA_13,T_SOLSE_NWNAA_14,T_SOLSE_NWNAA_15,T_SOLSE_NWNAA_16,T_SOLSE_NWNAA_YNS,T_SOLSE_NWNAA_T,T_SOLSE_PinE_NS_B00,T_SOLSE_PinE_NS_00_05,T_SOLSE_PinE_NS_06_10,T_SOLSE_PinE_NS_11,T_SOLSE_PinE_NS_12,T_SOLSE_PinE_NS_13,T_SOLSE_PinE_NS_14,T_SOLSE_PinE_NS_15,T_SOLSE_PinE_NS_16,T_SOLSE_PinE_NS_YNS,T_SOLSE_PinE_NS_T,T_SOLSE_T_B00,T_SOLSE_T_00_05,T_SOLSE_T_06_10,T_SOLSE_T_11,T_SOLSE_T_12,T_SOLSE_T_13,T_SOLSE_T_14,T_SOLSE_T_15,T_SOLSE_T_16,T_SOLSE_T_YNS,T_SOLSE_T_T,T_L_PinE_NS_B00,T_L_PinE_NS_00_05,T_L_PinE_NS_06_10,T_L_PinE_NS_11,T_L_PinE_NS_12,T_L_PinE_NS_13,T_L_PinE_NS_14,T_L_PinE_NS_15,T_L_PinE_NS_16,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B00,T_T_00_05,T_T_06_10,T_T_11,T_T_12,T_T_13,T_T_14,T_T_15,T_T_16,T_T_YNS,T_T_T
SOSR201,0,0,0,174,398,85585,1771,1668,286,235,247,220,167,123,3661,93950,10714,159,95,14,16,8,13,8,4,917,11943,10378,83,76,9,20,12,4,10,5,726,11317,10530,243,161,25,18,22,29,24,20,1059,12137,203,3,0,0,0,0,0,0,0,113,323,21113,331,239,34,36,34,32,31,26,1902,23778,128,4,0,0,0,0,0,0,0,223,358,31963,486,331,47,58,43,46,38,30,3041,36081,261792,44122,50573,12153,12759,11226,10735,11403,7032,12678,434470,315410,99258,168210,29593,36088,41034,44735,46013,27420,20614,828390,90916,14308,23542,5891,7927,10903,10705,13359,10698,12279,200526,3153,688,1098,159,245,317,316,340,254,763,7343,409485,114254,192848,35638,44265,52255,55755,59718,38380,33661,1036256,857,126,159,39,43,48,53,70,85,2169,3640,672135,158506,243576,47823,57062,63528,66545,71191,45498,48507,1474364
SOSR203,0,0,0,10,22,2667,24,15,0,0,0,3,3,0,137,2852,497,6,0,0,0,0,0,0,0,61,561,385,0,0,0,0,0,0,0,0,52,437,184,0,3,0,0,0,0,0,0,36,226,11,0,0,0,0,0,0,0,0,0,9,580,0,4,0,0,0,3,0,0,87,676,6,0,0,0,0,0,0,0,0,10,20,1084,3,5,0,0,0,3,0,0,160,1256,8841,929,1190,263,201,211,220,211,126,422,12622,4842,961,2475,403,574,689,606,714,436,365,12058,1252,114,278,73,117,205,140,218,194,194,2778,91,7,17,3,0,9,7,9,9,14,152,6179,1079,2765,482,687,902,743,941,638,574,14990,40,0,6,0,0,0,3,0,3,46,94,15054,2005,3965,749,894,1118,967,1151,769,1039,27705
SOSR211,0,0,0,10,21,2176,40,27,7,3,3,3,8,3,111,2371,504,8,6,0,0,0,0,0,0,49,570,200,0,0,0,0,0,0,0,0,24,225,58,3,3,0,0,0,0,0,0,7,70,3,0,0,0,0,0,0,0,0,0,4,260,3,4,0,0,0,0,0,0,27,298,6,0,0,0,0,0,0,0,0,4,12,772,8,11,0,0,0,0,0,0,85,884,11268,1206,1501,306,355,280,245,243,109,657,16165,4206,2034,4184,583,634,665,580,602,388,400,14266,558,158,506,113,109,193,197,222,201,153,2415,49,25,42,6,10,3,4,4,6,15,163,4813,2217,4733,703,758,860,777,830,593,568,16845,48,6,4,9,0,0,0,3,3,38,113,16122,3430,6238,1016,1112,1142,1026,1067,703,1264,33125
SOSR212,0,0,0,0,13,1707,33,14,4,0,3,3,4,0,79,1859,336,7,3,0,0,0,0,0,0,27,371,205,3,0,0,0,0,0,0,0,30,236,113,0,4,0,0,0,0,0,0,10,129,0,0,0,0,0,0,0,0,0,0,3,316,3,6,0,0,0,0,0,0,36,362,3,0,0,0,0,0,0,0,0,3,6,653,5,11,0,0,0,0,0,0,69,744,7025,874,879,258,206,181,183,188,82,360,10241,3159,1182,2479,379,425,565,497,460,282,322,9756,752,243,408,107,151,185,226,295,282,260,2914,38,14,32,3,3,0,6,4,7,17,115,3950,1438,2918,487,583,760,730,758,568,601,12783,31,5,5,0,4,0,3,3,9,22,76,11003,2316,3800,753,790,937,909,953,662,981,23103
SOSR213,0,0,0,14,40,3244,35,15,8,0,3,0,4,3,148,3461,832,10,5,0,3,0,0,0,0,78,931,312,3,3,0,0,0,0,0,0,12,327,116,0,0,0,0,0,0,0,0,10,132,12,0,0,0,0,0,0,0,0,3,18,444,4,3,0,0,0,0,0,0,23,472,19,0,0,0,0,0,0,0,0,13,36,1300,11,11,0,3,0,0,0,0,118,1440,13645,1214,1504,311,292,256,190,173,97,679,18359,3437,777,1884,293,322,321,297,295,107,256,7992,529,75,157,43,71,50,67,111,59,103,1270,53,6,12,3,4,5,0,6,3,12,99,4016,859,2052,334,400,376,368,409,165,378,9361,86,6,0,3,0,0,0,0,0,51,146,17742,2075,3560,649,693,633,558,578,263,1102,27868
SOSR214,0,0,0,13,19,1891,18,14,0,3,0,0,0,0,79,2008,485,8,3,0,0,5,0,0,0,28,526,117,0,0,0,0,0,0,0,0,7,132,34,0,0,0,0,0,0,0,0,9,39,4,0,0,0,0,0,0,0,0,0,8,156,0,0,0,0,0,0,0,0,14,171,7,0,0,0,0,0,0,0,0,12,18,646,8,0,0,3,5,0,0,0,57,719,7935,624,715,127,130,120,84,79,42,420,10274,1732,309,842,170,179,171,168,166,87,182,4006,201,38,56,19,33,27,51,102,70,112,727,39,8,5,0,0,0,0,0,0,7,62,1974,353,911,187,214,204,220,274,163,297,4803,31,3,0,0,0,0,0,0,0,264,306,9950,977,1625,317,349,325,304,347,209,980,15380
SOSR215,0,0,0,0,16,2704,32,15,9,0,0,5,3,3,160,2929,691,7,3,0,0,0,0,0,0,94,799,235,0,3,0,0,0,0,0,0,15,258,74,0,0,0,0,0,0,0,0,23,102,8,0,0,0,0,0,0,0,0,0,8,316,0,3,0,0,0,0,0,0,40,361,11,0,0,0,0,0,0,0,0,8,25,1017,8,5,0,0,0,0,0,0,148,1185,13004,1057,1000,190,195,171,146,123,60,786,16742,2785,494,1097,148,181,225,169,200,118,209,5626,369,45,148,24,34,41,70,80,63,122,989,45,7,8,0,3,3,3,7,0,15,91,3194,536,1253,175,215,261,243,287,181,346,6705,56,5,3,6,0,0,0,0,0,27,97,16251,1599,2258,378,417,432,395,420,237,1159,23543
SOSR221,0,0,0,0,4,750,7,4,0,0,0,0,0,0,42,796,145,0,0,0,0,0,0,0,0,10,154,37,0,0,0,0,0,0,0,0,4,42,4,0,0,0,0,0,0,0,0,6,10,4,0,0,0,0,0,0,0,0,0,4,51,0,0,0,0,0,0,0,0,3,53,4,0,0,0,0,0,0,0,0,0,4,194,0,0,0,0,0,0,0,0,13,215,4256,260,239,45,41,39,54,20,16,221,5188,692,65,160,29,29,41,33,33,19,42,1140,61,5,8,3,0,5,6,8,11,13,119,14,0,0,0,0,0,0,0,0,5,21,763,71,175,32,37,49,34,33,30,52,1284,17,3,0,0,0,0,0,0,0,6,31,5040,332,419,76,74,88,86,58,48,278,6500
SOSR222,0,0,0,0,3,369,0,4,0,0,0,0,0,0,16,390,65,0,0,0,0,0,0,0,0,13,84,17,0,0,0,0,0,0,0,0,6,21,4,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,5,30,0,0,0,0,0,0,0,0,0,6,4,91,0,0,0,0,0,0,0,0,20,118,2385,159,138,38,34,30,16,24,13,130,2968,384,48,123,19,33,43,31,22,21,55,772,41,3,13,0,3,4,16,18,18,12,133,9,0,0,0,0,0,0,0,0,0,10,431,56,139,21,30,48,49,42,38,61,909,9,0,0,0,0,0,0,0,0,7,18,2821,209,277,59,70,76,64,62,56,196,3896
SOSR231,0,0,0,11,20,3620,40,14,7,3,0,0,3,0,168,3861,499,5,10,0,0,0,3,3,0,42,567,268,0,0,0,0,3,0,0,0,8,280,99,0,0,0,0,0,0,0,0,4,106,3,0,0,0,0,0,0,0,0,0,3,368,3,3,0,0,3,0,0,0,16,390,5,0,0,0,0,0,0,0,0,3,4,877,13,17,0,0,3,3,3,0,56,967,22806,2090,2035,348,285,281,218,227,105,1201,29590,6020,835,1636,306,306,262,283,329,244,462,10692,703,58,128,26,43,48,55,101,80,171,1416,74,9,17,0,3,0,3,0,0,17,128,6800,902,1786,331,347,310,347,437,327,647,12243,66,3,4,0,0,3,0,6,3,841,930,29674,3000,3824,676,629,592,562,671,438,2697,42766
