SOSR_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
SOSR201,173,2223,65,27548,1033,187,108,535,179,738,75,456,163,2373,17848,23688,528,110,237,288,97,235,35,192,151,3208,2222,7298,94382,15391,2609,47550,4928,40132,2129,25193,3682,115461,21973,373438
SOSR203,3,58,0,594,33,5,3,22,15,30,3,16,9,144,659,942,17,4,5,18,3,11,0,14,5,172,103,350,2913,678,102,2169,199,1365,117,1141,138,5493,844,15148
SOSR211,11,76,3,683,58,14,13,44,8,58,8,32,11,215,1116,1576,29,8,17,27,3,11,4,14,13,309,160,602,4950,1055,206,3805,363,2537,192,1914,291,9151,1412,25880
SOSR212,5,53,3,499,44,3,7,26,3,39,4,20,11,150,692,993,20,10,8,19,3,7,0,14,10,193,154,435,3294,627,115,2415,216,1541,112,1108,217,5922,975,16539
SOSR213,12,111,0,813,65,10,5,44,9,64,4,51,11,252,1137,1651,37,6,17,29,6,18,3,16,10,345,238,723,4497,1071,207,3568,330,2168,219,1941,329,10500,1590,26412
SOSR214,3,59,0,334,21,11,3,20,3,53,4,21,7,207,647,996,23,8,6,20,5,19,0,15,4,218,149,468,2069,692,133,1895,184,1196,124,1221,182,7063,948,15703
SOSR215,11,90,4,592,49,23,3,33,9,58,9,47,18,248,1030,1519,35,15,19,34,0,20,3,18,10,321,204,687,3700,1161,239,3018,326,1996,212,1910,347,9932,1444,24289
SOSR221,6,25,0,151,12,0,0,8,3,10,3,13,3,71,374,494,18,3,4,4,0,3,0,10,6,114,67,230,955,339,63,933,100,631,68,621,99,3076,500,7385
SOSR222,0,13,0,95,7,3,0,0,4,18,0,10,3,46,196,292,10,0,3,9,3,3,0,3,3,58,35,126,666,217,50,559,61,412,32,381,64,1722,270,4433
SOSR231,15,252,19,2333,132,45,19,104,18,153,10,84,33,364,2472,3439,150,38,71,91,19,57,13,42,28,457,298,1277,9582,3241,731,8072,805,4705,519,3855,761,14997,3207,50481
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
