SOSR_CODE_2016,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_0_4,P_Hong_Kong_5_14,P_Hong_Kong_15_24,P_Hong_Kong_25_44,P_Hong_Kong_45_54,P_Hong_Kong_55_64,P_Hong_Kong_65_74,P_Hong_Kong_75_84,P_Hong_Kong_85ov,P_Hong_Kong_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_Nthern_Ireland_0_4,P_Nthern_Ireland_5_14,P_Nthern_Ireland_15_24,P_Nthern_Ireland_25_44,P_Nthern_Ireland_45_54,P_Nthern_Ireland_55_64,P_Nthern_Ireland_65_74,P_Nthern_Ireland_75_84,P_Nthern_Ireland_85ov,P_Nthern_Ireland_Tot,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot
SOSR201,60,640,747,2187,4115,7395,13055,13408,3446,45053,254,847,3118,8297,2705,3460,1411,501,106,20699,3200,9011,16786,99017,12873,8794,5324,2316,834,158148,180,613,3905,8454,1490,975,733,294,103,16759,171,1494,1710,8869,1689,961,511,183,49,15641,167,1406,2284,7484,3250,1692,781,357,94,17522,107,630,404,5831,1617,1378,1301,903,434,12599,79,404,806,4146,4394,10140,16877,17230,7294,61376,132,620,976,3901,1171,449,334,105,69,7762,146,919,2569,7801,1590,620,241,85,16,13979,92,298,770,5124,3904,3061,1910,778,219,16156,581,2381,8562,18209,5994,6338,3630,1214,314,47223,4,39,120,587,1040,3539,5457,3061,806,14657,17,283,787,3962,1761,2021,1341,688,298,11160,53,725,1843,4672,1200,627,302,201,74,9694,48,322,1958,5994,265,156,54,15,3,8819,46,293,256,1333,912,1875,3372,2162,1046,11293,1343,7771,10344,30378,11188,7887,3586,1306,453,74261,10,79,113,941,685,721,854,515,183,4106,625,2031,3183,11644,1261,632,302,64,18,19763
SOSR203,0,0,3,6,26,38,95,82,32,289,3,12,50,45,14,16,14,3,0,160,43,112,361,1333,83,58,32,20,13,2066,3,11,37,69,37,6,14,4,0,184,5,69,70,205,41,27,12,3,3,439,18,38,13,97,27,6,4,0,0,209,3,23,17,92,57,43,53,28,18,334,0,7,15,43,86,191,354,363,178,1251,5,13,6,51,18,0,0,3,0,99,3,16,24,83,11,4,0,0,0,143,3,3,3,17,14,21,9,5,0,76,3,17,75,170,62,63,17,12,3,431,0,0,0,3,0,33,57,13,3,113,0,3,6,27,7,4,3,0,0,58,3,13,79,159,50,31,29,5,3,376,0,7,17,70,4,0,0,0,0,95,0,6,13,36,25,144,354,213,113,908,21,79,161,553,279,239,102,36,13,1486,0,7,5,29,34,68,69,46,10,272,16,72,78,185,17,5,6,0,0,378
SOSR211,0,0,0,11,31,46,64,60,11,223,3,9,17,38,16,20,16,3,0,121,61,223,212,2086,206,146,96,30,18,3074,4,6,21,90,39,17,14,3,7,194,5,22,23,68,21,11,12,3,0,165,0,3,4,53,17,10,7,3,0,96,0,21,18,97,40,44,87,46,20,373,0,6,13,23,61,143,173,124,69,602,3,19,13,64,16,8,6,9,0,130,3,21,19,88,18,4,3,0,0,152,0,0,14,32,24,20,18,3,0,117,13,47,43,177,86,71,35,10,0,488,4,13,21,68,79,210,253,95,13,754,0,10,5,68,29,19,7,3,0,129,0,38,112,302,91,47,20,19,0,622,3,37,52,90,6,6,0,0,0,191,4,3,7,37,37,164,378,230,69,928,85,363,420,986,487,390,223,80,20,3049,0,0,0,21,32,40,50,30,16,188,4,35,25,188,29,15,4,0,0,295
SOSR212,3,4,3,18,25,42,93,122,23,332,0,3,28,84,10,23,9,0,0,151,37,142,148,1215,194,117,73,31,15,1981,3,4,6,65,7,8,4,9,4,118,7,46,38,70,5,4,0,0,0,175,7,27,91,252,105,31,11,0,0,532,3,30,11,93,47,57,43,21,15,327,0,4,17,42,91,209,401,374,190,1331,3,9,11,53,12,5,0,0,0,101,3,5,66,122,3,3,0,0,0,214,0,3,4,12,17,6,3,0,0,44,15,23,82,285,46,55,15,4,0,533,0,0,3,13,21,72,102,29,11,243,0,3,3,28,4,8,0,0,0,45,0,3,0,20,3,0,0,0,0,30,0,3,7,43,5,3,0,0,0,65,0,0,8,27,30,96,233,130,48,566,37,191,248,637,377,263,151,51,15,1974,0,0,3,15,17,39,53,19,7,151,4,85,61,139,25,17,0,0,0,335
SOSR213,0,4,3,9,31,60,64,56,19,236,3,9,16,52,12,27,3,3,0,131,36,79,54,844,67,65,65,26,18,1264,0,6,15,70,25,16,11,7,0,143,0,8,8,33,14,4,3,0,0,71,0,0,7,3,9,3,0,0,0,25,3,37,8,119,56,88,58,64,20,454,0,3,5,38,75,218,423,431,202,1404,0,15,6,46,16,9,4,4,3,100,3,5,9,42,3,4,0,0,0,75,0,0,0,14,7,4,3,0,0,32,4,14,25,151,54,60,20,6,0,338,0,0,0,14,28,112,204,106,34,494,0,4,9,34,22,22,14,0,0,113,0,6,8,26,4,3,4,0,0,47,0,0,6,48,7,0,0,0,0,63,0,7,7,70,71,246,528,346,133,1406,15,140,213,762,433,344,269,99,26,2310,0,0,3,19,40,58,87,41,14,260,6,10,15,85,13,7,3,0,0,136
SOSR214,0,0,0,5,14,38,63,53,6,182,0,3,24,28,13,6,4,6,0,81,18,43,38,496,50,38,29,12,6,734,0,7,7,29,12,7,13,10,0,77,0,0,3,11,3,0,3,0,0,23,0,8,12,37,23,7,4,0,0,89,0,12,4,55,28,47,52,33,9,250,0,0,4,21,65,122,264,218,78,776,0,0,10,27,7,8,7,0,0,55,0,0,16,27,4,0,0,0,0,52,0,0,0,21,9,11,0,0,0,43,0,16,33,69,38,27,6,4,3,203,0,3,7,16,14,84,138,50,4,305,0,0,3,15,6,8,7,0,0,47,0,0,3,25,5,0,3,3,0,48,0,3,4,32,0,0,0,0,0,38,0,7,3,36,32,121,301,138,69,701,8,94,111,424,305,279,204,83,30,1540,0,0,0,11,17,24,32,25,8,121,7,8,3,38,7,3,0,0,3,69
SOSR215,0,0,0,12,16,43,65,34,15,191,0,3,8,41,13,20,9,0,0,84,11,45,30,499,47,46,47,35,13,787,0,3,3,38,10,8,12,16,8,88,0,0,0,25,3,4,0,0,0,44,0,0,3,16,3,3,0,0,0,31,0,16,9,105,67,55,85,59,31,431,0,6,7,32,54,173,321,284,148,1034,0,10,4,40,14,10,8,0,3,83,3,0,9,30,8,0,3,0,0,53,0,0,0,9,12,8,0,3,0,33,6,15,19,114,45,45,16,4,0,261,0,0,10,11,14,94,102,25,7,260,0,3,0,22,15,15,15,6,0,84,0,0,11,52,17,14,4,0,4,107,0,0,6,55,0,0,0,0,0,64,0,6,9,59,72,220,454,282,93,1193,25,131,181,665,481,430,292,122,37,2361,3,3,3,18,27,38,62,35,11,204,0,8,4,20,12,3,0,0,3,49
SOSR221,0,0,0,4,3,18,29,16,4,72,0,0,3,6,0,7,3,0,0,12,9,5,3,86,16,10,13,9,0,156,0,0,0,9,0,3,6,3,0,24,0,0,0,0,3,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,14,12,21,4,100,0,0,0,3,10,41,71,30,17,176,0,0,0,5,8,0,5,0,0,20,0,3,0,3,0,3,0,0,0,7,0,0,0,0,0,3,0,0,0,5,0,3,0,18,9,12,3,3,0,50,0,0,0,3,4,30,44,14,3,98,0,0,0,4,0,5,7,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,21,97,163,56,15,367,3,12,36,148,150,173,127,27,6,683,0,3,0,4,10,15,29,10,0,76,0,0,3,3,0,0,0,0,0,9
SOSR222,0,0,0,0,3,13,15,3,4,32,0,4,3,5,0,0,0,0,0,14,0,8,3,41,11,7,12,3,3,94,0,0,4,8,0,0,7,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,4,0,11,11,17,10,6,3,66,0,0,4,0,8,26,33,16,6,92,0,0,4,8,4,0,0,0,0,14,0,0,6,14,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,3,0,0,3,11,11,4,0,0,0,30,0,0,0,0,6,10,14,0,0,39,0,0,0,0,0,4,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,3,0,0,3,12,14,41,88,32,9,195,3,9,23,116,73,97,70,19,0,408,0,0,0,3,9,8,11,3,0,32,0,0,0,0,0,0,0,0,0,0
SOSR231,0,5,7,18,70,138,197,135,40,613,0,8,23,54,32,27,4,0,0,144,20,68,95,787,127,159,91,28,9,1372,0,8,11,70,29,20,28,13,3,188,0,0,0,24,7,15,4,0,0,50,0,0,11,62,22,3,9,0,0,99,3,31,20,149,118,122,140,68,15,658,4,9,10,80,177,520,907,556,169,2427,0,10,15,59,30,18,9,3,0,139,0,3,10,32,5,5,0,0,0,69,0,0,3,56,35,44,13,3,4,158,3,11,47,165,100,78,35,13,0,449,0,3,3,37,65,293,381,103,7,899,0,4,6,30,41,35,19,9,0,145,0,0,6,21,8,0,5,3,0,42,0,3,0,27,0,0,0,0,0,38,3,16,30,161,205,540,916,294,65,2231,36,252,371,1308,1178,1111,553,137,23,4972,0,4,5,33,68,70,106,33,7,324,0,3,3,39,9,9,6,3,0,73
