SOSR_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SOSR201,1017526,1073172,2090698,90078,93524,183600,19973,21079,41054,445925,460552,906483,15451,16489,31936,6479,6688,13165,7833,8016,15849,3301,3635,6940,1796,1829,3622,3201,3370,6571,75,26,105,504040,521680,1025726,174058,185895,359950,10181,9300,19479,778360,810395,1588758,122710,126049,248763,1918595,2009619,3928221
SOSR203,37738,40883,78621,5438,5987,11428,604,743,1343,17058,18873,35928,560,615,1172,229,238,469,264,255,520,140,182,326,104,118,221,92,97,192,0,0,0,19044,21126,40169,3028,2888,5915,423,377,793,27937,30371,58304,4933,5478,10411,70611,76731,147338
SOSR211,63098,67037,130129,9842,10764,20607,2254,2448,4701,31555,35257,66810,1375,1393,2765,559,619,1176,537,572,1110,287,339,623,265,283,545,156,177,336,0,3,3,36989,41084,78071,2900,3337,6244,793,621,1420,50529,55811,106341,9468,10259,19723,123096,133105,256196
SOSR212,42064,44818,86886,8991,9897,18896,1010,1150,2164,13214,14858,28067,688,718,1408,548,624,1177,316,316,633,119,137,257,122,149,271,44,47,87,0,0,0,16065,17993,34059,2521,2462,4985,474,431,907,28054,30794,58846,6436,6950,13388,76563,82564,159120
SOSR213,60945,65212,126156,16763,18977,35740,1348,1467,2809,19661,21995,41660,1018,1098,2113,431,464,890,490,523,1014,214,226,437,192,209,400,106,116,225,0,0,0,23459,26094,49553,1902,2063,3965,627,571,1197,42748,47708,90457,8800,9491,18297,112498,122410,234907
SOSR214,35154,37385,72534,8407,9414,17827,765,874,1643,10132,11422,21548,556,585,1143,235,255,494,250,270,516,102,131,231,128,125,254,57,62,118,0,0,3,12221,13725,25947,974,1082,2059,269,288,560,21871,24510,46386,6164,6035,12198,63190,67929,131117
SOSR215,56414,58850,115269,11724,12971,24692,1076,1222,2298,17630,19498,37128,911,956,1860,311,348,659,394,416,813,140,166,305,188,173,358,71,86,152,0,3,0,20719,22863,43580,1258,1474,2733,449,408,853,34145,37713,71864,8268,8872,17142,98828,105438,204267
SOSR221,16885,16916,33797,2404,2568,4974,288,331,620,5539,5618,11149,232,242,470,99,117,210,106,101,205,52,51,104,51,47,96,33,33,66,0,0,0,6391,6539,12926,235,311,544,126,117,245,9156,9536,18697,2505,2438,4941,28549,28885,57437
SOSR222,11027,10814,21837,1301,1358,2662,207,209,417,3136,3188,6323,195,188,385,94,77,168,70,74,141,29,25,49,32,36,69,4,5,11,0,0,0,3771,3803,7569,208,282,484,61,66,127,5341,5502,10840,1773,1728,3500,18141,18038,36184
SOSR231,129532,120272,249801,12399,12269,24666,2104,2102,4209,32630,33377,66013,1602,1480,3086,656,683,1342,747,720,1465,265,249,510,379,378,757,134,120,256,0,3,3,38521,39113,77636,2079,2228,4313,639,582,1215,53635,54198,107831,20110,15663,35773,203276,190129,393405
