SOSR_CODE_2016,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
SOSR201,50402,23452,25184,48632,22785,24010,46801,22052,23993,46040,21207,22943,44149,113997,122033,236031,21432,22622,44051,19886,21706,41593,18955,21093,40044,18772,20576,39351,18080,20024,38106,97127,106021,203144,17780,19775,37552,16898,19172,36071,16638,18409,35048,16518,18945,35464,17535,19383,36921,85372,95687,181054,14754,16229,30984,13492,15046,28537,13062,14793,27859,11473,13100,24574,11444,13072,24519,64222,72246,136472,10713,12290,23001,10471,12037,22511,9657,11527,21184,9095,11208,20303,8645,10541,19184,48570,57611,106181,34155,44837,78995,21482,32484,53962,8363,16228,24591,1667,4310,5976,141,577,717,2056095,2140106,4196198
SOSR203,1968,938,1037,1979,891,980,1878,892,1030,1918,928,977,1907,4550,5097,9645,890,982,1865,825,930,1756,852,941,1795,761,939,1697,821,887,1710,4148,4676,8823,753,837,1591,792,844,1637,749,902,1646,696,853,1548,814,914,1727,3809,4350,8156,638,750,1387,576,688,1263,581,689,1268,558,615,1174,509,625,1131,2862,3371,6233,451,598,1048,438,587,1030,437,518,958,429,522,947,407,548,961,2170,2774,4940,1577,2248,3820,1099,1736,2832,403,989,1395,87,240,329,5,36,42,75635,81462,157104
SOSR211,3398,1530,1763,3294,1535,1728,3263,1519,1778,3297,1516,1730,3239,7661,8831,16496,1505,1731,3234,1490,1609,3092,1469,1661,3129,1463,1629,3095,1426,1646,3075,7350,8275,15623,1389,1609,2999,1408,1513,2922,1303,1438,2739,1293,1426,2718,1425,1616,3036,6814,7594,14409,1096,1215,2313,1023,1180,2202,916,1112,2025,885,988,1874,925,1014,1935,4835,5509,10348,811,897,1702,671,954,1624,727,865,1592,635,855,1491,627,749,1377,3472,4317,7790,2447,3182,5636,1408,2422,3830,536,1163,1699,96,275,374,10,37,48,133073,142654,275731
SOSR212,2262,1046,1159,2209,1042,1082,2128,996,1140,2130,966,1088,2051,5115,5659,10775,993,1088,2079,874,1046,1921,939,1014,1955,895,1013,1907,951,919,1870,4646,5080,9732,846,1022,1868,873,994,1868,855,925,1780,829,906,1729,866,941,1809,4273,4784,9061,706,800,1510,655,732,1381,668,710,1379,538,634,1174,638,726,1361,3206,3595,6805,529,614,1148,500,647,1150,489,558,1052,416,573,993,411,521,931,2354,2918,5270,1683,2403,4091,1032,1689,2723,386,833,1221,83,197,275,10,19,22,82267,87993,170256
SOSR213,3322,1568,1697,3261,1616,1736,3347,1527,1741,3271,1466,1689,3156,7723,8640,16366,1518,1702,3220,1460,1710,3173,1472,1610,3087,1489,1642,3131,1483,1597,3082,7424,8265,15685,1452,1637,3095,1513,1609,3125,1434,1539,2974,1401,1475,2884,1448,1660,3111,7258,7928,15182,1237,1362,2606,1103,1303,2409,1138,1267,2404,1026,1211,2233,1025,1191,2216,5536,6331,11869,947,1120,2065,836,1069,1903,910,1033,1940,833,973,1801,719,925,1643,4241,5107,9350,2951,3939,6891,1809,2982,4783,690,1460,2150,132,358,490,18,57,74,120784,130231,251012
SOSR214,1912,919,972,1889,925,988,1914,866,924,1791,899,894,1793,4515,4783,9294,891,995,1887,897,991,1882,881,1060,1941,931,1044,1972,935,1026,1960,4529,5106,9640,953,1060,2013,921,1090,2011,935,1033,1970,942,1031,1971,979,1187,2159,4723,5394,10119,861,894,1754,850,906,1761,778,958,1728,735,792,1532,744,833,1572,3967,4386,8357,716,739,1459,586,671,1257,658,701,1362,567,674,1245,515,583,1095,3039,3373,6416,1987,2652,4638,1294,1984,3279,469,950,1415,94,286,381,11,43,54,67240,71633,138874
SOSR215,2983,1411,1490,2904,1480,1566,3049,1451,1588,3034,1409,1587,3001,7167,7799,14969,1448,1545,2995,1476,1640,3114,1445,1548,2996,1527,1623,3153,1492,1543,3027,7383,7899,15287,1485,1510,2991,1452,1626,3079,1420,1540,2962,1511,1473,2982,1580,1670,3249,7454,7816,15272,1358,1369,2724,1226,1296,2524,1165,1209,2377,1031,1129,2166,1031,1149,2176,5813,6143,11959,1018,1056,2077,965,988,1952,833,989,1822,755,880,1639,764,862,1629,4338,4776,9113,2917,3729,6651,1821,2829,4653,778,1487,2260,118,450,571,22,51,74,105368,111612,216976
SOSR221,982,456,456,906,491,468,960,481,486,967,437,506,940,2370,2385,4754,498,475,971,496,478,975,474,481,951,493,500,988,499,506,1006,2453,2437,4893,472,464,935,526,496,1022,462,490,947,474,456,937,540,486,1026,2480,2389,4865,423,376,798,365,370,740,381,383,763,361,294,657,347,332,685,1884,1753,3643,337,265,600,268,268,537,240,264,506,215,238,458,212,227,432,1274,1255,2530,747,852,1605,435,565,1004,156,305,467,26,82,114,9,17,27,30195,30425,60620
SOSR222,703,289,339,627,325,323,650,331,318,651,329,304,632,1616,1648,3263,326,333,659,332,311,641,322,294,617,326,291,615,306,285,597,1612,1514,3128,327,288,616,352,289,644,254,273,528,304,254,555,299,267,571,1536,1372,2910,266,220,485,262,206,471,205,204,405,181,170,351,193,165,356,1104,971,2071,147,149,296,107,154,262,145,115,257,118,122,237,109,115,221,625,659,1285,413,396,815,241,310,557,86,142,226,9,35,42,3,13,19,19200,19003,38204
SOSR231,7388,3591,3533,7128,3629,3568,7195,3595,3335,6935,3619,3334,6951,18211,17379,35594,3603,3366,6971,3514,3323,6836,3460,3169,6633,3502,3242,6749,3413,2895,6313,17495,16001,33494,3421,3089,6507,3316,2894,6214,3148,2638,5786,3068,2625,5687,3256,2608,5866,16205,13857,30067,2738,2125,4864,2467,1999,4467,2129,1870,3999,1933,1564,3500,1927,1529,3457,11200,9088,20283,1689,1379,3068,1519,1166,2687,1322,1034,2354,1162,963,2125,1085,832,1925,6785,5374,12158,3620,3092,6717,1828,1786,3614,552,734,1284,91,202,296,26,46,74,213864,200186,414055
