SOSR_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SOSR201,36,1831,674,351,1834,0.9,1546,2.7
SOSR203,38,1500,591,275,1555,0.8,1206,2.4
SOSR211,36,1387,600,255,1452,0.8,1182,2.5
SOSR212,38,1387,609,250,1501,0.8,1209,2.5
SOSR213,41,1376,592,240,1466,0.8,1150,2.4
SOSR214,46,1300,539,230,1319,0.7,1005,2.3
SOSR215,45,1300,561,225,1393,0.8,1078,2.3
SOSR221,47,1281,527,203,1321,0.8,1011,2.3
SOSR222,46,1192,550,200,1345,0.8,1058,2.3
SOSR231,45,1517,615,180,1555,0.8,1328,2.6
SOSR279,49,0,3000,0,0,0,0,0
SOSR299,34,0,398,0,0,0,0,0
