SOSR_CODE_2016,A0_14_SEO_B00,A0_14_SEO_00_05,A0_14_SEO_06_10,A0_14_SEO_11,A0_14_SEO_12,A0_14_SEO_13,A0_14_SEO_14,A0_14_SEO_15,A0_14_SEO_16,A0_14_SEO_YNS,A0_14_SEO_T,A0_14_SOLSE_VWW_B00,A0_14_SOLSE_VWW_00_05,A0_14_SOLSE_VWW_06_10,A0_14_SOLSE_VWW_11,A0_14_SOLSE_VWW_12,A0_14_SOLSE_VWW_13,A0_14_SOLSE_VWW_14,A0_14_SOLSE_VWW_15,A0_14_SOLSE_VWW_16,A0_14_SOLSE_VWW_YNS,A0_14_SOLSE_VWW_T,A0_14_SOLSE_NWNAA_B00,A0_14_SOLSE_NWNAA_00_05,A0_14_SOLSE_NWNAA_06_10,A0_14_SOLSE_NWNAA_11,A0_14_SOLSE_NWNAA_12,A0_14_SOLSE_NWNAA_13,A0_14_SOLSE_NWNAA_14,A0_14_SOLSE_NWNAA_15,A0_14_SOLSE_NWNAA_16,A0_14_SOLSE_NWNAA_YNS,A0_14_SOLSE_NWNAA_T,A0_14_SOLSE_PinE_NS_B00,A0_14_SOLSE_PinE_NS_00_05,A0_14_SOLSE_PinE_NS_06_10,A0_14_SOLSE_PinE_NS_11,A0_14_SOLSE_PinE_NS_12,A0_14_SOLSE_PinE_NS_13,A0_14_SOLSE_PinE_NS_14,A0_14_SOLSE_PinE_NS_15,A0_14_SOLSE_PinE_NS_16,A0_14_SOLSE_PinE_NS_YNS,A0_14_SOLSE_PinE_NS_T,A0_14_SOLSE_T_B00,A0_14_SOLSE_T_00_05,A0_14_SOLSE_T_06_10,A0_14_SOLSE_T_11,A0_14_SOLSE_T_12,A0_14_SOLSE_T_13,A0_14_SOLSE_T_14,A0_14_SOLSE_T_15,A0_14_SOLSE_T_16,A0_14_SOLSE_T_YNS,A0_14_SOLSE_T_T,A0_14_L_PinE_NS_B00,A0_14_L_PinE_NS_00_05,A0_14_L_PinE_NS_06_10,A0_14_L_PinE_NS_11,A0_14_L_PinE_NS_12,A0_14_L_PinE_NS_13,A0_14_L_PinE_NS_14,A0_14_L_PinE_NS_15,A0_14_L_PinE_NS_16,A0_14_L_PinE_NS_YNS,A0_14_L_PinE_NS_T,A0_14_T_B00,A0_14_T_00_05,A0_14_T_06_10,A0_14_T_11,A0_14_T_12,A0_14_T_13,A0_14_T_14,A0_14_T_15,A0_14_T_16,A0_14_T_YNS,A0_14_T_T,A15_24_SEO_B00,A15_24_SEO_00_05,A15_24_SEO_06_10,A15_24_SEO_11,A15_24_SEO_12,A15_24_SEO_13,A15_24_SEO_14,A15_24_SEO_15,A15_24_SEO_16,A15_24_SEO_YNS,A15_24_SEO_T,A15_24_SOLSE_VWW_B00,A15_24_SOLSE_VWW_00_05,A15_24_SOLSE_VWW_06_10,A15_24_SOLSE_VWW_11,A15_24_SOLSE_VWW_12,A15_24_SOLSE_VWW_13,A15_24_SOLSE_VWW_14,A15_24_SOLSE_VWW_15,A15_24_SOLSE_VWW_16,A15_24_SOLSE_VWW_YNS,A15_24_SOLSE_VWW_T,A15_24_SOLSE_NWNAA_B00,A15_24_SOLSE_NWNAA_00_05,A15_24_SOLSE_NWNAA_06_10,A15_24_SOLSE_NWNAA_11,A15_24_SOLSE_NWNAA_12,A15_24_SOLSE_NWNAA_13,A15_24_SOLSE_NWNAA_14,A15_24_SOLSE_NWNAA_15,A15_24_SOLSE_NWNAA_16,A15_24_SOLSE_NWNAA_YNS,A15_24_SOLSE_NWNAA_T,A15_24_SOLSE_PinE_NS_B00,A15_24_SOLSE_PinE_NS_00_05,A15_24_SOLSE_PinE_NS_06_10,A15_24_SOLSE_PinE_NS_11,A15_24_SOLSE_PinE_NS_12,A15_24_SOLSE_PinE_NS_13,A15_24_SOLSE_PinE_NS_14,A15_24_SOLSE_PinE_NS_15,A15_24_SOLSE_PinE_NS_16,A15_24_SOLSE_PinE_NS_YNS,A15_24_SOLSE_PinE_NS_T,A15_24_SOLSE_T_B00,A15_24_SOLSE_T_00_05,A15_24_SOLSE_T_06_10,A15_24_SOLSE_T_11,A15_24_SOLSE_T_12,A15_24_SOLSE_T_13,A15_24_SOLSE_T_14,A15_24_SOLSE_T_15,A15_24_SOLSE_T_16,A15_24_SOLSE_T_YNS,A15_24_SOLSE_T_T,A15_24_L_PinE_NS_B00,A15_24_L_PinE_NS_00_05,A15_24_L_PinE_NS_06_10,A15_24_L_PinE_NS_11,A15_24_L_PinE_NS_12,A15_24_L_PinE_NS_13,A15_24_L_PinE_NS_14,A15_24_L_PinE_NS_15,A15_24_L_PinE_NS_16,A15_24_L_PinE_NS_YNS,A15_24_L_PinE_NS_T,A15_24_T_B00,A15_24_T_00_05,A15_24_T_06_10,A15_24_T_11,A15_24_T_12,A15_24_T_13,A15_24_T_14,A15_24_T_15,A15_24_T_16,A15_24_T_YNS,A15_24_T_T,A25_34_SEO_B00,A25_34_SEO_00_05,A25_34_SEO_06_10,A25_34_SEO_11,A25_34_SEO_12,A25_34_SEO_13,A25_34_SEO_14,A25_34_SEO_15,A25_34_SEO_16,A25_34_SEO_YNS,A25_34_SEO_T,A25_34_SOLSE_VWW_B00,A25_34_SOLSE_VWW_00_05,A25_34_SOLSE_VWW_06_10,A25_34_SOLSE_VWW_11,A25_34_SOLSE_VWW_12,A25_34_SOLSE_VWW_13,A25_34_SOLSE_VWW_14,A25_34_SOLSE_VWW_15,A25_34_SOLSE_VWW_16,A25_34_SOLSE_VWW_YNS,A25_34_SOLSE_VWW_T,A25_34_SOLSE_NWNAA_B00,A25_34_SOLSE_NWNAA_00_05,A25_34_SOLSE_NWNAA_06_10,A25_34_SOLSE_NWNAA_11,A25_34_SOLSE_NWNAA_12,A25_34_SOLSE_NWNAA_13,A25_34_SOLSE_NWNAA_14,A25_34_SOLSE_NWNAA_15,A25_34_SOLSE_NWNAA_16,A25_34_SOLSE_NWNAA_YNS,A25_34_SOLSE_NWNAA_T,A25_34_SOLSE_PinE_NS_B00,A25_34_SOLSE_PinE_NS_00_05,A25_34_SOLSE_PinE_NS_06_10,A25_34_SOLSE_PinE_NS_11,A25_34_SOLSE_PinE_NS_12,A25_34_SOLSE_PinE_NS_13,A25_34_SOLSE_PinE_NS_14,A25_34_SOLSE_PinE_NS_15,A25_34_SOLSE_PinE_NS_16,A25_34_SOLSE_PinE_NS_YNS,A25_34_SOLSE_PinE_NS_T,A25_34_SOLSE_T_B00,A25_34_SOLSE_T_00_05
SOSR201,..,2728,9218,2650,2929,2583,2347,2542,1269,1440,27699,..,2646,14426,4191,5077,6345,5389,5015,2020,1880,46982,..,26,185,169,364,974,1542,2831,2781,1195,10070,..,13,74,15,35,65,60,115,99,77,548,..,2683,14685,4381,5479,7383,6992,7958,4902,3148,57605,..,8,19,13,10,9,12,30,49,146,309,..,5423,23927,7045,8418,9983,9344,10529,6215,4735,85614,5866,9556,6907,1276,1545,1465,1903,2650,2318,1294,34789,5790,13464,20897,5831,7873,10714,15428,18217,12935,4618,115759,51,327,640,374,783,1485,2145,3116,2567,1487,12973,34,84,117,28,40,57,96,92,76,63,684,5876,13872,21653,6236,8685,12253,17677,21426,15571,6168,129412,8,27,24,3,5,8,20,23,11,272,403,11752,23460,28585,7511,10242,13725,19593,24093,17902,7734,164611,19150,7104,13565,4257,4683,4372,4111,4021,2331,1877,65479,25386,28093,72524,11297,14257,16038,17080,16359,9101,4472,214597,282,1458,5186,1407,2253,3094,2451,2902,1907,1294,22226,196,151,451,58,98,115,101,98,50,84,1403,25859,29696
SOSR203,..,71,233,72,61,61,71,56,33,31,688,..,42,247,66,87,153,89,97,38,34,852,..,0,3,3,4,28,30,64,71,32,235,..,0,0,0,0,4,0,6,3,0,13,..,42,247,71,99,177,122,167,117,66,1100,..,0,0,0,0,0,0,0,3,0,7,..,108,485,141,154,242,188,228,152,98,1801,116,205,187,40,16,21,48,55,45,30,754,58,176,350,61,130,184,205,266,194,57,1679,0,3,6,6,12,32,23,45,28,25,187,3,5,0,3,0,0,0,3,5,0,16,61,183,351,73,146,214,228,316,233,81,1886,0,0,0,0,0,0,0,0,0,8,9,180,385,536,108,162,239,271,368,275,116,2651,372,121,241,64,69,58,63,61,37,59,1146,213,212,1026,165,219,242,225,257,142,62,2752,3,4,76,26,27,57,27,41,35,14,301,4,0,6,0,0,3,0,0,0,6,18,219,222
SOSR211,..,100,346,103,111,89,103,78,34,72,1027,..,107,563,83,124,133,117,110,55,57,1360,..,0,11,4,7,26,33,65,73,18,239,..,0,3,0,0,0,0,3,0,6,13,..,107,582,88,130,162,151,175,129,85,1612,..,0,0,3,0,0,0,3,3,3,12,..,210,926,192,246,247,255,255,166,159,2653,203,296,267,44,52,34,35,33,19,54,1031,99,364,546,98,93,132,130,147,136,79,1828,0,5,24,8,7,22,33,39,49,29,224,4,7,7,3,3,0,0,0,3,3,26,110,368,577,108,106,156,160,185,183,116,2073,0,0,3,0,0,0,0,0,0,5,14,310,669,847,157,155,190,195,224,209,173,3117,505,148,271,66,86,74,51,73,29,54,1355,279,441,1496,214,238,238,203,207,116,62,3484,4,12,137,30,30,40,44,40,23,8,374,0,3,11,0,3,0,3,3,0,3,29,286,457
SOSR212,..,66,186,70,63,53,53,44,28,34,589,..,55,284,76,65,139,88,82,26,42,869,..,0,3,0,3,11,35,43,65,20,182,..,0,0,0,0,0,0,0,0,0,4,..,61,292,80,71,149,125,131,92,67,1055,..,0,0,0,0,0,3,3,0,0,8,..,121,471,148,133,201,185,180,118,100,1659,98,208,137,23,28,19,18,41,8,32,607,79,241,389,58,52,115,107,107,77,37,1253,3,4,13,6,5,14,31,50,72,48,250,0,3,3,0,0,0,0,0,0,0,14,81,248,403,62,56,129,135,159,152,83,1513,0,3,0,0,0,0,0,0,3,0,9,180,460,540,85,80,154,156,198,162,120,2129,290,108,187,62,46,44,42,47,28,28,894,205,232,854,113,178,172,184,183,107,74,2319,3,39,108,24,45,46,95,135,84,82,665,0,4,11,0,3,0,0,5,3,3,28,206,276
SOSR213,..,66,314,84,78,83,62,65,27,53,827,..,26,180,45,54,53,48,56,14,26,508,..,0,4,0,3,4,11,26,15,13,78,..,0,0,0,0,3,0,0,0,4,8,..,26,188,50,58,60,54,86,32,39,589,..,0,0,0,0,0,0,0,0,3,4,..,95,502,131,138,139,114,149,59,89,1422,137,216,194,26,30,13,18,22,17,27,698,26,113,209,36,54,41,42,50,19,22,614,0,3,3,0,11,5,7,16,7,12,61,0,0,0,0,0,0,0,3,0,0,5,33,116,213,36,59,50,43,67,25,31,683,0,0,0,0,0,0,0,0,0,0,7,169,331,406,67,91,61,65,91,43,66,1385,386,161,273,53,68,52,47,26,25,55,1143,117,150,692,107,110,132,139,125,41,40,1654,4,9,30,5,17,15,29,28,18,21,172,0,3,3,3,0,0,0,0,0,3,11,120,159
SOSR214,..,44,148,26,26,32,23,19,10,16,364,..,8,73,24,36,28,29,23,8,12,253,..,0,0,0,3,0,3,3,17,3,27,..,0,0,0,0,0,0,0,0,0,3,..,11,77,24,40,35,36,29,21,15,280,..,0,0,0,0,0,0,0,0,3,7,..,55,222,53,66,68,59,55,31,36,650,54,112,80,12,13,9,12,15,6,17,330,4,37,71,27,16,33,29,54,50,69,389,0,0,3,0,0,0,13,41,32,40,133,0,0,0,0,0,0,0,0,0,0,0,4,42,75,24,21,29,41,91,79,111,526,0,0,0,0,0,0,0,0,0,21,21,63,156,158,34,38,42,52,105,85,150,880,159,67,116,23,32,31,28,7,12,29,508,52,53,337,53,65,67,74,55,30,17,797,0,4,19,11,13,10,24,47,19,23,161,0,0,4,0,0,0,0,0,0,0,5,52,63
SOSR215,..,56,239,40,59,60,34,39,10,41,575,..,14,94,26,25,30,26,33,13,18,283,..,0,0,0,0,3,7,6,5,12,38,..,0,0,0,0,0,0,4,0,0,7,..,14,100,26,25,35,38,50,19,30,329,..,0,0,3,0,0,0,0,0,3,7,..,70,332,63,85,90,70,89,34,79,907,110,181,100,25,19,12,15,25,15,31,529,22,49,104,15,12,26,29,42,26,17,338,3,0,3,0,3,3,9,22,20,12,75,0,0,0,0,0,0,0,0,0,0,3,25,49,105,13,10,33,40,63,46,34,415,0,0,0,0,0,0,0,0,0,0,0,136,226,208,40,27,44,55,87,60,65,944,316,107,191,44,52,45,47,38,21,37,892,84,89,403,52,78,97,77,87,53,25,1049,0,6,43,6,14,15,31,29,26,23,206,0,0,4,0,0,0,5,0,0,0,15,86,99
SOSR221,..,17,44,6,9,8,21,7,6,13,130,..,0,16,7,7,6,3,8,6,4,48,..,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,..,0,16,7,7,5,0,8,5,4,53,..,0,0,0,0,0,0,0,0,3,3,..,19,57,16,12,19,20,10,16,18,185,14,38,18,0,5,4,6,9,0,3,100,0,3,9,4,3,4,5,6,3,3,30,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,3,3,5,7,3,0,38,0,0,0,0,0,0,0,0,0,0,0,14,47,26,4,6,5,14,12,3,8,136,79,22,48,14,12,17,15,4,3,12,215,16,9,47,10,11,20,21,13,8,5,158,0,0,3,0,0,3,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,4,16,9
SOSR222,..,7,27,6,13,15,5,10,4,3,92,..,3,15,3,7,6,4,4,3,5,42,..,0,0,0,0,0,0,0,3,0,3,..,0,0,0,0,0,0,0,0,0,0,..,3,15,3,7,6,6,3,4,8,46,..,0,0,0,0,0,0,0,0,0,0,..,15,43,15,16,18,9,10,7,5,139,20,22,8,4,5,0,5,7,3,6,71,0,7,11,0,3,5,0,0,4,8,46,0,0,0,0,0,0,0,3,3,3,15,0,0,0,0,0,0,0,0,0,0,0,0,7,11,0,3,5,6,4,11,9,57,0,0,0,0,0,0,0,0,0,0,0,21,22,20,4,6,3,6,14,14,21,128,52,11,27,6,4,6,3,7,3,4,129,12,11,31,12,8,16,18,7,7,23,143,0,0,3,0,0,0,6,11,14,0,40,0,0,0,0,0,0,0,0,0,0,0,12,11
SOSR231,..,127,386,79,76,68,59,50,28,79,962,..,20,142,48,40,38,37,67,49,27,470,..,0,3,0,0,0,7,26,22,13,71,..,0,0,0,0,0,0,0,0,0,4,..,20,142,48,42,45,50,90,65,44,549,..,0,0,0,0,0,0,0,0,4,8,..,149,531,130,121,116,107,143,103,126,1522,192,352,265,37,28,23,32,38,29,54,1058,40,85,162,27,35,34,60,71,72,36,627,3,0,4,0,10,7,9,12,23,31,96,0,0,0,0,0,0,0,0,0,4,10,46,85,166,28,41,39,69,86,99,73,732,0,0,0,0,0,0,0,0,0,75,80,239,436,434,68,71,68,101,127,125,204,1870,427,183,346,83,73,79,48,46,17,47,1342,178,157,604,98,122,107,113,104,71,66,1626,0,7,36,9,8,13,27,39,15,31,182,0,4,3,0,0,0,0,0,0,0,11,185,173
