SOSR_CODE_2016,M_PoDe_PoDe_NFD_Mng,M_PoDe_PoDe_NFD_Pro,M_PoDe_PoDe_NFD_TTW,M_PoDe_PoDe_NFD_CPS,M_PoDe_PoDe_NFD_CA,M_PoDe_PoDe_NFD_Sal,M_PoDe_PoDe_NFD_MOD,M_PoDe_PoDe_NFD_Lab,M_PoDe_PoDe_NFD_IDNS,M_PoDe_PoDe_NFD_Tot,M_PoDe_DoctDe_Mng,M_PoDe_DoctDe_Pro,M_PoDe_DoctDe_TTW,M_PoDe_DoctDe_CPS,M_PoDe_DoctDe_CA,M_PoDe_DoctDe_Sal,M_PoDe_DoctDe_MOD,M_PoDe_DoctDe_Lab,M_PoDe_DoctDe_IDNS,M_PoDe_DoctDe_Tot,M_PoDe_MasDe_Mng,M_PoDe_MasDe_Pro,M_PoDe_MasDe_TTW,M_PoDe_MasDe_CPS,M_PoDe_MasDe_CA,M_PoDe_MasDe_Sal,M_PoDe_MasDe_MOD,M_PoDe_MasDe_Lab,M_PoDe_MasDe_IDNS,M_PoDe_MasDe_Tot,M_GrDiGrCer_GrDiGrCerNFD_Mng,M_GrDiGrCer_GrDiGrCerNFD_Pro,M_GrDiGrCer_GrDiGrCerNFD_TTW,M_GrDiGrCer_GrDiGrCerNFD_CPS,M_GrDiGrCer_GrDiGrCerNFD_CA,M_GrDiGrCer_GrDiGrCerNFD_Sal,M_GrDiGrCer_GrDiGrCerNFD_MOD,M_GrDiGrCer_GrDiGrCerNFD_Lab,M_GrDiGrCer_GrDiGrCerNFD_IDNS,M_GrDiGrCer_GrDiGrCerNFD_Tot,M_GrDi_GrCer_GrDi_Mng,M_GrDi_GrCer_GrDi_Pro,M_GrDi_GrCer_GrDi_TTW,M_GrDi_GrCer_GrDi_CPS,M_GrDi_GrCer_GrDi_CA,M_GrDi_GrCer_GrDi_Sal,M_GrDi_GrCer_GrDi_MOD,M_GrDi_GrCer_GrDi_Lab,M_GrDi_GrCer_GrDi_IDNS,M_GrDi_GrCer_GrDi_Tot,M_GrDi_GrCer_GradCer_Mng,M_GrDi_GrCer_GradCer_Pro,M_GrDi_GrCer_GradCer_TTW,M_GrDi_GrCer_GradCer_CPS,M_GrDi_GrCer_GradCer_CA,M_GrDi_GrCer_GradCer_Sal,M_GrDi_GrCer_GradCer_MOD,M_GrDi_GrCer_GradCer_Lab,M_GrDi_GrCer_GradCer_IDNS,M_GrDi_GrCer_GradCer_Tot,M_BaDe_BaDe_Mng,M_BaDe_BaDe_Pro,M_BaDe_BaDe_TTW,M_BaDe_BaDe_CPS,M_BaDe_BaDe_CA,M_BaDe_BaDe_Sal,M_BaDe_BaDe_MOD,M_BaDe_BaDe_Lab,M_BaDe_BaDe_IDNS,M_BaDe_BaDe_Tot,M_AdvDi_Di_AdvDi_Di_NFD_Mng,M_AdvDi_Di_AdvDi_Di_NFD_Pro,M_AdvDi_Di_AdvDi_Di_NFD_TTW,M_AdvDi_Di_AdvDi_Di_NFD_CPS,M_AdvDi_Di_AdvDi_Di_NFD_CA,M_AdvDi_Di_AdvDi_Di_NFD_Sal,M_AdvDi_Di_AdvDi_Di_NFD_MOD,M_AdvDi_Di_AdvDi_Di_NFD_Lab,M_AdvDi_Di_AdvDi_Di_NFD_IDNS,M_AdvDi_Di_AdvDi_Di_NFD_Tot,M_AdvDi_Di_AdvDi_AsDe_Mng,M_AdvDi_Di_AdvDi_AsDe_Pro,M_AdvDi_Di_AdvDi_AsDe_TTW,M_AdvDi_Di_AdvDi_AsDe_CPS,M_AdvDi_Di_AdvDi_AsDe_CA,M_AdvDi_Di_AdvDi_AsDe_Sal,M_AdvDi_Di_AdvDi_AsDe_MOD,M_AdvDi_Di_AdvDi_AsDe_Lab,M_AdvDi_Di_AdvDi_AsDe_IDNS,M_AdvDi_Di_AdvDi_AsDe_Tot,M_AdvDi_Di_Dip_Mng,M_AdvDi_Di_Dip_Pro,M_AdvDi_Di_Dip_TTW,M_AdvDi_Di_Dip_CPS,M_AdvDi_Di_Dip_CA,M_AdvDi_Di_Dip_Sal,M_AdvDi_Di_Dip_MOD,M_AdvDi_Di_Dip_Lab,M_AdvDi_Di_Dip_IDNS,M_AdvDi_Di_Dip_Tot,M_Cert_CertIII_IV_Mng,M_Cert_CertIII_IV_Pro,M_Cert_CertIII_IV_TTW,M_Cert_CertIII_IV_CPS,M_Cert_CertIII_IV_CA,M_Cert_CertIII_IV_Sal,M_Cert_CertIII_IV_MOD,M_Cert_CertIII_IV_Lab,M_Cert_CertIII_IV_IDNS,M_Cert_CertIII_IV_Tot,M_Cert_CertI_II_Mng,M_Cert_CertI_II_Pro,M_Cert_CertI_II_TTW,M_Cert_CertI_II_CPS,M_Cert_CertI_II_CA,M_Cert_CertI_II_Sal,M_Cert_CertI_II_MOD,M_Cert_CertI_II_Lab,M_Cert_CertI_II_IDNS,M_Cert_CertI_II_Tot,M_Cert_Cert_nfd_Mng,M_Cert_Cert_nfd_Pro,M_Cert_Cert_nfd_TTW,M_Cert_Cert_nfd_CPS,M_Cert_Cert_nfd_CA,M_Cert_Cert_nfd_Sal,M_Cert_Cert_nfd_MOD,M_Cert_Cert_nfd_Lab,M_Cert_Cert_nfd_IDNS,M_Cert_Cert_nfd_Tot,M_LE_ID_Mng,M_LE_ID_Pro,M_LE_ID_TTW,M_LE_ID_CPS,M_LE_ID_CA,M_LE_ID_Sal,M_LE_ID_MOD,M_LE_ID_Lab,M_LE_ID_IDNS,M_LE_ID_Tot,M_LE_NS_Mng,M_LE_NS_Pro,M_LE_NS_TTW,M_LE_NS_CPS,M_LE_NS_CA,M_LE_NS_Sal,M_LE_NS_MOD,M_LE_NS_Lab,M_LE_NS_IDNS,M_LE_NS_Tot,M_Tot_Mng,M_Tot_Pro,M_Tot_TTW,M_Tot_CPS,M_Tot_CA,M_Tot_Sal,M_Tot_MOD,M_Tot_Lab,M_Tot_IDNS,M_Tot_Tot,F_PoDe_PoDe_NFD_Mng,F_PoDe_PoDe_NFD_Pro,F_PoDe_PoDe_NFD_TTW,F_PoDe_PoDe_NFD_CPS,F_PoDe_PoDe_NFD_CA,F_PoDe_PoDe_NFD_Sal,F_PoDe_PoDe_NFD_MOD,F_PoDe_PoDe_NFD_Lab,F_PoDe_PoDe_NFD_IDNS,F_PoDe_PoDe_NFD_Tot,F_PoDe_DoctDe_Mng,F_PoDe_DoctDe_Pro,F_PoDe_DoctDe_TTW,F_PoDe_DoctDe_CPS,F_PoDe_DoctDe_CA,F_PoDe_DoctDe_Sal,F_PoDe_DoctDe_MOD,F_PoDe_DoctDe_Lab,F_PoDe_DoctDe_IDNS,F_PoDe_DoctDe_Tot,F_PoDe_MasDe_Mng,F_PoDe_MasDe_Pro,F_PoDe_MasDe_TTW,F_PoDe_MasDe_CPS,F_PoDe_MasDe_CA,F_PoDe_MasDe_Sal,F_PoDe_MasDe_MOD,F_PoDe_MasDe_Lab,F_PoDe_MasDe_IDNS,F_PoDe_MasDe_Tot,F_GrDiGrCer_GrDiGrCerNFD_Mng,F_GrDiGrCer_GrDiGrCerNFD_Pro,F_GrDiGrCer_GrDiGrCerNFD_TTW,F_GrDiGrCer_GrDiGrCerNFD_CPS,F_GrDiGrCer_GrDiGrCerNFD_CA,F_GrDiGrCer_GrDiGrCerNFD_Sal,F_GrDiGrCer_GrDiGrCerNFD_MOD,F_GrDiGrCer_GrDiGrCerNFD_Lab,F_GrDiGrCer_GrDiGrCerNFD_IDNS,F_GrDiGrCer_GrDiGrCerNFD_Tot
SOSR201,285,804,42,32,84,42,12,19,14,1341,1894,12796,206,155,344,103,56,91,142,15791,17997,38506,3317,2388,6498,3580,2057,2299,1138,77794,824,1655,113,112,287,146,83,77,67,3377,3981,11025,720,875,1324,526,312,359,198,19325,955,1585,174,251,330,112,55,63,34,3567,47764,112345,15718,11535,20023,13476,7563,9321,3302,241051,115,119,177,120,68,78,91,80,20,877,9595,10614,8788,3952,3864,3422,3273,2959,677,47130,11746,10328,12376,6548,5538,4537,4589,4504,831,61007,24668,9129,104573,10578,9571,9955,19203,20100,3267,211041,821,495,1027,750,579,769,979,1192,94,6712,2263,1523,2102,1673,1230,1606,1995,1675,252,14319,1410,2226,1313,558,643,563,881,767,257,8624,2003,2188,3346,1142,964,1263,2347,2350,2157,17757,126323,215358,154002,40677,51351,40172,43505,45861,12453,729701,256,1334,18,82,192,46,3,12,14,1950,1269,10157,140,165,470,79,4,34,122,12443,10967,41739,1358,4280,9501,3052,210,1282,894,73283,606,2607,55,215,457,132,5,50,57,4178
SOSR203,0,23,0,3,5,0,0,3,0,27,36,439,4,5,5,0,0,0,0,500,303,630,62,46,58,53,42,44,17,1257,16,35,0,6,6,0,0,0,0,66,107,349,20,50,34,9,12,12,0,599,23,70,8,9,10,0,0,3,3,128,1040,2949,346,353,419,303,162,268,69,5921,0,7,3,7,4,3,0,0,0,28,282,371,289,163,97,92,75,94,10,1477,340,367,411,273,150,126,130,154,24,1970,999,358,5049,672,380,467,948,1151,156,10177,31,19,53,30,19,53,42,87,4,340,77,58,82,58,28,54,99,74,8,536,24,50,37,14,7,10,21,32,3,210,60,64,140,64,23,51,118,155,75,754,3342,5782,6514,1760,1260,1216,1657,2086,378,23993,9,62,0,4,3,0,0,0,0,72,23,251,6,6,17,4,0,0,3,315,163,829,28,104,102,27,5,17,12,1282,16,64,3,3,14,3,0,0,3,111
SOSR211,13,35,0,0,0,3,0,0,0,50,42,324,7,4,7,0,0,3,6,396,405,913,68,59,101,35,37,33,19,1685,23,53,0,10,3,0,0,3,0,93,183,583,36,80,47,19,13,21,9,986,52,84,3,16,17,0,3,3,3,184,1264,3989,442,459,481,278,198,280,86,7480,3,4,4,12,10,0,3,3,3,38,423,499,347,247,172,105,132,123,23,2066,603,592,621,507,305,213,209,222,58,3334,2011,687,9527,1153,796,917,2120,2151,283,19647,50,25,97,82,44,72,111,164,8,640,111,67,129,124,51,90,197,168,18,947,48,62,63,38,26,24,58,31,15,357,119,89,238,94,57,110,230,206,133,1281,5337,8012,11580,2883,2099,1879,3317,3411,670,39185,7,70,0,3,3,3,0,0,0,90,19,262,3,3,12,0,0,0,0,302,251,1312,28,104,144,35,3,26,18,1931,17,103,0,5,10,3,0,0,3,151
SOSR212,3,23,0,0,0,3,0,0,0,31,22,155,3,0,0,0,0,0,0,181,236,453,23,29,36,23,5,10,3,824,11,38,0,0,0,0,0,0,0,52,73,324,17,26,27,8,7,9,4,501,31,55,3,12,7,3,0,8,7,116,741,2350,223,231,251,140,98,143,33,4205,3,4,4,11,0,3,0,4,0,26,252,351,222,151,90,47,59,73,15,1267,428,380,345,288,162,125,103,138,29,2000,1480,412,6063,592,436,596,1287,1409,178,12450,42,16,40,50,23,49,61,99,6,392,77,40,84,89,45,45,98,87,6,579,35,51,35,17,11,13,24,37,6,217,95,64,154,46,27,58,150,177,103,871,3523,4714,7231,1539,1125,1114,1891,2194,381,23714,4,32,0,3,0,0,0,0,0,40,11,123,4,5,0,0,0,0,0,143,147,630,4,56,62,8,0,14,0,927,10,46,3,4,3,3,0,0,0,73
SOSR213,5,20,3,0,0,0,0,0,0,34,33,264,7,8,3,0,0,0,4,313,325,586,42,37,61,20,12,18,15,1111,19,44,3,3,6,3,0,0,0,72,138,454,19,55,27,9,10,10,11,738,47,78,17,13,12,0,4,3,0,174,1143,3225,360,372,327,199,100,193,64,5992,3,0,4,3,0,4,0,3,0,25,412,484,344,248,120,110,94,122,21,1962,606,553,542,423,206,174,148,179,42,2872,2218,631,9410,959,611,804,2036,2181,303,19151,44,33,85,53,28,65,60,131,11,504,117,54,127,104,46,93,137,160,13,852,45,65,63,21,15,19,33,56,8,330,150,90,241,83,40,86,201,263,135,1285,5304,6586,11260,2388,1501,1586,2830,3324,631,35409,10,79,3,4,10,0,0,0,0,106,18,207,3,3,5,0,0,3,0,248,205,938,11,76,83,29,0,12,11,1366,11,92,0,12,11,0,0,0,0,127
SOSR214,0,8,0,0,0,0,0,0,0,12,15,94,3,0,4,0,0,3,0,119,154,297,22,9,35,13,6,12,4,562,3,18,4,0,0,0,0,0,3,29,65,234,12,29,22,3,3,3,3,378,23,32,6,11,8,3,4,3,0,90,472,1373,178,184,117,82,40,131,23,2605,5,3,3,0,0,0,3,3,0,21,190,216,160,126,54,42,45,58,17,894,269,195,236,221,98,76,57,101,23,1267,1229,269,4655,488,303,415,1025,1212,165,9759,34,13,40,34,18,36,44,73,4,304,72,45,82,70,25,41,68,82,8,489,19,30,14,16,12,14,20,31,9,163,103,48,155,51,36,55,127,171,64,813,2658,2861,5588,1244,714,790,1444,1883,323,17500,0,25,0,3,0,0,0,0,0,33,17,83,0,8,8,0,0,0,0,114,118,450,17,32,51,11,0,12,8,685,5,45,0,4,0,0,0,0,0,61
SOSR215,5,12,0,0,7,0,0,0,0,31,28,186,7,3,8,0,0,3,5,243,248,422,23,34,39,20,12,18,15,827,9,27,0,0,0,0,0,0,0,46,106,360,29,44,32,14,16,15,10,620,36,43,4,11,5,4,0,3,0,113,895,2167,320,300,254,188,67,171,54,4418,7,8,10,3,0,3,0,0,0,33,360,370,228,166,104,90,70,105,22,1522,480,372,392,328,168,109,109,160,24,2144,2129,448,8467,635,482,611,1958,1973,286,16993,50,14,72,38,21,62,71,123,5,454,123,70,94,92,56,62,116,158,16,793,38,39,48,18,7,17,34,33,9,245,164,91,291,77,43,81,222,277,147,1393,4680,4636,9992,1751,1229,1266,2673,3047,592,29863,3,31,0,9,5,0,0,0,0,48,29,148,3,6,10,3,0,0,0,207,191,717,17,59,86,16,0,19,8,1104,12,59,3,5,3,0,0,0,0,85
SOSR221,3,3,0,0,0,0,0,0,0,4,6,48,0,0,0,0,0,0,0,57,59,103,8,7,13,7,0,0,0,207,0,3,0,0,0,0,0,0,0,4,43,109,8,27,10,4,0,8,3,203,9,11,0,8,0,0,0,0,0,29,204,516,69,56,53,33,30,43,9,1009,3,5,3,5,0,0,0,3,0,16,93,113,65,45,20,28,8,25,8,406,122,95,114,104,33,30,29,53,14,578,665,128,2382,189,133,184,563,596,68,4912,13,3,20,14,7,5,20,24,3,120,24,13,27,21,19,23,41,40,4,207,10,14,17,3,3,0,13,10,6,72,48,21,87,22,8,26,65,76,46,402,1298,1181,2812,487,303,343,775,884,159,8232,0,9,0,0,0,0,0,0,0,17,7,34,0,0,4,0,0,0,0,50,60,191,0,22,20,3,0,6,3,301,4,17,0,0,4,0,0,0,0,23
SOSR222,0,0,0,0,0,0,0,0,0,4,3,33,0,3,0,0,0,0,0,40,37,67,9,8,9,0,0,3,0,122,0,3,0,0,0,0,0,0,0,3,16,69,8,11,0,3,0,6,4,119,3,10,3,0,4,0,0,0,0,17,147,327,57,53,33,22,18,35,4,693,0,0,0,0,0,0,0,0,0,8,61,69,40,35,14,8,16,14,9,268,93,66,52,61,19,25,15,22,8,369,443,79,1467,122,93,88,356,423,36,3109,13,3,16,9,3,3,11,26,0,84,15,15,28,20,3,15,29,21,5,148,8,6,15,6,0,0,11,10,0,50,36,8,51,9,11,11,55,50,22,252,883,737,1740,333,196,179,515,611,93,5291,0,9,0,0,0,0,0,0,0,8,13,18,3,3,0,0,0,0,0,37,25,125,0,12,11,3,0,7,3,189,5,14,0,0,0,0,0,0,0,15
SOSR231,17,26,0,3,3,0,0,3,0,56,123,392,7,0,4,0,0,7,8,548,634,874,49,51,92,42,18,39,33,1838,29,56,9,3,4,0,3,0,0,109,337,627,57,86,60,29,19,42,10,1268,70,93,13,31,16,0,0,9,3,234,3120,4444,540,449,443,256,201,401,124,9982,16,11,12,6,6,6,5,9,0,69,1777,804,581,347,197,189,181,253,66,4389,1558,719,736,526,269,205,245,349,64,4668,9065,954,15799,1159,848,1051,4041,4075,616,37613,232,38,136,69,35,54,136,202,12,913,525,123,231,128,66,107,243,234,21,1693,168,83,100,36,27,23,71,78,10,592,996,173,586,123,68,164,480,527,277,3386,18660,9411,18854,3022,2130,2139,5657,6229,1253,67354,19,83,0,8,11,3,0,0,0,123,92,398,12,9,28,0,0,8,7,548,522,1620,40,113,200,44,6,38,24,2609,32,147,7,12,12,5,0,0,0,215
