SOSR_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SOSR201,..,346965,346965,413059,49036,462092,238547,16642,255193,252519,6978,259493,100934,2558,103489,49021,1587,50603,1054074,423771,1477840
SOSR203,..,17743,17743,18196,1661,19854,8660,523,9177,8092,233,8326,3253,94,3344,1267,86,1357,39466,20337,59805
SOSR211,..,28476,28476,31143,3213,34362,14988,720,15702,14007,277,14285,6128,83,6210,2867,39,2903,69140,32805,101942
SOSR212,..,17636,17636,19454,1524,20979,9002,300,9308,8675,127,8798,3914,41,3960,1746,34,1779,42787,19669,62461
SOSR213,..,27856,27856,30936,2106,33048,12932,329,13258,12860,94,12955,5629,44,5673,2032,23,2052,64391,30446,94837
SOSR214,..,17217,17217,18315,1244,19562,6706,150,6854,6177,40,6215,2805,30,2829,1115,26,1139,35117,18702,53821
SOSR215,..,25248,25248,27794,1771,29567,10491,169,10655,10432,45,10474,4680,22,4707,1889,11,1900,55280,27267,82548
SOSR221,..,7134,7134,8279,541,8822,2846,30,2879,2702,11,2707,1274,8,1278,540,4,542,15635,7731,23363
SOSR222,..,4249,4249,5041,343,5388,1843,22,1868,1757,7,1767,776,4,781,335,3,339,9761,4633,14393
SOSR231,..,29303,29303,52589,2440,55029,19871,217,20086,21156,61,21217,10972,20,10990,5053,16,5071,109645,32059,141696
SOSR279,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
