SOSR_CODE_2016,C0_4F_EO_M_EO,C0_4F_EO_M_O_EVWW,C0_4F_EO_M_O_ENWNA,C0_4F_EO_M_O_PENS,C0_4F_EO_M_O_E_T,C0_4F_EO_M_LPENS,C0_4F_EO_M_T,C0_4F_O_EVWW_M_EO,C0_4F_O_EVWW_M_O_EVWW,C0_4F_O_EVWW_M_O_ENWNA,C0_4F_O_EVWW_M_O_PENS,C0_4F_O_EVWW_M_O_E_T,C0_4F_O_EVWW_M_LPENS,C0_4F_O_EVWW_M_T,C0_4F_O_ENWNA_M_EO,C0_4F_O_ENWNA_M_O_EVWW,C0_4F_O_ENWNA_M_O_ENWNA,C0_4F_O_ENWNA_M_O_PENS,C0_4F_O_ENWNA_M_O_E_T,C0_4F_O_ENWNA_M_LPENS,C0_4F_O_ENWNA_M_T,C0_4F_O_PENS_M_EO,C0_4F_O_PENS_M_O_EVWW,C0_4F_O_PENS_M_O_ENWNA,C0_4F_O_PENS_M_O_PENS,C0_4F_O_PENS_M_O_E_T,C0_4F_O_PENS_M_LPENS,C0_4F_O_PENS_M_T,C0_4F_O_E_T_M_EO,C0_4F_O_E_T_M_O_EVWW,C0_4F_O_E_T_M_O_ENWNA,C0_4F_O_E_T_M_O_PENS,C0_4F_O_E_T_M_O_E_T,C0_4F_O_E_T_M_LPENS,C0_4F_O_E_T_M_T,C0_4F_LPENS_M_EO,C0_4F_LPENS_M_O_EVWW,C0_4F_LPENS_M_O_ENWNA,C0_4F_LPENS_M_O_PENS,C0_4F_LPENS_M_O_E_T,C0_4F_LPENS_M_LPENS,C0_4F_LPENS_M_T,C0_4F_T_M_EO,C0_4F_T_M_O_EVWW,C0_4F_T_M_O_ENWNA,C0_4F_T_M_O_PENS,C0_4F_T_M_O_E_T,C0_4F_T_M_LPENS,C0_4F_T_M_T,C5_9F_EO_M_EO,C5_9F_EO_M_O_EVWW,C5_9F_EO_M_O_ENWNA,C5_9F_EO_M_O_PENS,C5_9F_EO_M_O_E_T,C5_9F_EO_M_LPENS,C5_9F_EO_M_T,C5_9F_O_EVWW_M_EO,C5_9F_O_EVWW_M_O_EVWW,C5_9F_O_EVWW_M_O_ENWNA,C5_9F_O_EVWW_M_O_PENS,C5_9F_O_EVWW_M_O_E_T,C5_9F_O_EVWW_M_LPENS,C5_9F_O_EVWW_M_T,C5_9F_O_ENWNA_M_EO,C5_9F_O_ENWNA_M_O_EVWW,C5_9F_O_ENWNA_M_O_ENWNA,C5_9F_O_ENWNA_M_O_PENS,C5_9F_O_ENWNA_M_O_E_T,C5_9F_O_ENWNA_M_LPENS,C5_9F_O_ENWNA_M_T,C5_9F_O_PENS_M_EO,C5_9F_O_PENS_M_O_EVWW,C5_9F_O_PENS_M_O_ENWNA,C5_9F_O_PENS_M_O_PENS,C5_9F_O_PENS_M_O_E_T,C5_9F_O_PENS_M_LPENS,C5_9F_O_PENS_M_T,C5_9F_O_E_T_M_EO,C5_9F_O_E_T_M_O_EVWW,C5_9F_O_E_T_M_O_ENWNA,C5_9F_O_E_T_M_O_PENS,C5_9F_O_E_T_M_O_E_T,C5_9F_O_E_T_M_LPENS,C5_9F_O_E_T_M_T,C5_9F_LPENS_M_EO,C5_9F_LPENS_M_O_EVWW,C5_9F_LPENS_M_O_ENWNA,C5_9F_LPENS_M_O_PENS,C5_9F_LPENS_M_O_E_T,C5_9F_LPENS_M_LPENS,C5_9F_LPENS_M_T,C5_9F_T_M_EO,C5_9F_T_M_O_EVWW,C5_9F_T_M_O_ENWNA,C5_9F_T_M_O_PENS,C5_9F_T_M_O_E_T,C5_9F_T_M_LPENS,C5_9F_T_M_T,C10_12F_EO_M_EO,C10_12F_EO_M_O_EVWW,C10_12F_EO_M_O_ENWNA,C10_12F_EO_M_O_PENS,C10_12F_EO_M_O_E_T,C10_12F_EO_M_LPENS,C10_12F_EO_M_T,C10_12F_O_EVWW_M_EO,C10_12F_O_EVWW_M_O_EVWW,C10_12F_O_EVWW_M_O_ENWNA,C10_12F_O_EVWW_M_O_PENS,C10_12F_O_EVWW_M_O_E_T,C10_12F_O_EVWW_M_LPENS,C10_12F_O_EVWW_M_T,C10_12F_O_ENWNA_M_EO,C10_12F_O_ENWNA_M_O_EVWW,C10_12F_O_ENWNA_M_O_ENWNA,C10_12F_O_ENWNA_M_O_PENS,C10_12F_O_ENWNA_M_O_E_T,C10_12F_O_ENWNA_M_LPENS,C10_12F_O_ENWNA_M_T,C10_12F_O_PENS_M_EO,C10_12F_O_PENS_M_O_EVWW,C10_12F_O_PENS_M_O_ENWNA,C10_12F_O_PENS_M_O_PENS,C10_12F_O_PENS_M_O_E_T,C10_12F_O_PENS_M_LPENS,C10_12F_O_PENS_M_T,C10_12F_O_E_T_M_EO,C10_12F_O_E_T_M_O_EVWW,C10_12F_O_E_T_M_O_ENWNA,C10_12F_O_E_T_M_O_PENS,C10_12F_O_E_T_M_O_E_T,C10_12F_O_E_T_M_LPENS,C10_12F_O_E_T_M_T,C10_12F_LPENS_M_EO,C10_12F_LPENS_M_O_EVWW,C10_12F_LPENS_M_O_ENWNA,C10_12F_LPENS_M_O_PENS,C10_12F_LPENS_M_O_E_T,C10_12F_LPENS_M_LPENS,C10_12F_LPENS_M_T,C10_12F_T_M_EO,C10_12F_T_M_O_EVWW,C10_12F_T_M_O_ENWNA,C10_12F_T_M_O_PENS,C10_12F_T_M_O_E_T,C10_12F_T_M_LPENS,C10_12F_T_M_T,C13_14F_EO_M_EO,C13_14F_EO_M_O_EVWW,C13_14F_EO_M_O_ENWNA,C13_14F_EO_M_O_PENS,C13_14F_EO_M_O_E_T,C13_14F_EO_M_LPENS,C13_14F_EO_M_T,C13_14F_O_EVWW_M_EO,C13_14F_O_EVWW_M_O_EVWW,C13_14F_O_EVWW_M_O_ENWNA,C13_14F_O_EVWW_M_O_PENS,C13_14F_O_EVWW_M_O_E_T,C13_14F_O_EVWW_M_LPENS,C13_14F_O_EVWW_M_T,C13_14F_O_ENWNA_M_EO,C13_14F_O_ENWNA_M_O_EVWW,C13_14F_O_ENWNA_M_O_ENWNA,C13_14F_O_ENWNA_M_O_PENS,C13_14F_O_ENWNA_M_O_E_T,C13_14F_O_ENWNA_M_LPENS,C13_14F_O_ENWNA_M_T,C13_14F_O_PENS_M_EO,C13_14F_O_PENS_M_O_EVWW,C13_14F_O_PENS_M_O_ENWNA,C13_14F_O_PENS_M_O_PENS,C13_14F_O_PENS_M_O_E_T,C13_14F_O_PENS_M_LPENS,C13_14F_O_PENS_M_T,C13_14F_O_E_T_M_EO,C13_14F_O_E_T_M_O_EVWW,C13_14F_O_E_T_M_O_ENWNA,C13_14F_O_E_T_M_O_PENS,C13_14F_O_E_T_M_O_E_T,C13_14F_O_E_T_M_LPENS,C13_14F_O_E_T_M_T,C13_14F_LPENS_M_EO,C13_14F_LPENS_M_O_EVWW,C13_14F_LPENS_M_O_ENWNA,C13_14F_LPENS_M_O_PENS,C13_14F_LPENS_M_O_E_T,C13_14F_LPENS_M_LPENS,C13_14F_LPENS_M_T,C13_14F_TM_EO,C13_14F_TM_O_EVWW,C13_14F_TM_O_ENWNA,C13_14F_TM_O_PENS,C13_14F_TM_O_E_T,C13_14F_TM_LPENS,C13_14F_TM_T,C15_17F_EO_M_EO,C15_17F_EO_M_O_EVWW,C15_17F_EO_M_O_ENWNA,C15_17F_EO_M_O_PENS
SOSR201,110010,7334,77,85,7496,144,117655,11146,73454,3386,362,77209,59,88412,181,7609,4609,81,12304,10,12495,94,373,37,190,604,0,702,11424,81438,8037,635,90108,70,101604,156,107,6,5,125,258,546,121591,88883,8130,729,97734,469,219800,109714,5871,84,82,6036,152,115905,8925,60326,2968,333,63626,55,72610,147,6359,4672,53,11083,6,11233,85,343,44,140,529,3,622,9157,67025,7687,534,75244,63,84464,134,85,3,5,94,214,440,119002,72980,7775,617,81374,429,200808,60912,2874,49,33,2952,80,63942,4370,29636,1664,155,31458,27,35857,78,3197,3033,26,6260,3,6348,37,151,22,81,250,0,287,4483,32986,4720,262,37973,32,42492,69,39,8,7,49,116,234,65464,35902,4777,301,40975,229,106667,38000,1717,25,15,1758,54,39810,2546,17346,1124,86,18556,19,21117,47,2063,2142,10,4216,0,4271,15,99,11,66,180,0,195,2611,19507,3276,163,22950,18,25582,56,14,4,3,20,43,121,40670,21242,3309,179,24729,113,65513,51570,2120,37,14
SOSR203,5864,181,0,0,179,9,6051,200,885,27,3,913,7,1117,4,91,77,4,169,0,178,0,5,0,0,4,0,11,204,973,106,11,1094,5,1305,10,0,0,0,0,12,23,6078,1155,106,14,1275,26,7380,5341,127,0,3,134,0,5473,166,633,27,0,664,0,829,6,71,88,0,164,0,172,0,6,0,3,7,0,7,170,713,122,8,840,0,1011,6,0,0,0,0,8,16,5519,838,122,11,970,11,6497,2906,62,0,0,62,4,2970,80,308,12,0,314,0,397,0,37,61,0,92,0,92,0,0,0,0,3,0,3,80,337,74,3,413,0,496,9,0,0,0,0,7,10,2994,400,70,3,477,12,3483,1826,33,3,0,35,3,1866,76,210,4,0,222,0,292,0,34,34,0,67,0,73,0,0,0,0,0,0,0,73,246,46,3,292,0,368,0,0,0,0,3,5,8,1904,280,48,3,326,6,2235,2435,47,0,0
SOSR211,11239,280,6,3,291,15,11543,377,1512,59,6,1578,4,1957,11,131,140,0,265,0,277,0,8,4,3,22,0,21,390,1647,202,15,1866,4,2259,22,8,0,3,7,14,39,11644,1935,205,17,2166,40,13846,10344,200,0,0,200,13,10561,306,1175,42,5,1224,0,1533,7,125,127,0,251,0,257,3,9,0,3,15,0,16,324,1314,165,10,1490,0,1807,13,3,0,0,3,18,36,10683,1514,165,10,1698,34,12406,5505,103,0,0,105,8,5614,156,551,31,3,587,3,747,4,60,78,0,136,0,140,0,3,0,3,4,0,4,160,615,105,5,727,3,888,3,0,0,0,0,18,19,5673,715,110,8,832,27,6525,3465,49,0,3,54,5,3527,79,302,18,4,320,0,402,3,38,45,0,82,0,85,0,4,0,3,8,0,9,80,341,68,10,415,0,492,6,0,0,0,3,12,23,3551,392,73,9,473,14,4043,4577,82,0,0
SOSR212,6247,172,3,0,173,11,6434,223,864,101,7,974,0,1195,4,135,125,0,256,0,263,0,5,0,3,8,0,11,227,1007,226,14,1243,0,1471,6,0,3,0,3,21,25,6479,1177,232,10,1417,37,7933,6081,136,0,0,136,13,6229,202,758,62,9,831,0,1030,8,144,125,0,273,0,277,0,4,0,3,8,0,4,209,907,189,13,1106,0,1316,3,3,0,0,3,22,32,6296,1044,189,13,1241,34,7573,3377,68,0,0,68,10,3450,105,394,38,4,438,0,540,0,70,85,0,152,0,152,0,0,0,0,0,0,3,104,463,123,10,592,0,699,0,0,0,0,3,6,10,3479,531,125,10,663,18,4157,2193,49,0,0,49,3,2242,64,228,23,0,252,3,311,4,37,48,0,88,0,90,0,0,0,0,0,0,0,69,265,70,0,339,3,406,0,0,0,0,0,3,7,2262,314,70,0,382,12,2654,3113,92,0,0
SOSR213,10446,206,0,3,204,22,10676,277,607,14,0,623,0,901,3,43,18,0,63,0,62,0,8,0,0,11,0,11,285,655,33,3,695,0,976,24,0,0,0,0,27,47,10750,856,36,5,897,50,11694,10316,160,0,4,163,29,10507,283,447,13,0,461,0,749,4,31,22,0,51,0,62,0,3,0,0,7,0,7,289,482,39,3,524,0,816,29,0,0,0,0,26,50,10635,643,39,7,683,55,11370,5480,89,0,0,89,11,5576,116,227,5,0,235,0,349,3,15,17,0,33,0,38,0,0,0,0,0,0,3,119,242,26,3,272,0,395,16,0,0,0,0,3,17,5613,330,26,3,361,13,5994,3572,50,3,0,58,5,3634,72,121,11,0,129,0,201,3,9,14,0,19,0,23,0,0,0,0,0,0,0,71,128,20,0,153,0,224,9,0,0,0,0,10,16,3651,186,25,0,208,18,3878,4662,86,0,3
SOSR214,4948,74,0,0,73,20,5047,125,335,13,3,354,0,480,0,17,15,0,34,0,31,3,0,0,0,0,0,3,127,351,32,3,388,0,512,8,0,0,0,0,10,16,5084,427,32,3,459,30,5574,4997,63,0,0,65,12,5076,123,241,18,0,256,0,386,0,16,7,0,28,0,31,4,0,0,0,0,0,6,129,260,27,0,289,0,414,9,0,0,0,0,12,27,5139,322,24,0,352,28,5516,2904,29,0,4,32,9,2940,64,115,6,0,120,0,191,0,5,12,0,20,0,20,0,0,0,0,0,0,0,64,124,14,0,140,0,211,7,0,0,0,0,8,10,2975,151,14,4,166,12,3158,1791,19,0,4,24,6,1822,36,71,4,0,73,4,114,0,3,7,0,10,0,14,3,0,0,0,0,0,6,38,79,7,0,90,4,132,5,0,0,0,0,0,6,1836,97,7,4,110,14,1959,2386,27,0,3
SOSR215,8740,125,5,4,135,24,8897,197,364,23,3,394,0,594,3,23,33,3,54,0,59,7,0,0,0,0,0,11,202,393,56,6,454,0,657,18,3,0,0,3,7,33,8968,525,59,9,591,34,9589,8729,136,5,0,134,28,8888,212,357,7,6,372,0,583,11,26,26,0,56,0,63,3,0,0,0,3,0,7,224,390,34,4,425,0,651,40,0,0,0,0,19,56,8993,526,33,4,566,45,9602,4807,80,0,0,83,5,4898,118,191,3,0,189,0,306,3,12,10,0,23,0,24,0,0,0,0,0,0,0,116,202,15,0,214,0,338,20,0,0,0,0,11,29,4946,278,15,4,297,16,5255,2952,49,0,0,52,12,3013,51,96,4,3,102,0,155,5,3,12,0,12,0,20,3,0,0,0,0,0,3,60,101,17,3,118,0,175,10,0,0,0,0,3,12,3018,144,17,0,167,16,3200,3939,51,0,0
SOSR221,2218,47,0,0,48,7,2281,51,56,4,0,61,0,109,0,10,0,0,10,0,9,0,0,0,0,0,0,0,57,65,4,0,69,0,122,6,0,0,0,0,8,14,2281,116,4,0,115,12,2413,2553,44,0,0,48,9,2612,47,42,0,0,41,0,89,0,6,0,0,6,0,8,0,0,0,0,0,0,0,50,48,0,0,45,0,97,14,0,0,0,0,8,21,2615,92,3,0,97,15,2722,1433,18,0,0,23,3,1458,24,28,0,0,29,0,52,0,0,0,0,0,0,0,3,0,0,0,0,0,3,30,28,0,0,29,0,59,3,0,0,0,0,7,10,1467,46,0,0,45,10,1523,877,7,0,0,7,0,882,15,14,0,0,14,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,0,0,14,0,32,3,0,0,0,0,0,3,891,24,0,0,24,0,921,1150,10,0,0
SOSR222,1394,26,0,0,26,3,1428,26,33,0,0,33,0,60,7,3,0,0,3,0,5,0,0,0,0,0,0,0,28,41,0,0,41,0,71,3,0,0,0,0,6,11,1427,63,0,0,63,14,1505,1558,18,0,0,18,0,1573,43,37,0,0,37,0,74,0,0,3,0,3,0,4,0,0,0,0,0,0,0,39,39,3,0,41,0,82,3,0,0,0,0,12,10,1600,53,3,0,53,8,1667,897,6,0,0,6,3,905,15,18,0,0,18,0,33,0,3,0,0,3,0,3,0,0,0,0,0,0,0,15,24,0,0,24,0,45,3,0,0,0,0,4,3,915,28,0,0,35,7,953,568,3,0,0,3,0,572,11,7,0,0,7,0,21,0,3,0,0,4,0,4,0,0,0,0,0,0,0,11,13,4,0,15,0,20,7,0,0,0,0,0,10,579,17,4,0,15,4,602,752,10,0,0
SOSR231,14689,218,3,5,227,42,14958,409,742,20,9,764,7,1183,12,30,12,0,43,0,52,3,3,0,4,7,0,8,420,773,29,9,813,7,1245,44,0,0,0,0,30,71,15152,989,33,13,1043,77,16270,18741,241,3,3,244,56,19049,398,663,5,7,678,3,1076,19,33,20,0,47,0,62,11,5,0,0,5,0,16,428,703,23,5,728,3,1161,52,3,0,0,3,32,86,19227,944,25,6,981,92,20294,11897,162,0,0,163,45,12098,206,376,5,6,385,3,592,3,22,24,0,45,0,45,3,3,0,4,8,0,11,207,398,26,7,433,3,648,36,3,0,0,3,25,59,12140,565,31,10,598,73,12813,7841,96,5,5,103,26,7968,130,248,3,0,251,0,385,0,11,6,0,20,0,24,3,0,0,3,3,0,6,137,258,9,3,275,0,413,24,3,0,0,3,18,42,7993,359,17,5,381,46,8422,10840,155,0,3
