SOSR_CODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOSR201,2051,7204,18169,15276,14873,9547,2568,294,34,70016,3133,9575,24658,21223,20775,12928,3979,823,262,97352,80544,190212,513039,454577,409017,261707,63358,6727,1087,1980273
SOSR203,84,335,614,485,480,360,102,15,3,2466,143,306,580,532,538,406,124,33,18,2688,3919,7852,15990,14684,14539,10644,2213,240,48,70130
SOSR211,211,589,1083,839,814,682,192,15,3,4432,283,536,886,962,951,663,187,56,9,4539,7202,13107,27376,24910,24401,18284,3661,362,65,119360
SOSR212,149,351,673,596,602,421,106,19,5,2922,177,286,620,570,608,428,140,36,17,2871,4807,7287,15976,15268,16333,12038,2592,250,55,74610
SOSR213,206,518,985,828,857,676,185,31,3,4284,277,400,814,792,898,711,230,75,25,4214,6682,9334,21512,22474,23812,18509,3948,514,84,106877
SOSR214,105,233,445,392,448,403,98,18,3,2144,152,203,388,459,509,440,148,64,14,2383,3285,4402,9514,10811,12863,10393,2494,337,71,54179
SOSR215,165,394,778,680,766,577,206,28,3,3593,224,385,617,736,953,772,291,88,20,4084,4705,7119,16247,18327,20624,17073,4345,547,125,89120
SOSR221,47,115,194,209,188,157,53,0,0,965,55,63,147,218,264,243,85,23,10,1104,1248,1644,3823,4881,6088,5166,1265,162,40,24320
SOSR222,26,57,101,112,121,102,31,4,0,547,51,59,121,111,168,142,53,20,5,729,805,1095,2514,3094,3971,3579,808,115,28,16005
SOSR231,433,698,1002,1227,1744,1289,355,36,7,6790,598,699,1015,1515,2238,1886,913,290,71,9210,11331,13855,25363,36129,50857,43557,14633,2963,520,199216
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,8,3,0,0,0,23
SOSR299,0,6,30,16,16,6,3,0,0,89,4,16,46,24,38,12,0,0,0,148,64,289,726,386,300,215,42,7,0,2033
