SOSR_CODE_2016,M15_19_Managers,M15_19_Professionals,M15_19_TechnicTrades_Wrs,M15_19_CommunPersnlSvc_W,M15_19_ClericalAdminis_W,M15_19_Sales_W,M15_19_Mach_oper_drivers,M15_19_Labourers,M15_19_Occu_ID_NS,M15_19_Tot,M20_24_Managers,M20_24_Professionals,M20_24_TechnicTrades_W,M20_24_CommunPersnlSvc_W,M20_24_ClericalAdminis_W,M20_24_Sales_W,M20_24_Mach_oper_drivers,M20_24_Labourers,M20_24_Occu_ID_NS,M20_24_Tot,M25_34_Managers,M25_34_Professionals,M25_34_TechnicTrades_W,M25_34_CommunPersnlSvc_W,M25_34_ClericalAdminis_W,M25_34_Sales_W,M25_34_Mach_oper_drivers,M25_34_Labourers,M25_34_Occu_ID_NS,M25_34_Tot,M35_44_Managers,M35_44_Professionals,M35_44_TechnicTrades_W,M35_44_CommunPersnlSvc_W,M35_44_ClericalAdminis_W,M35_44_Sales_W,M35_44_Mach_oper_drivers,M35_44_Labourers,M35_44_Occu_ID_NS,M35_44_Tot,M45_54_Managers,M45_54_Professionals,M45_54_TechnicTrades_W,M45_54_CommunPersnlSvc_W,M45_54_ClericalAdminis_W,M45_54_Sales_W,M45_54_Mach_oper_drivers,M45_54_Labourers,M45_54_Occu_ID_NS,M45_54_Tot,M55_64_Managers,M55_64_Professionals,M55_64_TechnicTrades_W,M55_64_CommunPersnlSvc_W,M55_64_ClericalAdminis_W,M55_64_Sales_W,M55_64_Mach_oper_drivers,M55_64_Labourers,M55_64_Occu_ID_NS,M55_64_Tot,M65_74_Managers,M65_74_Professionals,M65_74_TechnicTrades_W,M65_74_CommunPersnlSvc_W,M65_74_ClericalAdminis_W,M65_74_Sales_W,M65_74_Mach_oper_drivers,M65_74_Labourers,M65_74_Occu_ID_NS,M65_74_Tot,M75_84_Managers,M75_84_Professionals,M75_84_TechnicTrades_W,M75_84_CommunPersnlSvc_W,M75_84_ClericalAdminis_W,M75_84_Sales_W,M75_84_Mach_oper_drivers,M75_84_Labourers,M75_84_Occu_ID_NS,M75_84_Tot,M85_ov_Managers,M85_ov_Professionals,M85_ov_TechnicTrades_W,M85_ov_CommunPersnlSvc_W,M85_ov_ClericalAdminis_W,M85_ov_Sales_W,M85_ov_Mach_oper_drivers,M85_ov_Labourers,M85_ov_Occu_ID_NS,M85_ov_Tot,M_Tot_Managers,M_Tot_Professionals,M_Tot_TechnicTrades_W,M_Tot_CommunPersnlSvc_W,M_Tot_ClericalAdminis_W,M_Tot_Sales_W,M_Tot_Mach_oper_drivers,M_Tot_Labourers,M_Tot_Occu_ID_NS,M_Tot_Tot,F15_19_Managers,F15_19_Professionals,F15_19_TechnicTrades_Wrs,F15_19_CommunPersnlSvc_W,F15_19_ClericalAdminis_W,F15_19_Sales_W,F15_19_Mach_oper_drivers,F15_19_Labourers,F15_19_Occu_ID_NS,F15_19_Tot,F20_24_Managers,F20_24_Professionals,F20_24_TechnicTrades_W,F20_24_CommunPersnlSvc_W,F20_24_ClericalAdminis_W,F20_24_Sales_W,F20_24_Mach_oper_drivers,F20_24_Labourers,F20_24_Occu_ID_NS,F20_24_Tot,F25_34_Managers,F25_34_Professionals,F25_34_TechnicTrades_W,F25_34_CommunPersnlSvc_W,F25_34_ClericalAdminis_W,F25_34_Sales_W,F25_34_Mach_oper_drivers,F25_34_Labourers,F25_34_Occu_ID_NS,F25_34_Tot,F35_44_Managers,F35_44_Professionals,F35_44_TechnicTrades_W,F35_44_CommunPersnlSvc_W,F35_44_ClericalAdminis_W,F35_44_Sales_W,F35_44_Mach_oper_drivers,F35_44_Labourers,F35_44_Occu_ID_NS,F35_44_Tot,F45_54_Managers,F45_54_Professionals,F45_54_TechnicTrades_W,F45_54_CommunPersnlSvc_W,F45_54_ClericalAdminis_W,F45_54_Sales_W,F45_54_Mach_oper_drivers,F45_54_Labourers,F45_54_Occu_ID_NS,F45_54_Tot,F55_64_Managers,F55_64_Professionals,F55_64_TechnicTrades_W,F55_64_CommunPersnlSvc_W,F55_64_ClericalAdminis_W,F55_64_Sales_W,F55_64_Mach_oper_drivers,F55_64_Labourers,F55_64_Occu_ID_NS,F55_64_Tot,F65_74_Managers,F65_74_Professionals,F65_74_TechnicTrades_W,F65_74_CommunPersnlSvc_W,F65_74_ClericalAdminis_W,F65_74_Sales_W,F65_74_Mach_oper_drivers,F65_74_Labourers,F65_74_Occu_ID_NS,F65_74_Tot,F75_84_Managers,F75_84_Professionals,F75_84_TechnicTrades_W,F75_84_CommunPersnlSvc_W,F75_84_ClericalAdminis_W,F75_84_Sales_W,F75_84_Mach_oper_drivers,F75_84_Labourers,F75_84_Occu_ID_NS,F75_84_Tot,F85ov_Managers,F85ov_Professionals,F85ov_TechnicTrades_W,F85ov_CommunPersnlSvc_W,F85ov_ClericalAdminis_W,F85ov_Sales_W,F85ov_Mach_oper_drivers,F85ov_Labourers,F85ov_Occu_ID_NS,F85ov_Tot,F_Tot_Managers,F_Tot_Professionals,F_Tot_TechnicTrades_W,F_Tot_CommunPersnlSvc_W,F_Tot_ClericalAdminis_W,F_Tot_Sales_W,F_Tot_Mach_oper_drivers,F_Tot_Labourers,F_Tot_Occu_ID_NS,F_Tot_Tot
SOSR201,595,1043,6375,5225,1242,10124,1379,11161,704,37856,4180,11395,22817,11878,7049,14613,6944,15515,2004,96395,31948,71080,59195,17290,21482,18945,21216,24091,5209,270451,48521,65545,45000,11086,17992,13311,20631,18075,4505,244656,45998,45478,39536,9714,14998,11339,22911,17870,3925,211767,26606,31170,25011,6145,10553,7583,17320,13428,2460,140286,6762,10519,5176,1496,2925,2631,3742,3841,865,37966,902,1384,476,141,326,318,243,559,274,4617,139,163,82,16,45,39,33,62,113,699,165650,237783,203671,62984,76610,78903,94414,104607,20060,1044686,517,1220,1031,9810,2700,22821,223,3740,625,42691,4474,15502,4410,22490,15557,23970,1014,4988,1413,93822,24289,89898,12016,33827,44795,22093,2257,9598,3817,242586,28765,71535,8908,26025,44326,15454,2714,9125,3079,209920,24197,52609,7864,26744,49628,16608,4001,12850,2751,197250,11719,31908,4304,16396,32396,10288,2699,10206,1505,121420,2276,6509,815,3130,7382,2283,337,2099,569,25394,210,501,65,169,526,186,16,226,215,2113,42,88,18,27,64,24,4,25,107,396,96483,269766,39424,138626,197373,113738,13258,52848,14074,935589
SOSR203,26,31,349,170,48,458,60,585,25,1745,177,317,1131,453,164,557,271,777,52,3895,836,1654,2390,612,447,580,754,1029,135,8433,1217,1681,1689,451,435,437,734,840,147,7629,1231,1316,1473,515,441,351,964,808,142,7230,832,1007,1098,367,360,305,776,629,81,5459,216,286,169,76,110,91,165,150,33,1287,33,38,19,3,10,14,13,36,10,169,5,9,7,0,0,0,0,0,4,26,4569,6331,8310,2641,2011,2788,3740,4841,635,35868,16,30,72,509,102,1152,22,235,35,2176,175,538,245,1146,516,946,58,273,42,3956,605,2687,462,1323,1275,749,77,303,89,7558,665,2225,365,1110,1475,611,93,416,101,7052,688,1795,355,1330,1621,667,125,654,71,7314,386,1261,197,886,1171,518,104,604,61,5186,67,192,30,156,232,82,12,133,18,926,5,11,6,3,18,4,0,16,12,70,4,3,0,0,3,0,0,3,10,25,2617,8745,1732,6460,6415,4738,492,2638,438,34262
SOSR211,63,45,762,318,64,800,120,1105,65,3339,333,457,2246,672,248,739,494,1301,146,6638,1444,2325,4379,926,789,889,1596,1898,235,14482,1923,2367,2884,860,798,734,1742,1478,255,13036,1998,1822,2499,818,789,675,1861,1484,245,12190,1456,1519,1749,579,685,539,1507,1168,145,9355,319,390,341,145,149,178,377,243,70,2212,62,45,26,6,17,18,25,36,13,252,10,3,8,3,0,4,0,3,3,30,7611,8977,14887,4330,3543,4577,7723,8720,1174,61541,52,59,145,783,206,2052,30,472,55,3856,282,834,418,1833,912,1521,79,519,73,6465,953,3953,765,2349,2440,1405,137,741,145,12890,1056,3392,580,1958,2680,1060,160,830,165,11873,1053,2742,491,2128,2995,1225,247,1178,153,12209,661,1994,277,1610,2278,888,171,950,105,8935,119,291,58,209,378,159,24,168,39,1444,9,13,3,12,17,5,0,20,22,109,6,3,0,6,10,3,0,3,9,29,4196,13284,2738,10890,11912,8309,845,4879,763,57814
SOSR212,52,36,486,196,34,640,72,720,52,2277,204,252,1266,252,137,445,293,771,71,3697,851,1275,2629,502,388,532,808,1297,149,8433,1372,1273,1810,481,428,425,926,975,136,7823,1492,1160,1716,440,458,470,1187,1017,145,8084,1011,961,1158,358,444,347,1007,777,99,6165,290,259,220,88,102,127,237,205,32,1566,40,21,13,13,12,14,17,24,15,162,11,4,0,3,3,3,3,3,6,39,5327,5235,9299,2327,2011,3010,4556,5780,700,38243,35,36,82,493,146,1435,14,269,31,2525,139,529,233,943,573,821,18,296,43,3594,557,2321,460,1281,1453,778,60,546,88,7547,685,2021,360,1249,1698,750,77,510,99,7451,732,1726,356,1373,2188,931,92,750,95,8247,479,1261,200,1043,1467,625,77,646,66,5872,107,181,35,178,234,116,4,143,28,1033,14,15,0,4,18,5,0,15,13,86,3,0,3,0,4,0,0,4,7,17,2746,8094,1720,6576,7781,5453,352,3170,470,36368
SOSR213,64,36,748,237,55,808,97,1132,56,3237,250,275,1909,370,157,506,320,975,79,4858,1196,1658,3699,657,428,675,1089,1663,213,11275,1984,1847,2851,719,549,651,1383,1341,236,11551,2073,1563,2617,802,631,618,1722,1466,210,11711,1526,1472,1992,578,652,552,1494,1152,164,9576,419,406,319,122,156,170,367,330,73,2361,105,55,45,9,12,22,26,42,25,347,6,4,5,0,0,3,6,5,5,42,7625,7320,14190,3494,2641,3998,6510,8112,1069,54954,40,38,113,793,170,1771,20,443,62,3447,203,576,329,1231,638,1017,34,379,66,4479,762,3277,665,1900,1758,1099,74,580,117,10243,1013,3017,547,1887,2246,1158,115,809,135,10925,1048,2624,536,2386,2813,1242,164,1135,149,12100,747,2006,336,1619,2074,908,151,970,118,8931,166,311,48,288,373,134,16,206,44,1592,29,19,3,19,38,17,0,20,16,159,3,5,3,4,3,0,0,6,12,37,4003,11887,2576,10129,10129,7359,569,4556,714,51919
SOSR214,37,12,405,127,34,401,34,569,34,1659,144,102,970,155,50,251,165,554,38,2430,543,599,1739,256,164,261,512,873,100,5042,876,800,1406,377,240,290,603,787,84,5456,1065,743,1382,487,332,345,916,885,130,6286,928,700,1045,356,315,299,842,806,104,5406,277,219,238,79,96,110,203,177,40,1435,66,25,22,10,16,18,9,32,26,226,18,3,10,0,0,3,0,5,0,43,3939,3205,7221,1841,1236,1982,3292,4692,566,27979,21,24,79,332,70,851,6,209,30,1627,69,239,143,581,248,415,15,225,26,1969,347,1145,344,914,768,454,40,401,61,4471,550,1393,305,947,1065,535,64,431,66,5354,618,1332,339,1231,1464,679,72,777,64,6578,436,1026,213,964,1099,485,58,646,70,4994,120,211,34,168,251,114,14,130,25,1059,22,9,3,18,16,10,0,15,19,115,3,7,3,4,10,3,0,5,7,34,2183,5393,1459,5145,4999,3544,262,2837,367,26199
SOSR215,50,20,640,199,25,502,53,809,42,2347,206,165,1502,284,100,329,322,788,86,3788,915,902,3167,441,318,421,935,1282,168,8552,1654,1274,2606,470,422,449,1188,1238,184,9499,1794,1168,2475,633,485,475,1662,1400,196,10287,1532,1196,1889,447,522,434,1519,1247,184,8967,529,408,385,121,155,212,389,344,72,2618,129,54,43,9,15,19,25,55,33,380,26,8,10,3,0,5,9,7,18,88,6838,5191,12718,2616,2044,2858,6105,7160,982,46524,21,18,101,563,95,1138,16,357,44,2358,153,371,303,954,455,673,32,350,41,3326,571,2039,573,1500,1446,826,60,584,94,7690,956,2260,516,1464,1828,875,87,729,109,8833,1073,2120,521,1912,2203,1146,145,1095,129,10346,782,1739,365,1476,1728,829,118,977,102,8104,238,313,66,275,427,154,19,198,51,1727,45,23,0,13,23,10,5,13,26,165,4,6,0,8,6,8,0,0,8,37,3840,8887,2448,8170,8224,5650,477,4301,609,42594
SOSR221,9,13,187,37,14,118,17,218,14,617,59,32,357,47,20,76,78,195,9,881,230,194,780,106,62,107,258,313,25,2066,404,297,716,113,106,116,350,359,53,2507,548,325,779,203,111,137,487,413,67,3061,478,336,639,138,129,135,459,372,73,2752,193,111,98,35,45,57,83,101,25,757,42,16,8,5,4,5,7,19,14,114,12,3,3,0,0,0,3,0,0,24,1971,1330,3564,678,493,746,1746,1979,274,12780,5,5,25,142,19,309,0,111,7,632,26,91,64,221,89,150,6,101,8,767,129,475,148,337,336,160,12,143,23,1762,251,588,172,404,484,224,23,205,26,2373,312,604,138,581,665,306,60,322,30,3026,249,579,96,439,492,222,30,271,34,2406,72,99,27,78,121,51,11,49,11,517,9,10,4,5,5,0,0,9,3,42,3,8,0,0,3,0,0,0,3,17,1063,2452,675,2204,2207,1433,144,1216,148,11537
SOSR222,10,4,107,31,4,79,23,159,5,427,31,21,226,48,6,43,50,150,12,587,167,115,451,80,33,56,185,231,19,1344,274,187,426,92,67,68,226,242,28,1594,343,185,503,134,95,95,331,283,38,2005,371,229,409,99,91,98,310,296,42,1942,124,83,88,20,28,31,71,67,14,533,27,7,10,0,3,0,6,12,5,74,3,0,4,0,0,0,0,0,0,14,1352,837,2229,507,328,462,1196,1441,162,8518,5,9,23,93,24,168,0,61,4,381,25,60,42,153,64,92,8,71,7,508,99,270,77,229,208,143,11,116,18,1176,193,341,113,253,304,153,19,112,17,1492,215,395,106,379,406,190,29,221,32,1964,185,361,72,260,339,145,25,213,26,1641,54,46,14,42,46,28,7,42,3,277,16,3,4,4,4,0,0,7,9,35,3,4,0,3,3,0,0,0,3,16,793,1484,448,1404,1390,916,96,839,112,7484
SOSR231,288,65,1671,444,94,1009,203,1869,134,5774,751,355,2949,521,188,532,631,1564,151,7645,2803,1233,4236,609,415,509,1453,2152,209,13626,5446,2009,4601,746,608,681,2254,2116,371,18833,7954,2795,5639,1099,893,919,3579,2866,475,26225,7915,2930,4175,935,874,884,3125,2786,452,24072,4613,1067,870,215,277,328,748,806,207,9145,1485,118,72,16,43,49,67,122,94,2068,250,9,16,6,0,8,15,38,33,375,31510,10589,24237,4590,3396,4910,12073,14322,2121,107756,97,96,244,1204,313,2579,39,878,104,5555,307,703,562,1680,868,1225,74,688,100,6209,1292,3169,813,1900,2233,1034,135,1011,156,11737,2753,4448,1020,2247,3921,1254,195,1234,233,17297,4108,5365,1216,3434,5788,1906,336,2135,346,24636,3999,4379,851,2537,4054,1365,285,1761,263,19491,2247,815,171,395,998,255,57,396,155,5490,560,54,20,34,103,12,3,69,54,899,57,16,6,9,28,4,0,13,13,146,15419,19033,4887,13438,18308,9630,1129,8177,1428,91453
