RA_CODE_2016,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
RA20,83,619,127603,128310,3055,10530,140400,153976,111536,59713,157842,329080,184581,36276,70386,291251,171673,26632,65834,264137,143204,15908,51681,210786,106573,6786,32571,145922,56332,1877,18737,76941,14730,387,10274,25388,791754,158721,675324,1625799,253,1089,121767,123105,8730,15678,126048,150451,147764,62006,133841,343605,190790,35090,79339,305219,172899,25186,86330,284409,137190,13393,78507,229091,94591,4946,63968,163500,40049,1104,52902,94055,6672,197,30497,37363,798942,158679,773193,1730811,339,1707,249369,251413,11790,26203,266442,304429,259292,121714,291680,672690,375373,71365,149728,596470,344568,51814,152166,548546,280392,29295,130192,439883,201161,11729,96533,309424,96378,2983,71634,171000,21399,582,40769,62754,1590700,317399,1448512,3356606
RA21,10,237,31430,31684,640,3786,21627,26057,17502,12140,20171,49813,32915,8882,13964,55763,39033,8293,17717,65044,42367,5776,17695,65837,36390,2742,12968,52100,17747,735,6898,25383,4239,116,3092,7454,190844,42706,145564,379120,46,610,28417,29066,1286,5472,18125,24881,23135,12650,18916,54701,36373,9196,16307,61882,41999,8326,20891,71218,42778,5191,21712,69684,32859,2058,19109,54024,12675,437,15555,28672,2019,83,8769,10868,193173,44018,167803,404988,62,850,59845,60751,1929,9259,39747,50936,40630,24789,39091,104512,69292,18075,30274,117642,81033,16616,38605,136260,85148,10970,39407,135517,69243,4801,32082,106124,30427,1169,22455,54052,6259,203,11864,18322,384018,86723,313365,784106
RA22,8,69,6383,6458,130,816,3867,4817,3319,2405,4036,9765,5964,1673,3024,10658,8141,1589,4308,14040,10056,1324,4781,16160,8856,728,3727,13313,4599,192,1941,6732,1133,30,863,2031,42211,8836,32932,83976,10,161,5662,5834,283,1187,2997,4466,4428,2450,3663,10542,6939,1742,3174,11855,9076,1679,4215,14969,10199,1190,4484,15871,7946,525,4177,12649,3308,122,3952,7378,546,15,2240,2805,42737,9071,34566,86377,17,230,12048,12288,411,1999,6867,9286,7746,4863,7707,20308,12899,3420,6195,22516,17219,3263,8524,29011,20258,2513,9264,32040,16807,1259,7901,25970,7910,311,5892,14112,1679,47,3105,4834,84945,17906,67505,170355
RA23,0,0,48,48,0,6,25,37,26,20,42,87,66,18,32,120,87,26,67,180,133,19,97,254,139,14,80,233,82,3,37,121,15,0,21,38,548,116,454,1116,0,3,56,60,4,9,25,37,37,15,20,74,79,23,29,127,100,25,49,171,147,25,71,244,132,14,65,208,57,0,45,102,5,0,37,39,557,114,394,1064,0,3,103,103,3,23,51,76,60,38,63,165,140,41,62,247,186,50,113,348,277,46,170,494,278,28,141,445,130,5,82,222,22,0,60,79,1100,227,848,2177
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
