RA_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
RA20,1239,2409,8677,16499,4281,36652,1824,16935,1480,90001,9454,28458,30766,37471,24264,41598,8815,22633,3671,207126,59452,168725,78169,55288,70733,43925,25902,36626,9593,548407,81908,144461,59137,40802,67378,31199,26094,30037,8196,489205,75239,104258,52257,40648,70336,30525,30221,34074,7272,444838,41725,67705,32580,25351,47107,19758,22502,26223,4358,287315,9905,18054,6539,5137,11131,5364,4576,6544,1583,68830,1262,1978,591,330,922,542,292,871,527,7310,204,269,107,50,115,70,40,90,231,1185,280380,536313,268815,221575,296273,209633,120270,174041,36910,2144221
RA21,584,357,4162,4406,1025,10492,521,6659,533,28729,2198,3662,9613,7224,3198,6310,1712,6457,692,41063,8769,18352,17782,9877,9037,6548,4725,9888,1230,86217,14929,20779,15217,10146,12213,6646,6200,9725,1515,97360,18115,20149,15482,13040,15763,8051,8710,12506,1789,113594,15148,17102,11194,9671,12142,6250,7751,10759,1413,91436,6578,3966,2173,1709,2740,1600,1872,2547,640,23828,1727,378,195,132,236,143,132,342,272,3563,284,60,48,43,54,33,31,68,89,715,68335,84804,75856,56253,56405,46081,31644,58952,8167,486498
RA22,178,77,789,793,161,2070,86,1491,112,5773,541,700,1744,1205,572,1010,396,1385,117,7664,2282,3165,3029,1854,1452,1240,1042,2312,226,16606,3652,3206,2493,1965,2051,1382,1257,2076,318,18399,5113,3420,2763,2629,2885,1721,1955,2991,327,23801,5298,3191,2275,2177,2450,1423,1801,2857,391,21871,2672,696,475,447,605,344,427,722,152,6538,793,72,63,30,73,30,44,123,92,1308,107,9,12,7,13,9,8,21,27,219,20627,14532,13650,11110,10260,9234,7018,13978,1770,102180
RA23,3,0,4,6,0,10,0,3,0,27,6,3,9,10,3,3,0,14,0,52,32,30,21,14,13,3,4,20,0,124,63,40,16,24,19,15,7,15,3,202,79,43,30,34,25,16,19,32,4,276,129,36,28,34,27,16,9,43,7,331,62,6,14,4,13,10,7,11,0,131,18,4,0,0,0,0,0,0,0,25,3,0,3,0,0,0,0,0,0,5,393,160,121,122,88,64,56,149,16,1179
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,3,0,23
RA29,6,0,9,15,0,16,4,10,0,64,20,28,35,79,16,31,9,66,5,289,52,183,113,99,60,39,48,104,13,726,38,74,62,38,33,21,55,51,20,386,36,52,37,26,23,17,48,44,14,300,22,53,30,19,26,10,30,28,5,215,5,4,3,4,9,4,3,0,0,42,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,178,405,297,277,182,134,200,307,57,2033
