RA_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
RA20,9606,3578,5053,1155,19398,3771,1311,1966,460,7521,3086,2341,5396,607,11422,1837,1584,5909,270,9603,16586,5305,9328,942,32156,8988,7638,15081,936,32632,43558,13079,16285,1738,74651,26494,21081,18271,2253,68096,33593,33915,19570,2728,89805,31921,38828,15055,2425,88228,21551,38814,11716,1603,73686,24038,39841,9050,1555,74485,50620,82159,12864,2516,148159,34204,60978,5370,1349,101904,20560,41190,2326,711,64795,13856,31243,2752,334,48186,28828,77745,2685,555,109813,25703,61854,16990,976,105527,8100,6027,3845,448,18424,406901,568520,179520,23557,1178492
RA21,1550,422,533,59,2562,1102,203,372,55,1736,840,358,1305,70,2572,477,203,2015,30,2728,5896,957,3356,183,10384,3288,1341,5579,170,10380,18324,2697,5682,382,27087,10780,4924,5413,477,21598,13216,8750,4992,451,27412,11719,10465,3469,393,26041,6844,10263,2356,206,19676,7475,10202,1643,189,19516,13142,18323,1929,278,33668,7232,12697,702,127,20754,3766,7262,227,38,11292,1942,4410,321,17,6690,4100,8056,300,35,12489,7855,15215,4505,195,27773,3121,1372,1208,117,5817,122671,118135,45905,3457,290170
RA22,428,146,114,14,697,336,80,82,13,517,246,117,309,9,680,157,51,436,6,655,1611,277,750,44,2689,914,357,1157,37,2471,5017,765,1154,98,7037,2793,1329,1143,122,5393,3304,2140,953,119,6513,2989,2356,623,87,6057,1484,2053,393,37,3964,1770,1936,258,30,3999,2664,3200,295,50,6214,1312,1983,100,25,3418,691,1003,36,8,1734,326,548,44,0,918,695,996,56,15,1763,2002,3433,865,38,6343,953,295,297,19,1565,29695,23082,9079,775,62630
RA23,12,0,0,0,9,6,0,0,0,7,7,0,0,0,13,0,0,7,0,8,30,3,8,0,43,19,3,9,0,30,86,13,10,0,106,44,20,14,0,81,43,27,14,0,84,50,20,6,0,77,16,25,0,0,37,25,20,3,0,51,35,27,7,0,65,12,19,3,0,32,8,5,0,0,14,6,3,0,0,17,15,4,0,0,20,37,30,10,0,82,14,3,3,0,24,454,231,95,7,789
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
