RA_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
RA20,1806629,1919303,3725933,841338,489888,1331227,241075,465918,706992,48009,57991,105997,81161,75864,157025,1211585,1089659,2301244,487498,717217,1204718,6.7,7,6.8,67.1,56.8,61.8,62.6,52.8,57.5,118507,118019,236531,34085,61739,95825,311216,375933,687152,154633,197537,352172,323039,155269,478310,11087,19004,30089,23492,36530,60020,357619,210811,568426,1696814,1774395,3471213,335532,350306,685836,1108638,1167678,2276316,838967,876058,1715024
RA21,441862,466745,908600,185789,92662,278446,53506,123234,176736,14606,16712,31316,16006,13673,29675,269900,246276,516171,139749,186621,326379,5.9,5.6,5.7,61.1,52.8,56.8,57.5,49.8,53.5,9490,11284,20779,6500,13603,20102,35635,58419,94058,30762,48033,78794,120904,55948,176850,3633,7475,11102,6244,10209,16457,130781,73631,204414,424350,438688,863038,68221,74204,142424,292503,299229,591727,177450,192708,370158
RA22,99691,102019,201709,39381,19654,59038,11027,25011,36035,3496,3610,7110,3476,2574,6044,57378,50845,108228,33368,42259,75625,6.1,5.1,5.6,57.6,49.8,53.7,54.1,47.3,50.7,1059,1380,2439,910,2252,3160,5502,10531,16026,5781,9686,15467,25993,11751,37747,898,1840,2733,1502,2151,3655,28388,15744,44134,94466,94944,189408,13614,14522,28132,68211,67482,135693,35003,37416,72421
RA23,1356,1260,2617,430,205,631,164,305,469,41,38,78,67,42,107,705,580,1286,540,588,1124,9.5,7.2,8.3,52,46,49.1,46.8,43.5,45,26,34,57,15,34,49,77,155,236,59,121,186,306,127,437,15,21,36,25,33,54,349,179,526,1307,1234,2538,128,121,249,1028,960,1989,360,353,719
RA25,27,4,25,16,0,16,0,0,0,3,0,3,0,0,0,23,0,23,0,4,4,0,0,0,85.2,0,92,70.4,0,76,0,0,0,0,0,0,3,0,3,0,0,3,12,0,12,0,0,0,0,0,0,12,0,12,13,0,12,12,0,11,12,0,7,16,0,13
RA29,3942,2883,6825,811,384,1194,317,326,641,115,81,193,367,251,613,1610,1038,2647,1119,1175,2291,22.8,24.2,23.2,40.8,36,38.8,31.5,27.4,29.7,133,106,238,30,60,91,344,449,792,190,219,404,540,242,777,25,36,60,45,52,101,602,327,932,810,544,1354,2095,1859,3954,534,315,849,2233,1988,4223
