RA_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
RA20,44173,15974,92512,910984,943145,389505,295270,900568,286455,3725933
RA21,12582,6005,28004,181579,238092,118515,98047,178264,94104,908600
RA22,3185,1703,7324,36530,49538,26530,23011,41788,24322,201709
RA23,37,24,109,430,664,374,388,484,275,2617
RA25,0,0,0,7,3,3,0,11,3,25
RA29,22,12,38,1281,954,324,278,1969,2020,6825
