RA_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
RA20,14258,21574,35833,6156,6956,13114,9365,21960,31324,7566,31827,39393,27434,60258,87685,28091,34839,62932,67505,31732,99242,62550,38002,100550,84349,41801,126151,84351,32109,116463,72044,26791,98829,73316,19977,93297,147324,30394,177718,104180,5878,110060,67272,3465,70734,50323,13996,64323,115980,3872,119846,106982,14677,121655,17268,18644,35915,1146319,458749,1605066
RA21,2294,2916,5205,1616,1808,3428,2219,7574,9794,2332,12216,14544,9540,25605,35141,9461,12963,22424,26016,10920,36939,20875,11643,32523,26903,10344,37243,25730,6565,32294,19530,4751,24282,19485,3206,22689,33697,3847,37541,21149,651,21800,11629,245,11880,6992,1729,8713,13153,261,13419,28038,1984,30017,5617,7720,13337,286263,126941,413207
RA22,634,768,1403,481,534,1020,618,2003,2619,568,3298,3870,2519,7008,9531,2274,3230,5500,6826,2646,9477,5285,2788,8070,6422,2281,8702,6029,1281,7313,3982,949,4933,4015,560,4578,6229,711,6935,3501,112,3618,1790,43,1829,968,385,1352,1854,47,1905,6406,356,6765,1517,2208,3725,61926,31208,93133
RA23,10,22,30,13,12,20,8,40,48,3,71,77,43,140,181,34,37,69,107,47,147,78,37,119,79,36,121,76,22,97,39,5,44,53,5,56,68,0,68,31,0,30,19,0,19,15,12,25,16,0,16,81,5,86,25,33,50,787,522,1307
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
