RA_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
RA20,258,1082,73,89,161,1244,1616,988,3845,52332,39574,4476,96389,4434,4638,9070,105458,72114,1946,179520
RA21,80,309,25,27,60,364,564,278,1208,11079,12008,1342,24434,1295,1403,2698,27134,18197,577,45905
RA22,20,63,7,8,14,72,144,83,297,2083,2244,247,4567,228,234,455,5029,3886,163,9079
RA23,0,0,0,0,0,0,0,0,3,18,30,0,51,3,0,3,52,33,3,95
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
