RA_CODE_2016,M_Y12e_15_19,M_Y12e_20_24,M_Y12e_25_34,M_Y12e_35_44,M_Y12e_45_54,M_Y12e_55_64,M_Y12e_65_74,M_Y12e_75_84,M_Y12e_85ov,M_Y12e_Tot,M_Y11e_15_19,M_Y11e_20_24,M_Y11e_25_34,M_Y11e_35_44,M_Y11e_45_54,M_Y11e_55_64,M_Y11e_65_74,M_Y11e_75_84,M_Y11e_85ov,M_Y11e_Tot,M_Y10e_15_19,M_Y10e_20_24,M_Y10e_25_34,M_Y10e_35_44,M_Y10e_45_54,M_Y10e_55_64,M_Y10e_65_74,M_Y10e_75_84,M_Y10e_85ov,M_Y10e_Tot,M_Y9e_15_19,M_Y9e_20_24,M_Y9e_25_34,M_Y9e_35_44,M_Y9e_45_54,M_Y9e_55_64,M_Y9e_65_74,M_Y9e_75_84,M_Y9e_85ov,M_Y9e_Tot,M_Y8b_15_19,M_Y8b_20_24,M_Y8b_25_34,M_Y8b_35_44,M_Y8b_45_54,M_Y8b_55_64,M_Y8b_65_74,M_Y8b_75_84,M_Y8b_85ov,M_Y8b_Tot,M_DNGTS_15_19,M_DNGTS_20_24,M_DNGTS_25_34,M_DNGTS_35_44,M_DNGTS_45_54,M_DNGTS_55_64,M_DNGTS_65_74,M_DNGTS_75_84,M_DNGTS_85_ov,M_DNGTS_Tot,M_Hghst_yr_schl_ns_15_19,M_Hghst_yr_schl_ns_20_24,M_Hghst_yr_schl_ns_25_34,M_Hghst_yr_schl_ns_35_44,M_Hghst_yr_schl_ns_45_54,M_Hghst_yr_schl_ns_55_64,M_Hghst_yr_schl_ns_65_74,M_Hghst_yr_schl_ns_75_84,M_Hghst_yr_schl_ns_85_ovr,M_Hghst_yr_schl_ns_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Y12e_15_19,F_Y12e_20_24,F_Y12e_25_34,F_Y12e_35_44,F_Y12e_45_54,F_Y12e_55_64,F_Y12e_65_74,F_Y12e_75_84,F_Y12e_85ov,F_Y12e_Tot,F_Y11e_15_19,F_Y11e_20_24,F_Y11e_25_34,F_Y11e_35_44,F_Y11e_45_54,F_Y11e_55_64,F_Y11e_65_74,F_Y11e_75_84,F_Y11e_85ov,F_Y11e_Tot,F_Y10e_15_19,F_Y10e_20_24,F_Y10e_25_34,F_Y10e_35_44,F_Y10e_45_54,F_Y10e_55_64,F_Y10e_65_74,F_Y10e_75_84,F_Y10e_85ov,F_Y10e_Tot,F_Y9e_15_19,F_Y9e_20_24,F_Y9e_25_34,F_Y9e_35_44,F_Y9e_45_54,F_Y9e_55_64,F_Y9e_65_74,F_Y9e_75_84,F_Y9e_85ov,F_Y9e_Tot,F_Y8b_15_19,F_Y8b_20_24,F_Y8b_25_34,F_Y8b_35_44,F_Y8b_45_54,F_Y8b_55_64,F_Y8b_65_74,F_Y8b_75_84,F_Y8b_85ov,F_Y8b_Tot,F_DNGTS_15_19,F_DNGTS_20_24,F_DNGTS_25_34,F_DNGTS_35_44,F_DNGTS_45_54,F_DNGTS_55_64,F_DNGTS_65_74,F_DNGTS_75_84,F_DNGTS_85_ov,F_DNGTS_Tot,F_Hghst_yr_schl_ns_15_19,F_Hghst_yr_schl_ns_20_24,F_Hghst_yr_schl_ns_25_34,F_Hghst_yr_schl_ns_35_44,F_Hghst_yr_schl_ns_45_54,F_Hghst_yr_schl_ns_55_64,F_Hghst_yr_schl_ns_65_74,F_Hghst_yr_schl_ns_75_84,F_Hghst_yr_schl_ns_85_ovr,F_Hghst_yr_schl_ns_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Y12e_15_19,P_Y12e_20_24,P_Y12e_25_34,P_Y12e_35_44,P_Y12e_45_54,P_Y12e_55_64,P_Y12e_65_74,P_Y12e_75_84,P_Y12e_85ov,P_Y12e_Tot,P_Y11e_15_19,P_Y11e_20_24,P_Y11e_25_34,P_Y11e_35_44,P_Y11e_45_54,P_Y11e_55_64,P_Y11e_65_74,P_Y11e_75_84,P_Y11e_85ov,P_Y11e_Tot,P_Y10e_15_19,P_Y10e_20_24,P_Y10e_25_34,P_Y10e_35_44,P_Y10e_45_54,P_Y10e_55_64,P_Y10e_65_74,P_Y10e_75_84,P_Y10e_85ov,P_Y10e_Tot,P_Y9e_15_19,P_Y9e_20_24,P_Y9e_25_34,P_Y9e_35_44,P_Y9e_45_54,P_Y9e_55_64,P_Y9e_65_74,P_Y9e_75_84,P_Y9e_85ov,P_Y9e_Tot
RA20,37507,132155,275514,225814,155351,115890,69412,27249,9161,1048056,6326,11510,22844,26916,48663,33133,16320,6340,1946,174011,6075,11085,26195,29347,42585,37552,26867,12988,3942,196636,2225,2961,7209,8078,12417,14350,14279,8201,2838,72554,988,1537,4547,5206,7163,10974,19877,19963,8858,79118,229,956,2636,2713,3173,3297,3270,3245,1266,20780,6719,11297,26889,20872,18860,16514,14919,11951,6245,134268,60055,171507,365837,318954,288215,231707,164939,89938,34259,1725410,40929,140077,309952,256421,181257,120750,61226,25021,10149,1145785,4224,7530,15450,19826,47248,37002,20896,9016,3257,164456,3901,6646,16333,19066,35906,40443,35040,17144,7587,182055,1460,1876,4269,5735,10645,15766,16535,10216,5308,71815,643,1040,3646,4980,7620,14527,28251,27824,16730,105250,145,604,2366,2857,3960,4842,4878,6094,2705,28437,6501,10471,25395,19049,17972,16992,17316,15844,12409,141962,57803,168244,377411,327933,304610,250322,184142,111161,58140,1839767,78437,272231,585470,482235,336606,236638,130642,52276,19306,2193838,10550,19040,38296,46748,95915,70139,37213,15362,5209,338464,9968,17737,42526,48409,78485,77993,61905,30131,11529,378690,3689,4844,11478,13815,23065,30111,30811,18417,8147,144368
RA21,5982,17419,30511,31126,22427,23545,17102,6309,1871,156299,2653,4650,7803,9912,17441,15093,7441,2412,598,68014,2774,4560,9884,11574,18626,18492,14432,5689,1288,87323,955,1193,2851,3433,5917,7496,8562,4229,1094,35729,374,500,1220,1288,1994,3659,7685,6958,3181,26862,39,95,312,313,405,313,341,242,90,2151,2218,2527,5398,5775,6872,7390,7239,5132,2248,44793,14995,30955,57973,63426,73686,75994,62794,30964,10379,421172,6739,20353,42372,44086,33279,28038,15812,6101,2460,199232,1668,2839,5677,7998,18327,16954,9636,3549,1050,67691,1698,2799,6293,7545,14675,17190,15957,7006,2467,75623,654,711,1449,1986,4377,7176,7932,4427,1873,30591,230,299,674,845,1368,3171,7291,7223,5530,26636,36,69,217,267,314,281,258,283,152,1876,2147,2126,4406,4935,6187,7135,7614,6439,4070,45055,13158,29193,61089,67658,78526,79949,64499,35033,17602,446705,12720,37771,72884,75214,55708,51586,32911,12412,4333,355532,4321,7486,13475,17911,35772,32053,17072,5960,1648,135704,4471,7356,16174,19120,33299,35682,30385,12696,3760,162944,1606,1910,4304,5423,10295,14670,16497,8652,2965,66324
RA22,1107,2882,5536,5385,3970,4745,3426,1322,371,28738,581,1036,1764,2052,3832,3842,1965,601,138,15798,535,983,2122,2416,4416,4922,3927,1432,310,21071,187,263,638,812,1570,2104,2339,1188,313,9422,82,110,297,343,604,1109,2383,2181,991,8100,12,23,58,92,130,99,78,99,30,625,515,612,1250,1173,1754,1989,2188,1387,669,11534,3013,5912,11669,12258,16277,18821,16307,8206,2822,95291,1137,3428,7813,8017,6217,5668,3206,1312,503,37303,396,634,1198,1653,4218,4229,2263,866,278,15740,344,621,1389,1653,3293,4116,3938,1823,571,17756,136,164,386,478,1054,1728,1976,1217,507,7652,66,72,182,202,385,838,1875,2004,1475,7095,8,20,58,71,86,75,93,98,40,550,516,520,1099,1130,1611,1922,2024,1701,1136,11656,2600,5466,12124,13211,16870,18585,15371,9020,4505,97746,2248,6308,13347,13400,10185,10417,6630,2631,870,66048,977,1673,2963,3708,8047,8069,4225,1463,415,31535,872,1608,3512,4066,7716,9043,7873,3253,884,38824,325,433,1026,1291,2623,3831,4315,2405,821,17070
RA23,3,23,56,64,44,84,81,28,5,396,7,10,15,24,54,79,41,13,0,235,0,4,20,26,64,70,68,28,3,296,0,0,3,9,21,35,41,18,5,128,0,0,0,0,4,10,34,32,22,106,0,0,0,0,0,0,0,4,0,7,3,10,9,16,27,30,28,18,13,149,18,50,106,136,212,306,295,147,50,1321,10,24,62,100,80,111,88,21,12,521,3,3,7,9,47,69,28,17,0,187,0,6,4,11,38,63,60,25,7,220,0,3,0,3,5,22,23,13,7,71,0,0,0,3,3,5,27,27,30,94,0,0,0,0,0,0,0,0,0,0,3,0,6,18,18,15,21,19,7,114,19,40,88,148,200,283,252,128,59,1207,16,53,124,166,127,198,172,52,17,915,6,10,18,36,104,144,68,31,3,427,3,15,30,43,101,138,132,53,12,515,0,3,3,9,21,54,62,31,7,198
RA25,0,0,3,0,4,3,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,11,5,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,4,3,0,0,0,13,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0
RA29,38,209,486,253,154,114,75,19,4,1343,15,50,81,54,62,72,28,9,0,367,22,42,88,77,94,73,49,11,0,462,4,19,46,50,45,38,34,9,0,250,6,6,37,22,18,21,27,13,0,152,4,0,9,5,6,6,9,0,0,42,42,116,305,346,247,139,66,19,3,1277,138,443,1051,813,628,460,283,72,9,3895,63,284,491,213,111,119,57,4,3,1345,4,30,32,37,52,56,22,5,0,236,18,27,37,49,48,58,35,7,6,290,14,8,19,18,19,24,25,3,0,130,7,11,9,5,12,11,14,0,7,79,7,3,10,3,6,6,4,3,0,42,35,101,191,149,90,84,45,17,7,716,140,453,788,479,344,352,204,49,28,2840,100,488,982,466,259,234,129,29,6,2689,17,78,119,89,120,125,48,13,0,610,44,67,127,129,143,130,90,17,4,751,20,24,63,71,65,59,65,8,0,388
